id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,en17793caa790647fcb4e8ee9221a2a43a,en,,What does Stephanie aim to convey to Ray when she sits on the bed and recounts her experience?,The details of her terrifying nightmare involving Mrs. Ganush,"Stephanie sits on the bed, breathing heavily after waking from a series of disturbing dreams. She tells Ray about the old woman, Mrs. Ganush, being in the room with her, attacking her, and how she couldn't wake up no matter what. Her voice trembles as she describes the hands around her throat, the flies, the teeth snapping close to her face. She shakes her head, unable to go on, and falls silent. Ray watches her, concerned, and gently strokes her hair as she struggles to regain her composure. [Stephanie Tries to Describe Her Nightmare]",Character Understanding
2,en17793caa790647fcb4e8ee9221a2a43a,en,,What realization prompts Stephanie to retreat to her bedroom after hearing the gate?,Threat is approaching the house,"Stephanie hears the shriek of the rusty gate swinging open, signaling unexpected entry. The atmosphere inside shifts—shadows deepen and the air grows heavy. She moves to the front door, listens, and detects a faint scratching on the other side. Interpreting these signs as a looming danger, she flees upstairs and locks herself in her bedroom.",Character Understanding
3,en17793caa790647fcb4e8ee9221a2a43a,en,,"In [9、INT. HALL OUTSIDE RAY'S OFFICE - DAY], what objective or realization best explains Stephanie's move when Stephanie stephanie stops at the water fountain for a drink and pauses when she hears her name on Ray's?",walks away quietly,"Stephanie stops at the water fountain and overhears Trudy questioning Ray about her background on the speakerphone. Ray defends her, but after listening unseen, Stephanie turns and walks away without speaking [scene: Stephanie overhears a conversation and walks away].",Character Understanding
4,en17793caa790647fcb4e8ee9221a2a43a,en,,"In [17、INT Rham Jas'S BACK ROOM - NIGHT], what judgment drives Rham Jas's response when Rham Jas after a moment of hesitation?",Sound a warning and get out,"After a moment of hesitation, Rham Jas tells Stephanie that a bad spirit has come upon her. He asks if she has blasphemed the dead at a grave site. Stephanie says no. He then asks if she has used a Ouija board or spoken with those who practice the black arts. Ray interrupts, questioning what is happening. Stephanie insists she has done neither. Rham Jas suggests someone may have cursed her. He turns her wrist, revealing the loose threads on her coat sleeve where a button once was. [Rham Jas Warns of a Bad Spirit]",Character Understanding
5,en17793caa790647fcb4e8ee9221a2a43a,en,,What occurs when Stephanie first becomes aware of Mrs. Ganush in the bank?,Stephanie notices Mrs. Ganush scratching her desk with yellowed fingernails,"Stephanie sits at her desk when she notices a withered hand scratching the surface. The hand belongs to Mrs. Ganush, an elderly woman dressed in a threadbare formal outfit from another era, who sits across from her. This moment marks the beginning of their interaction, as Mrs. Ganush then asks for help with her delinquent loan and impending home repossession. The scratching action is the first distinct physical detail that draws Stephanie’s attention and initiates the scene.",Scene Grounding
6,en17793caa790647fcb4e8ee9221a2a43a,en,,What action marks the conclusion of Stephanie's visit in Ray's university office?,Stephanie prepares to leave after finishing her lunch,"Stephanie gathers her belongings and gets ready to return to work. Before departing, she shares a kiss with Ray, who then turns back to his desk and resumes grading student exams.",Scene Grounding
7,en17793caa790647fcb4e8ee9221a2a43a,en,,What action occurs when Stephanie arrives at Ray's house with an injured lip?,Stephanie receives frozen peas for her injured lip,"Stephanie paces the room wearing Ray's overcoat over her pajamas, her lip swollen and bleeding. Ray rushes in and hands her a pack of frozen peas, which she presses to her face. He reaches for the phone, saying he’s calling the police, but Stephanie stops him. She tells him the old woman didn’t just attack her—she knocked her down, tore a button from her coat, and warned her that something was coming. Then it did. Ray stares at her, silent and uneasy.",Scene Grounding
8,en17793caa790647fcb4e8ee9221a2a43a,en,,What event directly triggers Stephanie's first auditory encounter with the Lamia?,Mrs. Ganush drags Stephanie out of the car onto the pavement,"In the parking structure, Mrs. Ganush violently pulls Stephanie from her car, shames her, and delivers a curse invoking the Lamia after removing a button from Stephanie's coat. This act establishes a supernatural link that manifests later when Stephanie hears the Lamia's presence as distorted static on her bedroom phone.",Causal-Motivational Reasoning
9,en17793caa790647fcb4e8ee9221a2a43a,en,,What event creates the tension that leads Stephanie to walk away after overhearing Trudy's call?,Ray introduces Stephanie to his parents,"During a visit to Ray's parents' home, Ray introduces Stephanie to George and Trudy Dalton. Trudy subtly expresses disapproval of Stephanie’s appearance and demeanor, which Stephanie notices. This uneasy first meeting establishes the underlying tension that later surfaces when Stephanie overhears Trudy questioning Ray about her suitability, prompting her silent departure. [scene: 50、EXT. DALTON HOUSE - DUSK]",Causal-Motivational Reasoning
10,en17793caa790647fcb4e8ee9221a2a43a,en,,What event immediately precedes and triggers Stephanie seeing Mrs. Ganush's shadow in the apartment?,Stephanie hears a shriek and investigates the front door,"After hearing a sudden shriek, Stephanie checks the front door and secures it. She notices the iron gate outside swinging open and struggles to close the kitchen windows as wind rushes in, scattering leaves and clanging pans. Once the windows are shut, the apartment falls silent, and shortly afterward, a passing car casts shadows on the wall—one of which takes the distinct shape of Mrs. Ganush, though no one is present. [scene: 23、INT. STEPHANIE'S HOUSE - KITCHEN - NIGHT]",Causal-Motivational Reasoning
11,en17793caa790647fcb4e8ee9221a2a43a,en,,What action by Ray creates the opportunity for Doctor Rangivertz to provide medical advice and prescribe treatment?,Ray opens drapes to let sunlight into bedroom,"In the morning, Ray opens the drapes in his bedroom, allowing sunlight to fill the room. Sitting beside Stephanie, he mentions that Doctor Rangivertz suggested she stop by his office during lunch. This moment initiates the medical consultation process, leading to the doctor’s later visit where he evaluates Stephanie’s condition and provides a prescription, underscoring the causal link between Ray’s gesture of opening the drapes—and the hope it symbolizes—and the subsequent medical intervention.",Causal-Motivational Reasoning
12,en17793caa790647fcb4e8ee9221a2a43a,en,,"By the time the characters arrive at the Dalton House, what key event has already taken place?",Ray reveals plans for Stephanie to join dinner,"Before the arrival at the Dalton House, Ray informs his mother about Stephanie joining them for dinner, setting up family tensions and expectations that influence the dynamics later in the evening. This conversation occurs in the hallway outside his office earlier in the day, well before the group gathers at the house.",Temporal Reasoning
13,en17793caa790647fcb4e8ee9221a2a43a,en,,"By the time Mrs. Ganush rejects the offer and terrifies Stephanie, what unsettling event has already taken place in the parking structure?",Mrs. Ganush's handkerchief moves mysteriously across the parking lot,"Earlier in the parking structure, an unexplained movement of Mrs. Ganush's handkerchief across the asphalt foreshadows the supernatural tension that culminates in her confrontation with Stephanie. This event occurs well before the living room encounter, establishing a quiet but eerie disturbance tied to Mrs. Ganush’s presence.",Temporal Reasoning
14,en17793caa790647fcb4e8ee9221a2a43a,en,,How does Stu Rubin's treatment of Stephanie evolve or remain consistent from their first interaction to their later confrontation in the bank?,Stu Rubin keeps treating Stephanie as a threat,"From their initial encounter, Stu Rubin displays hostility toward Stephanie, resenting her presence and asserting minor authority, such as by demanding lunch. This antagonism persists through subsequent interactions, including a moment in the break room where he publicly challenges her, and culminates in a direct threat to report her tardiness unless she complies with his demands, maintaining a consistent pattern of adversarial behavior.",Role-Relation Continuity
15,en17793caa790647fcb4e8ee9221a2a43a,en,,"What pivotal event sets in motion the sequence in which Mrs. Ganush's shadow appears in the apartment, Stephanie and the kitten sense a presence, and Stephanie is struck and thrown by an unseen force?",Stephanie Secures the Apartment After a Shriek,"The moment Stephanie secures the apartment following a sudden shriek marks a critical shift in the narrative, triggering a series of escalating supernatural occurrences. This action isolates her within the space, heightening the tension and directly leading to the manifestation of Mrs. Ganush's shadow, the shared awareness of a malevolent presence with the kitten, and the subsequent physical attack on Stephanie—all unfolding in rapid succession within the confined setting of the apartment [23、INT. STEPHANIE'S HOUSE - KITCHEN - NIGHT].",Narrative Progression
16,en17793caa790647fcb4e8ee9221a2a43a,en,,What turning point initiates the escalation of supernatural events leading to Stephanie encountering ghostly manifestations in the apartment?,Stephanie and the Kitten Sense a Presence,"In the kitchen at night, Stephanie and her kitten react to an unseen presence, marking the first clear indication of supernatural activity in the apartment. This moment sets off a chain of increasingly intense hauntings, directly preceding apparitions such as Mrs. Ganush's shadow, physical attacks, and ghostly hands appearing in reflections.",Narrative Progression
17,en17793caa790647fcb4e8ee9221a2a43a,en,,"What turning point initiates the sequence of events leading directly to Stephanie and Ray's post-mortgage interaction, their meeting with Rham Jas, and Stephanie accepting Ray's trip proposal?",Stephanie and Ray Walk Past Shops Eating Ice Cream,"In the scene '15、EXT. VENTURA BLVD - LATER THAT NIGHT', Stephanie and Ray stroll together along Ventura Blvd, sharing ice cream in a rare moment of quiet connection. This seemingly minor outing marks a shift in their relationship dynamic, setting in motion a chain of decisions and encounters, including their discussion about the mortgage, the introduction of Rham Jas, and ultimately Stephanie agreeing to the trip before falling asleep. The event serves as a narrative hinge, transitioning the story from prior tensions into a new phase of emotional openness and shared plans.",Narrative Progression
18,en17793caa790647fcb4e8ee9221a2a43a,en,,"What pivotal event initiates the chain of confrontations involving Stephanie and Ray in the parking structure, including the aftermath of the attack and Mrs. Ganush's resurgence?",Stephanie Sees the Abandoned Chevy and Flees to Her Car,"The sequence leading to the escalating supernatural confrontation begins when Stephanie spots the abandoned Chevrolet, triggering her panicked flight to her own vehicle. This action directly sets in motion her return to the parking structure, where she reunites with Ray and recounts the assault, culminating in Mrs. Ganush's renewed attack following the car crash. [13、EXT. BANK OF CALIFORNIA - PARKING STRUCTURE - DAY]",Narrative Progression
19,en17793caa790647fcb4e8ee9221a2a43a,en,,What event immediately prior to Ray opening the drapes and mentioning the doctor's appointment establishes the emotional shift that allows the conversation to occur?,Stephanie reacts positively to Ray's trip proposal and finds emotional calm,"In the previous scene, Stephanie accepts Ray's trip proposal, expressing that the plan sounds nice. She takes a deep breath, visibly relaxes, and falls asleep in his bedroom, signaling a release of tension. This moment of calm sets the stage for the next morning, when Ray opens the drapes and brings up a doctor's appointment, introducing a return to underlying concerns within a now more stable emotional atmosphere.",Causal-Motivational Reasoning
20,en17793caa790647fcb4e8ee9221a2a43a,en,,"In [23、INT. STEPHANIE'S HOUSE - KITCHEN - NIGHT], what event immediately before the attack explains the onset of supernatural violence against Stephanie?",Kitten arches its back sensing a presence,"In the kitchen at night, the kitten suddenly reacts to an unseen presence, arching its back and hissing as the environment shifts—lights flicker, floorboards creak, and the air grows heavy. Stephanie freezes, sensing something approaching. This moment directly precedes the physical assault, where an invisible force strikes her and throws her across the room, marking the escalation from subtle disturbance to direct violence. [23、INT. STEPHANIE'S HOUSE - KITCHEN - NIGHT]",Causal-Motivational Reasoning
