id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,27、日.外.青石岭河边,在张牧之揭下面具后，他逼问师爷并任命其随行的目的是什么？,确立权威并组建班底,张牧之揭下面具直视师爷，通过逼问姓名掌握主动，随后宣布出任县长并当场任命师爷为幕僚。这一系列举动意在震慑对方，建立上下关系，为其赴任组建初步团队。,Character Understanding
2,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,27、日.外.青石岭河边,在张牧之将闹钟上弦时，他最想达成什么？,逼供藏钱真相,张牧之利用上弦闹钟制造心理压迫，迫使县太仓在时限内交代藏钱地点和买官内情，通过重复上弦强化威慑，目标是获取贪腐线索。,Character Understanding
3,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,45、日.内.艳阳楼,在小六子举碗示众时，他展示血粉的真实意图是什么？,揭穿分量造假,小六子举起装有血粉的碗向众人展示，意在通过公开验证粉量，暴露武举人所称‘大量血粉’的虚假性。众人围观议论后武举人仓促逃离，说明此举动摇了其 credibility，揭示小六子的核心动作为质疑并揭穿骗局。,Character Understanding
4,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,45、日.内.艳阳楼,在艳阳楼冲突中，张牧之拔枪指向老汤时，他内心最想实现什么？,逼问真相并主持正义,张牧之冲进艳阳楼试图阻止枪击，面对混乱局面，他持枪对准老汤要求解释，反映出他意图查明事实并掌控局势，实现他所坚持的公正。,Character Understanding
5,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,37、日.内.县衙大党,在张牧之持枪走向武举人后，众兄弟采取了什么关键动作使场面发生转折？,放开武举人,张牧之拿起枪走向武举人，此时众兄弟松手放人，这一动作标志着控制权从众人之手转移到张牧之个人意志的执行，为后续武举人被迫下跪、百姓反应等连锁行为拉开序幕，是该场景权力转换的起点。,Scene Grounding
6,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,28、日.外.青石岭旷野 ( 天际线一般的外景 ),在[28、日.外.青石岭旷野 ( 天际线一般的外景 )]这场戏中，张牧之通过什么关键动作展现他对未来仕途的设想？,表达对官职的留恋,张牧之在行进途中谈及将来要做县长、州长，强调改变山匪习气，并询问老汤当县长最要紧的是什么，引导出‘忍’这一为官之道，体现出他对官职的向往与规划。,Scene Grounding
7,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,27、日.外.青石岭河边,在[27、日.外.青石岭河边]这场戏中，张牧之通过哪个动作确立了与师爷之间的权力关系？,揭下麻将面具并要求师爷睁眼看他,张牧之摘下面具直视师爷，要求他睁眼，随后逼问其姓名并当场任命为幕僚。这一系列动作中，揭下面具是建立权威的起点，标志着他从神秘形象转为真实身份的施令者，从而定义了两人关系的开端。,Scene Grounding
8,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,50、日.内.县衙里屋; 47、日.外.碑城城墙,张牧之采取了什么关键行动，使众人后来在城墙前集体向六子墓碑鞠躬告别？,张牧之吹响口哨召集兄弟并宣布为六子复仇,张牧之在县衙里屋通过口哨召集兄弟，明确表达为六子复仇的意图，并组织队伍准备行动。这一举动凝聚了团队的意志，为后续在城墙前集体鞠躬、致敬六子的行为奠定了情感和行动基础。,Causal-Motivational Reasoning
9,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,31、日.外.县衙门口; 50、日.内.县衙里屋,张牧之的哪个关键举动为后续召集兄弟为六子复仇埋下了行动伏笔？,张牧之举起手指指向远方，做出决断姿态,该举动发生在县衙门口，张牧之收起简牍后以手指向远方，神情坚定，标志着他内心已做出重大决定。这一姿态虽未明言复仇，但通过动作和神态传递出决意行动的信号，成为后续召集兄弟、策划对抗黄四郎的起点。,Causal-Motivational Reasoning
10,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,27、日.外.青石岭河边; 33、夜.内.县衙县长房间 /县衙院内,在县衙房间内，夫人决定展示刑具并表露野心之前，张牧之的哪个举动直接促成了这一转折？,张牧之询问她的身份并表示失敬,张牧之在河边对县长夫人的身份表现出正式的尊重，这一态度引发夫人的回应与后续行动。她由此判断可与张牧之对话博弈，进而主动展示刑具并阐明自己的真实意图。该互动构成了动机上的触发点。,Causal-Motivational Reasoning
11,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,36、日.外.鹅城街道; 36、日.外.鹅城街道,在[36、日.外.鹅城街道]中，张牧之的哪个举动直接激化了武举人对孙守义的敌意，进而促成了壮汉与武举人联手击飞孙守义？,张牧之鼓掌并嘲讽武举人,张牧之现身时以鼓掌和言语嘲讽武举人，表现出轻蔑态度，引发武举人的情绪反应，使其在后续冲突中转向与壮汉共同针对孙守义，推动了暴力行为的发生。,Causal-Motivational Reasoning
12,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,27、日.外.青石岭河边; 44、日.外.县衙门口,到了张牧之与老汤赴讲茶大堂断案时，此前在青石岭河边已发生的那个标志性举动是什么？,张牧之抛掷闹钟并指挥兄弟们上任鹅城,在青石岭河边的场景中，张牧之通过抛掷闹钟并下令开枪击碎钟表，象征性地宣告启程赴任，这一行为发生在前往县衙断案之前，构成后续行动的起点。,Temporal Reasoning
13,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,8、日.外.青石崔; 31、日.外.县衙门口,在张牧之举起手指指向远方之前，已经发生了哪一关键发展？,张牧之连续射击山间目标,在张牧之做出指向远方的动作前，剧情已通过他在山间连续射击的行为展现其神枪手特质，该行为发生在前序场景中，为后续动作提供了叙事铺垫。,Temporal Reasoning
14,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,28、日.外.青石岭旷野 ( 天际线一般的外景 ); 180、日.外.黄家克楼外平地,从[28、日.外.青石岭旷野 ( 天际线一般的外景 )]到[180、日.外.黄家克楼外平地]，张牧之对老汤的角色定位发生了怎样的转变？,从指导者变为平等信赖的合作者,初期张牧之以师长身份教导老汤，寄予政治前途期望，并训诫其行事方式，体现上下关系；后期通过托人传话表达愧疚，显示出关系已演变为基于情感与信任的平行伙伴关系。,Role-Relation Continuity
15,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,10、日.外.青石崔; 181、日.外.县衙门外,从[10、日.外.青石崔]到[181、日.外.县衙门外]，张牧之和老三之间的合作模式如何延续？,始终是信任的伙伴，老三听从张牧之指挥并共同行动,从初期张牧之直接命令老三跟随行动，到后期老三称其为‘大哥’并郑重道别，两人始终保持信任与协作，关系稳定未发生转变。,Role-Relation Continuity
16,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,33、夜.内.县衙县长房间 /县衙院内; 181、日.外.县衙门外,从[33、夜.内.县衙县长房间 /县衙院内]到[181、日.外.县衙门外]，张牧之对黄四郎的敌对态度如何具体体现并延续？,从质疑权威的反抗对象转为直接面对并准备对抗的敌人,在县衙房间场景中，张牧之通过言语强烈质疑黄四郎的权威，表现出不满与对抗意图；后续多个场景显示其立场持续强化，至县衙门外场景时，双方已进入公开对峙，张牧之的回头反应与黄四郎举枪构成敌对关系的最终外化，表明敌意从言语反抗发展为正面冲突准备。,Role-Relation Continuity
