id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-12,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,10、10场日/内景 ; 119、119场傍晚/外景,从[10、10场日/内景]到[119、119场傍晚/外景]，高宇和韩如之间的关系发生了怎样的变化？,从亲密伴侣转变为因情感背叛而产生敌意的对立关系，高宇由情感依赖者变为被欺骗者，韩如则从亲密对象转为伤害来源。,关系演变基于多次亲密互动的累积与韩如提出维持关系导致高宇情绪崩溃的转折，体现从正向依附到负面疏离的连续性变化。,Role-Relation Continuity
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-13,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,26、26场夜/内景 ; 147、147场日/内景,从[26、26场夜/内景]到[147、147场日/内景]，高宇和陈明之间的关系发生了怎样的变化？,从敌对者转变为保持联系的家人,早期互动显示陈明因高宇受特殊对待而心生嫉妒，后期高宇提及陈明主动沟通缺席原因，表明关系已转为有情感维系的亲属联系。,Role-Relation Continuity
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-14,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,83、83场雨夜/内景 ; 144、144场日/内景,在[144、144场日/内景]中，宋清对郑安的态度与此前多次互动中的亲近表现形成怎样的反差？,从亲如一家的互敬互重转为公开斥责与拒绝,宋清此前在多个场景中以礼相待、言语安慰，并强调两家亲如一家，表现出对郑安的尊重与情感联结；但在144场后半段，她激烈指责郑安为‘杀千刀的郑安’并拒绝对方帮助，标志关系彻底破裂。,Role-Relation Continuity
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-27,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,33、33场夜/内景 ; 34、34场夜/内景,在“郑安与蔡开笑闹着搭肩离去”之前，前面先发生了什么关键情节？,蔡开饮酒后情绪放松并开始唱歌,在两人关系缓和的场景之前，蔡开在饮酒后展现出情绪上的松动，通过唱歌流露出真实情感，为后续二人互动回暖提供了行为和情绪上的前置转折点。,Temporal Reasoning
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-28,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,31、31场夜/外景 ; 32、32场夜/内景,“刘乐展示郑安的戒指”之后不久，紧接着发生了什么？,李海追着刘乐索要戒指,根据场景顺序，刘乐展示戒指的情节发生在31、31场夜/外景，紧接着在下一场景32、32场夜/内景中，李海开始追回被刘乐拿走的戒指。两场戏时间连续、人物行动连贯，构成直接的前后动作承接。,Temporal Reasoning
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-29,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,29、29场夜/内景 ; 30、30场夜/内景,“李海带刘乐去画画”之后不久，紧接着发生了什么？,李海画朱全副武装持锅铲的戒指，刘乐坐在他腿上看,根据场景时序，29场后紧接[30、30场夜/内景]，李海从带刘乐画画转为在家绘制朱以锅铲武装的戒指，动作连贯且场景未中断，体现日常生活的延续。,Temporal Reasoning
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-30,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,29、29场夜/内景 ; 31、31场夜/外景,在“刘乐执意送戒指给郑安”之前，刘乐先采取了什么关键行动？,刘乐请求李海带她去画画,在送戒指这一行动之前，剧情通过刘乐主动提出去画画展现了她创作戒指的起点，为后续赠送行为提供了动机和情节基础。该请求发生在前一场戏中，是通向赠送戒指的重要前置步骤。,Temporal Reasoning
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-32,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,33、33场夜/内景,在[33、33场夜/内景]中，郑安借烧菜感慨子女离家，他内心最深处的失落感源于什么？,他对子女成长离家感到存在性失落，如同菜肴被冷落,郑安：唉！这些孩子我一个个不了解，我也不想了解，养大了让她随着去吧，就像烧菜一样，菜上桌了，一点胃口都没有了！,Character Understanding
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-33,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,39、39场日/内景,在[39、39场日/内景]，当学生们争着要行动却没人真的动身时，陈明为什么决定亲自去捡回飞进教室的排球？,她看到学生争着举手但无人行动，选择亲自处理以维持课堂秩序,陈明：好，那我自己去。 全班同学全部举手。学生：老师我去，老师我去！,Character Understanding
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-34,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,21、21场傍晚/内景,在[21、21场傍晚/内景]中，高宇提出要搬出去住，她这个决定背后的现实考量是什么？,用朋友关系获得折扣投资房产并搬离家庭,高宇：我正好有一个朋友，认识那个营造商，说房子造得满实在的，价钱也给我很好的折扣，那个房子…… 高宇：大概还要几个月才能交屋吧，我差不多所有的钱都押到头款去了…… 高宇：那，等交屋我就搬出去啰！,Character Understanding
