id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,en71e5903530494ef792e87e8915c657c4,en,21、EXT. ALLEY OUTSIDE GOVERNOR YU'S COMPOUND - NIGHT,What does Bo seek by pursuing Tsai and May as they hurry away?,Confront them about their suspicious behavior,"Bo follows Tsai and May, who are quickly walking away. He calls out, questioning what they are doing. Tsai responds that they are street performers and were only rehearsing. May starts to speak but Tsai cuts her off. Without another word, Tsai and May break into a run. Bo calls after them, demanding to know where the thief has gone. He looks around and realizes he has entered Governor Yu's compound.",Character Understanding
2,en71e5903530494ef792e87e8915c657c4,en,47、EXT. TE'S STUDY - NIGHT,What does Li Mu Bai aim to do when the hooded figure appears in the moonlight?,Retrieve the stolen sword,"A hooded figure leaps into the moonlight, revealing the stolen sword. Li Mu Bai steps forward from the shadows and demands its return, positioning himself to reclaim it through confrontation.",Character Understanding
3,en71e5903530494ef792e87e8915c657c4,en,41、EXT. YELLOW HILL - NIGHT,What realization motivates Li's intervention when the Governess attacks Tsai?,Jade Fox killed his master,"As the Governess moved to deliver a killing blow to Tsai, Li Mu Bai descended from the treetops and blocked her attack. He overpowered her in combat and, standing over her with his sword raised, revealed her true identity as Jade Fox. He accused her of murdering his master and stealing the sacred martial arts secrets of Wudan, to which she admitted, claiming the master had scorned her for being a woman and thus deserved to die.",Character Understanding
4,en71e5903530494ef792e87e8915c657c4,en,17、EXT./INT. INSIDE AND OUTSIDE OF TE'S STUDY - NIGHT,What does Bo aim to do upon discovering the masked figure with the sword?,Stop the thief and alert others,"Bo enters the room and sees a masked figure wrapping a sword from an open case. He moves to intervene as the thief evades him, leaps into the courtyard, and flees across rooftops. Bo shouts that the sword has been stolen, points to the escaping figure, and begins pursuit as gongs sound and people emerge, including Yu Shu Lien.",Character Understanding
5,en71e5903530494ef792e87e8915c657c4,en,30、INT. BO'S ROOM - DAY,What action does Jen take immediately after learning of Yu Shu Lien's arrival?,Stops calligraphy practice,"Jen was practicing calligraphy when the maid announced Yu Shu Lien's visit. Upon hearing the news, Jen paused her writing and lifted her brush, marking a shift from routine to anticipation. The governess objected, warning of trouble, but Jen disregarded her and instructed the maid to admit the guest. As Yu entered, the governess exchanged a brief glance with her before leaving the room, allowing the private meeting to begin.",Scene Grounding
6,en71e5903530494ef792e87e8915c657c4,en,30、INT. BO'S ROOM - DAY,What occurs when Jen begins confiding in Yu about her arranged marriage?,Maid enters with tea,"During Jen's visit with Yu, the maid enters the room carrying tea and sets it before them, marking the moment Jen starts opening up about her feelings regarding the upcoming wedding. Jen invites Yu to drink, then goes on to express her detachment from the wedding preparations, revealing that the marriage is arranged to benefit her father's career through alliance with the powerful Gou family. She confesses her desire for personal freedom and the ability to choose her own love, framing it as true happiness.",Scene Grounding
7,en71e5903530494ef792e87e8915c657c4,en,41、EXT. YELLOW HILL - NIGHT,"What happens when the old woman reaches Tsai, Bo, and May on the hill?",Governess reveals her true identity,"Tsai, Bo, and May wait beneath an ancient tree as an old woman in a floppy hat struggles up the hill, leaning on a cane. Tsai demands she reveal herself. The woman throws off her disguise, unveiling her true identity as the Governess, declaring that Tsai will pay for his stubbornness. This revelation triggers immediate confrontation, with Bo challenging her, May vowing revenge for her mother’s death, and the Governess retaliating with insults and violence, leading to a fierce battle.",Scene Grounding
8,en71e5903530494ef792e87e8915c657c4,en,40、EXT. TE'S HALL - NIGHT; 41、EXT. YELLOW HILL - NIGHT,What motivates Li Mu Bai's confrontation with the Governess at Yellow Hill?,Li Mu Bai resolves to avenge his master's death,"After receiving a flyer implicating Jade Fox in the theft and possibly targeting Yu's residence, Li Mu Bai becomes convinced that his master's killer has returned. Though Yu warns him that the flyer may be a trap and emphasizes the need for discretion, Li declares his intent to finally avenge his master's death. This decision directly precedes his arrival at Yellow Hill, where he intervenes in the fight between Tsai and the Governess, reveals her true identity as Jade Fox, and confronts her for murdering his master and stealing Wudan's sacred martial arts secrets.",Causal-Motivational Reasoning
9,en71e5903530494ef792e87e8915c657c4,en,50、EXT. MONASTERY - NIGHT; 50、EXT. MONASTERY - NIGHT,What prompts the figure to reject Li's offer of instruction and flee the monastery?,Li questions the figure about Jade Fox's location,"In the abandoned monastery, Li confronts the figure and acknowledges her skill but insists she cannot master the Wudan Manual without proper guidance. When he shifts from teaching to demanding information about Jade Fox, the figure refuses to answer and prepares to attack. Li remains passive, emphasizing philosophical principles over combat. This interrogation disrupts the moment of potential mentorship, leading the figure to later spurn Li’s renewed offer to teach, declaring Wudan a betrayal before fleeing into the night.",Causal-Motivational Reasoning
10,en71e5903530494ef792e87e8915c657c4,en,50、EXT. MONASTERY - NIGHT; 50、EXT. MONASTERY - NIGHT,What action by Li directly prompts the figure to reject his offer of training and flee?,Li holds stick to figure's mask and gently lifts it,"After disarming the figure’s aggressive attacks with a branch, Li gently presses the stick against her mask and lifts it slightly, revealing her face in the moonlight. He tells her he believes in her inherent goodness, that she was never corrupted by Jade Fox, and offers to teach her the sacred Wudan traditions at great personal risk. The figure, overwhelmed, spins away and shouts that Wudan is a whorehouse before fleeing into the night, rejecting his offer outright.",Causal-Motivational Reasoning
