id,related_scenes,question,answer,related_context,question_type,question_source
1,42、INT. JERRY'S DELI - NIGHT,Why does Andy refuse to return to ABC?,To have his own Special and avoid their deceptive practices.,The ONLY reason I did Taxi was so I could have my own Special!,Causal-Motivational Reasoning,broad_coverage_scene
2,44、INT. COLLEGE AUDITORIUM - SAME TIME,What causes Andy to scowl and leave the stage?,The audience's repeated shouting of 'LATKA!' disrupts his control over the event.,"ANDY Uh, we'll play with puppets -- DRUNKS IN UNISON LATKA! LATTTTKAAAA!!! Andy scowls. Then -- he loses it.",Causal-Motivational Reasoning,broad_coverage_scene
3,"38、INT. ""KAUFMAN SPECIAL"" SET, TECH BOOTH - SAME TIME",What was the purpose of Andy's plan to make the picture roll?,To create a practical joke by making viewers think their TV is broken.,"It'll be great. The viewer will think their TV is broken. They'll get out of their chair, they'll twist the knobs, they'll hit the TV, but they won't be able to fix it!",Causal-Motivational Reasoning,broad_coverage_scene
4,19、INT. SNL SET - NIGHT,What does Stanley claim about the TV broadcast?,What's the difference? This thing's on in the middle of the night -- no one's even gonna see it.,STANLEY What's the difference? This thing's on in the middle of the night -- no one's even gonna see it.,Character Understanding,broad_coverage_scene
5,37、INT. MAYNARD SMITH'S OFFICE - LA - DAY,Why does Maynard threaten to sue?,Travolta signed a contract making him a Sweathog for life,"I don't care! Travolta signed a contract, he's a Sweathog for life!... Oh yeah? Just try to sue us.",Causal-Motivational Reasoning,broad_coverage_scene
6,37、INT. MAYNARD SMITH'S OFFICE - LA - DAY,Why is Maynard baffled?,The Kaufman Special isn't following technical requirements,They say he's not following the... technical requirements.,Causal-Motivational Reasoning,broad_coverage_scene
7,"36、INT. TAXI SET, BACKSTAGE - DAY","What is the purpose of building credibility with the audience, according to Zmuda?",To later manipulate their perceptions.,"ZMUDA: 'You make them love you... and then later, on your special, you'll screw with their heads!'",Causal-Motivational Reasoning,broad_coverage_scene
8,"18、INT. MEDITATION INSTITUTE UNIVERSITY, CLASSROOM - DAY","In [18、INT. MEDITATION INSTITUTE UNIVERSITY, CLASSROOM - DAY], What is Andy's emotional state after the Yogi's praise?",He smiles beatifically.,Andy smiles beatifically. This means a lot.,Character Understanding,broad_coverage_scene
9,"33、INT. TAXI SET, BACKSTAGE - DAY",Why is Judd surprised?,Because Andy arrived and is locked in his dressing room.,"MARILU HENNER No, I hear Andy arrived. Rumor is he's locked inside his dressing room. Judd is surprised.",Causal-Motivational Reasoning,broad_coverage_scene
10,35、INT. TAXI SET - LATER THAT DAY,Why does the applause grow louder?,Because of the montage of Andy's best Latka moments.,"In quick succession, a series of Andy's best Latka moments. The applause grows louder, louder, LOUDER...",Causal-Motivational Reasoning,broad_coverage_scene
11,"28、INT. MAMA ROMA'S, KITCHEN - LATER THAT NIGHT",What does Andy say about the situation when George confronts him?,It's good old-fashioned entertainment. Everyone loves a villain.,ANDY (in jolly spirits) It's good old-fashioned entertainment. Everyone loves a villain.,Character Understanding,broad_coverage_scene
12,29、INT. ABC CONFERENCE ROOM - LA - DAY,What does George claim about Andy and Tony?,George claims Andy and Tony are the same person.,GEORGE: 'Andy is Tony. And Tony is Andy!... they're the same person!',Character Understanding,broad_coverage_scene
13,29、INT. ABC CONFERENCE ROOM - LA - DAY,What belief does George express about the situation?,George believes it's smart business to have two Andy Kaufmans.,GEORGE: 'It's smart business! You'll get two Andy Kaufmans for the price of one!',Character Understanding,broad_coverage_scene
