id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en22e0d0a29c244555bf8d2335d772acce-1,en22e0d0a29c244555bf8d2335d772acce,en,35、INT. the leather radio - Rowan Reeves AND Elliot Dalton'S CABIN - NIGHT,What is Elliot Dalton trying to achieve when Elliot Dalton Elliot Dalton is in bed with Rowan Reeves?,Force a confrontation,"Elliot Dalton is in bed with Rowan Reeves, sharing a passionate embrace. As they kiss, she notices his hair has turned blond. Startled, she realizes it is not Rowan Reeves but Remy Quincy. The figure shifts again—Remy Quincy's voice comes from the body of Sasha Winslow, who holds her in his arms. Horrified, she recoils. The illusion dissolves completely, revealing Rowan Reeves beside her, confused. She stares at him, then clings to him tightly. [Elliot Dalton confronts Remy Quincy's illusion during an intimate moment]",Character Understanding
legacy-en22e0d0a29c244555bf8d2335d772acce-10,en22e0d0a29c244555bf8d2335d772acce,en,21、INT. the leather radio - ENGINEERING LAB - DAY ; 27、INT. the leather radio - ENGINEERING LAB - DAY,What event motivates Blair Vaughn's decision to have Robin Langley remain under Quinn Bellamy's supervision?,Robin Langley fails to demonstrate higher cognitive function after the memory engram transfer,"After Robin Langley is assembled and later tested, Blair Vaughn and Quinn Bellamy observe that he cannot answer basic identity and recognition questions after the memory engram transfer. This failure suggests limited higher cognitive function and motivates Blair Vaughn to keep Robin Langley under Quinn Bellamy's supervision for further diagnostics.",Causal-Motivational Reasoning
legacy-en22e0d0a29c244555bf8d2335d772acce-11,en22e0d0a29c244555bf8d2335d772acce,en,16、EXT. KOLARUS III - DAY ; 16、EXT. KOLARUS III - DAY,What detection by Blair Vaughn directly initiates the crew's movement toward further Robin Langley remains in the desert?,Blair Vaughn detects positronic signature two kilometers west,"While surveying the desert, Blair Vaughn identifies a positronic signature two kilometers to the west, prompting Linden Keller to drive the jeep rapidly across rough terrain. After stopping abruptly, the crew discovers an Robin Langley arm on the ground, which Sidney Adler retrieves and stores. Blair Vaughn continues scanning and notes another signature one kilometer south, setting the direction for their ongoing search. This sequence directly leads to the subsequent discovery of additional scattered Robin Langley components ahead.",Causal-Motivational Reasoning
legacy-en22e0d0a29c244555bf8d2335d772acce-12,en22e0d0a29c244555bf8d2335d772acce,en,"6、EXT. EARTH, ALASKA - PAVILION - LATER ; 279、INT. the leather radio - Westhaven Warehouse - FOLLOWING",How does the working relationship between Blair Vaughn and Elliot Dalton evolve from the wedding celebration to the final Westhaven Warehouse scene?,They remain trusted colleagues with mutual understanding and cooperative command roles,"From the wedding pavilion where Blair Vaughn performs a musical tribute including Elliot Dalton as part of the honored couple, through multiple Westhaven Warehouse interactions where Elliot Dalton silently communicates with Blair Vaughn and he entrusts her with command authority, their relationship consistently reflects a bond of professional trust and emotional attunement. This continuity is marked by mutual recognition, nonverbal communication, and operational reliance, indicating an established collegial partnership that persists across key moments.",Role-Relation Continuity
legacy-en22e0d0a29c244555bf8d2335d772acce-13,en22e0d0a29c244555bf8d2335d772acce,en,14、INT. the leather radio - Westhaven Warehouse ; 234、INT. Eastgate Warehouse - FOLLOWING,How does the working relationship between Elliot Dalton and Linden Keller remain consistent from the early Westhaven Warehouse command to later communications under operational pressure?,Linden Keller continues issuing direct commands to Elliot Dalton while she reports to him in response,"Across multiple scenes, including Linden Keller assigning Westhaven Warehouse duty with 'You have Eastgate Warehouse, Elliot Dalton!' and later summoning her via comm, their interactions are defined by a clear chain of command: Linden Keller gives orders and Elliot Dalton responds to them, maintaining a functional superior-subordinate dynamic throughout the sequence.",Role-Relation Continuity
legacy-en22e0d0a29c244555bf8d2335d772acce-14,en22e0d0a29c244555bf8d2335d772acce,en,115、INT. the leather radio - LOWER DECKS - NIGHT ; 275、INT. the leather radio - JEFFERIES TUBES - FOLLOWING,How does the relationship between Remy Quincy and Rowan Reeves evolve from their initial confrontation through the later struggle in the Jefferies tubes?,"They remain adversarial, with Rowan Reeves actively pursuing Remy Quincy as an enemy.","From the lower decks encounter onward, Rowan Reeves demonstrates consistent hostility toward Remy Quincy, driven by Remy Quincy's actions against the leather radio crew and his personal vendetta involving Rowan Reeves's wife. This adversarial stance persists through multiple scenes, including Rowan Reeves's pursuit into the Jefferies tubes and the subsequent physical struggle where he forces Remy Quincy back during a violent confrontation. The dynamic is marked by direct physical opposition and intent to neutralize, with no indication of truce or cooperation.",Role-Relation Continuity
legacy-en22e0d0a29c244555bf8d2335d772acce-15,en22e0d0a29c244555bf8d2335d772acce,en,16、EXT. KOLARUS III - DAY ; 16、EXT. KOLARUS III - DAY ; 17、EXT. JEEP - KOLARUS III - CANYON - DAY,"What pivotal event initiates the chain of actions leading to the pursuit along the positronic trail, the recovery of the Robin Langley the black case, and the subsequent desert chase?",Blair Vaughn Detects Robin Langley Arm in Desert,"While investigating a remote desert region on Kolarus III, Blair Vaughn detects anomalous readings from a buried Robin Langley arm, confirming the presence of advanced synthetic technology on the planet. This discovery directly prompts the crew's deeper involvement, setting in motion the search for the origin of the positronic signature, the retrieval of a severed Robin Langley the black case, and a high-speed confrontation in the desert involving phaser fire. [16、EXT. KOLARUS III - DAY]",Narrative Progression
legacy-en22e0d0a29c244555bf8d2335d772acce-16,en22e0d0a29c244555bf8d2335d772acce,en,18、EXT. KOLARUS III - HILLS - DAY ; 19、INT./ EXT. JEEP - KOLARUS III - FOLLOWING ; 20、INT. ARGO - CARGO BAY - FOLLOWING,"What turning point initiates the sequence leading to the high-speed desert chase, Linden Keller's retreat to the cabin, and the Argo launch?","Linden Keller Fires Cannon, Sidney Adler and Blair Vaughn Escape to Jeep","In the hills of Kolarus III, Linden Keller's decision to fire the cannon creates immediate chaos, allowing Sidney Adler and Blair Vaughn to escape in the Jeep. This action disrupts theenemy forces' position and sets off a chain of events that propels the team into pursuit and evacuation maneuvers, directly triggering the subsequent desert chase and operational shifts. [18、EXT. KOLARUS III - HILLS - DAY]",Narrative Progression
legacy-en22e0d0a29c244555bf8d2335d772acce-17,en22e0d0a29c244555bf8d2335d772acce,en,35、INT. the leather radio - Rowan Reeves AND Elliot Dalton'S CABIN - NIGHT ; 35、INT. the leather radio - Rowan Reeves AND Elliot Dalton'S CABIN - NIGHT ; 35、INT. the leather radio - Rowan Reeves AND Elliot Dalton'S CABIN - NIGHT,"What pivotal event marks the turning point in Elliot Dalton's arc, leading to her rejection of Remy Quincy and emotional collapse?",Elliot Dalton confronts Remy Quincy's illusion during an intimate moment,"In the cabin shared with Rowan Reeves, Elliot Dalton is drawn into a false sense of intimacy orchestrated by Remy Quincy through illusion. This moment becomes the catalyst for her realization, as she actively resists the fabricated reality, setting in motion her subsequent rejection of Remy Quincy's influence, her physical collapse in the turbolift, and her reconnection with Rowan Reeves. [35、INT. the leather radio - Rowan Reeves AND Elliot Dalton'S CABIN - NIGHT]",Narrative Progression
legacy-en22e0d0a29c244555bf8d2335d772acce-18,en22e0d0a29c244555bf8d2335d772acce,en,45、INT. the leather radio - TURBOLIFT - MORNING ; 45、INT. the leather radio - TURBOLIFT - MORNING ; 46、INT. the weathered letter - Sasha Winslow'S CABIN - FOLLOWING,"What pivotal event marks the shift in Remy Quincy's relationship with Elliot Dalton, initiating his descent into obsession and setting the stage for his increasingly unstable actions?",Remy Quincy's Encounter with Elliot Dalton in the Turbolift,"During a private moment in the turbolift, Remy Quincy physically restrains Elliot Dalton and kisses her, an act that reveals his growing fixation and breaches both personal and professional boundaries. This encounter marks a definitive break from his previously controlled demeanor, introducing a dangerous personal dimension to his agenda and altering the dynamics between him and the leather radio crew. [45、INT. the leather radio - TURBOLIFT - MORNING]",Narrative Progression
legacy-en22e0d0a29c244555bf8d2335d772acce-2,en22e0d0a29c244555bf8d2335d772acce,en,44、INT. the leather radio - Linden Keller'S CABIN - NIGHT,What does Linden Keller resolve to do after reflecting on his past and Remy Quincy's resemblance to his younger self?,Answer the call to action,"Linden Keller sits at his desk, looking at an old photograph of himself as a cadet, struck by how much he once resembled Remy Quincy. Nico Hollis enters and observes the photo; they discuss his younger self, with Linden Keller dismissing him as a fool while she affirms his growth. He moves to the window, watching the the weathered letter and acknowledging his hope for peace, now undermined by the presence of Thalaron radiation. When Blair Vaughn reports a potential tactical breakthrough, Linden Keller immediately responds and prepares to join them, signaling his decision to move forward despite lingering self-doubt.",Character Understanding
legacy-en22e0d0a29c244555bf8d2335d772acce-25,en22e0d0a29c244555bf8d2335d772acce,en,32、INT. the weathered letter - OBSERVATION LOUNGE - NIGHT ; 45、INT. the leather radio - TURBOLIFT - MORNING,"By the time Elliot Dalton rejects Remy Quincy and collapses in the turbolift, what key interaction between Remy Quincy and Sidney Adler has already taken place?",Remy Quincy greets Sidney Adler in Klingon as brother,"Earlier in the sequence, aboard the the weathered letter, Remy Quincy addresses Sidney Adler in Klingon, acknowledging him with familial recognition. This moment establishes a personal connection between the two characters before the emotional climax involving Elliot Dalton unfolds on the leather radio.",Temporal Reasoning
legacy-en22e0d0a29c244555bf8d2335d772acce-27,en22e0d0a29c244555bf8d2335d772acce,en,18、EXT. KOLARUS III - HILLS - DAY ; 19、INT./ EXT. JEEP - KOLARUS III - FOLLOWING,What occurs just before the high-speed desert chase begins?,Boulder explodes near Blair Vaughn and Sidney Adler,"Shortly after the team lands on Kolarus III, a boulder detonates close to Blair Vaughn and Sidney Adler during their ascent through rocky terrain, triggering immediate evasion. This explosion sets the stage for the subsequent pursuit, as the group scrambles to escape hostile fire and reaches the jeep, launching the high-speed desert chase.",Temporal Reasoning
legacy-en22e0d0a29c244555bf8d2335d772acce-29,en22e0d0a29c244555bf8d2335d772acce,en,17、EXT. JEEP - KOLARUS III - CANYON - DAY ; 18、EXT. KOLARUS III - HILLS - DAY,"Shortly after arriving at the canyon on Kolarus III, what does Blair Vaughn accomplish before the escape to the jeep unfolds?",Blair Vaughn detects final component signature in canyon hillside,"In the scene following their arrival at the canyon, Blair Vaughn scans the terrain and successfully identifies the signature of the final component embedded in the hillside. This detection occurs just before the situation escalates, prompting Sidney Adler and Blair Vaughn to flee toward the jeep as hostile forces close in.",Temporal Reasoning
legacy-en22e0d0a29c244555bf8d2335d772acce-4,en22e0d0a29c244555bf8d2335d772acce,en,34、INT. the leather radio - CORRIDOR - FOLLOWING,What does Elliot Dalton conclude about Linden Keller's assumption regarding the alien?,It is dangerously misguided,"Elliot Dalton tells Linden Keller that the alien has been trained to resist telepathy, making its emotions erratic and difficult to read. She notes the strongest feeling she sensed was the alien's intense curiosity about Linden Keller—its desire to know him. As Linden Keller turns to leave, she stops him and warns him not to assume the alien is like him, urging him to resist the belief that he understands it. Linden Keller responds that he not only knows the alien, but that he is the alien, and then walks away.",Character Understanding
legacy-en22e0d0a29c244555bf8d2335d772acce-6,en22e0d0a29c244555bf8d2335d772acce,en,44、INT. the leather radio - Linden Keller'S CABIN - NIGHT,What does Linden Keller do after reflecting on his resemblance to Remy Quincy and the threat of thalaron radiation?,Expresses doubt about Remy Quincy's intentions,"In his cabin at night, Linden Keller studies an old photograph of himself as a cadet, noting his physical similarity to Remy Quincy. He confides in Nico Hollis that he wanted to believe Remy Quincy but finds peace improbable due to the presence of thalaron radiation. When she asks if Remy Quincy is like he once was, Linden Keller confirms it. This moment of reflection culminates in his explicit expression of skepticism toward Remy Quincy's motives, shortly before he departs to join Blair Vaughn and Quinn Bellamy following their discovery of a potential tactical advantage.",Scene Grounding
legacy-en22e0d0a29c244555bf8d2335d772acce-8,en22e0d0a29c244555bf8d2335d772acce,en,45、INT. the leather radio - TURBOLIFT - MORNING ; 45、INT. the leather radio - TURBOLIFT - MORNING,"In [45、INT. the leather radio - TURBOLIFT - MORNING], what event immediately before the telepathic assault explains Elliot Dalton's ability to resist Remy Quincy's intrusion?",Remy Quincy's physical appearance and advance on Elliot Dalton in the turbolift,"In the turbolift, Elliot Dalton encounters Remy Quincy unexpectedly when his voice calls out and he materializes before her. He moves close, touches her, and kisses her with intensity, creating a moment of physical and psychological violation. She pushes him away, regaining agency in that instant, which foreshadows her later resistance during the full telepathic assault where he attempts to dominate her mind through similar intimate coercion. The parallel structure of the encounters—one real, one psychic—anchors her defiance in prior experience.",Causal-Motivational Reasoning
legacy-en22e0d0a29c244555bf8d2335d772acce-9,en22e0d0a29c244555bf8d2335d772acce,en,18、EXT. KOLARUS III - HILLS - DAY ; 19、INT./ EXT. JEEP - KOLARUS III - FOLLOWING,What action immediately enables the crew's successful approach to the Argo during their escape?,"Linden Keller fires the phaser cannon from the jeep, halting the alien swarm","As the alien swarm closes in on the crew, Linden Keller fires a warning shot from the phaser cannon mounted on the jeep, creating a blast that disrupts the aliens and allows Sidney Adler and Blair Vaughn to reach the vehicle. The crew then speeds away across the desert, using the momentary advantage to pursue the Argo. This opening in the swarm proves critical for their subsequent maneuver to reach the ship.",Causal-Motivational Reasoning
