id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enf689530f4ca245d28318dd0fdb24c50d-10,enf689530f4ca245d28318dd0fdb24c50d,en,"24、EXT. THE BACK OF AN OLD NEW ORLEANS HOUSE - NIGHT, ; 25、INT. THE NOLAN HOUSE, NEW ORLEANS - NIGHT,",What motivates Queenie to hide the baby under the stairs?,Tizzy expresses concern about harming the baby,"After accidentally stepping on the baby and recoiling in shock, Tizzy voices worry that he may have injured it and suggests leaving the infant for the police. Queenie, in contrast, picks up the crying child and carries it into the house, with Tizzy following hesitantly. His visible anxiety and discomfort signal a threat to the baby’s safety, creating pressure to conceal it quickly once inside. This leads Queenie to hide the baby in a small room beneath the stairs when she hears someone calling for her.",Causal-Motivational Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-11,enf689530f4ca245d28318dd0fdb24c50d,en,"24、EXT. THE BACK OF AN OLD NEW ORLEANS HOUSE - NIGHT, ; 24、EXT. THE BACK OF AN OLD NEW ORLEANS HOUSE - NIGHT,",What action directly prompts Queenie to take the baby inside?,Thomas leaves his baby on the back porch,"Thomas arrives at an old three-story house with a screened porch, the sound of voices and laughter spilling from inside. The baby, calmed by the soft yellow light and the murmur of conversation, stops crying. Thomas sets the infant down on the back porch steps, then takes out all the money he has and tucks it into the blanket. He knocks on the weathered screen door and, without waiting, turns and walks away, leaving the baby behind. Shortly after, Tizzy steps on the baby and stumbles back in shock, initially suggesting they call the police. Queenie, observing the child wrapped in the blanket, remarks that no one wanted to keep it, then silently picks up the crying infant and carries it into the house.",Causal-Motivational Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-12,enf689530f4ca245d28318dd0fdb24c50d,en,"20、INT. MASTER BEDROOM, BUTTON HOUSE - NIGHT ; 20、INT. MASTER BEDROOM, BUTTON HOUSE - NIGHT",What event immediately precipitates Thomas Button's prolonged kneeling beside his wife's body in the silent aftermath of her passing?,Doctor informs Thomas Button of his wife's critical condition,"In the master bedroom late at night, Thomas Button arrives to find his wife pale and struggling, surrounded by the doctor and household staff. The doctor tells him she will not survive, and moments later, she dies in his arms. After her death, the room falls into solemn stillness as the priest begins to pray and the maids weep. Thomas remains on his knees, gripping her hand, immobilized by the weight of her final moments and his own helplessness, as the doctor covers her body and the reality of her absence settles in.",Causal-Motivational Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-13,enf689530f4ca245d28318dd0fdb24c50d,en,"11、INT. THE NEW TRAIN STATION, NEW ORLEANS - DAY, ; 12、EXT. BATTLEFIELD - DAY,",What event directly enables the reversal of death and destruction on the battlefield?,Crowd realizes the clock is moving backwards in time,"During the unveiling of the clock at the New Orleans train station, Mr. Cake reveals the timepiece and winds it, causing the second hand to move counterclockwise. As the crowd reacts with shock, Monsieur Gateau explains that he designed it this way with the hope that soldiers lost in the war could return to life and go home, establishing the mechanism and intent behind the temporal reversal that later manifests on the battlefield.",Causal-Motivational Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-15,enf689530f4ca245d28318dd0fdb24c50d,en,"28、INT. QUEENIE'S ROOM - THAT NIGHT, ; 29、INT. PARLOR, NOLAN HOUSE - THAT NIGHT, ; 29、INT. PARLOR, NOLAN HOUSE - THAT NIGHT,",What pivotal event shifts the narrative toward the confrontation with the elders and the decision about the child's fate?,Queenie Reveals the Baby's Origin and Pleads for His Stay,"In the aftermath of Benjamin's arrival, tension builds around his place within the community. Queenie's private reckoning culminates in a decisive moment where she discloses the child's mysterious origins and makes an impassioned appeal for his acceptance, directly precipitating the subsequent gathering in which the elders are presented with the reality of his presence and must respond. This disclosure serves as the narrative hinge that activates the next sequence of communal deliberation and emotional confrontation. [28、INT. QUEENIE'S ROOM - THAT NIGHT,]",Narrative Progression
legacy-enf689530f4ca245d28318dd0fdb24c50d-16,enf689530f4ca245d28318dd0fdb24c50d,en,"29、INT. PARLOR, NOLAN HOUSE - THAT NIGHT, ; 29、INT. PARLOR, NOLAN HOUSE - THAT NIGHT, ; 35、INT. QUEENIE'S ROOM - NIGHT,","What pivotal event sets in motion the interactions between Benjamin and the elders, leading to their growing connection and tension over his desires?",Queenie Presents Benjamin to the Old People,"In the parlor of the Nolan House that night, Queenie formally introduces Benjamin to the elderly residents, marking his first meaningful integration into their world. This moment shifts the narrative trajectory by establishing the dynamics between Benjamin and the group, directly enabling subsequent scenes of bonding, conflict, and emotional restraint as Benjamin begins to assert his independence.",Narrative Progression
legacy-enf689530f4ca245d28318dd0fdb24c50d-17,enf689530f4ca245d28318dd0fdb24c50d,en,"24、EXT. THE BACK OF AN OLD NEW ORLEANS HOUSE - NIGHT, ; 25、INT. THE NOLAN HOUSE, NEW ORLEANS - NIGHT, ; 29、INT. PARLOR, NOLAN HOUSE - THAT NIGHT,",What event sets in motion the chain of revelations involving the baby's presence and the group's reaction to Benjamin?,Tizzy and Queenie Find the Baby on the Porch,"The discovery of the baby on the porch by Tizzy and Queenie initiates a series of consequential actions, leading directly to Queenie hiding the infant, introducing Benjamin to the group, and Tizzy observing the interaction with growing skepticism. This moment disrupts the existing domestic equilibrium and introduces the central tension around the child’s origin and place within the household. [24、EXT. THE BACK OF AN OLD NEW ORLEANS HOUSE - NIGHT]",Narrative Progression
legacy-enf689530f4ca245d28318dd0fdb24c50d-25,enf689530f4ca245d28318dd0fdb24c50d,en,"17、INT. HOSPITAL ROOM, NEW ORLEANS - MORNING, PRESENT ; 31、INT. THE HOSPITAL ROOM, NEW ORLEANS - DAY, PRESENT","By the time Caroline examines the journal, what has she already done that sets the moment in motion?",Retrieved an old envelope from Daisy's suitcase,"In the hospital room, Caroline retrieves an old envelope from Daisy's suitcase before sitting down to examine the journal's contents. This action precedes her deeper engagement with the journal and provides the physical catalyst for the subsequent scene of reflection and discovery.",Temporal Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-26,enf689530f4ca245d28318dd0fdb24c50d,en,"26、INT. QUEENIE'S ROOM, OLD HOUSE, NEW ORLEANS - NIGHT ; 28、INT. QUEENIE'S ROOM - THAT NIGHT,","By the time Queenie and Doctor Rose argue over the baby's future, what has already occurred?",Dr. Rose arrives for his visit,"Dr. Rose's arrival is established in an earlier scene at Queenie's room in the old house, where his presence initiates the chain of interactions leading to their confrontation about the baby. The argument unfolds later that same night, building directly on the circumstances set in motion by his arrival.",Temporal Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-27,enf689530f4ca245d28318dd0fdb24c50d,en,"6、EXT. OLD TRAIN STATION, NEW ORLEANS - DAY, ; 7、INT. WORKSHOP BELOW THE CLOCKMAKER'S HOME - NIGHT,",Which scene immediately precedes the one where Mr. Gateau learns of his son's death?,"6、EXT. OLD TRAIN STATION, NEW ORLEANS - DAY,","The scene in which Mr. Gateau waves goodbye to his son occurs directly before the scene where he learns of his son's death, with no intervening scenes between them.",Temporal Reasoning
