id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-10,enf1d20cc82ed548c5b2aac849e53e68f6,en,21、INT. GRANT BEDROOM - MORNING ; 21、INT. GRANT BEDROOM - MORNING,What action by Grant directly initiates the intimate physical contact that unfolds in the bedroom scene?,Grant initiates a slow dance with Starla,"In a dimly lit bedroom illuminated by candles, Grant calls Starla 'sugarplum' and draws her into a slow dance, embracing her and expressing remorse for his past behavior. As the dance deepens their connection, he kisses her tenderly, gradually guiding her onto the bed and beginning an intimate physical encounter. During this moment, Starla notices a discolored wound on his abdomen, but Grant dismisses it, continuing to caress and kiss her as the scene progresses into sustained physical affection.",Causal-Motivational Reasoning
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-11,enf1d20cc82ed548c5b2aac849e53e68f6,en,40、INT. WHEELSY SADDLE LODGE - NIGHT ; 21、INT. GRANT BEDROOM - MORNING,What prompts Grant's vulnerable and apologetic behavior during the slow dance with Starla?,Starla expresses concern about Grant's recent behavior,"At the lodge, after Grant walks off to join his friends, Starla confides in Janene that he has been acting strangely over the past few days. Standing amid the dim light and distant music, her worry is palpable as she observes him from afar. This moment of quiet unease precedes the intimate scene in which Grant seeks reconciliation through a tender, emotionally charged dance, responding to her unspoken distress with remorse and affection.",Causal-Motivational Reasoning
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-13,enf1d20cc82ed548c5b2aac849e53e68f6,en,21、INT. GRANT BEDROOM - MORNING ; 38、INT. GRANT BEDROOM - NIGHT,What physical interaction first reveals the anomaly on Grant's body that later becomes central to his encounter with Starla?,Starla touches Grant's back and stomach,"In the morning, as Grant and Starla share an intimate moment, she runs her hand over his back and down to his stomach, where her touch pauses at a strange mark—a yellowish wound surrounded by dark veins. Startled, she pulls back slightly, but Grant covers it quickly, dismissing it as a bug bite. Though the moment passes, the unspoken tension lingers, accompanied by a faint humming. Later that night, as Starla sits on the edge of the bed, Grant approaches her, and the same area on his stomach begins to move, revealing a writhing tubule that extends toward her, marking the return of the anomaly she first noticed earlier.",Causal-Motivational Reasoning
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-14,enf1d20cc82ed548c5b2aac849e53e68f6,en,115、EXT. STRUTEMYERS' RANCH - NIGHT ; 149、EXT. HOUSE ACROSS FROM THE GRANT HOME - NIGHT,How does the relationship between Bill and the diseased townsfolk evolve from their initial confrontation to later scenes?,the diseased townsfolk continue to pursue Bill as an enemy,"From the attack at Strutemyers' Ranch, where the diseased townsfolk smash Bill's vehicle and physically assault him, through later moments when Bill actively avoids being seen across from the Grant home, the relationship remains defined by hostility, with the townsfolk consistently acting as aggressors and Bill responding with evasion and caution.",Role-Relation Continuity
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-15,enf1d20cc82ed548c5b2aac849e53e68f6,en,38、INT. GRANT BEDROOM - NIGHT ; 38、INT. GRANT BEDROOM - NIGHT ; 30、INT. GRANT FOYER - MOMENTS LATER,What pivotal event shifts the narrative toward Grant's unsettling advance and Starla's subsequent withdrawal and reunion with Janene?,Starla Confronts Grant About His Strange Behavior,"In the bedroom late at night, Starla challenges Grant over his increasingly erratic and off-putting demeanor, prompting a tense exchange that sets off his unpredictable actions and her emotional retreat, directly precipitating his approach, her disturbance, and her eventual reconnection with Janene at the party. [38、INT. GRANT BEDROOM - NIGHT]",Narrative Progression
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-17,enf1d20cc82ed548c5b2aac849e53e68f6,en,11、INT. GRANT DINING ROOM - NIGHT ; 12、INT. GRANT MASTER BATHROOM - LATER ; 11、INT. GRANT DINING ROOM - NIGHT,What pivotal event disrupts the dinner and sets in motion Starla's emotional withdrawal?,Grant Reacts to Hank's Phone Call During Dinner,"During the dinner, a phone call from Hank interrupts the evening, prompting a marked shift in Grant's demeanor. His reaction to the call introduces tension that alters the atmosphere, directly leading to Starla's discomfort and her subsequent retreat upstairs after a disturbing remark. This moment destabilizes the evening’s dynamics and initiates a chain of emotional consequences. [11、INT. GRANT DINING ROOM - NIGHT]",Narrative Progression
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-18,enf1d20cc82ed548c5b2aac849e53e68f6,en,39、EXT. WHEELSY SADDLE LODGE - LATER ; 30、INT. GRANT FOYER - MOMENTS LATER ; 11、INT. GRANT DINING ROOM - NIGHT,"What event sets in motion the sequence leading to Starla retreating upstairs, sharing a tense dinner with Grant, and reuniting with Janene at the party?",Grant and Starla arrive at Deer Cheer '05,"The arrival of Grant and Starla at Deer Cheer '05 initiates a chain of escalating tensions and encounters. Their presence at the lodge introduces a charged atmosphere that culminates in a disturbing remark, an uneasy dinner, and Starla’s emotional reunion with Janene later that evening. This gathering serves as the catalyst for the key developments in the unfolding narrative. [39、EXT. WHEELSY SADDLE LODGE - LATER]",Narrative Progression
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-2,enf1d20cc82ed548c5b2aac849e53e68f6,en,30、INT. GRANT FOYER - MOMENTS LATER,What does Starla infer about Grant's true intentions when she sees the new lock on the garage door?,He is hiding something dangerous and views her as prey.,"Starla notices the shiny new lock on the garage door and becomes suspicious, especially when Grant appears in shadow and gives an unconvincing explanation about a birthday present. His affectionate 'princess' remark contrasts with his muttered 'You're meat,' which he quickly dismisses. Her hesitation and unease stem from recognizing the threat behind his performative care, indicating she perceives him not as a protector but as a predator.",Character Understanding
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-25,enf1d20cc82ed548c5b2aac849e53e68f6,en,14、INT. HENENLOTTER'S SPORTS BAR - LATER ; 42、EXT. SADDLE LODGE PLAYGROUND - NIGHT,"By the time Grant approaches Brenda at the playground, what has already taken place between them?",Grant notices Brenda Gutierrez staring at him,"Earlier in the narrative, during a scene at Henenlotter's Sports Bar, Grant becomes aware that Brenda Gutierrez is watching him intently. This moment of recognition precedes any direct interaction and sets up the subsequent development where Grant later initiates contact with her at the Saddle Lodge playground.",Temporal Reasoning
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-26,enf1d20cc82ed548c5b2aac849e53e68f6,en,19、INT. GRANT BEDROOM - MORNING ; 38、INT. GRANT BEDROOM - NIGHT,"By the time Grant approaches Starla and the tubule emerges, what has already taken place in the bedroom earlier that day?",Grant creeps into the bedroom and observes his reflection,"In the morning, Grant enters his bedroom and studies his reflection in the mirror, an act of quiet self-scrutiny that precedes the later nocturnal confrontation. This moment sets a tone of internal tension and establishes his fixation on appearance and identity, which culminates when he approaches Starla and the tubule emerges during the night in the same room.",Temporal Reasoning
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-27,enf1d20cc82ed548c5b2aac849e53e68f6,en,42、EXT. SADDLE LODGE PLAYGROUND - NIGHT ; 43、EXT. FOREST - NIGHT,"What occurs immediately before Grant’s transformation and attack on Brenda, setting the stage for his reaction?",Brenda Gutierrez greets Grant from off-screen,"In the moments leading up to Grant’s violent transformation in the forest, Brenda’s sudden vocal presence startles him while she remains off-screen, triggering his psychological shift. This interaction takes place just before the scene transitions to the attack, establishing a direct causal and temporal link between her greeting and his breakdown.",Temporal Reasoning
legacy-enf1d20cc82ed548c5b2aac849e53e68f6-28,enf1d20cc82ed548c5b2aac849e53e68f6,en,10、EXT. GRANT HOUSE - NIGHT ; 11、INT. GRANT DINING ROOM - NIGHT,What occurs just before Grant reacts to Hank's phone call during dinner?,Grant receives a phone call from Hank Wilcox upon returning home,"Shortly after arriving home, Grant takes a call from Hank Wilcox, which sets up his emotional state and actions during the subsequent dinner scene where he processes the conversation. The events unfold consecutively, with the phone call directly preceding his reaction at the dinner table.",Temporal Reasoning
