id,related_scenes,question,answer,related_context,question_type,question_source
1,29、INT. BY TANK - CONTINUOUS,"In [29、INT. BY TANK - CONTINUOUS], Why did the aliens slow down while pursuing Ripley?","She ripped out the wall, causing burning steam that slowed the aliens.","RIPS out of the wall, burning steam GUSHING out below her, slowing down the aliens.",Causal-Motivational Reasoning,broad_coverage_scene
2,27、INT. WASTE TANK 5 - CONTINUOUS,How is Ripley positioned after being cocooned?,Hung from the ceiling with legs encased and glued to the roof,"She finds herself basically hung from the ceiling, her legs encased and glued with glistening strands to the roof.",Scene Grounding,broad_coverage_scene
3,33、INT. AIRLOCK - CONTINUOUS,Why is the collision imminent?,The braking system is nonfunctional.,Braking system nonfunctional. Collision imminent.,Causal-Motivational Reasoning,broad_coverage_scene
4,16、INT. CARGO BAY - CONTINUOUS,What does St Just's contraption resemble?,"A deringer holder, but a very complex one","It resembles a deringer holder, but a very complex one",Scene Grounding,broad_coverage_scene
5,3、INT. MEDLAB,"In [3、INT. MEDLAB], What is the girl's emotional state when she sees the blood?",Perplexed and distressed.,The girl's expression becomes perplexed... more distraught.,Character Understanding,broad_coverage_scene
6,16、INT. CARGO BAY - CONTINUOUS,What are HARVESTERS?,Big rusty hovering threshers roughly the size of winnebagos,"two HARVESTERS, big rusty hovering threshers roughly the size of winnebagos",Scene Grounding,broad_coverage_scene
7,12、INT. MESS HALL,"In [12、INT. MESS HALL], What is Ripley's emotional state during her interaction with Wren?",Bitter and sarcastic,"She laughs, bitterly.",Character Understanding,broad_coverage_scene
8,24、INT. THE GARDEN CONTINUOUS,What is the crew's reaction upon seeing the wheat and corn?,"Expressions change to pleased disbelief, St Just exclaims 'So this is what heaven looks like'",The crew's expressions change to one of pleased disbelief. You gotta be fucking me. St Just! Is this real? ST JUST So this is what heaven looks like.,Scene Grounding,broad_coverage_scene
9,26、INT HALL NEARBY - CONTINUOUS,How does St Just reload his guns during the firefight?,He drops the empty guns and two more disposable guns fly into his palms.,He drops them both and jerks his wrists and TWO-MORE disposable guns fly into his palms,Scene Grounding,broad_coverage_scene
10,29、INT. BY TANK - CONTINUOUS,What caused the creature to fall free after being struck by the stiletto?,The stiletto pierced its mouth and exited through its innards.,"the blade slides right into its mouth, ramming eight inches through its innards before it pokes out the other end.",Causal-Motivational Reasoning,broad_coverage_scene
