id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en7f8648f5449c4f9da46febfd68cdbd58-11,en7f8648f5449c4f9da46febfd68cdbd58,en,42、INT WESTLAKE LAB/APARTMENT - DAY ; 42、INT WESTLAKE LAB/APARTMENT - DAY,What event immediately provokes Peyton's transformation from stunned grief to violent rage?,Peyton discovers the wreckage of his lab and apartment,"In the charred remains of his lab and apartment, Peyton moves through the debris in stunned silence, confronting the total destruction of his home and work. This moment of quiet devastation precedes his discovery of Durant's lighter, which triggers an explosive shift in his demeanor. The earlier scene of ruin establishes the full weight of his loss, making the subsequent rage not just a reaction to the lighter, but the culmination of suppressed shock and grief now given a target. [42、INT WESTLAKE LAB/APARTMENT - DAY]",Causal-Motivational Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-12,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. WESTLAKE LAB - DAY - PEYTON ; 42、INT WESTLAKE LAB/APARTMENT - DAY,What event directly triggers the cascade of hallucinatory visions in Peyton's mind?,Trumayne discovers coffee-stained document in bedroom,"After Trumayne finds a coffee-stained document in the bedroom and alerts Durant, he and Pauly forcibly subdue Peyton and subject him to a severe electrical shock using electrodes connected to a reservoir of blue fluid. The intense current causes Peyton to convulse, his skin peeling and hands igniting before he collapses. This traumatic electrocution immediately precedes and induces the neurological storm in which Peyton experiences a flood of fragmented, surreal visions involving Julie, Durant in surgical garb, and grotesque distortions of his own face and body. [scene: 29、INT. WESTLAKE LAB - DAY - PEYTON]",Causal-Motivational Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-13,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. WESTLAKE LAB - DAY - PEYTON ; 42、INT WESTLAKE LAB/APARTMENT - DAY,What action immediately before the hallucinatory sequence creates the physiological trigger for Peyton's mental breakdown?,Durant activates oxygen and acetylene tanks,"After electrocuting Peyton by submerging him in a fluid-filled reservoir, Durant releases gas from oxygen and acetylene tanks into the lab, creating a volatile atmosphere. As the room fills with the mixture, the electrical short from the failed current leaves the environment charged and unstable. This combination of electrochemical exposure and oxygen-rich gas sets off neurological overstimulation, directly precipitating the cascade of hallucinatory visions in Peyton’s mind, where trauma manifests as surreal, looping imagery involving Julie, Durant, and surgical violence.",Causal-Motivational Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-14,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. WESTLAKE LAB - DAY - PEYTON ; 85、EXT. WAREHOUSE- DAY,How does Rudy Guzman's relationship with Peyton evolve from their initial confrontation to the ambush at the warehouse?,Rudy Guzman continues treating Peyton as an adversary through coordinated hostile actions,"From the Westlake Lab confrontation to the warehouse ambush, Rudy Guzman consistently engages Peyton with hostile intent. In the lab, he is part of a group that confronts and physically restrains Peyton, establishing an adversarial dynamic. This persists at the warehouse, where Guzman participates in a coordinated ambush with Smiley, reaffirming his role as an active opponent.",Role-Relation Continuity
legacy-en7f8648f5449c4f9da46febfd68cdbd58-15,en7f8648f5449c4f9da46febfd68cdbd58,en,35、EXT. GRAVEYARD - LONG-SHOT - DAY ; 30、EXT WESTLAKE LAB/APARTMENT BUILDING - TWILIGHT ; 42、INT WESTLAKE LAB/APARTMENT - DAY,What pivotal moment marks the shift in momentum leading directly to Peyton's acts of confrontation and destruction in the subsequent sequence?,Peyton Awakens with Fierce Lucidity,"In the graveyard scene, Peyton emerges from a state of confusion with sudden clarity and resolve, setting in motion a chain of actions defined by intent and fury. This moment of awakening reorients his trajectory, directly precipitating his violent breakthrough, self-confrontation, and the discovery that triggers his final outburst. [35、EXT. GRAVEYARD - LONG-SHOT - DAY]",Narrative Progression
legacy-en7f8648f5449c4f9da46febfd68cdbd58-17,en7f8648f5449c4f9da46febfd68cdbd58,en,22、EXT. CITY STREET - MORNING ; 28、EXT PAYPHONE - DAY -JULIE ; 27、INT WESTLAKE LAB - DAY,What pivotal event sets in motion Julie's emotional breakdown and subsequent call to Peyton?,Julie declines Peyton's proposal and leaves in a cab,"After Peyton proposes, Julie rejects the offer and departs in a cab, marking a critical shift in the narrative. This decision initiates a chain of events that leads to her isolation, emotional collapse, and eventual desperate call to Peyton from a pay phone, where he answers while stretching, unaware of her distress. Her grief culminates in a public breakdown, where a priest intervenes to assist her. [22、EXT. CITY STREET - MORNING]",Narrative Progression
legacy-en7f8648f5449c4f9da46febfd68cdbd58-18,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. WESTLAKE LAB - DAY - PEYTON ; 30、EXT WESTLAKE LAB/APARTMENT BUILDING - TWILIGHT ; 42、INT WESTLAKE LAB/APARTMENT - DAY,What pivotal event sets in motion Peyton's transformation and the subsequent destruction of his lab?,Peyton's Crawl to the Drinking Bird,"In the aftermath of his experimentation, Peyton drags himself toward the Drinking Bird device in a decisive act that triggers a chain of irreversible consequences. This moment marks the shift from passive suffering to active confrontation, directly leading to the ignition of the device, the collapse of his laboratory, and his discovery of Durant's lighter amid the wreckage. [29、INT. WESTLAKE LAB - DAY - PEYTON]",Narrative Progression
legacy-en7f8648f5449c4f9da46febfd68cdbd58-25,en7f8648f5449c4f9da46febfd68cdbd58,en,9、INT WESTLAKE LAB - DAY - A GLASS BEAKER ; 22、EXT. CITY STREET - MORNING,"By the time Julie declines Peyton's proposal and leaves in a cab, what key moment between Peyton and Yakitito has already taken place?",Yakitito asks Peyton if he has asked her,"Earlier in the narrative, Yakitito confronts Peyton in the lab, pressing him about whether he has proposed to Julie. This exchange occurs well before the final confrontation on the city street, establishing a thematic buildup around Peyton's hesitation and the expectations surrounding the proposal. The scene sets up the emotional stakes that culminate in Julie's decision.",Temporal Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-26,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. WESTLAKE LAB - DAY - PEYTON ; 42、INT WESTLAKE LAB/APARTMENT - DAY,"By the time Peyton confronts his reflection, what event has already taken place in the lab?",Electrodes snap and fall into blue fluid reservoir after ignition,"In the Westlake Lab, shortly before Peyton's confrontation with his reflection, an electrical ignition causes the electrodes attached to him to snap and drop into a blue fluid reservoir, marking a critical malfunction during the experiment.",Temporal Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-27,en7f8648f5449c4f9da46febfd68cdbd58,en,45、INT. RICK'S APARTMENT -- BEDROOM -- LATER ; 46、INT. RICK'S APARTMENT - LATER,What occurs immediately before Darkman confronts Rick in the apartment?,Darkman's charred hand emerges from the darkness,"In the moments leading up to the confrontation, the scene shifts from the bedroom to the main area of Rick's apartment, where a tense stillness is broken by the slow reveal of Darkman's presence. His charred hand emerges from the shadows, signaling his return and setting the stage for the violent outburst that follows.",Temporal Reasoning
