id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-10,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,44、文庙展厅内，夜，内 ; 45、文庙回廊，夜，外,什么关键行动直接促成了包世宏随后在回廊下令分头追击？,包世宏发现窃贼并示警,包世宏在展厅内发现窃贼翻越栏杆逃跑，立即示警并带头跳窗追击，这一反应直接引发后续在回廊中因失去目标踪迹而下令分头搜捕的决策。,Causal-Motivational Reasoning
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-12,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,3、医院走廊，日，内 ; 144、文庙外，日，外,从医院走廊初次同行到文庙外共同吃冰棍，三宝对包世宏的行动角色如何延续？,始终作为同伴跟随并维护包世宏,从早期三宝主动跟随、翻看画册并撕页留存，到后续在冲突中保护包世宏，直至文庙外自然分享冰棍，行为一贯体现其作为同伴的持续陪伴与支持角色。,Role-Relation Continuity
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-13,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,20、别墅花园，日，内 ; 150、冯董办公室，日，内,从[20、别墅花园，日，内]到[150、冯董办公室，日，内]，冯董与四眼之间的互动关系经历了怎样的转变？,从合作策划转向公开敌对与暴力对抗,初期冯董与四眼在土地开发等事务上共同策划，表现出信任与协作，关系稳定且正向；随着剧情推进，冯董开始对四眼施加暴力，最终在办公室场景中双方彻底决裂，四眼威胁揭发，冯董以致命手段回应，关系演变为明确的敌对状态。,Role-Relation Continuity
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-14,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,11、工厂活动室，日，内 ; 141、文庙展厅，日，内,从[11、工厂活动室，日，内]到[141、文庙展厅，日，内]，包世宏和厂长之间的互动关系是否发生了实质转变？,从厂长单方面责难转为双方互相敌对,初期厂长对包世宏怒斥并甩辞职信，表现出上对下的责难；中期曾短暂出现信任与赞许；最终包世宏主动质问厂长变卖工厂，厂长回避，显示关系已演变为双向对立。虽整体呈敌对态势，但主导方和互动模式发生了变化。,Role-Relation Continuity
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-16,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,43、文庙门口，夜，外 ; 44、文庙展厅内，夜，内 ; 44、文庙展厅内，夜，内,哪个事件直接触发了包世宏展开追击、跳窗擒敌以及与三宝协同冲出展厅的一系列行动？,包世宏发现险情并组织保安冲向展厅,该事件标志着危机从潜在转为显性，包世宏由被动值守转为主动干预，由此启动了后续追捕链条，是连接预警与实战对抗的关键枢纽。,Narrative Progression
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-17,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,28、一组镜头 ; 28、一组镜头 ; 35、大奔汽车里，日，内,在麦克站在文庙前、启动监控系统监视展厅、并借掩护潜行至展厅另一侧这一系列行动中，哪一个事件构成了他从外部准备转入实际潜入的关键转折？,麦克在文庙前整备潜入装备,该事件标志着麦克完成外部集结与伪装，正式进入行动阶段，为后续监控与潜行提供了操作基础，是外部观察转向内部介入的结构性分界。,Narrative Progression
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-18,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,44、文庙展厅内，夜，内 ; 44、文庙展厅内，夜，内 ; 50、文庙展厅，夜，内,哪个事件直接引发了包世宏跳窗追贼、三宝紧随其后，以及后续包世宏带三宝冲出展厅遭男仙追赶并最终被黑皮击倒的一系列连锁反应？,包世宏追击窃贼,该事件始于展厅内的突发追捕，包世宏主动出击成为后续行动的导火索，所有紧随其来的追逐与冲突均由此展开，构成情节升级的关键起点。,Narrative Progression
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-25,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,22、文庙展厅，日，内 ; 45、文庙回廊，夜，外,到了包世宏在回廊发现黑影并下令分头追击时，此前在展厅房梁上已发生的意外是什么？,三宝安装摄像头时头部撞到通风管道,在展厅房梁的布防过程中，三宝因操作不慎撞到通风管道，这一意外发生在后续回廊追击指令之前，是布防阶段的关键扰动事件。,Temporal Reasoning
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-26,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,11、工厂活动室，日，内 ; 29、文庙展厅，日，内,到了包世宏取出翡翠检查并质疑其价值时，此前在工厂活动室里已发生的关键发展是什么？,厂长展示报纸提及翡翠事件可救厂,在文庙展厅事件之前，厂长于工厂活动室向包世宏出示报纸，透露翡翠事件可能成为工厂的转机，这一信息推动了后续对翡翠价值的审视。,Temporal Reasoning
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-27,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,11、工厂活动室，日，内 ; 12、工厂车间，日，内,在“包世宏谈妥工资接下看护翡翠的差事”之前，厂长先意识到了什么关键一点？,厂长闯入车间发现员工练习场景,在包世宏正式接手翡翠看护任务前，剧情先展现了厂长突然进入车间，打断员工排练的冲突场面，这一事件为后续工作安排的调整埋下伏笔。,Temporal Reasoning
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-28,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,44、文庙展厅内，夜，内 ; 45、文庙回廊，夜，外,“包世宏跳窗追贼，三宝紧随其后”之后不久，包世宏随后意识到了什么？,包世宏发现两个黑影消失在墙角,根据场景顺序，包世宏跳窗追贼后，镜头立即转至文庙回廊外，他在追击过程中发现两个黑影迅速消失在墙角，这一动作直接触发了后续分头追击的指令。,Temporal Reasoning
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-29,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,40、医院，日，外 ; 41、车里，日，内,“谢小盟在医院门口迎接菁菁”之后不久，紧接着发生了什么？,拿出菁菁遗落的翡翠单据,谢小盟在医院外迎接菁菁后，情节迅速转入车内场景，他在那里拿出了她之前遗落的翡翠单据，这一动作承接了两人重逢后的情感推进。,Temporal Reasoning
legacy-chc685e0cf677e155ba6bb8fdee80921a141fe8db3-30,chc685e0cf677e155ba6bb8fdee80921a141fe8db3,zh,36、游戏厅，日，内 ; 37、厂长家客厅，日，内（调至外景）或加一场送翡翠自我陶醉。,在“谢小盟整理翡翠资料时发现一张神秘纸条”之前，前面先发生了什么关键情节？,谢小盟向菁菁自我介绍,在进入整理翡翠资料的场景前，谢小盟首次出现在菁菁面前，于游戏厅中主动上前搭话并完成自我介绍，为后续行为建立行动起点。该动作紧接在表白未果的追赶之后，构成连续的行为推进链。,Temporal Reasoning
