id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en48f2465cf27f49a98a375692d4c2209b-10,en48f2465cf27f49a98a375692d4c2209b,en,5、INT. BAR ; 22、INT. CHEESECAKE FACTORY - CONTINUOUS ACTION,What action directly prompts Hannah's return to the group at the table?,Hannah decides to leave the bar with Liz,"In the bar, Hannah stands up, takes Liz's hand, and they exit together while laughing, leaving Jacob behind. After this departure, Hannah finds herself outside the social circle she just left and, observing the group still seated and absorbed in their devices, quietly rejoins them at the table. The decision to exit with Liz creates the separation that makes her return meaningful.",Causal-Motivational Reasoning
legacy-en48f2465cf27f49a98a375692d4c2209b-11,en48f2465cf27f49a98a375692d4c2209b,en,27、INT. BAR - NEXT NIGHT ; 27、INT. BAR - NEXT NIGHT,What revelation about Cal's personal history makes him vulnerable to being abandoned after the bar encounter?,Cal reveals he has only been with one woman sexually,"During a night out at the bar, Cal opens up to Jacob about his past, sharing that he married young and has only ever been with one woman, Tracy, whom he met in high school. His candid admission, delivered with pride but also naivety, contrasts sharply with Jacob’s confident and practiced social demeanor. This moment underscores Cal’s inexperience and emotional exposure, especially as Jacob dismisses him and effortlessly attracts women, setting the stage for Cal’s isolation when left alone with the bill after the interactions.",Causal-Motivational Reasoning
legacy-en48f2465cf27f49a98a375692d4c2209b-14,en48f2465cf27f49a98a375692d4c2209b,en,9、INT. LEXUS SUV - LATER ; 79、INT. WEAVER BACKYARD - LATER,How does Cal's treatment of David Jacobowitz evolve from their encounter in the SUV through the backyard confrontation?,Cal consistently treats David Jacobowitz as a rival and personal threat,"From the SUV argument onward, Cal frames David Jacobowitz as the man with whom his wife is having an affair, responding with anger and humiliation. This adversarial stance persists through multiple scenes, including public confrontations and private reflections, and culminates in the backyard exchange where Cal's sarcastic dismissal—'She's all yours, David'—reinforces his view of Jacobowitz as a rival for domestic and personal control.",Role-Relation Continuity
legacy-en48f2465cf27f49a98a375692d4c2209b-15,en48f2465cf27f49a98a375692d4c2209b,en,"0、INT. FRENCH RESTAURANT (PASADENA, CA) - EVENING ; 0、INT. FRENCH RESTAURANT (PASADENA, CA) - EVENING ; 44、INT. SCHOOL HALLWAY - CONTINUOUS ACTION",What pivotal moment shifts the emotional trajectory toward the cascade of confessions during the dinner scene?,Cal asks Tracy if she's okay,"In the quiet tension of a French restaurant in Pasadena, a simple inquiry from Cal to Tracy—'Are you okay?'—disrupts the fragile composure both have maintained, setting off a chain reaction that leads directly to overlapping admissions of betrayal, Tracy fleeing as Kate confronts Cal, and Tracy ultimately confessing her affair. This moment, though understated, fractures the surface restraint, exposing the emotional undercurrents driving the characters toward reckoning. [0、INT. FRENCH RESTAURANT (PASADENA, CA) - EVENING]",Narrative Progression
legacy-en48f2465cf27f49a98a375692d4c2209b-16,en48f2465cf27f49a98a375692d4c2209b,en,3、INT. LEXUS SUV ; 6、INT. LEXUS SUV ; 42、INT. MIDDLE SCHOOL - NEXT NIGHT,"What pivotal event sets in motion Tracy's confession, the reflective conversation between her and Cal, and her eventual flight during Kate's confrontation?",Tracy confronts Cal in the car,"In the SUV, Tracy initiates a charged confrontation with Cal, forcing a direct emotional reckoning that had been deferred since their separation. This moment destabilizes their fragile post-breakup dynamic, prompting Tracy to later confess the affair, opening a brief window of vulnerability where they reflect on their past lives together. The confrontation ultimately escalates when Kate arrives, triggering Tracy’s flight. [scene: INT. LEXUS SUV]",Narrative Progression
legacy-en48f2465cf27f49a98a375692d4c2209b-17,en48f2465cf27f49a98a375692d4c2209b,en,6、INT. LEXUS SUV ; 6、INT. LEXUS SUV ; 44、INT. SCHOOL HALLWAY - CONTINUOUS ACTION,What pivotal moment shifts the narrative trajectory toward Cal's emotional confrontation and the unraveling of trust between the characters?,Tracy Confesses to Cal About the Affair,"In the confined space of the Lexus SUV, Tracy reveals the truth of the affair to Cal, shattering the fragile equilibrium of their relationship. This disclosure sets off a chain of emotional reckonings, directly precipitating Cal's abrupt exit from the moving car, Tracy's flight upon Kate's confrontation, and Cal's later confession of regret outside the classroom. The scene marks the point of no return in the story's emotional arc. [INT. LEXUS SUV]",Narrative Progression
legacy-en48f2465cf27f49a98a375692d4c2209b-18,en48f2465cf27f49a98a375692d4c2209b,en,27、INT. BAR - NEXT NIGHT ; 27、INT. BAR - NEXT NIGHT ; 26、INT. SALON - LATER,What pivotal decision sets in motion the sequence where Jacob engages with a new woman at the bar and tensions rise among the group?,Jacob Plans to Bring Women to the Table,"In the bar the following night, Jacob announces his intention to invite women to join their table, shifting the group's dynamic and setting the stage for his interaction with Tiffany. This move directly prompts his subsequent compliment and invitation, as well as Hannah's reaction in taking Jacob's hand and leaving, marking a clear shift in relational alignments.",Narrative Progression
legacy-en48f2465cf27f49a98a375692d4c2209b-25,en48f2465cf27f49a98a375692d4c2209b,en,18、EXT. THE WEAVER BACKYARD - DAY (ONE WEEK LATER) ; 43、INT. CLASSROOM - CONTINUOUS ACTION,"By the time Cal chases Tracy after the conference, what has Cal already done regarding the children?",Announced he will bring the kids to see the new place once settled,"In an earlier scene set one week later in the Weaver backyard, Cal declares his intention to bring the children to visit the new place after he gets settled. This moment precedes the classroom confrontation where Cal pursues Tracy following the conference, establishing his plans for the children before the escalation of their conflict.",Temporal Reasoning
legacy-en48f2465cf27f49a98a375692d4c2209b-26,en48f2465cf27f49a98a375692d4c2209b,en,"0、INT. FRENCH RESTAURANT (PASADENA, CA) - EVENING ; 42、INT. MIDDLE SCHOOL - NEXT NIGHT","By the time Cal confesses his regrets to Tracy outside the classroom, what moment has already quietly established their emotional distance?",Camera focuses on contrasting feet under restaurant table,"In an earlier scene set at a French restaurant in Pasadena, the camera lingers on the contrasting positioning of Cal and Tracy's feet beneath the table, visually underscoring the unspoken tension and emotional disconnect between them. This subtle detail precedes and informs the later moment when Cal finally voices his regrets, grounding his confession in a relationship already strained by silence and physical distance.",Temporal Reasoning
legacy-en48f2465cf27f49a98a375692d4c2209b-27,en48f2465cf27f49a98a375692d4c2209b,en,42、INT. MIDDLE SCHOOL - NEXT NIGHT ; 43、INT. CLASSROOM - CONTINUOUS ACTION,What occurs just before Cal confronts Tracy in the classroom?,Mrs. Thompson arrives at the Weavers' doorway,"Shortly after Mrs. Thompson arrives at the Weavers' doorway, the story moves into the classroom where Cal confronts Tracy. This moment sets up the emotional tension that unfolds in the following scene, linking the family's private space to the school setting where the confrontation takes place.",Temporal Reasoning
legacy-en48f2465cf27f49a98a375692d4c2209b-28,en48f2465cf27f49a98a375692d4c2209b,en,43、INT. CLASSROOM - CONTINUOUS ACTION ; 44、INT. SCHOOL HALLWAY - CONTINUOUS ACTION,What key shift occurs just before Kate confronts Cal and Tracy flees?,Cal redirects focus to Robbie,"In the classroom, immediately preceding the confrontation in the hallway, Cal deflects attention away from himself by implicating Robbie, altering the dynamics of the conflict just as tensions peak. This pivot sets the stage for Kate’s direct challenge and Tracy’s reaction.",Temporal Reasoning
