id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-1,en3b12e7f9ab57442f9fe95fdf52d2510e,en,13、INT. GYM/SOLARIUM - NIGHT,What role does Jonah Dalton enforce in his interaction with Riley Sloane during the sunbed confrontation?,Superior/subordinate,"Jonah Dalton asserts dominance by forcing the sunbed shut on Riley Sloane, demanding to be addressed as 'Valerie York,' and controlling when Riley Sloane may speak. He interrupts Riley Sloane’s attempts to explain his debt repayment, physically punishes him, and has Riley Wilder search Riley Sloane’s belongings, reinforcing a hierarchical power dynamic. The scene concludes with Jonah Dalton delivering a final punch and increasing the sunbed timer, underscoring his authority.",Character Understanding
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-10,en3b12e7f9ab57442f9fe95fdf52d2510e,en,36、INT. BOXING GYM - MGHT ; 37、INT. SAMOAN JO'S - NIGHT,What event creates the pressure that forces the protagonist to reveal the debt to the group?,Protagonist suffers massive financial loss,"After losing a high-stakes poker hand, the protagonist is confronted by a creditor who demands repayment of a half-million-dollar debt by Sunday, threatening severe consequences including loss of his father's bar and physical harm. Overwhelmed, the protagonist collapses outside the gym, visibly shaken and unable to stand. This financial collapse directly leads to his decision to inform the group, as he realizes he cannot meet the debt alone and anticipates that the consequences will soon involve them all.",Causal-Motivational Reasoning
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-11,en3b12e7f9ab57442f9fe95fdf52d2510e,en,36、INT. BOXING GYM - MGHT ; 36、INT. BOXING GYM - MGHT,What event directly triggers Rowan Brooks's physical and psychological breakdown during Valerie York's ultimatum?,Rowan Brooks loses the poker hand to Valerie York,"After Valerie York reveals his cards and wins the hand, Rowan Brooks reacts with visible shock—his pupils contract, his face pales, and he sweats profusely—while acknowledging he was outplayed despite seeing through the bluff. This loss immediately precedes Valerie York's demand for repayment of a half-million-dollar debt, which he enforces with threats of losing the bar and bodily harm. Overwhelmed, Rowan Brooks stumbles outside and collapses, vomiting and trembling uncontrollably against the wall. [scene: INT. BOXING GYM - NIGHT]",Causal-Motivational Reasoning
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-12,en3b12e7f9ab57442f9fe95fdf52d2510e,en,36、INT. BOXING GYM - MGHT ; 36、INT. BOXING GYM - MGHT,What decision by Rowan Brooks creates the tension that leads to Valerie York demanding to see his cards?,Rowan Brooks calls Valerie York's bet despite financial strain,"In the dimly lit boxing gym, Rowan Brooks remains at the table after Valerie York raises the stakes, visibly strained but refusing to fold. Valerie York offers a loan to cover the half-million-pound bet, conditional on repayment by Sunday, but Rowan Brooks does not confirm whether he accepts. Instead, he places a twenty-pound note on the table, signaling his intent to call. This unorthodox move, made under visible duress, locks him into the hand and sets the stage for the confrontation in which Valerie York, after revealing a seemingly weak hand, demands Rowan Brooks show his cards—triggering a moment of intense psychological standoff.",Causal-Motivational Reasoning
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-13,en3b12e7f9ab57442f9fe95fdf52d2510e,en,31、INT. BOXING GYM CHANGING ROOM - NIGHT ; 36、INT. BOXING GYM - MGHT,What action directly leads to Valerie York offering Rowan Brooks a high-pressure loan during the game?,Rowan Brooks places a twenty thousand bet with a running flush,"In the changing room of the boxing gym, Rowan Brooks sees a running flush in his hand and commits twenty thousand dollars to the pot. This high-stakes play puts him at risk of defaulting if he loses, creating the financial pressure that prompts Valerie York to intervene later in the game. [scene: INT. BOXING GYM CHANGING ROOM - NIGHT]",Causal-Motivational Reasoning
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-14,en3b12e7f9ab57442f9fe95fdf52d2510e,en,25、INT. BOXING GYM CHANGING ROOM - NIGHT ; 25、INT. BOXING GYM CHANGING ROOM - NIGHT,What action during the card game creates the conditions that enable Spencer Quincy to use the hidden camera and signal Valerie York?,Frazier opens betting with two thousand,"At the boxing gym changing room, Frazier initiates the betting round by placing two thousand, prompting Owen Hawthorne to raise and Rowan Brooks to call his blind. This establishes the high-stakes momentum of the game, drawing intense focus to the table and setting the stage for Spencer Quincy’s covert operation. From his position among the damp towels, Spencer Quincy activates a hidden camera aimed at Rowan Brooks’s cards and uses a remote to send a signal to Valerie York’s leg, timing his technological intervention with the critical moment when the betting escalates—triggered by Frazier’s opening move.",Causal-Motivational Reasoning
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-15,en3b12e7f9ab57442f9fe95fdf52d2510e,en,30、INT. BOXING GYM - NIGHT ; 33、INT. BOXING GYM - NIGHT ; 36、INT. BOXING GYM - MGHT,What pivotal event shifts the narrative toward escalating tension in Rowan Brooks's gambling trajectory and alters Valerie York's stance from neutral to wary?,"Rowan Brooks Sets High Stakes, Valerie York Acts Suspicious","In the dimly lit atmosphere of the boxing gym at night, Rowan Brooks makes a bold move by setting unusually high stakes, marking a critical shift in his behavior. This action immediately draws Valerie York's attention, transforming his prior indifference into cautious scrutiny. The moment establishes a new dynamic between the two, triggering a chain of decisions that includes Valerie York lending the glass watch under strict conditions, Rowan Brooks's subsequent high-risk bet, and a growing undercurrent of distrust—all set into motion by this single decisive act [33、INT. BOXING GYM - NIGHT].",Narrative Progression
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-16,en3b12e7f9ab57442f9fe95fdf52d2510e,en,24、INT. BOXING GYM - NIGHT ; 25、INT. BOXING GYM CHANGING ROOM - NIGHT ; 36、INT. BOXING GYM - MGHT,"What pivotal moment shifts the momentum in the escalating conflict between Rowan Brooks and Valerie York, setting up the subsequent pressure and financial stakes?","Owen Hawthorne, Valerie York, and Emery Vaughn Raise Bets While Rowan Brooks Counters with Wit","In the dimly lit boxing gym at night, a high-stakes exchange unfolds where Owen Hawthorne, Valerie York, and Emery Vaughn collectively raise their bets, intensifying the financial and psychological pressure on Rowan Brooks, who responds with sharp wit and strategic defiance, marking a critical escalation that propels the narrative into a series of consequential confrontations involving loans, deadlines, and rising risks [scene: INT. BOXING GYM - NIGHT].",Narrative Progression
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-18,en3b12e7f9ab57442f9fe95fdf52d2510e,en,6、INT. KITCHEN - DAY. ; 30、INT. BOXING GYM - NIGHT ; 24、INT. BOXING GYM - NIGHT,"What pivotal development sets in motion the escalating poker confrontation involving Rowan Brooks, Valerie York, Owen Hawthorne, and Emery Vaughn?",Valerie York and Spencer Quincy Discuss Rowan Brooks's Poker Prospects,"In the kitchen during the day, Valerie York and Spencer Quincy assess Rowan Brooks's potential at the poker table, framing him as a threat worth monitoring. This conversation shifts the narrative focus toward Rowan Brooks’s strategic role in the game and prompts the subsequent actions where stakes are raised, suspicions grow, and alliances are tested among the players. [6、INT. KITCHEN - DAY.]",Narrative Progression
legacy-en3b12e7f9ab57442f9fe95fdf52d2510e-27,en3b12e7f9ab57442f9fe95fdf52d2510e,en,24、INT. BOXING GYM - NIGHT ; 25、INT. BOXING GYM CHANGING ROOM - NIGHT,What occurs in the card game shortly before Rowan Brooks makes his bold blind bet?,Owen Hawthorne raises the bet to four hundred open,"In the dimly lit boxing gym, tensions rise during a high-stakes card game. Before Rowan Brooks steps forward with his daring move in the changing room, the stakes are escalated when Owen Hawthorne increases the pressure by raising the bet to four hundred open, setting the stage for Rowan Brooks's counterplay.",Temporal Reasoning
