id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enb557c570b673482eb52293536d886051-10,enb557c570b673482eb52293536d886051,en,34、EXT. Noel Calloway'S HOUSE - DAY ; 44、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,What event immediately prior to Adrian Keaton learning about cliff diving creates the opportunity for her to reconnect with Noel Calloway and be invited to La Push?,Adrian Keaton arrives at Noel Calloway's house with motorcycles in her the black radio,"Adrian Keaton drives to Noel Calloway's house with motorcycles in the back of her the black radio, initiating a reunion that had been delayed due to his recent absence. Their interaction at his house—marked by casual physical contact, shared laughter, and underlying tension—reestablishes their closeness and leads directly to Noel Calloway inviting her to join him at the cliffs, where she is introduced to the group's cliff diving activity and becomes aware of the changes in Noel Calloway and his friends.",Causal-Motivational Reasoning
legacy-enb557c570b673482eb52293536d886051-12,enb557c570b673482eb52293536d886051,en,10、INT. CULLEN HOUSE - Jordan Arden'S ROOM - NIGHT ; 113、INT. CIRCULAR WHITE MARBLE HALL - DAY,How does Taylor Brooks's relationship with Avery Hale evolve or persist across their interactions from the Cullen house through the confrontation at the marble hall?,They remain close allies who support and protect each other under threat,"From Avery Hale referring to Taylor Brooks as 'my sister' in the Cullen house to her rushing to help him during the confrontation in the marble hall, their bond is consistently marked by trust, coordination, and mutual protection. Throughout intervening scenes, including moments of crisis involving Adrian Keaton and the Eastwood Police, Taylor Brooks and Avery Hale act as aligned allies, relying on each other’s judgment and presence, with Taylor Brooks frequently initiating support and Avery Hale accepting her input as integral to their shared efforts.",Role-Relation Continuity
legacy-enb557c570b673482eb52293536d886051-13,enb557c570b673482eb52293536d886051,en,38、INT. Noel Calloway'S GARAGE - ANOTHER DAY ; 91、EXT. Silverbrook School - DAY,How does the relationship between Bennett Arden and Noel Calloway remain consistent from their interactions in Noel Calloway's garage through their coordinated actions at Silverbrook School?,They remain close allies within the werewolf pack,"From their shared ease in Noel Calloway's garage, where Bennett Arden arrives with Valerie Whitaker and engages in familiar banter, to their later appearance at Silverbrook School where they move together under Noel Calloway's direction, Bennett Arden and Noel Calloway maintain a consistent bond defined by mutual trust and cooperation as core members of the same pack.",Role-Relation Continuity
legacy-enb557c570b673482eb52293536d886051-14,enb557c570b673482eb52293536d886051,en,52、EXT. THE MEADOW (CONTINUOUS) - DAY ; 83、EXT. ON THE WATER'S SURFACE (CONTINUOUS) - DAY,How does Quinn Colter's relationship to Adrian Keaton evolve from the meadow scene through the confrontation on the water's surface?,Quinn Colter continues targeting Adrian Keaton as a vengeful adversary,"From the meadow scene onward, Quinn Colter is established as a threat driven by vengeance for her mate's death, with Adrian Keaton recognizing her intent to be killed. This adversarial dynamic persists through subsequent scenes, including Adrian Keaton's awareness of being hunted and Quinn Colter's physical aggression underwater, confirming an ongoing pattern of targeted hostility.",Role-Relation Continuity
legacy-enb557c570b673482eb52293536d886051-15,enb557c570b673482eb52293536d886051,en,22、EXT. Silverbrook School - NIGHT ; 49、INT. Silverbrook School - NIGHT ; 48、EXT. FORKS HIGH SCHOOL - PARKING LOT - ANOTHER DAY,What turning point initiates Adrian Keaton's growing sense of isolation and sets in motion her subsequent actions of reaching out and withdrawing socially?,Adrian Keaton's realization that Avery Hale Is Gone,"After Adrian Keaton returns home and realizes Avery Hale is no longer present, she quietly acknowledges his absence, marking a pivotal shift in her emotional trajectory. This moment catalyzes a series of behaviors where she attempts to connect—leaving a voicemail, noticing his missing car, rushing to class—only to retreat into solitude, ultimately sitting alone after sending an email. The realization of his departure reorients her actions toward uncertainty and emotional withdrawal. [22、EXT. Silverbrook School - NIGHT]",Narrative Progression
legacy-enb557c570b673482eb52293536d886051-17,enb557c570b673482eb52293536d886051,en,5、INT. FORKS HIGH SCHOOL - CORRIDOR - DAY ; 5、INT. FORKS HIGH SCHOOL - CORRIDOR - DAY ; 11、INT. CULLEN HOUSE - SECOND FLOOR LANDING - NIGHT,"What pivotal event sets in motion Adrian Keaton's confrontation with Sasha Vaughn, the revelation of the birthday surprise, and the gift-opening at her birthday party?",Taylor Brooks Surprises Adrian Keaton with a Birthday Gift and Reveals the Party Plans,"In the school corridor, Taylor Brooks presents Adrian Keaton with a gift and announces surprise party plans, triggering a chain of events that leads directly to heightened emotional tensions with Sasha Vaughn, the unfolding of the birthday celebration, and the subsequent gift-opening scene. This moment shifts the narrative from routine daily life to personal revelation and social gathering, serving as the catalyst for the following sequences. [5、INT. FORKS HIGH SCHOOL - CORRIDOR - DAY]",Narrative Progression
legacy-enb557c570b673482eb52293536d886051-18,enb557c570b673482eb52293536d886051,en,14、EXT. Silverbrook School/INT. the black radio (CONTINUOUS) - NIGHT ; 41、EXT. Northbridge Plaza - NIGHT (NIGHTMARE) ; 25、INT. Silverbrook School - DAY,"What pivotal moment initiates the shift leading to Adrian Keaton's advance, the emptiness in her room, and Avery Hale's final gesture of touch?",Adrian Keaton Asks for a Birthday Kiss,"In the scene outside Silverbrook School at night, Adrian Keaton asks Avery Hale for a birthday kiss, a request that marks a critical shift in their dynamic. This moment sets off a chain of emotional and physical withdrawals from Avery Hale, culminating in his gradual retreat, the symbolic emptiness of Adrian Keaton's room, and his restrained gesture as he opens the door and briefly touches her cheek.",Narrative Progression
legacy-enb557c570b673482eb52293536d886051-2,enb557c570b673482eb52293536d886051,en,20、EXT. Northbridge Plaza - DAY,What does Adrian Keaton's immediate reaction to seeing the leaf reveal about her emotional state in relation to Avery Hale's disappearance?,"She is desperate and unwilling to accept Avery Hale's sudden absence, driving her to search obsessively despite the danger.","After Avery Hale disappears, Adrian Keaton spins around and sees a leaf drifting to the ground where he had brushed against a branch. She rushes down the path, then breaks into a run, calling out his name. She runs deeper into Northbridge Plaza as darkness falls, her breath sharp and frantic. The trees close in around her. She trips and falls to the damp Fairview Park floor, looking up as the world spins. She stays there, curled on the ground as hours pass, unresponsive to distant voices calling her name. Rain begins to fall, soaking her, but she does not move. A low snuffling sound approaches, growing louder, coming from the shadows nearby.",Character Understanding
legacy-enb557c570b673482eb52293536d886051-25,enb557c570b673482eb52293536d886051,en,3、EXT. FORKS HIGHWAY - DAY ; 34、EXT. Noel Calloway'S HOUSE - DAY,"By the time Adrian Keaton arrives with the motorcycles, what has already taken place on the Forks highway?",the black radio travels down a two-lane highway in Forks,"Before Adrian Keaton reaches Noel Calloway's house with the motorcycles, her journey along the rural highway is established in an earlier scene, visually confirming her approach to the town and setting the stage for her arrival. The sequence emphasizes her physical transition into the environment where the next key events unfold.",Temporal Reasoning
legacy-enb557c570b673482eb52293536d886051-26,enb557c570b673482eb52293536d886051,en,6、INT. FORKS HIGH SCHOOL - ENGLISH CLASS - DAY ; 19、EXT. Silverbrook School - DAY,"By the time Adrian Keaton confronts Avery Hale about his distant behavior, what key interaction has already taken place between them?",Avery Hale and Adrian Keaton share an intimate conversation during class,"Prior to Adrian Keaton addressing Avery Hale's emotional withdrawal, the two have a private and meaningful exchange while sitting together in English class, a moment that establishes a shift in their connection and precedes the later tension at Silverbrook School.",Temporal Reasoning
legacy-enb557c570b673482eb52293536d886051-27,enb557c570b673482eb52293536d886051,en,13、INT. the black radio - NIGHT ; 14、EXT. Silverbrook School/INT. the black radio (CONTINUOUS) - NIGHT,What occurs in the moments leading up to Adrian Keaton asking for a birthday kiss?,Avery Hale drives in silence while Adrian Keaton studies him,"Shortly after leaving the restaurant, Avery Hale and Adrian Keaton are alone in the the black radio during a tense, quiet drive. Adrian Keaton notices Avery Hale's withdrawn behavior and watches him closely, picking up on his unease. This moment sets the emotional tone just before she asks for a birthday kiss, marking a shift from the earlier incident with the paper cut.",Temporal Reasoning
