id,related_scenes,question,answer,related_context,question_type,question_source
1,4、INT. HOUSE - DAY,How is the housewife holding the vacuum and cigarette?,"One hand clutching the vacuum, the other stiffly holding a cigarette","one hand clutching the vacuum, the other stiffly holding a cigarette",Scene Grounding,broad_coverage_scene
2,9、INT. KITCHEN - NIGHT,"In [9、INT. KITCHEN - NIGHT], What is the cook's emotional state when he sees something he doesn't like?",Surprised and alarmed,The freaky cook sees something he doesn't like. His eyes widen.,Character Understanding,broad_coverage_scene
3,1、INT. RESIDENTIAL HOTEL ROOM - NIGHT,What is depicted on the photograph inside the burning trumpet case?,"A photograph of a woman, with only her smile remaining as it burns",A PHOTOGRAPH of a woman taped to the inside of a trumpet case. The photo is on fire. Only her smile remains.,Scene Grounding,broad_coverage_scene
4,20、INT. CAR - SAME,What does Danny say about paranoia?,"Just because you're paranoid, doesn't mean everyone's not out to slice your balls off and shove 'em down your throat.","DANNY: Well, you know what they say, just because you're paranoid, doesn't mean everyone's not out to slice your balls off and shove 'em down your throat.",Character Understanding,broad_coverage_scene
5,20、INT. CAR - SAME,What does Tanner say to Danny after he mentions Crankville?,"Feeling the paranoia tonight, are we?","TANNER: Feeling the paranoia tonight, are we?",Character Understanding,broad_coverage_scene
6,22、EXT. PARK - NIGHT,"In [22、EXT. PARK - NIGHT], What is Garcetti's emotional state when he confronts Danny?",Contemptuous and hostile,Garcetti looks at Danny with contempt.,Character Understanding,broad_coverage_scene
7,26、INT. RESIDENTIAL HOTEL ROOM - NIGHT,"In [26、INT. RESIDENTIAL HOTEL ROOM - NIGHT], What is inside the trumpet case?","A gleaming horn, a photo of a woman, a life insurance check, and a driver's license with Danny's name.",He slowly opens the trumpet case revealing a GLEAMING HORN inside. ... A CHECK from a LIFE INSURANCE COMPANY and a DRIVER'S LICENSE with Danny's picture and the name TOM VAN ALLEN.,Scene Grounding,broad_coverage_scene
8,27、EXT. SALTON SEA - SUNSET (FLASHBACK),What does Danny say about why the song feels melancholy?,I think of what my life would be like without you.,DANNY/TOM You know how I make that song melancholy when I play it? I think of what my life would be like without you.,Character Understanding,broad_coverage_scene
9,40、EXT. POOH-BEAR'S COMPOUND - DAY,What is the 'Grassy Knoll' in the context of the passage?,A location where a third shooter is positioned.,"A THIRD GUY aiming a pellet gun further down and to the right of ""Oswald"".",Scene Grounding,broad_coverage_scene
10,50、INT. HALLWAY - DAY (FLASH FORWARD),"In [50、INT. HALLWAY - DAY (FLASH FORWARD)], What is Kujo's behavioral state during the interaction with the courier?",Threatening,Kujo points a dustbuster vacuum at the courier like it was a gun.,Character Understanding,broad_coverage_scene
11,43、INT. CINDER BLOCK BAR - NIGHT,"In [43、INT. CINDER BLOCK BAR - NIGHT], What is Danny's behavioral state while Kujo speaks?",Not listening and appears exhausted.,Kujo rambles on but Danny isn't listening. He looks exhausted.,Character Understanding,broad_coverage_scene
12,48、INT. HALLWAY - DAY (FLASH FORWARD),"In [48、INT. HALLWAY - DAY (FLASH FORWARD)], What is Creeper's behavioral state?","Asleep in the elevator, then wakes and assumes a karate stance.","Creeper still fast asleep inside the elevator. He wakes with a start, breaking down into a karate stance.",Character Understanding,broad_coverage_scene
13,34、INT. BARE APARTMENT - NIGHT,What does the kid say about the traceability of his weapons?,All guaranteed stolen and traceable only to their original owners.,"He is squeezed into a terry-cloth jumpsuit, his body festooned with gold jewelry, his hair all wet jerry-curl.",Character Understanding,broad_coverage_scene
14,37、INT. RESIDENTIAL HOTEL ROOM - NIGHT,How does the dude speak after the loud smack?,"In hushed tones, contrite","The dude talking in hushed tones, contrite",Character Understanding,broad_coverage_scene
15,32、INT. CINDER BLOCK BAR - SAME,What causes Jimmy's condition?,"His brain is in reverse mode, cutting off dopamine supply.",Your brain is in reverse mode ... cutting off your supply of dopamine.,Causal-Motivational Reasoning,broad_coverage_scene
16,41、INT. POOH-BEARS HOUSE - DAY,"In [41、INT. POOH-BEARS HOUSE - DAY], What is Danny's behavioral state when he accepts the eggs?",Hesitant but compliant,"Not wanting to offend him, Danny concedes.",Character Understanding,broad_coverage_scene
17,49、INT. CINDER BLOCK BAR - NIGHT,Why must the courier comply with the demands?,Because of superior numbers and high-tech weapons.,"Facing superior numbers and an array of high-tech weapons, the courier will have no choice but to comply with our demands.",Causal-Motivational Reasoning,broad_coverage_scene
