id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-1,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,14、第14场,当沈月与玄明同时遇险时，顾行先救玄明，这一选择体现他此时如何排序个人感情与取经使命？,他把护送玄明的使命置于对沈月的个人感情之上。,第14场中两人同时遇险，顾行先救玄明；这一实际选择表明取经责任优先于私人感情。,Character Understanding
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-10,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,3、第3场 ; 3、第3场,在周宁出房挽留林远并赠款示好之前，林远做了什么关键举动，使她改变了对他的态度？,林远为引起周宁注意而剃须换装，在桥上等候她经过。,林远初见周宁便心生爱慕，主动改变形象精心打扮，并在桥上等待她经过，这一系列行为体现了他对她的重视，成为后续周宁转变态度、主动赠信示好的情感铺垫。,Causal-Motivational Reasoning
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-11,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,10、第10场 ; 13、第13场 ; 14、第14场,林远经历了什么关键转变，才会重新承认玄明是师父并主动承担护送取经的责任？,他接受观澜点化和金箍约束，承认顾行身份，并从拒绝玄明转为跪拜认错、恢复师徒关系。,第10、13和14场共同呈现了他从逃避身份与师徒责任到主动承担使命的变化。,Causal-Motivational Reasoning
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-12,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,1、第1场 ; 15、第15场,从[1、第1场]到[15、第15场]，玄明和顾行之间的互动模式如何演变？,从顾行单方面敌对转变为玄明下达指令、顾行执行任务的上下级协作关系,初期顾行对玄明表现出明显敌意，包括言语冲突和暴力行为；随着剧情推进，如来安排二人合作取经，关系逐渐转向任务导向的分工模式；至15、第15场，玄明已能命令顾行前去查探情况，显示出权力结构反转和角色定位的重新确立。,Role-Relation Continuity
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-13,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,7、第7场 ; 12、第12场,从[7、第7场]到[12、第12场]，沈月和林远之间的情感关系经历了怎样的转变？,从沈月单方面认定林远为意中人，转变为林远在分离后深切怀念沈月,在7、第7场，沈月基于紫青宝剑的感应认定林远是她的命中注定，并主动表达爱意，两人短暂确立情感关系；林远起初犹豫，情感不对等。到12、第12场，沈月已不在场，林远在昏迷中反复呼唤她的名字，显现出内心深刻而持续的情感依恋。关系重心由沈月的主动倾慕转为林远的被动追念，情感从双向互动变为单向深切怀念。,Role-Relation Continuity
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-14,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,2、第2场 ; 13、第13场,从[2、第2场]林远试图击杀柳青，到[13、第13场]他主动请求她挖出自己的心，两人之间的互动关系经历了怎样的转变？,从敌对对抗转为在极端情境下的被迫合作与有限信任,最初林远主动攻击柳青，随后在威慑下屈服，表现出明显的敌对与畏惧；到了13、第13场，他在生死关头坦然面对柳青，请求她亲手挖心以证清白，显示出关系已从单纯对抗演变为一种在高压情境下形成的特殊协作与心理直面，虽非亲密，但已突破原有敌意框架。,Role-Relation Continuity
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-15,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,3、第3场 ; 3、第3场 ; 3、第3场,在[3、第3场]中，哪一行动标志着林远从逃避情感转向主动追求周宁，从而引发后续重逢、表白与承诺等一系列情感推进？,林远剃须换装桥上候见周宁,该行为是林远首次以整顿仪容、刻意等待的姿态面对周宁，象征其心态由游移转为认真，成为后续情感线展开的触发点。,Narrative Progression
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-16,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,8、第8场 ; 14、第14场 ; 10、第10场,哪一个事件扭转了局势，使沈月得以短暂脱险并引发后续顾行复仇、林远设局救人与贺刚夺宝混战的一系列连锁反应？,贺刚救下受伤的沈月,该事件中断了原有的冲突走向，使沈月从濒死状态转入被保护位置，直接改变多方角色行动逻辑：既延缓了悲剧爆发，又为后续欺骗脱险与宝物争夺创造了条件，是多条剧情线重新汇聚的触发点。,Narrative Progression
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-17,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,12、第12场 ; 12、第12场 ; 12、第12场,在[12、第12场]中，哪一事件成为触发林远情感表白、唤醒周宁记忆、重现初遇场景，以及引发贺刚夺走玄明与时光匣这一系列后续发展的核心转折？,林远向周宁讲述跨越五百年的相遇与拯救,该场景中，林远首次完整揭示自己从未来穿越而来的经历与救赎意图，这一叙述不仅重构了他与周宁的情感关联，也改变了角色间的信任格局，直接推动了后续情感重现与外部冲突的爆发。,Narrative Progression
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-18,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,3、第3场 ; 12、第12场 ; 3、第3场,哪一个事件打破了林远的心理停滞，触发他对金铃、瞎子身份及山中异象产生连锁追问？,林远梦中回到水帘洞被瞎子唤醒,该场景通过梦境中断的冲击，使林远从逃避状态转入主动探究，直接引发后续对关键信物、人物关系与异常现象的一系列追索。,Narrative Progression
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-2,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,4、第4场,林远在盘丝洞发现周宁消失并捡到她留下的玉佩，他由此意识到两人关系发生了怎样的转变？,周宁已决定离开，不再依赖他的保护,林远寻医返回后见人去楼空，仅余玉佩，推知周宁主动离去，关系由共患难转为分离,Character Understanding
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-22,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,,菩提这个角色明确出现在哪几场戏中？,7、第7场 | 12、第12场 | 13、第13场 | 15、第15场,根据剧本内容，菩提在7、第7场首次出现，并在后续的12、第12场、13、第13场和15、第15场中有明确的出场表现，这些场景构成了该角色在全剧中的完整出场序列。,Scene Grounding
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-23,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,,玄明以西天取经成员的身份参与了哪几场戏？,1、第1场 | 8、第8场 | 10、第10场 | 13、第13场 | 14、第14场 | 15、第15场,玄明在第1、8、10、15场明确承担取经使命；第13场他被绑在婚礼现场仍以玄明/师傅身份推进救援线，第14场顾行向玄明称师傅并重新承诺护送取经，因此也应计入其以取经团队核心成员身份参与的场次。,Scene Grounding
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-24,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,,下面这段情节描述对应的是哪几场戏：林远离开牢房后去找沈月，发现她已经身受重伤，便立刻想要带她离开。他抱着沈月来到后院，正准备逃走，却碰上了早已在那里等候的霍兰。霍兰见到两人，立刻质问林远与沈月的关系。至,9、第9场 | 10、第10场,林远离开牢房后去找沈月，发现她已经身受重伤，便立刻想要带她离开。他抱着沈月来到后院，正准备逃走，却碰上了早已在那里等候的霍兰。霍兰见到两人，立刻质问林远与沈月的关系。至,Scene Grounding
