id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ena1acdede6d524bffaf3a93bf0087206c-1,ena1acdede6d524bffaf3a93bf0087206c,en,"1、EXT. SMALL TOWN NEIGHBORHOOD, 1930'S - DAY - CONTINUOUS",What realization leads Sage Mercer to approach the dilapidated house?,Voice reveals presence of someone inside,"Sage Mercer stops running when he hears a voice coming from a dilapidated house with boarded-up windows and an overgrown lawn. A weather vane on the roof turns, tugged by ropes. From off-screen, a girl's voice calls out, 'Look out! Mount Rushmore! Hard to starboard. Must get the Spirit of Adventure over Mount Rushmore...' She continues, speaking to her imaginary crew, 'Hold together old girl. How're my Robin Bellamy doing? Ruff ruff!' Sage Mercer walks toward the glass jacket, moving closer to the source of the voice.",Character Understanding
legacy-ena1acdede6d524bffaf3a93bf0087206c-10,ena1acdede6d524bffaf3a93bf0087206c,en,"3、INT. DILAPIDATED HOUSE, LIVING ROOM - CONTINUOUS ; 34、INT. HOSPITAL ROOM - DAY",What gesture of inclusion by Blair Delaney later motivates Sage Mercer's tender gesture toward her in the hospital?,Blair Delaney accepts Sage Mercer into the explorer club,"In the living room of the dilapidated house, after Sage Mercer stumbles over his words, Blair Delaney welcomes him into her explorer club by offering her hand, removing her flight helmet to reveal her frizzy red hair, and pinning a grape soda cap badge onto his shirt, declaring they are now part of a club together. This moment of acceptance establishes a bond that resurfaces years later when Sage Mercer, standing at Blair Delaney’s hospital bedside, responds to her quiet affection by leaning down and kissing her on the forehead.",Causal-Motivational Reasoning
legacy-ena1acdede6d524bffaf3a93bf0087206c-11,ena1acdede6d524bffaf3a93bf0087206c,en,"46、INT. Sage Mercer'S LIVING ROOM - DAY - LATER ; 47、EXT. the glass jacket, PORCH - DAY",What event immediately prompts Sage Mercer to reject Sasha Whitaker's offer at the door?,Someone knocks on the door,"Sage Mercer is sitting in his living room watching TV when a knock is heard at the door. This sound directly precedes his interaction with Sasha Whitaker, who is waiting outside. The knock initiates the sequence in which Sage Mercer, already disturbed by the interruption, responds to Sasha Whitaker's overeager approach by refusing each of his offers and ultimately closing the door without further engagement.",Causal-Motivational Reasoning
legacy-ena1acdede6d524bffaf3a93bf0087206c-12,ena1acdede6d524bffaf3a93bf0087206c,en,"34、INT. HOSPITAL ROOM - DAY ; 3、INT. DILAPIDATED HOUSE, LIVING ROOM - CONTINUOUS",What event motivates Sage Mercer's willingness to embark on the journey with Blair Delaney to retrieve the balloon?,Sage Mercer enters Blair Delaney's hospital room and smiles at her,"In the hospital room, Blair Delaney lies in bed looking through her Adventure Book when a blue balloon drifts in. Sage Mercer appears at the door, smiles, and approaches her bedside. She gestures toward her book, gently pats his cheek, and fixes his tie before he kisses her forehead. This quiet moment of connection precedes their shared decision to go after the balloon, establishing the emotional foundation for their joint departure.",Causal-Motivational Reasoning
legacy-ena1acdede6d524bffaf3a93bf0087206c-13,ena1acdede6d524bffaf3a93bf0087206c,en,"116、INT. the weathered ring, COCKPIT ; 165、EXT. the weathered ring, TOP - DAY",How does the relationship between Taylor Thorne and Cameron Foster evolve from their initial confrontation to the final moments aboard the the weathered ring?,"Cameron Foster remains an active adversary, persistently opposing Taylor Thorne through resistance and escape attempts","From the cockpit confrontation to the climax on the the weathered ring's top deck, Cameron Foster consistently acts against Taylor Thorne, beginning with being accused of aiding an escape and culminating in physical conflict when Taylor Thorne attacks him. Throughout these scenes, their interactions are marked by mutual hostility: Cameron Foster bites Taylor Thorne in defiance, Taylor Thorne retaliates with force, and Cameron Foster continues to flee and resist as part of the opposing group. This establishes a sustained adversarial dynamic in which Cameron Foster actively challenges Taylor Thorne’s authority and actions.",Role-Relation Continuity
legacy-ena1acdede6d524bffaf3a93bf0087206c-14,ena1acdede6d524bffaf3a93bf0087206c,en,"107、EXT. MOUNTAIN, FLAT ROCKY AREA ; 137、INT. the weathered ring, RAMP ROOM - CONTINUOUS",How does Evan Dalton's relationship to Sage Mercer evolve from their initial confrontation through the the weathered ring ramp scene?,"Evan Dalton remains in active opposition to Sage Mercer, pursuing him as an enemy under Taylor Thorne's directive","From the rocky mountain area onward, Evan Dalton displays consistent hostility toward Sage Mercer, beginning with aggressive commands and physical enforcement as Sage Mercer is forced to accompany the group. This antagonism continues in the canyon, where Evan Dalton attacks Sage Mercer directly by biting Blair Hawthorne carrying him, demonstrating an ongoing intent to capture or stop him. By the time of the the weathered ring ramp scene, Taylor Thorne explicitly instructs Evan Dalton to guard against Sage Mercer, reinforcing a sustained adversarial role that aligns with prior actions, even if framed as a situational order.",Role-Relation Continuity
legacy-ena1acdede6d524bffaf3a93bf0087206c-16,ena1acdede6d524bffaf3a93bf0087206c,en,"37、INT. Sage Mercer'S BEDROOM - MORNING - SEVERAL YEARS LATER ; 37、INT. Sage Mercer'S BEDROOM - MORNING - SEVERAL YEARS LATER ; 26、INT. Harborview District, FRONT HALL - 3 YEARS LATER",What pivotal action initiates the sequence leading directly to Sage Mercer preparing to leave with Blair Delaney’s assistance?,Sage Mercer Rises from Bed and Stretches,"In the morning scene set several years later in Sage Mercer's bedroom, Sage Mercer rising from bed and stretching marks the first physical action that sets into motion a chain of preparations for departure. This moment transitions the narrative from stillness to movement, prompting subsequent actions including Sage Mercer taking his cane and Blair Delaney helping him with his tie before they leave together.",Narrative Progression
legacy-ena1acdede6d524bffaf3a93bf0087206c-17,ena1acdede6d524bffaf3a93bf0087206c,en,"46、INT. Sage Mercer'S LIVING ROOM - DAY - LATER ; 49、INT. Sage Mercer'S LIVING ROOM ; 47、EXT. the glass jacket, PORCH - DAY",What pivotal event initiates Sage Mercer's sequence of isolation and confrontation at his front door?,Sage Mercer Answers the Door,"In the living room later that day, Sage Mercer responds to a knock at the door, setting in motion a series of actions where he retreats further into his home, refuses entry to Sasha Whitaker, and ultimately steps outside despite the safety chain still being engaged. This moment marks the shift from passive tension to active engagement with the external pressures bearing on him. [49、INT. Sage Mercer'S LIVING ROOM - DAY - LATER]",Narrative Progression
legacy-ena1acdede6d524bffaf3a93bf0087206c-18,ena1acdede6d524bffaf3a93bf0087206c,en,"34、INT. HOSPITAL ROOM - DAY ; 34、INT. HOSPITAL ROOM - DAY ; 22、EXT. Harborview District, YARD - AFTERNOON",What pivotal event shifts the narrative toward Sage Mercer's gestures of affection and their shared pursuit of the adventure dream?,Sage Mercer Visits Blair Delaney in the Hospital,"In the hospital room, Sage Mercer's visit with Blair Delaney marks a critical emotional juncture, reigniting their commitment to the adventure they once envisioned together. This moment directly precedes and motivates Sage Mercer's tender actions and their joint effort to reclaim the balloon, serving as the narrative bridge that reestablishes their connection and purpose. [34、INT. HOSPITAL ROOM - DAY]",Narrative Progression
legacy-ena1acdede6d524bffaf3a93bf0087206c-25,ena1acdede6d524bffaf3a93bf0087206c,en,"3、INT. DILAPIDATED HOUSE, LIVING ROOM - CONTINUOUS ; 4、INT. DILAPIDATED HOUSE, UPSTAIRS",What key event occurs just before Sage Mercer and Blair Delaney head to the attic?,Blair Delaney informs Sage Mercer about the balloon's location,"Shortly after arriving at the dilapidated house, Blair Delaney discovers crucial information about the balloon's whereabouts and shares it with Sage Mercer. This exchange takes place in the living room and directly sets up their movement upstairs, where they proceed to search for the balloon in the attic.",Temporal Reasoning
