id,related_scenes,question,answer,related_context,question_type,question_source
1,6、EXT. GHETTO ALLEY - MOMENTS LATER,Why does the Teenage Gentile begin to shake and stammer?,Because The Hammer confronts him after taking the yarmulke.,The Teenage Gentile begins to shake and stammer. HAMMER Did you just take god's name in vain?,Causal-Motivational Reasoning,broad_coverage_scene
2,22、EXT. KWANZAA LIBERATION FRONT - DAY,"In [22、EXT. KWANZAA LIBERATION FRONT - DAY], What is the emotional state of the Black Teenager when they see the Hammer's Caddy?",Surprised and alarmed,BLACK TEENAGER Oh shit! The teen runs inside.,Character Understanding,broad_coverage_scene
3,30、INT. ANOTHER JEWISH HOME - NIGHT,What question does the ADDICT JEWISH CHILD ask his parents?,How come you made me Jewish?,"ADDICT JEWISH CHILD: Mom, dad. How come you made me Jewish?",Character Understanding,broad_coverage_scene
4,20、INT. THE CHIEF'S OFFICE - DAY,"In [20、INT. THE CHIEF'S OFFICE - DAY], What emotional state does Hammer express after returning to the office?",Stressed and overwhelmed,"I'm already shvitzing about the whole thing. You know, believe it or not, I'm allowed to make mistakes, too.",Character Understanding,broad_coverage_scene
5,36、INT. MALL OF AMERICA - DAY,What action does Tiny Tim take with the Hanukkah decoration?,rips it from the wall and tosses it into a small trashcan bonfire,"Tiny Tim, walkie-talkie in hand, surveys this Christmas Wonderland... He rips it from the wall and tosses it into a small trashcan bonfire.",Scene Grounding,broad_coverage_scene
6,60、INT. SANTA'S CONFERENCE ROOM - CONTINUOUS,What does Santa say when the Hammer asks about his girlfriend?,I don't have to tell you anything Hammer! You're gonna have to kill me before I tell you!,SANTA: I don't have to tell you anything Hammer! You're gonna have to kill me before I tell you!,Character Understanding,broad_coverage_scene
7,59、INT. SANTA'S WORKSHOP COMPOUND - CONTINUOUS,What does The Hammer say about the budget?,That Jewish Atomic Clock stuff ate up a lot of our budget.,Offscreen gunfire. That Jewish Atomic Clock stuff ate up a lot of our budget.,Character Understanding,broad_coverage_scene
8,57、EXT. COMPOUND PERIMETER WALL - DAY,What does The Hammer tell Mo about holding his waist?,You don't have to hold on to my waist. You're tied in.,"HAMMER: You know, you don't have to hold on to my waist. You're tied in.",Character Understanding,broad_coverage_scene
9,35、INT. CHIEF'S OFFICE - CONTINUOUS,How do Hammer and the Chief plan to avoid detection at the Mall Of America?,They will disguise themselves as a Gentile couple,We'll disguise ourselves as a Gentile couple to pass undetected.,Scene Grounding,broad_coverage_scene
10,37、INT. CAVERNOUS ROOM - MOMENTS LATER,What do the Hasidic animatronic puppets sing about?,Thousands of years of Jewish oppression and persecution,"Hasidic Animatronic puppets sing of thousands of years of Jewish oppression and persecution in an educational, yet oddly entertaining way.",Scene Grounding,broad_coverage_scene
