id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-endf4af255fff1417397ad8dc82d404df7-10,endf4af255fff1417397ad8dc82d404df7,en,43、INT. MENTAL HOSPITAL ; 43、INT. MENTAL HOSPITAL,What action by Elaine directly triggers Ted's distressed state at the terminal immediately after her departure?,Elaine offers spaghetti to Ted,"In the hospital room, Elaine brings a box of spaghetti-to-go and urges Ted to eat it, claiming it will make him feel better. As she delivers the food, she announces she is leaving him for Simon, explaining she can no longer stay with someone who refuses to face reality. When she attempts to kiss him goodbye, he turns away, rejecting her farewell. In the act of leaving, she flips a switch she believes controls the radio, but instead activates Ted’s electro-shock machine, causing his body to convulse violently as she exits. This sequence of emotional rejection, physical trauma, and abandonment precedes Ted’s solitary moment at the terminal, where he sits rubbing his temples in quiet distress.",Causal-Motivational Reasoning
legacy-endf4af255fff1417397ad8dc82d404df7-12,endf4af255fff1417397ad8dc82d404df7,en,38、INT. TERMINAL - ANOTHER AREA ; 40、INT. TERMINAL - OUTSIDE DRUGSTORE,What does Ted's confrontation with Elaine about the Mercury mission reveal about his motivations for seeking her at the drugstore?,Ted asks Elaine if she is part of the Mercury mission,"In the terminal, Ted approaches Elaine and asks directly if she is on the Mercury mission. Simon answers for her, confirming their participation and engagement. As they walk away, Ted insists the mission must be stopped, but is dismissed and left behind, wind blowing through his hair. This moment establishes his urgency and emotional investment, which culminates in his later attempt to reach Elaine outside the drugstore, where she ultimately rejects him, citing Simon's stability and reliability.",Causal-Motivational Reasoning
legacy-endf4af255fff1417397ad8dc82d404df7-14,endf4af255fff1417397ad8dc82d404df7,en,59、INT. SHUTTLE COCKPIT - MORNING ; 127、INT. COCKPIT,How does the working relationship between Captain Oveur and Elaine evolve from their initial interaction to the later crisis in the cockpit?,They remain trusted colleagues who coordinate under pressure,"From their first appearance together, Captain Oveur and Elaine demonstrate a preexisting familiarity confirmed by crew reactions. In subsequent scenes, they engage in joint decision-making, with Captain Oveur deferring to Elaine's technical expertise during critical operations. Even in the final scene, when Captain Oveur is found incapacitated, Elaine's immediate response is to assist him, reflecting an ongoing bond of professional trust and mutual reliance within the cockpit crew during high-stakes moments.",Role-Relation Continuity
legacy-endf4af255fff1417397ad8dc82d404df7-16,endf4af255fff1417397ad8dc82d404df7,en,38、INT. TERMINAL - ANOTHER AREA ; 39、INT. ROCKET HANGAR ; 43、INT. MENTAL HOSPITAL,"What pivotal event sets in motion Ted's arrest, sedation, and subsequent confrontation with Simon?",Ted Confronts Elaine and Is Detained,"In the rocket hangar, Ted confronts Elaine over the mission's true purpose, challenging her authority and exposing his resistance to the program's directives. This act of defiance triggers immediate security intervention, leading to his detention and sedation during the scheduled test operation. The escalation fractures trust with command, precipitating Simon's retaliatory measures and closing off any possibility of a controlled resolution.",Narrative Progression
legacy-endf4af255fff1417397ad8dc82d404df7-17,endf4af255fff1417397ad8dc82d404df7,en,39、INT. ROCKET HANGAR ; 43、INT. MENTAL HOSPITAL ; 42、INT. TERMINAL,"What pivotal event sets in motion Ted's emotional unraveling and isolation in the subsequent sequences involving his refusal to say goodbye, his flashback, and his presence at the terminal?",Ted's Arrest and Sedation During Rocket Test Operation,"The arrest and forced sedation of Ted during the rocket test operation marks a critical rupture in his psychological and physical autonomy, directly precipitating his disoriented state, emotional detachment, and fragmented recollections in the following scenes. This event severs his agency and connection to Elaine, establishing the conditions for his refusal to engage in farewells, his subsequent flashback after her departure, and his solitary appearance at the terminal. [scene: 39、INT. ROCKET HANGAR]",Narrative Progression
legacy-endf4af255fff1417397ad8dc82d404df7-18,endf4af255fff1417397ad8dc82d404df7,en,38、INT. TERMINAL - ANOTHER AREA ; 39、INT. ROCKET HANGAR ; 43、INT. MENTAL HOSPITAL,"What pivotal moment shifts the narrative toward the confrontation between Ted, Simon, and Elaine during the rocket test sequence?",Elaine Confronts Ted During Walk with Simon,"In a critical scene, Elaine directly challenges Ted while walking with Simon, disrupting the existing dynamics and setting in motion a chain of events that leads to Ted's escalating paranoia, his accusation of Simon, and the subsequent intervention during the rocket test operation. This confrontation marks the point where personal tensions intersect with operational control, triggering the crisis. [38、INT. TERMINAL - ANOTHER AREA]",Narrative Progression
legacy-endf4af255fff1417397ad8dc82d404df7-25,endf4af255fff1417397ad8dc82d404df7,en,11、EXT. TERMINAL - NIGHT ; 16、EXT. TERMINAL,"By the time Kruger and the Commissioner depart after their tense exchange, what has already occurred at the space center?",Kruger and Commissioner exit limousine at space center,"Before the confrontation between Kruger and the Commissioner escalates into a heated argument at the terminal, they have already arrived at the space center and exited their limousine. This arrival sets the stage for the rising tension between them, grounding the conflict in the immediate context of the shuttle launch proceedings.",Temporal Reasoning
legacy-endf4af255fff1417397ad8dc82d404df7-26,endf4af255fff1417397ad8dc82d404df7,en,38、INT. TERMINAL - ANOTHER AREA ; 43、INT. MENTAL HOSPITAL,"By the time Ted refuses to say goodbye and is shocked, what has already occurred between Simon, Elaine, and Ted during their walk?",Simon pulls Elaine away as they begin walking with Ted,"Earlier in the terminal, as Ted walks with Simon and Elaine, Simon abruptly pulls Elaine away, initiating a shift in their group dynamic. This moment sets the stage for Ted's later emotional reaction when he refuses to say goodbye and appears visibly shocked, indicating the significance of the prior interaction.",Temporal Reasoning
legacy-endf4af255fff1417397ad8dc82d404df7-27,endf4af255fff1417397ad8dc82d404df7,en,15、INT. TERMINAL ; 16、EXT. TERMINAL,What occurs immediately before Kruger and the Commissioner leave following their tense exchange?,Kruger and Commissioner descend escalator,"Shortly after reporting on press scrutiny while moving through the terminal, Kruger and the Commissioner descend an escalator, setting up the physical and emotional trajectory that leads into their strained departure. This moment directly precedes their exit and frames the tension carried into the next scene. [15、INT. TERMINAL]",Temporal Reasoning
legacy-endf4af255fff1417397ad8dc82d404df7-28,endf4af255fff1417397ad8dc82d404df7,en,38、INT. TERMINAL - ANOTHER AREA ; 39、INT. ROCKET HANGAR,What occurs just before Ted delivers his warning and Simon responds in kind?,Ted interrupts the conversation and insists on speaking with Elaine,"Shortly after the action shifts to another area of the terminal, Ted abruptly interrupts Elaine and Simon’s conversation, demanding to speak with Elaine. This intervention sets the stage for the subsequent confrontation in the rocket hangar, where tensions escalate as Ted issues a warning and Simon retaliates.",Temporal Reasoning
