id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enbb5dfbf639f341a8a5e95832409357b3-10,enbb5dfbf639f341a8a5e95832409357b3,en,23、INT. SHAPIRO/WEST - DAY ; 29、INT. ALPHA BETA SUPERMARKET - NIGHT,What moment directly prompts George to announce the proposal approval when he finds Andy at the supermarket?,Andy delivers a sarcastic Fonz impression to emphasize his demands,"Earlier in the day, Andy mocks George with a sarcastic 'Heyyyyyy!' in a Fonz impression, creating tension as George visibly reacts to the disrespect. This moment underscores Andy's defiance and sets the stakes for the proposal's outcome, making George's later announcement at the supermarket—a shift from tension to validation—feel consequential. The approval specifically references Andy's irreverent wit, directly linking the two events.",Causal-Motivational Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-12,enbb5dfbf639f341a8a5e95832409357b3,en,"45、INT. COLLEGE AUDITORIUM - NIGHT ; 35、INT. TAXI SET, BACKSTAGE - DAY",What moment during the reading performance most directly leads to Andy's decision to quit the show?,Andy resumes reading after hostile audience silence,"After the applause faded, Andy paused, then resumed reading *The Great Gatsby* in a calm, measured tone, asserting that Gatsby was exempt from his scorn. The audience responded with boos and stunned silence, their disapproval palpable. This confrontation with growing hostility—met with Andy’s quiet defiance—precedes his later announcement to Zmuda that he is leaving the show, marking a turning point in his engagement with the performance and its audience. [45、INT. COLLEGE AUDITORIUM - NIGHT]",Causal-Motivational Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-13,enbb5dfbf639f341a8a5e95832409357b3,en,"12、INT. NY IMPROV, SHOWROOM - 1975 - NIGHT ; 13、INT. NY IMPROV, BACKSTAGE - 1975 - LATER THAT NIGHT",What prompts George to compliment Andy after the show?,George watches Andy's performance with growing intrigue,"George observes Andy's act at Budd Friedman's club, where Andy begins awkwardly as Foreign Man but gradually captivates the room with a surprising transformation into Elvis Presley. As the performance unfolds, George leans in with increasing interest, particularly during the elaborate staging and precise impersonation. The shift from a nervous, poorly received opening to a bold, theatrical climax holds George's attention throughout, culminating in his decision to approach Andy backstage.",Causal-Motivational Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-14,enbb5dfbf639f341a8a5e95832409357b3,en,"13、INT. NY IMPROV, BACKSTAGE - 1975 - LATER THAT NIGHT ; 13、INT. NY IMPROV, BACKSTAGE - 1975 - LATER THAT NIGHT",What specific behavior during Andy's preparation makes his later break in character more impactful when George offers him the card?,Andy packs belongings with careful attention to clothing folds,"In the backstage moments after his performance, Andy meticulously folds each item of clothing, checking the creases with quiet precision, demonstrating a controlled and deliberate demeanor. This moment of focused routine establishes the discipline behind his performance persona, which sharply contrasts when he later drops the act upon receiving George's card, revealing the constructed nature of his earlier identity.",Causal-Motivational Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-15,enbb5dfbf639f341a8a5e95832409357b3,en,"13、INT. NY IMPROV, BACKSTAGE - 1975 - LATER THAT NIGHT ; 29、INT. ALPHA BETA SUPERMARKET - NIGHT ; 41、INT. JERRY'S DELI - NIGHT","What pivotal moment shifts the narrative trajectory toward George's public declaration, his emotional appeal in the coffee shop, and the confrontation where he uncovers Andy's disguise?",George Compliments Andy After the Show,"In the aftermath of a performance at the NY Improv, George offers genuine praise to Andy backstage, marking a subtle but significant shift in their dynamic. This moment of connection catalyzes a chain of escalating commitments and revelations, setting George on a path toward public affirmation, strained negotiation, and the eventual discovery of Andy's concealed identity.",Narrative Progression
legacy-enbb5dfbf639f341a8a5e95832409357b3-16,enbb5dfbf639f341a8a5e95832409357b3,en,43、INT. COLLEGE AUDITORIUM - SAME TIME ; 43、INT. COLLEGE AUDITORIUM - SAME TIME ; 20、INT. SNL SET - NIGHT,What pivotal moment shifts the narrative toward Andy's performance of the Mighty Mouse theme and his subsequent actions on stage?,Andy Walks Onstage Amid Applause,"In the auditorium, Andy steps onto the stage to audience applause, marking the onset of his performance sequence. This moment initiates a series of actions where he responds to a shout-out, attempts to continue with puppets, plays Mighty Mouse, and ultimately stands motionless while performing the theme. [scene: 43、INT. COLLEGE AUDITORIUM - SAME TIME]",Narrative Progression
legacy-enbb5dfbf639f341a8a5e95832409357b3-18,enbb5dfbf639f341a8a5e95832409357b3,en,40、INT. ABC CONFERENCE ROOM - LA - DAY ; 24、INT. ABC CONFERENCE ROOM - LA - DAY ; 29、INT. ALPHA BETA SUPERMARKET - NIGHT,"What pivotal event sets in motion the chain of consequences involving George's negotiations, the supermarket announcement, and Maynard's outburst during the broadcast?",George Screens Andy's TV Special for Maynard and the Network Executives,"In a conference room at ABC, George presents Andy's television special to Maynard and the network executives, whose reactions to the unconventional content create immediate tension. This screening directly triggers a series of critical developments: George must navigate Kaufman's escalating demands, publicly confirm the proposal's approval in a supermarket setting, and confront Maynard's volatile response when the special airs. The event serves as the central catalyst that propels the narrative into its next phase, aligning executive expectations, creative control, and public reception in irreversible ways. [40、INT. ABC CONFERENCE ROOM - LA - DAY]",Narrative Progression
legacy-enbb5dfbf639f341a8a5e95832409357b3-25,enbb5dfbf639f341a8a5e95832409357b3,en,"12、INT. NY IMPROV, SHOWROOM - 1975 - NIGHT ; 43、INT. COLLEGE AUDITORIUM - SAME TIME","By the time Andy reacts to the shout-out and tries to continue with the puppets, what has already taken place in his performance?",Andy awkwardly steps on stage in character as Foreign Man,"Earlier in the evening, Andy assumes his Foreign Man persona and makes an awkward entrance on stage at the New York Improv, setting the foundation for his later attempts to perform with puppets after receiving a shout-out. The sequence establishes the progression of his set, with the initial appearance preceding the audience interruption and subsequent effort to regain momentum.",Temporal Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-26,enbb5dfbf639f341a8a5e95832409357b3,en,22、INT. SNL SET - NIGHT ; 45、INT. COLLEGE AUDITORIUM - NIGHT,"By the time Andy resumes reading amid rising hostility, what has already taken place during his earlier performance?",Andy lip syncs to Mighty Mouse theme and surprises crowd,"Prior to the tense atmosphere in the college auditorium where Andy attempts to read his work, he performs a surprising and memorable act on the SNL set, lip syncing to the Mighty Mouse theme and captivating the audience. This moment establishes a contrast between his earlier, well-received performance and the increasingly hostile reception he later faces.",Temporal Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-28,enbb5dfbf639f341a8a5e95832409357b3,en,"27、INT. MAMA ROMA'S, KITCHEN - LATER THAT NIGHT ; 28、INT. ABC CONFERENCE ROOM - LA - DAY",What occurs immediately before George exposes Andy’s dual identity?,George confronts Tony at the employees' table,"Shortly after the confrontation in the kitchen at Mama Roma's, where George directly challenges Tony at the employees' table, the narrative shifts to the ABC conference room. It is there that George reveals the truth about Andy being in disguise as Tony. The confrontation serves as the pivotal moment that sets up the subsequent revelation.",Temporal Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-29,enbb5dfbf639f341a8a5e95832409357b3,en,48、INT. COLLEGE AUDITORIUM - LATER THAT NIGHT ; 49、INT. COLLEGE AUDITORIUM - LATER THAT NIGHT,What does Andy do shortly before finishing his reading to a sleeping audience?,teases audience by pretending to leave,"In the auditorium late at night, after engaging with the audience, Andy pretends to end his performance and walk offstage, prompting reactions from the crowd before returning to continue. This moment directly precedes his final reading to an audience that has begun to drift off.",Temporal Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-30,enbb5dfbf639f341a8a5e95832409357b3,en,"13、INT. NY IMPROV, BACKSTAGE - 1975 - LATER THAT NIGHT ; 14、INT. SOHO HEALTH FOOD RESTAURANT - NIGHT","What occurs just before the handshake at the health food restaurant, during the backstage moment at the NY Improv?",George offers Andy a business card and Andy reacts with surprise,"Shortly after the performance at the NY Improv in 1975, George approaches Andy backstage and extends a business card, prompting an unexpected and visibly surprised reaction from Andy. This exchange sets the stage for their subsequent interaction at the health food restaurant in Soho, where the tone shifts toward reconciliation and connection.",Temporal Reasoning
