id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,en4cf0d5a6f8544ee49db748b16e9624b6,en,9、INT. RAYETTE'S LIVING ROOM - NIGHT,What is Rayette's objective when she insists on playing the record and singing to Bobby?,To gain Bobby's attention through music,"Rayette, still in her waitress uniform, places a bowl of beer nuts on the coffee table and leans down to kiss Bobby, who sits on the couch with a can of beer. When he doesn’t respond, she kisses him more insistently, moving from his lips to his neck. He takes a drink without returning the affection. After the song ends, she says she wants to play it again. Bobby stops her, holding her hand. She suggests playing the other side instead, but he refuses and pulls her down onto the couch. She tells him to let her sing the song she picked. As she begins—'When there's a fire in your heart/Break the glass/Sound the alarm'—he picks up a pillow and holds it over his ear. Annoyed, she yanks the pillow away and snaps at him. He remains silent. She grabs the empty beer can he holds out and storms toward the kitchen, muttering that she’d do anything for him. She returns with a fresh beer, hands it to him, and sits back down, saying he’s too selfish to listen, even though all she wants is for him to pay attention to her singing. He looks at her name tag and tells her to take it off, then suggests they go out.",Character Understanding
2,en4cf0d5a6f8544ee49db748b16e9624b6,en,11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,"What does Rayette's question 'Do you love me, Bobby?' reveal about her emotional need in this moment?",Emotional reassurance and validation of her relationship with Bobby,"Rayette looks at Bobby and asks, 'Do you love me, Bobby?' He hesitates for a moment, then replies, 'Well now, what do you think?' She pulls him into her arms, holding him close.",Character Understanding
3,en4cf0d5a6f8544ee49db748b16e9624b6,en,11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,What does Rayette's refusal to leave Bobby's car reveal about her emotional state and intentions in this moment?,"She seeks acknowledgment of her worth and emotional commitment from Bobby, using the confrontation as leverage to force honesty.","Rayette remains in Bobby's car despite his attempt to leave, initiating a tense emotional exchange. She accuses him of treating her poorly and disrespects her in front of their friends, expressing fear that he will abandon her permanently. Her mention of potentially being found dead underscores her vulnerability and desperation for validation. When Bobby returns and tries to comfort her, she demands to know if he loves her, indicating her need for reassurance and a defined emotional connection.",Character Understanding
4,en4cf0d5a6f8544ee49db748b16e9624b6,en,42、INT. RAYETTE'S LIVING ROOM - DAY,What does Bobby seek upon entering the apartment and noticing signs of someone's presence?,Discover Rayette's condition,"Bobby enters the apartment and observes a rumpled blanket on the couch, a can of beer, and a cigarette burning in an ashtray. He calls out and moves down the hall toward the bedroom, where he finds Rayette lying in bed. He checks on her, mentions having heard about Elton, and responds to her silence with quiet acknowledgment, indicating his concern for her state.",Character Understanding
5,en4cf0d5a6f8544ee49db748b16e9624b6,en,9、INT. RAYETTE'S LIVING ROOM - NIGHT,What action initiates the intimate moment between Rayette and Bobby in the living room?,Rayette unbuttons Bobby's workshirt,"Rayette moves closer to Bobby and begins unbuttoning his workshirt, seeking emotional connection. When he avoids directly saying he loves her and instead comments on the playing song, she reacts with irritation. She pulls him toward her and kisses him again, asserting physical closeness despite his emotional reserve.",Scene Grounding
6,en4cf0d5a6f8544ee49db748b16e9624b6,en,9、INT. RAYETTE'S LIVING ROOM - NIGHT,What action does Rayette take to reestablish connection with Bobby after the song ends?,Attempts to replay the song on the portable stereo,"In the living room at night, Rayette tries to reconnect with Bobby by playing music. After a song finishes, she expresses a desire to play it again, but Bobby stops her by holding her hand. She suggests playing the other side of the record, but he refuses and pulls her onto the couch. Undeterred, she begins singing the song she had chosen, hoping for engagement, but Bobby covers his ear with a pillow. Frustrated, she pulls the pillow away and snaps at him. When he remains unresponsive, she retrieves another beer for him and voices her resentment, feeling unappreciated despite wanting his attention. He eventually tells her to remove her name tag and suggests they go out.",Scene Grounding
7,en4cf0d5a6f8544ee49db748b16e9624b6,en,42、INT. RAYETTE'S LIVING ROOM - DAY,What action does Rayette take in response to Bobby mentioning Elton?,turns her gaze to the window,"Bobby stands in the bedroom doorway, watching Rayette lie in bed with her back against the pillows, staring at the wall. He asks if she is sick, but she doesn’t respond. When he mentions Elton, she turns her gaze to the window. Bobby then walks to the closet, takes out a suitcase, and begins packing clothes, signaling his intention to leave.",Scene Grounding
8,en4cf0d5a6f8544ee49db748b16e9624b6,en,10、INT. BOWLING ALLEY - NIGHT; 34、EXT. REAR OF DINER - LATE NIGHT,What moment in the bowling alley explains Bobby's later physical advance on Rayette?,Rayette asks if it is her turn again,"During a bowling session, Rayette asks if it’s her turn and proceeds to bowl poorly, drawing Bobby’s frustration. He pressures her to keep trying, insisting she has another ball, until she finally knocks down all the pins. This dynamic of Bobby asserting control over Rayette in the alley foreshadows his later physical imposition when he forces a kiss outside the diner.",Causal-Motivational Reasoning
9,en4cf0d5a6f8544ee49db748b16e9624b6,en,9、INT. RAYETTE'S LIVING ROOM - NIGHT; 11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,What action by Bobby creates the emotional vulnerability that leads to him comforting Rayette in the car?,Bobby gestures at Rayette's name tag and suggests going out,"In Rayette's living room, Bobby points to her waitress name tag and tells her to remove it, suggesting they go out with friends. This moment unsettles Rayette, prompting her to take off the tag as she begins to emotionally disengage from her identity in that space. The interaction establishes a power dynamic and emotional tension that resurfaces later when Bobby returns to the car, where he comforts her in a physically intimate but emotionally ambiguous way, reasserting control while responding to her distress.",Causal-Motivational Reasoning
10,en4cf0d5a6f8544ee49db748b16e9624b6,en,9、INT. RAYETTE'S LIVING ROOM - NIGHT; 9、INT. RAYETTE'S LIVING ROOM - NIGHT,What action immediately precedes and triggers Rayette's outburst during the argument in the living room?,Rayette places bowl of beer nuts on coffee table,"In the living room at night, Rayette sets a bowl of beer nuts on the coffee table in front of Bobby, then kisses him while he remains passive and drinks his beer. This moment directly precedes her later frustration when he passively hands her his empty can, prompting her angry response and the ensuing argument about his indifference to her singing.",Causal-Motivational Reasoning
11,en4cf0d5a6f8544ee49db748b16e9624b6,en,11、EXT. BOWLING ALLEY PARKING LOT - NIGHT; 11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,What action immediately precedes and motivates Bobby's invitation to Rayette to go to Elton's?,Bobby comforts Rayette with physical affection after her emotional outburst,"In the parking lot outside the bowling alley, Rayette is emotionally distressed and seated in the passenger side of Bobby's car. After initially walking away, Bobby returns, gets into the car, and embraces her, kissing her and telling her to 'be a good girl.' When she expresses despair, saying he’ll find her dead one day, he reassures her he’s not leaving, continues to comfort her physically, and then suggests they go to Elton’s to have a good time. She asks if he loves her, he hesitates and responds ambiguously, and they embrace.",Causal-Motivational Reasoning
12,en4cf0d5a6f8544ee49db748b16e9624b6,en,15、EXT. SIGNAL HILL FIELD - DAY; 36、EXT. SIGNAL HILL RIG - DAY,"By the time Bobby hesitates by his car after quitting, what has already taken place between him and Elton?",Bobby and Elton attempt to climb to the rig floor after a night of drinking,"Earlier in the day, following a night of heavy drinking, Bobby and Elton make a reckless attempt to scale the rig floor, an incident that underscores their deteriorating judgment and sets the stage for Bobby’s subsequent decision to quit. This event unfolds distinctly before Bobby’s moment of hesitation at his car, marking a turning point in his arc.",Temporal Reasoning
13,en4cf0d5a6f8544ee49db748b16e9624b6,en,19、INT. BOBBY'S CAR - FREEWAY - DAY; 36、EXT. SIGNAL HILL RIG - DAY,"By the time the driller responds to Bobby quitting, what has already taken place?",Bobby expresses frustration and exits the vehicle,"In an earlier moment on the freeway, Bobby becomes visibly agitated during a tense drive, voices his frustration, and abruptly storms out of his car while it's still in park. This incident sets the stage for his later confrontation with the drilling team, where his resignation is met with immediate operational repercussions.",Temporal Reasoning
14,en4cf0d5a6f8544ee49db748b16e9624b6,en,3、INT. MORTUARY CHAPEL - DAY; 170、INT. DUPEA DINING ROOM - NIGHT,"How does Tita's relationship with Nicholas Dupea evolve from the funeral to the family dinner, and what role consistently defines their interaction?",Tita remains a trusted caretaker and familial ally to Nicholas Dupea,"From the mortuary chapel, where Tita accompanies Nicholas during the funeral in a supportive role, through multiple domestic scenes including a grooming moment at the Dupea home and shared family dinners, she consistently engages in caretaking and familiar behaviors. Her actions—following him, grooming his hair, and showing concern when he is pressured to eat—reflect an enduring, positive dynamic rooted in familial trust and ongoing personal care.",Role-Relation Continuity
