id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enadb2496983c5461982b98e1afd844b33-1,enadb2496983c5461982b98e1afd844b33,en,35、28B BRIDGE FLIGHT DECK,What does Stinger aim to accomplish by reassigning Maverick to Top Gun after the flight incident?,Teach discipline through elite training,"Stinger confronts Maverick and Goose following a reckless flight, rejecting excuses and emphasizing accountability. He reveals that the original Top Gun candidate has stepped down due to personal issues and assigns Maverick in his place, not as a reward but as a corrective measure. He acknowledges Maverick’s skill but criticizes his defiance of orders, stating that facing superior pilots in a disciplined environment may instill the teamwork and restraint he lacks. His decision is framed as both a consequence and an opportunity for growth, ultimately intended to shape Maverick into a more responsible aviator.",Character Understanding
legacy-enadb2496983c5461982b98e1afd844b33-11,enadb2496983c5461982b98e1afd844b33,en,31、26 MAVERICK'S COCKPIT  - (AERIAL) ; 31、26 MAVERICK'S COCKPIT  - (AERIAL),What event immediately prompts Maverick to fly wingtip to wingtip with Cougar's inverted aircraft?,Cougar's aircraft flips into inverted flight,"During a training exercise, Cougar loses control and his aircraft flips upside down, entering inverted flight. Disoriented and unresponsive at first, he fails to correct the maneuver on his own. Recognizing the danger, Maverick positions his plane directly alongside Cougar's inverted jet, maintaining precise formation to provide visual guidance and stabilize the situation. By flying wingtip to wingtip while remaining level, Maverick creates a reference point to help Cougar regain orientation and execute a proper recovery.",Causal-Motivational Reasoning
legacy-enadb2496983c5461982b98e1afd844b33-12,enadb2496983c5461982b98e1afd844b33,en,36、28C FLIGHT DECK ; 36、28C FLIGHT DECK,"In [36、28C FLIGHT DECK], what event immediately before Maverick's rapid movement through the ship motivates his urgency and separation from Goose?",Maverick and Goose navigating through a crowd of aircrews on the flight deck,"After their dogfight with MiGs, Maverick and Goose attempt to cross the crowded flight deck of the aircraft carrier, surrounded by aircrews shouting questions and reaching out to them. As the noise and pressure build, with 'Top Gun' being called out, Goose falls behind in the throng. Maverick, increasingly agitated, begins to move faster—climbing ladders, descending into lower decks, and weaving through tight corridors—eventually breaking into a run as he pushes forward alone through the ship’s interior passageways.",Causal-Motivational Reasoning
legacy-enadb2496983c5461982b98e1afd844b33-13,enadb2496983c5461982b98e1afd844b33,en,31、26 MAVERICK'S COCKPIT  - (AERIAL) ; 31、26 MAVERICK'S COCKPIT  - (AERIAL),What action by Maverick earlier establishes the trust that allows him to talk Cougar down during the fuel crisis?,Maverick flies wingtip to wingtip with Cougar's inverted aircraft to provide visual reference,"During Cougar's mid-air disorientation, Maverick matches his inverted flight position, flying in extremely close formation to provide a stable visual reference. By maintaining precise wingtip-to-wingtip alignment and calmly reassuring Cougar, he creates a critical sense of stability and trust. This act of skill and presence directly enables his later ability to convince Cougar not to eject when fuel is low and conditions are dangerous, as Cougar now relies on Maverick's judgment to navigate both spatial and operational crises.",Causal-Motivational Reasoning
legacy-enadb2496983c5461982b98e1afd844b33-14,enadb2496983c5461982b98e1afd844b33,en,17、14B INT. COUGAR'S F-14 ; 44、34 STINGER'S CABIN,How does the working relationship between Cougar and Maverick evolve from their joint flight operations to later references in the narrative?,They remain trusted wingmen with mutual operational reliance,"From their coordinated engagement in Cougar's F-14 to later moments aboard the flight deck and during in-flight emergencies, Maverick consistently supports Cougar through tactical guidance, direct intervention, and public affirmation. Maverick defends Cougar's standing when others speak of him in the past tense, insisting 'Still is,' which underscores an ongoing professional bond rooted in trust and combat partnership.",Role-Relation Continuity
legacy-enadb2496983c5461982b98e1afd844b33-15,enadb2496983c5461982b98e1afd844b33,en,31、26 MAVERICK'S COCKPIT  - (AERIAL) ; 31、26 MAVERICK'S COCKPIT  - (AERIAL) ; 44、34 STINGER'S CABIN,What pivotal event shifts the momentum toward the sequence involving Goose's humor during and after the emergency landing?,Maverick Talks Cougar Down Amid Fuel Crisis,"In the cockpit during a high-stakes aerial crisis, Maverick's decisive intervention to calm Cougar and maintain control under extreme pressure sets off a chain of events that leads directly to the tense yet human moments following the emergency landing, including Goose's attempts to diffuse stress with humor and the communication exchanges between the crew and command. This moment of leadership and composure becomes the narrative fulcrum for the subsequent resolution of the flight sequence. [31、26 MAVERICK'S COCKPIT  - (AERIAL)]",Narrative Progression
legacy-enadb2496983c5461982b98e1afd844b33-16,enadb2496983c5461982b98e1afd844b33,en,23、19 INT. COCKPIT 115 - MAVERICK ; 31、26 MAVERICK'S COCKPIT  - (AERIAL) ; 31、26 MAVERICK'S COCKPIT  - (AERIAL),What pivotal event initiates the sequence in which Maverick guides a distressed pilot through a fuel emergency and vertigo-induced instability during landing?,Respond to Cougar's Distress Call,"The sequence begins when Maverick intercepts a distress call from Cougar, whose disorientation during a flight emergency sets off a chain of critical interventions. This moment shifts the narrative focus to Maverick's role in stabilizing the crisis, leading directly to his efforts to talk Cougar down amid failing systems and spatial disorientation, culminating in the LSO's assistance during the unstable approach [scene: 23、19 INT. COCKPIT 115 - MAVERICK].",Narrative Progression
legacy-enadb2496983c5461982b98e1afd844b33-17,enadb2496983c5461982b98e1afd844b33,en,31、26 MAVERICK'S COCKPIT  - (AERIAL) ; 31、26 MAVERICK'S COCKPIT  - (AERIAL) ; 31、26 MAVERICK'S COCKPIT  - (AERIAL),What pivotal event initiates Maverick's intervention during Cougar's in-flight crisis and sets the recovery sequence in motion?,Maverick Guides Cougar Through Inverted Flight Recovery,"During a high-altitude training exercise, Cougar becomes disoriented and loses control, entering an inverted flight attitude that jeopardizes the mission and his safety. Maverick, recognizing the severity of the situation, takes immediate command of the recovery, guiding Cougar through precise maneuvers to stabilize his aircraft. This moment marks the shift from uncontrolled crisis to coordinated response, enabling the subsequent actions in which Maverick flies wingtip to wingtip with the inverted plane and talks Cougar down through vertigo. [scene: 26 MAVERICK'S COCKPIT - (AERIAL)]",Narrative Progression
legacy-enadb2496983c5461982b98e1afd844b33-25,enadb2496983c5461982b98e1afd844b33,en,20、16 INT. MIG ; 35、28B BRIDGE FLIGHT DECK,"By the time Goose retrieves Cougar's photo following the emergency landing, what critical incident during flight has already taken place?",Cougar reports sensory disorientation during flight,"Before the retrieval of the photo on the flight deck, Cougar experiences spatial confusion mid-flight, prompting Goose to intervene and assist in stabilizing the situation. This disorientation directly precipitates the emergency landing and sets the stage for the subsequent emotional resolution involving the photo. The events are linked by a cause-and-effect progression across distinct phases of the flight mission.",Temporal Reasoning
legacy-enadb2496983c5461982b98e1afd844b33-26,enadb2496983c5461982b98e1afd844b33,en,15、14 EXT. COUGAR'S F-14 ; 36、28C FLIGHT DECK,"By the time Maverick and Goose push through the crowds after the MiG encounter, what has already taken place in the dogfight?",MiG pilot performs precise aerial maneuver to position alongside Maverick,"Prior to the tense aftermath aboard the flight deck where Maverick and Goose face scrutiny, a critical moment unfolds in the skies when the MiG pilot executes a calculated maneuver, flying in tight formation with Maverick in a display of skill and intimidation. This close aerial confrontation sets the stage for the subsequent reactions on the carrier, establishing the immediacy and stakes of the encounter that ripple through the crew's response.",Temporal Reasoning
