id,movie_id,language,related_scenes,question,answer,related_context,question_type
1,enf18baec3a1b8400da447b89e0b39bb61,en,32、EXT. CREMATORIUM - DAY,What does Carter acknowledge by stepping outside after confronting Eric?,Cyril's concern is justified,"Carter confronts Eric about his undisclosed loyalties, learning that Cyril, Sid, and Gerald oppose his involvement. After a tense exchange, Carter opens the front door, remarks that Cyril is right to be concerned, and leaves, signaling his recognition of the legitimacy in their opposition.",Character Understanding
2,enf18baec3a1b8400da447b89e0b39bb61,en,32、EXT. CREMATORIUM - DAY,What does Carter aim to achieve by confronting Eric at the racetrack?,Uncover Eric's current allegiance,"Carter locates Eric at the racetrack, where he is working in a chauffeur's uniform among wealthy patrons. Through pointed small talk and veiled threats, Carter probes Eric's present associations, dismissing his claims of legitimacy and testing his loyalty. He references past connections like Martini, Brumby, and Kinnear, then challenges Eric about Albert Swift, using personal familiarity and psychological pressure to expose the truth of his current role.",Character Understanding
3,enf18baec3a1b8400da447b89e0b39bb61,en,50、EXT. ALLEY IN TOWN CENTRE - NIGHT,What does Carter aim to achieve by approaching Doreen at the snack bar?,Reconnect and check on her,"Carter sees Doreen inside a neon-lit snack bar, sitting with another girl and drinking a milkshake. He parks nearby, watches her briefly, then walks to the window and knocks to get her attention. After she joins him outside, he gently asks if she is all right, and she confirms that she is.",Character Understanding
4,enf18baec3a1b8400da447b89e0b39bb61,en,32、EXT. CREMATORIUM - DAY,What does Carter aim to achieve by confronting Margaret about Frank's death?,Obtain the truth about Frank's killer,"Carter stops Margaret from leaving by grabbing her arm and demands to know who killed Frank. Though she initially denies involvement and tries to walk away, he insists on speaking further, and she eventually agrees to meet him the next morning on the Iron Bridge. His persistent questioning and insistence on a follow-up meeting indicate his determination to uncover the truth behind Frank's death.",Character Understanding
5,enf18baec3a1b8400da447b89e0b39bb61,en,47、INT. THE HEIGHTS - HALLWAY - EVENING,What action initiates Ray's pursuit of Carter in the hallway scene?,Eric signals Ray to follow Carter,"After Carter exits through the front door, Eric silently directs Ray to follow him. Ray immediately moves out, beginning to trail Carter down the path, setting the pursuit in motion.",Scene Grounding
6,enf18baec3a1b8400da447b89e0b39bb61,en,13、EXT. NEWCASTLE STATION - NIGHT,What action marks Carter's arrival at the station?,exits train with other passengers,"Carter steps off the train alongside other passengers and pauses momentarily just outside the doors, taking in his surroundings as he begins to survey the station.",Scene Grounding
7,enf18baec3a1b8400da447b89e0b39bb61,en,50、EXT. ALLEY IN TOWN CENTRE - NIGHT,What action initiates the emotional climax of the alley scene between Carter and Doreen?,Carter announces he is leaving and likely won't see Doreen again,"In the alley at night, Carter tells Doreen he is departing the next day and probably won’t return. He gives her money to get her hair done, instructs her to be good and not trust boys, and lifts her chin to look at her before she rushes off to show her friend the cash. The moment centers on his farewell as a turning point in their relationship.",Scene Grounding
8,enf18baec3a1b8400da447b89e0b39bb61,en,46、INT. THE HEIGHTS - SITTING ROOM - LATE AFTERNOON; 47、INT. THE HEIGHTS - HALLWAY - EVENING,What action by Carter directly prompts Eric to send Ray after him?,Carter prepares to leave the gathering,"After the poker game concludes, Carter announces he has other obligations, stands, and moves toward the door, signaling his intent to depart. As he exits, Eric follows briefly and then returns to dispatch Ray to trail him, setting in motion the surveillance of Carter’s departure.",Causal-Motivational Reasoning
9,enf18baec3a1b8400da447b89e0b39bb61,en,47、INT. THE HEIGHTS - HALLWAY - EVENING; 47、INT. THE HEIGHTS - HALLWAY - EVENING,What prompts Carter's departure after Eric delivers his warning?,Carter confronts Eric about his employer,"Carter approaches Eric to demand an explanation for not disclosing his true affiliation. Eric reveals that Cyril disapproves of Carter's involvement and warns that Sid and Gerald will also object to his interference. Carter responds sarcastically, acknowledges Cyril's concern, and moves toward the door. After Eric reiterates the warning, Carter steps outside and leaves, prompting Ray to follow on Eric's signal.",Causal-Motivational Reasoning
10,enf18baec3a1b8400da447b89e0b39bb61,en,34、INT. THE HALF MOON PUB - DAY; 49、INT. THE HALF MOON - NIGHT,What action by Carter earlier explains his passive role during the brawl in the pub?,Carter restrains Keith from following Doreen,"After Doreen ran out crying, Keith moved to follow her, but Carter held him back, saying she would be all right. Carter then turned his attention to Eddie, offering him a drink and insisting he take money for his suit before leaving. With tensions already simmering and Carter positioning himself as a calming presence, he later remains motionless in the doorway when a fight erupts between two women, observing without intervening as the chaos unfolds around him.",Causal-Motivational Reasoning
