id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,enf53d09c71da246cfb21c10366409a6b1,en,,What does McGinty aim to do when he speaks to Shane over the helmet radio after Lamont's touchdown?,Confronts Shane over leadership failure,"After Lamont's touchdown, McGinty's voice comes through the helmet radio with sharp intensity. He accuses Shane of avoiding responsibility and lacking the will to win. On the sideline, Shane remains silent, staring ahead with a downcast expression, his quiet nod suggesting he absorbs the weight of the rebuke.",Character Understanding
2,enf53d09c71da246cfb21c10366409a6b1,en,,What is Pilachowski's objective when he approaches Lee as Lee eats eggs at his locker?,To confront Lee about eating right before a game,"Mickey Lee sits in front of his locker, eating four hard boiled eggs one after another. Coach Pilachowski approaches and watches for a moment before speaking. He tells Lee he must be crazy for eating right before a game. Lee replies that he always ate before a big match, explaining that he needs the bulk, just as he did during his time in sumo wrestling. [Pilachowski Confronts Lee Over Pre-Game Eggs]",Character Understanding
3,enf53d09c71da246cfb21c10366409a6b1,en,,What is Shane trying to achieve when Shane while scraping algae from the underside of a sailboat?,Secure a useful lead,"While scraping algae from the underside of a sailboat, Shane notices a glint of gold among the trash scattered across the seafloor. A beam of sunlight cuts through the murky water, illuminating a broken bronze football trophy half-buried in the mud. He releases his grip on the hose, drifts downward, and lands softly on the bottom. Kneeling, he picks up the trophy, turning it over in his hands. The football-shaped bronze rests familiarly in his grip as he traces the seams with his fingers. [Shane Finds a Trophy on the Seafloor]",Character Understanding
4,enf53d09c71da246cfb21c10366409a6b1,en,,"In [12、INT. METHAMPHETAMINE LAB - DAY], what realization shapes Biker's next move when Biker one of the bikers stops cooking meth and looks up?",Hears Noise and Checks the Door,"One of the bikers stops cooking meth and looks up, signaling he heard something. He glances toward the door. The other biker shakes his head, indicating he didn't hear anything. The first biker walks over to the door, listens for a moment, and hears nothing. He starts to turn away when suddenly the door explodes inward. [scene: Hears Noise and Checks the Door]",Character Understanding
5,enf53d09c71da246cfb21c10366409a6b1,en,,What action defines the climax of the game in the late afternoon field scene?,Shane executes fake extra point play by pitching to Brian Murray,"With eight seconds left, the Redskins appear to set up for a routine extra point. Shane takes the snap as holder and unexpectedly pitches to Brian Murray, who dashes around the end zone unchallenged for the winning touchdown. As the Patriots' defender trips over Shane during the play, the field erupts in celebration while McGinty watches quietly from the sideline, a subtle smile breaking through.",Scene Grounding
6,enf53d09c71da246cfb21c10366409a6b1,en,,What action initiates Shane's final play in the field scene?,Shane drops into shotgun formation at line of scrimmage,"With just over a minute left in the fourth quarter, Shane lines up in the shotgun formation at the line of scrimmage. The ball is snapped and he drops back, rolling left to avoid an oncoming blitz. Under pressure, he shifts direction and rolls to the right, then throws a pass toward Franklin near the goal line. The throw is intercepted by a New England Patriots defensive back, and immediately after releasing the ball, Shane is tackled hard by a defensive end and goes down motionless. His teammates and supporters on the sideline react in despair.",Scene Grounding
7,enf53d09c71da246cfb21c10366409a6b1,en,,What action initiates Shane's preparation for the game in the scene at McGinty's house?,Shane states he needs to study the playbook,"In the scene, Shane tells Annabelle he needs to study the playbook and begins to leave. She responds with 'Break a leg tomorrow,' a phrase that visibly confuses him. He pauses, waves uncertainly, and walks away down the hallway, marking the start of his focus on the upcoming game.",Scene Grounding
8,enf53d09c71da246cfb21c10366409a6b1,en,,What event during the defensive collapse directly prompts Banes's visible frustration with Bateman's penalties?,Bateman grabs an opposing running back by the face mask and spins him to the ground,"During a sequence of defensive failures, Shane avoids a blitz but throws an incomplete pass, followed by a series of turnovers including a fumble returned for a touchdown and an interception also taken for a score. Amid this collapse, Bateman commits a face mask penalty by grabbing an opposing running back and spinning him down, triggering multiple flags and contributing to the mounting defensive setbacks. Shortly afterward, Banes is seen on the sideline reacting with growing anger as further penalties pile up, culminating in his outburst toward Bateman.",Causal-Motivational Reasoning
9,enf53d09c71da246cfb21c10366409a6b1,en,,"What action by Shane immediately before the audible establishes his authority in the huddle, making the team receptive to his play call despite the defense's mockery?",Shane leads team huddle with motivational speech,"Earlier in the game, Shane gathers the team in a huddle and delivers a brief but impactful speech, reminding them of how far they've come in just one week. His composure and leadership settle the group, and they respond with focus. This moment establishes Shane as a decisive figure, which contrasts with the defensive players' laughter when he later calls 'Black 43!' at the line—yet the offense remains locked in, following his lead without hesitation.",Causal-Motivational Reasoning
10,enf53d09c71da246cfb21c10366409a6b1,en,,What action during the game creates the tension that leads McGinty to revive Shane with smelling salts and demand he reattempt the play?,Shane panics and throws the ball out of bounds during the play,"During the second quarter, under pressure from defenders, Shane rolls out but hesitates and throws the ball out of bounds instead of hitting an open receiver. McGinty immediately corrects him, pointing out the missed opportunity and urging him to improve his timing and field awareness. Later, after Shane is knocked down and lies motionless on the bench, McGinty intervenes forcefully, using smelling salts to revive him and insisting he reenter the game to execute the same play correctly, directly linking the earlier mistake to this moment of confrontation and redemption.",Causal-Motivational Reasoning
11,enf53d09c71da246cfb21c10366409a6b1,en,,What action by Shane directly leads to the Patriots' defensive end exiting the game after a clash with Lee?,Shane repositions the huddle to the left before the next play,"Shane shifts the huddle to the left, aligning Lee directly across from the Patriots' defensive end. As the play begins, Lee charges forward and collides with the defender, breathing into his face during the impact, which causes the defensive end to gag and later leave the field, unable to continue.",Causal-Motivational Reasoning
12,enf53d09c71da246cfb21c10366409a6b1,en,,"By the time Bateman's repeated offside calls lead to an on-field altercation, what has already taken place during practice play?",Bateman tackles four blockers during practice play,"Earlier in the script, during a scrimmage scene, Bateman demonstrates aggressive behavior by tackling four blockers in a single play, setting a precedent for his escalating conduct on the field. This moment directly precedes and informs the later confrontation that arises from repeated offside calls, showing a progression in his character's on-field intensity. [25、EXT. FIELD - DAY]",Temporal Reasoning
13,enf53d09c71da246cfb21c10366409a6b1,en,,"By the time Reese helps Shane up after the game-winning play, what has already taken place between them earlier in the day?",Reese Evans checks on Shane and gives snap count advice,"Before the final moments on the field, Reese takes time in the locker room to check on Shane and offer guidance about the snap count, establishing a moment of mentorship that precedes his later gesture of helping Shane to his feet after the decisive play.",Temporal Reasoning
14,enf53d09c71da246cfb21c10366409a6b1,en,,How does Eddie Martel's treatment of Annabelle Farrell evolve from their initial encounter to the confrontation in Shane's room?,Eddie Martel keeps treating Annabelle Farrell as a threat,"From the sidelines where Annabelle regards Eddie Martel with clear disdain, his perception of her shifts into active hostility, culminating in Shane's room where he asserts control over her relationships through jealousy-fueled threats, maintaining a stance of possessive opposition toward her autonomy.",Role-Relation Continuity
15,enf53d09c71da246cfb21c10366409a6b1,en,,How does the relationship between Andre and Jamal evolve from their interaction in the locker room to the bar at the Washington Hilton?,They maintain a reciprocal alliance of mutual support and cooperation under pressure,"From the locker room scene where Andre and Jamal help each other with their jackets, demonstrating mutual trust, through subsequent scenes where they act in unison as protective partners, their relationship remains consistently cooperative. This continuity culminates in the bar at the Washington Hilton, where Jamal physically supports Andre, reaffirming their established dynamic of loyalty and mutual reliance in high-pressure situations.",Role-Relation Continuity
16,enf53d09c71da246cfb21c10366409a6b1,en,,"What pivotal event sets in motion the sequence leading to Annabelle's departure, Shane's critical pass, and McGinty's intervention on the bench?",Shane Prepares for the Game After Parting with Annabelle,"Following Shane's emotional separation from Annabelle, he focuses on the impending game, channeling his resolve into preparation. This shift marks a decisive moment where personal loss transitions into athletic determination, directly precipitating his performance under pressure, McGinty's strategic correction during play, and the subsequent revival moment on the bench. The scene establishes the emotional and narrative momentum that drives the unfolding climax. [31、INT. McGINTY'S HOUSE - DAY]",Narrative Progression
17,enf53d09c71da246cfb21c10366409a6b1,en,,"What turning point initiates Shane's emergence as a decisive leader on the field, setting in motion a series of successful offensive plays?",Shane Leads the Huddle and Completes First Pass to Murray,"In the pivotal moment on the field, Shane takes control by leading the huddle and confidently completing his first pass to Murray. This action marks a shift in momentum, establishing Shane's authority and catalyzing a string of dynamic offensive successes, including deep spirals, cross-field maneuvers, and coordinated team advances that build upon this initial assertion of leadership.",Narrative Progression
18,enf53d09c71da246cfb21c10366409a6b1,en,,"What pivotal event sets in motion Annabelle's actions of offering support, intervening with the women, and helping Shane after the bar?",Annabelle Approaches Shane at the Water Cart,"In the field during the day, Annabelle initiates a critical shift in the narrative by approaching Shane at the water cart. This moment marks the beginning of her active involvement in his journey, directly precipitating her later decisions to offer emotional support, intervene in confrontations, and assist him following the altercation at the bar.",Narrative Progression
19,enf53d09c71da246cfb21c10366409a6b1,en,,"What pivotal event sets off the sequence leading to Clifford Franklin's dropped passes, McGinty's confrontation with Shane, and the chaotic huddle penalties?",Shane's Struggles and Bateman's Penalty Amid Defensive Collapse,"The momentum shifts during a critical field sequence where Shane's performance deteriorates and Bateman incurs a penalty, triggering a chain of setbacks including miscommunications, leadership tensions, and execution failures in subsequent plays [scene: 39、EXT. FIELD - DAY].",Narrative Progression
20,enf53d09c71da246cfb21c10366409a6b1,en,,What instruction during halftime recovery directly enables the fake extra point that leads to Brian Murray's winning touchdown?,McGinty quietly advises Shane to look for Murray over the middle,"During halftime, McGinty crouches beside Shane in the locker room as he lies on the floor recovering from injuries. Speaking quietly, McGinty tells Shane to target Brian Murray over the middle, describing him as a big, tough player with reliable hands, and urges Shane to trust him. This guidance sets the foundation for the decisive play executed late in the game.",Causal-Motivational Reasoning
21,enf53d09c71da246cfb21c10366409a6b1,en,,"Which scene or scenes best match the following description: The Patriot kicker booted the ball into the end zone for a touchback, and the ball was placed at the twenty-yard line. Shane walked onto the field with the offense and made his way toward the huddle forming around Andre and Mickey Lee, who were already",39、EXT. FIELD - DAY | 40、EXT. GAME - ANGLE ON SCOREBOARD - SECOND QUARTER,"The Patriot kicker booted the ball into the end zone for a touchback, and the ball was placed at the twenty-yard line. Shane walked onto the field with the offense and made his way toward the huddle forming around Andre and Mickey Lee, who were already",Scene Grounding
