id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enec3061f1b9d346fa84285a8f3eb111ba-10,enec3061f1b9d346fa84285a8f3eb111ba,en,22、INT. Spencer Keaton'S FLAT NIGHT ; 22、INT. Spencer Keaton'S FLAT NIGHT,What event immediately enables Spencer Huxley to begin repairing the heater and ultimately escape across the void?,Mysterious voice instructs Spencer Keaton to drop the phone and raise his hands,"Spencer Keaton answers a ringing phone, responding groggily, when a sharp voice commands him to put the phone down and raise his hands. As he hesitates, he hears a noise at the kitchen door and turns to see a blurred movement. The voice speaks again—now clearly from behind him—and Spencer Keaton whirls around to find Spencer Huxley standing in the room, holding a telephone receiver and aiming a gun at him. After Spencer Keaton complies, Spencer Huxley places the receiver in a bag, pockets his weapon, and inspects the apartment. Only after securing the space does he introduce himself as a heating engineer and begin working on the system, setting in motion his eventual repair of the heater and escape across the void on a rope to a neighboring building.",Causal-Motivational Reasoning
legacy-enec3061f1b9d346fa84285a8f3eb111ba-12,enec3061f1b9d346fa84285a8f3eb111ba,en,13、EXT. SKY DAY ; 132、EXT. MAZE-LIKE DARK PASSAGES NIGHT,How does Spencer Keaton's relationship with the Adrian Colter evolve from their initial confrontation to the final pursuit through the maze-like passages?,Spencer Keaton consistently treats the Adrian Colter as active adversaries,"From the early aerial confrontation where Spencer Keaton bars their path and they draw swords, through multiple encounters in the stone ship where he physically struggles against them and is overwhelmed, to the final sequence in the maze-like dark passages where they close in on him without possibility of escape, Spencer Keaton maintains an adversarial stance toward the Adrian Colter, meeting each encounter with direct resistance and combat readiness.",Role-Relation Continuity
legacy-enec3061f1b9d346fa84285a8f3eb111ba-13,enec3061f1b9d346fa84285a8f3eb111ba,en,21、EXT. DARKNESS NIGHT ; 104、EXT. Silverline Holdings NIGHT,How does Spencer Keaton's relationship with the Morgan Bellamy remain consistent from their first encounter through the confrontation at the Silverline Holdings?,Spencer Keaton treats the Morgan Bellamy as an adversarial force throughout,"From the initial appearance of the Morgan Bellamy in the darkness, Spencer Keaton reacts with fear and physical resistance, establishing a hostile dynamic. This adversarial pattern continues at the Silverline Holdings, where the Giant blocks Spencer Keaton's path and the two engage in direct physical conflict. Spencer Keaton's actions—confronting, attacking, and ultimately removing the Giant's mask—are framed within a context of opposition and struggle, maintaining a consistent negative and combative relationship without indication of alliance, neutrality, or shift in stance.",Role-Relation Continuity
legacy-enec3061f1b9d346fa84285a8f3eb111ba-14,enec3061f1b9d346fa84285a8f3eb111ba,en,18、INT. POSH RESTAURANT (ENTRANCE) DAY ; 97、INT. LINGERIE DEPARTMENT/SHOPPING CENTRE,How does the working relationship between Mrs. Terrain and Darian Adler evolve from their initial interaction to their later collaboration?,Darian Adler transitions from a shy subordinate to an attentive attendant and companion,"In their first encounter, Darian Adler speaks timidly and defers to Mrs. Terrain, who responds with protective guidance, suggesting a momentary dynamic of care and hesitation. By the later scene, Darian Adler is actively pushing Mrs. Terrain's wheelchair and engaging in familiar conversation, reflecting an established, cooperative bond where she serves as both attendant and companion. The shift indicates a deepening of roles from tentative interaction to consistent, supportive partnership.",Role-Relation Continuity
legacy-enec3061f1b9d346fa84285a8f3eb111ba-16,enec3061f1b9d346fa84285a8f3eb111ba,en,27、EXT. Blair Hale FLATS DAY ; 34、INT. Alex Marlowe'S FLAT DAY ; 29、INT. Westhaven Warehouse DAY,What event marks the turning point that sets into motion Spencer Keaton's confrontation with the collapsing reality of the housing tower and Alex Marlowe's escape?,Spencer Keaton Arrives at the Housing Tower,"Spencer Keaton's arrival at the housing tower initiates a chain of escalating disturbances, including the explosion of a car, Alex Marlowe's flight with a suitcase, the darkened hallway, and the final closing door, all of which follow directly from his presence and investigation at the site [27、EXT. Blair Hale FLATS DAY].",Narrative Progression
legacy-enec3061f1b9d346fa84285a8f3eb111ba-17,enec3061f1b9d346fa84285a8f3eb111ba,en,49、INT. 30TH FLOOR Westhaven Warehouse DAY ; 49、INT. 30TH FLOOR Westhaven Warehouse DAY ; 49、INT. 30TH FLOOR Westhaven Warehouse DAY,What pivotal event initiates Spencer Keaton's shift from passive observation to active pursuit in the Westhaven Warehouse sequence?,Spencer Keaton Exits Fairview Hospital as a Strange Sound Approaches,"As Spencer Keaton leaves the Fairview Hospital onto the 30th floor, an uncanny sound builds in the hallway, altering the atmosphere and prompting a series of actions where Spencer Keaton refrains from joining the passing crowd, then begins to follow their movement toward the stairs. This moment marks the first deviation from routine and sets in motion Spencer Keaton's physical and narrative trajectory through the unfolding event. [49、INT. 30TH FLOOR Westhaven Warehouse DAY]",Narrative Progression
legacy-enec3061f1b9d346fa84285a8f3eb111ba-18,enec3061f1b9d346fa84285a8f3eb111ba,en,22、INT. Spencer Keaton'S FLAT NIGHT ; 22、INT. Spencer Keaton'S FLAT NIGHT ; 29、INT. Westhaven Warehouse DAY,"What event initiates the sequence in which Spencer Keaton confronts Spencer Huxley during a mysterious phone call, observes the darkened hallway, and deals with a malfunctioning alarm?",Spencer Keaton Wakes to Dripping Water and a Ringing Phone,"The narrative shifts into motion when Spencer Keaton awakens in his flat at night to the sound of dripping water and a ringing phone, setting off a chain of urgent actions and encounters. This moment disrupts the stillness and propels Spencer Keaton into a series of tense, interconnected events involving surveillance, confusion, and escalating system failures. [22、INT. Spencer Keaton'S FLAT NIGHT]",Narrative Progression
legacy-enec3061f1b9d346fa84285a8f3eb111ba-25,enec3061f1b9d346fa84285a8f3eb111ba,en,24、INT. Skyler Huxley'S Silverbrook Park DAY ; 37、INT. RECORD CLERKS POOL DAY,"By the time Skyler Huxley and Spencer Keaton confront the missing transporter and Blair Hale's the silver radio, what has Spencer Keaton already done to initiate the chain of events?",Spencer Keaton operates the vacuum tube system to retrieve documents,"Before the issue of the missing transporter and Blair Hale's the silver radio comes to light, Spencer Keaton takes initiative by using the vacuum tube system to retrieve key documents, setting in motion the sequence that leads to the later confrontation in the record clerks' pool. This action occurs in Skyler Huxley's Silverbrook Park and establishes Spencer Keaton's active role in uncovering the administrative discrepancies.",Temporal Reasoning
legacy-enec3061f1b9d346fa84285a8f3eb111ba-26,enec3061f1b9d346fa84285a8f3eb111ba,en,9、INT. Blair Hale SITTING-ROOM NIGHT ; 30、INT. Blair Hale SITTING ROOM DAY,"By the time Blair Hale inquires about her husband's body, what administrative act has already taken place in her home?",Official collects signatures from Blair Hale for receipt books,"Prior to Blair Hale seeking information about her husband's remains, a bureaucratic official visited her residence to process paperwork, requiring her signature on receipt books as part of a procedural formality, establishing the impersonal machinery of the system that governs her loss [scene: 10, 9、INT. Blair Hale SITTING-ROOM NIGHT].",Temporal Reasoning
legacy-enec3061f1b9d346fa84285a8f3eb111ba-27,enec3061f1b9d346fa84285a8f3eb111ba,en,46、INT. Darian Marlowe'S FLAT NIGHT ; 47、INT. BATHROOM NIGHT,"What occurs just before Spencer Keaton agrees to the transfer, setting up the shift in his circumstances?",Flunky searches Spencer Keaton upon entry,"Shortly after Spencer Keaton arrives at his Darian Marlowe's celebration, he is searched by Flunky at the entrance, an act that underscores the heightened scrutiny he faces. This moment directly precedes his decision to accept the transfer to Silverline Holdings, establishing a chain of control and compliance that shapes his next move.",Temporal Reasoning
