id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-11,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,27、宿舍，日，内 ; 34、宿舍走廊，夜，外,在‘何小萍逃离后众人争执’之前，林丁丁和郝淑雯发现军装照的对峙如何促成了这一冲突？,林丁丁指责何小萍撒谎并质疑其品质,林丁丁与郝淑雯在发现何小萍私藏军装照后，认定其行为构成欺骗和品质问题。林丁丁当场指责她撒谎，郝淑雯则主张上报处理，这一公开定性使何小萍陷入道德审判，直接导致她在后续集体活动中选择逃离，进而引发众人在走廊中的争执。,Causal-Motivational Reasoning
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-12,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,1、街道，日，外 ; 92、火车站，日，外,从初遇时的街头雨夜到多年后的火车站送别，刘峰与何小萍之间的关系始终体现为何种具体互动模式？,刘峰一直护着何小萍,从何小萍初到文工团起，刘峰便在多个关键节点主动为其遮雨、拿行李、缓解训练压力，并在群体排斥时主动搭档舞蹈，展现持续的保护行为；直至多年后在火车站，他仍以战友身份郑重介绍她，体现出一贯的信任与维护。关系主线始终由刘峰对何小萍的庇护与支持构成。,Role-Relation Continuity
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-13,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,12、食堂，日，内 ; 83、食堂，夜，内,从[12、食堂，日，内]到[83、食堂，夜，内]，郝淑雯和陈灿之间的关系如何演变？,从相互敌对发展为恋爱关系,初期陈灿因身份差异对郝淑雯表现出反感，郝淑雯也以指责和肢体冲突回应，双方在多个场景中持续对抗；后期郝淑雯主动表明两人已建立恋爱关系，显示关系发生根本转变。,Role-Relation Continuity
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-14,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,9、食堂，日，内 ; 90、书店，日，内,从食堂众人调侃刘峰是‘活雷锋’，到书店中刘峰被警察推搡假肢脱落，郝淑雯始终对他保持着怎样的具体态度或行为模式？,一直护着刘峰并为他出头,郝淑雯在早期通过言语表达对刘峰的亲近与认可，后期在刘峰遭遇不公时立即扶起他、捡回假肢并愤怒抗议，体现出一贯的保护性支持行为，其角色始终是刘峰的维护者。,Role-Relation Continuity
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-15,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,6、宿舍，日，内 ; 16、宿舍，夜，内 ; 3、练习室，日，内,哪一个事件为后续军装冲突、何小萍受辱及众人反应的发展埋下结构性伏笔？,萧穗子介绍新室友，郝淑雯安排任务,该事件首次确立宿舍内部的人际格局与权力动态，通过角色入驻和任务分配触发后续对何小萍的排斥链式反应，成为集体冲突的起点。,Narrative Progression
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-16,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,16、宿舍，夜，内 ; 34、宿舍走廊，夜，外 ; 26、宿舍走廊，日，外,哪一个事件直接引发了后续何小萍出走、众人冲突以及她对军装持续凝视的情感张力？,林丁丁发现军装挂在墙上并质问何小萍,该事件首次公开暴露了何小萍对军装的特殊情感与行为越界，触发群体排斥，成为群体关系破裂和个体逃离的导火索。,Narrative Progression
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-17,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,5、宿舍走廊，日，外 ; 6、宿舍，日，内 ; 16、宿舍，夜，内,哪一个事件为后续何小萍凝视军装、被林丁丁质问以及试穿军装等一系列行为提供了直接的叙事起点？,萧穗子带何小萍进宿舍并安慰她,该事件首次将何小萍引入集体生活空间，使其接触到军装这一象征身份与归属的物件，由此触发她后续的情感投射与行动，构成情节发展的关键入口。,Narrative Progression
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-18,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,26、宿舍走廊，日，外 ; 34、宿舍走廊，夜，外 ; 27、宿舍，日，内,哪一个事件直接触发了后续众人对何小萍的集体质疑、她逃离文工团以及私藏军装照被进一步揭露的连锁反应？,郝淑雯质问何小萍索要军装照片,该质问行为首次公开挑明了何小萍的秘密行为，使原本隐性的矛盾显性化，成为群体态度转变和后续冲突升级的导火索。,Narrative Progression
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-25,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,1、街道，日，外 ; 41、画面组合,到了何小萍在排练场读父亲的信时，此前哪一个举动已悄然改变了她对刘峰的看法？,刘峰为何小萍穿上雨衣并自己暴露在暴雨中,在何小萍初到文工团、孤立无援之际，刘峰在雨中将雨衣披在她身上，自己淋雨前行。这一细节发生在她后来读信场景之前，构成了情感转变的起点。,Temporal Reasoning
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-26,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,11、街道，日，内 ; 25、照相馆，日，内,到了何小萍走进照相馆投递照片信封时，此前在街道上已发生的那个关键动作是什么？,何小萍穿着军装走向街道,在进入照相馆之前，何小萍已身着军装出现在街道场景中，这一行为构成后续投递照片的前置动作，叙事上具有明确的先后逻辑。,Temporal Reasoning
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-27,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,6、宿舍，日，内 ; 7、浴室，日，内,在“何小萍第一次知道可以天天洗澡”之前，哪一关键情节已经为这一幕埋下了伏笔？,萧穗子准备洗澡时发现何小萍凝视军装,在进入浴室场景前，何小萍对军装的凝视被萧穗子察觉，这一动作发生在宿舍内，紧邻洗澡场景，构成了她后续情绪转变前的直接铺垫。,Temporal Reasoning
legacy-ch8606bf8817d260b5a5068017192d58bcb3968160-28,ch8606bf8817d260b5a5068017192d58bcb3968160,zh,47、女生宿舍，夜，内 ; 48、刘峰屋子，夜，内,“刘峰与林丁丁偶遇谈沙发”之后不久，刘峰接着说起了什么？,刘峰向林丁丁表白多年感情并抱住她,两场戏连续发生，场景从女生宿舍转到刘峰屋子，中间无插入情节，情感发展直接推进到表白动作。,Temporal Reasoning
