id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en2fd3fabcf59d456fb8c57465762400bf-11,en2fd3fabcf59d456fb8c57465762400bf,en,37、INT. HOTEL BATHROOM - NIGHT ; 42、INT. TRAIN - NIGHT,What event directly prompts Amy to reveal her injury to Joey aboard the train?,Amy discovers herself standing in a pool of blood,"In the hotel bathroom, Amy notices she is standing in a pool of her own blood, sees the wound in her chest in the mirror, and attempts to call for help. Later, on the moving train, she confronts Joey and exposes the same wound, demonstrating its severity without explanation. The physical and psychological impact of her initial discovery motivates her decision to show him the injury, establishing a direct causal link between the two moments.",Causal-Motivational Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-12,en2fd3fabcf59d456fb8c57465762400bf,en,37、INT. HOTEL BATHROOM - NIGHT ; 48、INT. CORRIDOR - DAY,What action immediately before leaving her room explains Amy's unsteady movement in the corridor?,Amy stands up and pulls her pants on after the phone call,"After ending a tense phone call, Amy remains motionless for a moment, visibly affected, before rising from her seat and dressing hurriedly in her hotel room. Her abrupt physical transition from stillness to motion, marked by pulling on her pants and leaving the room, precedes her unstable gait as she moves through the corridor, where she stumbles repeatedly while trying to walk forward.",Causal-Motivational Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-13,en2fd3fabcf59d456fb8c57465762400bf,en,37、INT. HOTEL BATHROOM - NIGHT ; 48、INT. CORRIDOR - DAY,What action directly explains Amy's unsteady movement as she progresses down the corridor?,Amy rolls towel into cylinder for wound compression,"After tending to her injury in the bathroom, Amy secures a tightly rolled towel against the wound in her back using duct tape. She dresses, cleans the blood from her face and hands, retrieves her bag, and exits the room. Shortly afterward, she moves through the corridor with visible instability, stumbling as she walks, likely due to the physical strain or pain from her injury and improvised treatment. [37、INT. HOTEL BATHROOM - NIGHT]",Causal-Motivational Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-14,en2fd3fabcf59d456fb8c57465762400bf,en,4、INT. OFFICES OF THE UNDERGROUND - DAY ; 24、INT. THE BATHROOM - DAY,How does the relationship between Katya and Winter evolve from their first interaction to their shared presence in the ritual space?,they maintain a ritualistic bond rooted in mutual revival and emotional dependence,"From the early scene in the underground offices, where Winter performs a tender, life-restoring act on Katya’s motionless body—kissing her, breathing into her, and helping her stand—it is evident that their connection is defined by a deep, ritualistic intimacy. This bond persists into the later bathroom scene, where both are present in a communal ritual space, and it is revealed that Winter had previously revived Katya in the same manner as others in the group, confirming that their relationship remains anchored in reciprocal spiritual and physical restoration.",Role-Relation Continuity
legacy-en2fd3fabcf59d456fb8c57465762400bf-16,en2fd3fabcf59d456fb8c57465762400bf,en,8、INT. THE SECOND FLOOR - DAY ; 8、INT. THE SECOND FLOOR - DAY ; 10、INT. THE HALL AND STAIRWAY - DAY,"What pivotal event sets in motion Amy's entry into Marla's room, her subsequent fall, and the encounter in the hallway bathroom?",Amy Confronts the Manager to Enter Marla's Room,"The confrontation with the manager is the critical action that enables Amy to access Marla's room, directly triggering the chain of events that follow, including her reaction to the stench, her physical collapse, and the later movement to the bathroom at the end of the hallway [8、INT. THE SECOND FLOOR - DAY].",Narrative Progression
legacy-en2fd3fabcf59d456fb8c57465762400bf-17,en2fd3fabcf59d456fb8c57465762400bf,en,9、INT. MARLA'S ROOM - DAY ; 14、INT. AMY'S HOTEL ROOM - NIGHT ; 45、INT. PSYCH WARD/COMMON AREA - DAY,"What pivotal event sets into motion Amy's confrontation with Marla's cryptic warning, her disappearance, and Amy's subsequent departure?",Amy Retrieves the Envelope and Puzzle Box from Marla's Body,"In the aftermath of Marla's sudden death, Amy discovers a hidden envelope and puzzle box on Marla's body, uncovering clues that directly trigger her engagement with Marla's final message, the supernatural vision of her vanishing, and her decision to leave with the cigarettes. This discovery serves as the critical narrative bridge linking Marla's fate to Amy's active involvement in the unfolding mystery. [9、INT. MARLA'S ROOM - DAY]",Narrative Progression
legacy-en2fd3fabcf59d456fb8c57465762400bf-18,en2fd3fabcf59d456fb8c57465762400bf,en,4、INT. OFFICES OF THE UNDERGROUND - DAY ; 13、INT. CHARLES RICKMAN'S OFFICE - NIGHT ; 13、INT. CHARLES RICKMAN'S OFFICE - NIGHT,"What pivotal event sets in motion Charles's growing concern for Amy's safety, her discovery of the image in the puzzle box, and their eventual parting in the rain?",Amy and Charles After the Tape Ends,"In the aftermath of the tape's conclusion, a critical shift occurs between Amy and Charles during a scene in the underground offices, where unresolved tensions and emerging revelations begin to alter their trajectory. This moment initiates a chain of developments that leads to Charles's increasing unease about Amy's actions, her defiant reaction to a disturbing image uncovered in the puzzle box, and ultimately their emotional separation at the hotel amid a downpour.",Narrative Progression
legacy-en2fd3fabcf59d456fb8c57465762400bf-26,en2fd3fabcf59d456fb8c57465762400bf,en,15、INT. SUBWAY STATION - NIGHT ; 42、INT. TRAIN - NIGHT,"By the time Amy boards the train and confronts Joey, what has already taken place?",Amy enters subway station using access card,"Amy arrives at the subway station at night, swipes in with her access card, and descends to the platform, setting the stage for her eventual confrontation with Joey aboard the train. This sequence establishes her deliberate movement through the transit system before the encounter unfolds in a later scene.",Temporal Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-28,en2fd3fabcf59d456fb8c57465762400bf,en,24、INT. THE BATHROOM - DAY ; 25、INT. WINTER'S ROOM - DAY,What occurs immediately before Winter begins tracing Amy's anatomy?,Amy falls backward onto the floor in fear,"Shortly after Amy witnesses a shocking resurrection in the bathroom, she collapses to the floor in terror, setting the stage for Winter's subsequent hypnotic examination of her body in the next scene.",Temporal Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-29,en2fd3fabcf59d456fb8c57465762400bf,en,42、INT. TRAIN - NIGHT ; 43、INT. SUBWAY TUNNEL - NIGHT,What occurs just before the train enters the narrowing tunnel?,Amy collides with decaying Marla Chen,"Shortly after Amy encounters Marla Chen in a deteriorated state on the train platform, their collision takes place within the train cabin, setting the immediate precedent for the sequence in which the train moves into the narrowing tunnel.",Temporal Reasoning
