id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-1,en6e3adb1c4f5546c4a6178969b0cb2f43,en,10、INT. Robin Warren'S Eastgate Street -- MORNING,What does Adrian Adler realize about Robin Warren and Cameron Arden when he enters the Eastgate Street and sees their bodies?,"They are both dead, killed violently in the same room.","Adrian Adler steps into the Eastgate Street and immediately smells smoke and burned flesh. He moves toward the bedroom but stops when he sees Cameron Arden's foot extending from around the corner of the dining room. Covering his nose and mouth, he approaches cautiously. Robin Warren's body lies on the dining table, still smoking, her eyes open, a surgical clip attached to her lips, bruises visible on her neck. Cameron Arden is curled on the floor beneath the table, one hand gripping a scalpel embedded in his neck, blood pooling beneath him. Adrian Adler winces, blinks rapidly, and edges around the room until he can see Robin Warren's face clearly. He turns away, his body tensing as he retches, then straightens with effort and stumbles toward the door.",Character Understanding
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-10,en6e3adb1c4f5546c4a6178969b0cb2f43,en,10、INT. Robin Warren'S Eastgate Street -- MORNING ; 15、INT. Adrian Adler'S OFFICE -- AFTERNOON,What event immediately prior to Adrian Adler's collapse explains Mrs. Wheatley's intervention in his office?,Adrian Adler staggers away from the crime scene with his attaché case,"After discovering the bodies in Robin Warren's Eastgate Street, Adrian Adler suppresses his shock and exits the scene carrying his attaché case, visibly strained but composed enough to close the door behind him. This physical and psychological toll culminates in his collapse in his office, where Mrs. Wheatley finds him disoriented and bleeding, prompting her to assist him.",Causal-Motivational Reasoning
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-14,en6e3adb1c4f5546c4a6178969b0cb2f43,en,4、INT. Robin Warren'S Eastgate Street -- MORNING ; 39、INT. Sidney Bellamy'S LAB -- NIGHT,How does Emil Cameron Arden's treatment of Robin Warren evolve from their first encounter to the final experiment in Sidney Bellamy's lab?,Cameron Arden consistently treats Robin Warren as a victim of abuse and experimentation,"From the initial scene in Robin Warren's Eastgate Street, where Cameron Arden desecrates her corpse, to later revelations of his predatory conduct when she was twelve, and culminating in his implantation of her with a the leather badge in Sidney Bellamy's lab, Cameron Arden repeatedly engages in abusive, invasive acts against Robin Warren. These actions establish a persistent pattern in which he positions her as a target of exploitation, whether through sexual abuse, physical violation, or experimental manipulation, maintaining a fundamentally adversarial and destructive relationship throughout.",Role-Relation Continuity
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-15,en6e3adb1c4f5546c4a6178969b0cb2f43,en,39、INT. Sidney Bellamy'S LAB -- NIGHT ; 12、INT. Sidney Bellamy'S LABORATORY -- AFTERNOON ; 39、INT. Sidney Bellamy'S LAB -- NIGHT,What pivotal revelation sets in motion the investigation into Cameron Arden’s work on Robin Warren and Lane Sterling?,Sidney Bellamy Reveals Cameron Arden's Experiment on Robin Warren,"In the lab late at night, Sidney Bellamy discloses Cameron Arden's unauthorized experiment on Robin Warren, exposing the ethical breach and scientific implications that trigger a chain of inquiries. This disclosure directly prompts Evan Quincy's involvement, the examination of Cameron Arden's notes, and the postmortem incision on Robin Warren's body, marking a definitive shift from concealment to confrontation. [39、INT. Sidney Bellamy'S LAB -- NIGHT]",Narrative Progression
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-16,en6e3adb1c4f5546c4a6178969b0cb2f43,en,15、INT. Adrian Adler'S OFFICE -- AFTERNOON ; 15、INT. Adrian Adler'S OFFICE -- AFTERNOON ; 17、INT. TAXICAB -- AFTERNOON,"What event marks the turning point that sets into motion Adrian Adler's collapse, Lane Sterling's fall near the basement window, and the discovery of the bloodied umbrella?",Adrian Adler Vomits and Collapses in Bathroom,"In the late afternoon at Eastgate Street, Adrian Adler suddenly vomits and collapses in the bathroom, triggering a chain of events that leads to Mrs. Wheatley discovering him unconscious, Lane Sterling falling near the basement window, and the appearance of the bloodied umbrella during an evening walk. This moment disrupts the prior stability and initiates the story's descent into crisis. [20、INT. Eastgate Street -- LATE AFTERNOON]",Narrative Progression
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-17,en6e3adb1c4f5546c4a6178969b0cb2f43,en,15、INT. Adrian Adler'S OFFICE -- AFTERNOON ; 15、INT. Adrian Adler'S OFFICE -- AFTERNOON ; 17、INT. TAXICAB -- AFTERNOON,What pivotal event sets in motion Adrian Adler's physical collapse and subsequent arrival at the Towers?,Adrian Adler Refuses Help and Sends Mrs. Wheatley Away,"In the office after hours, Adrian Adler dismisses Mrs. Wheatley despite clear signs of distress, rejecting her offer to assist. This decision interrupts the possibility of early intervention and directly precedes his deterioration, leading to his collapse, transport by cab to the Towers, and eventual breakdown on the balcony. [15、INT. Adrian Adler'S OFFICE -- AFTERNOON]",Narrative Progression
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-18,en6e3adb1c4f5546c4a6178969b0cb2f43,en,10、INT. Robin Warren'S Eastgate Street -- MORNING ; 17、INT. TAXICAB -- AFTERNOON ; 15、INT. Adrian Adler'S OFFICE -- AFTERNOON,What pivotal event sets in motion Adrian Adler's physical decline and subsequent crisis at the Towers?,Adrian Adler Leaves the Eastgate Street,"In the morning at Robin Warren's Eastgate Street, Adrian Adler departs for the Towers, marking the beginning of a chain of deteriorating events. His exit initiates a trajectory that leads directly to his arrival by cab, collapse in the bathroom, and Mrs. Wheatley's intervention, establishing this departure as the critical narrative bridge into his downward spiral.",Narrative Progression
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-25,en6e3adb1c4f5546c4a6178969b0cb2f43,en,16、INT. Eastgate Park RECEPTION AT Eastgate Motel -- AFTERNOON ; 30、INT. Bennett Thorne' Eastgate Street -- NIGHT,"By the time Evan Quincy visits and assesses Adrian Adler, what has he already done after reviewing the Eastgate Park’s patient sign-in list?",Reviewed patient sign-in list,"Before visiting Adrian Adler to conduct an assessment, Evan Quincy examines the patient sign-in list at the Eastgate Park, a procedural step that occurs during the afternoon at Eastgate Motel. This review informs his subsequent decisions about patient follow-ups, including the visit to Adrian Adler’s Eastgate Street later that night.",Temporal Reasoning
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-26,en6e3adb1c4f5546c4a6178969b0cb2f43,en,19、INT. Eastgate Park -- AFTERNOON ; 31、INT. Lakeview Station -- NIGHT,"What event precedes Spencer Rivers's return to her Eastgate Street, based on the sequence of scenes?",Spencer Rivers exits the Eastgate Park after her consultation with Evan Quincy.,"The scene '19、INT. Eastgate Park -- AFTERNOON' occurs before 'INT. Lakeview Station -- NIGHT', where Spencer Rivers returns to her Eastgate Street. The narrative progression indicates that her departure from the Eastgate Park directly precedes her return home.",Temporal Reasoning
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-27,en6e3adb1c4f5546c4a6178969b0cb2f43,en,9、INT. Lakeview Station -- MORNING ; 10、INT. Robin Warren'S Eastgate Street -- MORNING,What does Adrian Adler do immediately before discovering the bodies in Robin Warren's Eastgate Street?,unlocks Robin Warren's Eastgate Street door with a key,"Shortly after arriving at Robin Warren's building, Adrian Adler uses a key to enter her Eastgate Street, gaining access just before encountering the aftermath inside. This action directly precedes the discovery of the bodies and establishes the entry point into the scene of the incident. [9、INT. Lakeview Station -- MORNING]",Temporal Reasoning
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-28,en6e3adb1c4f5546c4a6178969b0cb2f43,en,21、INT. RECEPTION AREA -- LATE AFTERNOON ; 22、INT. EXAMINATION ROOM -- LATE AFTERNOON,Which scene immediately precedes the one in which Morgan Keaton prepares Wesley Sinclair for the doctor?,21、INT. RECEPTION AREA -- LATE AFTERNOON,"The scene '21、INT. RECEPTION AREA -- LATE AFTERNOON' directly precedes '22、INT. EXAMINATION ROOM -- LATE AFTERNOON', in which Morgan Keaton begins preparing Wesley Sinclair for the doctor. In the earlier scene, Morgan Keaton calls Wesley Sinclair into the examination room, triggering the transition.",Temporal Reasoning
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-29,en6e3adb1c4f5546c4a6178969b0cb2f43,en,1、INT. LOBBY -- MORNING ; 3、INT. LOBBY -- MORNING,What occurs in the lobby shortly before Drew Arden greets the Adrian Cavendish?,Graham Finch opens door for the Adrian Cavendish,"In the morning, the Adrian Cavendish arrive at the building and enter through the front door, which the Graham Finch opens for them. This takes place in the lobby, setting the immediate stage for Drew Arden's arrival and his formal greeting as he begins showing them around the property.",Temporal Reasoning
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-30,en6e3adb1c4f5546c4a6178969b0cb2f43,en,17、INT. TAXICAB -- AFTERNOON ; 18、INT. LOBBY -- AFTERNOON,What happens immediately before the Graham Finch greets Adrian Adler in the lobby?,Adrian Adler arrives at the Towers by cab,17、INT. TAXICAB -- AFTERNOON,Temporal Reasoning
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-4,en6e3adb1c4f5546c4a6178969b0cb2f43,en,39、INT. Sidney Bellamy'S LAB -- NIGHT,What does Sidney Bellamy realize upon discovering the annotated page in Cameron Arden's notes?,Cameron Arden transformed and killed Robin Warren,"Sidney Bellamy searches through Cameron Arden's notes and finds a page marked 'Robin Warren' in red ink. He reads Cameron Arden's words describing Robin Warren's metamorphosis into a new creature, his euphoria at witnessing it, and his decision to destroy the parasitic organisms that had taken hold of her. As Sidney Bellamy processes the text, he connects the details, inferring that Cameron Arden orchestrated Robin Warren's transformation and ultimately caused her death by burning the the wooden lantern, not her body.",Character Understanding
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-7,en6e3adb1c4f5546c4a6178969b0cb2f43,en,39、INT. Sidney Bellamy'S LAB -- NIGHT,What does Sidney Bellamy disclose about Robin Warren's transformation in the lab?,Sidney Bellamy reveals Cameron Arden implanted Robin Warren with Lane Sterling,"In the lab at night, Sidney Bellamy examines Cameron Arden's notes and discovers a section titled Robin Warren written in red, detailing how Cameron Arden implanted her with a the wooden lantern modeled after the the wooden lantern. The notes describe her subsequent transformation into a new creature, her violent outburst, and Cameron Arden's decision to kill and burn her to prevent the spread of the the wooden lantern. Sidney Bellamy shares this revelation while reviewing the evidence.",Scene Grounding
legacy-en6e3adb1c4f5546c4a6178969b0cb2f43-9,en6e3adb1c4f5546c4a6178969b0cb2f43,en,10、INT. Robin Warren'S Eastgate Street -- MORNING ; 24、EXT. Adrian Adler'S BALCONY -- NIGHT,What discovery directly triggers Adrian Adler's physical collapse on the balcony?,Adrian Adler discovers Robin Warren's and Cameron Arden's bodies in the Eastgate Street,"After entering Robin Warren's Eastgate Street and encountering the gruesome scene—her body on the dining table with surgical markings and Cameron Arden's corpse curled beneath, one hand clutching a scalpel in his neck—Adrian Adler recoils in shock and barely suppresses his nausea as he retreats. Later, alone on his balcony at night, the delayed physical and psychological impact overwhelms him, manifesting in uncontrollable vomiting as he clings to the railing, gasping for air.",Causal-Motivational Reasoning
task2-candidate-1eeb5aceb4a1d4e3af6e,en6e3adb1c4f5546c4a6178969b0cb2f43,en,65、83,How does the understanding of Lane Sterling's transmission evolve between the incinerator attack and the pool scene?,"Initially seen as a corpse to be studied, Lane Sterling is later revealed to actively transfer between hosts through forced oral contact, culminating in ritualized infection.","scene 65: Evan Quincy retrieves and examines the dead the leather badge under light, treating it as a biological specimen with visible internal anatomy.
scene 83: Spencer Rivers forcibly kisses Evan Quincy while restrained by Bennett Thorne, enabling a live the leather badge to transfer from her body into his, demonstrating active transmission.",Temporal Reasoning
task2-candidate-360e3224b426c54e47f0,en6e3adb1c4f5546c4a6178969b0cb2f43,en,70、81,"How does Morgan Keaton's role shift from caregiver to victim, and what evidence shows her loss of agency in the escape attempt?","Morgan Keaton begins as a nurse aiding others but becomes a victim of assault and infection, ultimately being carried, restrained, and abandoned as her autonomy erodes.","scene 70: Morgan Keaton discovers a murder victim and reacts with horror, initiating her transition from caregiver to endangered individual.
scene 81: Morgan Keaton, now infected, attempts to lure Evan Quincy with a hypnotic monologue before revealing her parasitic transformation, showing her loss of human agency.",Character Understanding
task2-candidate-65d344dd11bcd72fbf93,en6e3adb1c4f5546c4a6178969b0cb2f43,en,65、82,How does the fate of Lane Sterling from Spergazzi's body retrospectively inform its later behavior in Morgan Keaton?,"Lane Sterling was initially inert and studied, but later acts autonomously to transfer hosts, revealing its dormant potential for aggression and propagation.","scene 65: Evan Quincy retrieves the tattered corpse of Spergazzi's the leather badge and examines its internal anatomy under light, treating it as lifeless.
scene 82: A resident pulls the live the leather badge from Morgan Keaton's mouth and swallows it, demonstrating its active survival and transmission capability.",Narrative Progression
task2-candidate-761f069dcf1bef9b54ba,en6e3adb1c4f5546c4a6178969b0cb2f43,en,47、51,What evidence shows the progression of Bennett Thorne's transformation from victim to controlled agent after the leather badge attachment?,"After being attacked in the tub, Bennett Thorne collapses into a stupor, then later rises zombie-like, walks on broken glass, and mechanically applies makeup, indicating loss of autonomy and behavioral control by Lane Sterling.","scene 47: Bennett Thorne arches her back and falls into a semi-conscious stupor after Lane Sterling attaches between her thighs.
scene 51: Bennett Thorne rises from the tub, walks on broken glass leaving bloody footprints, and applies makeup with mechanical precision.",Character Understanding
task2-candidate-7a32c9f4ae42a3dd3cb6,en6e3adb1c4f5546c4a6178969b0cb2f43,en,55、58,"What triggers Evan Quincy's decision to investigate the incinerator, and how does he overcome the obstacle during the search?",Evan Quincy decides to investigate the incinerator after assigning Morgan Keaton to treat Nico Langley's the leather badge-induced burns; he overcomes poor visibility by retrieving and using the superintendent's flashlight.,"scene 55: Evan Quincy departs to the incinerator after learning Nico Langley was attacked by a the leather badge on her arm.
scene 58: Evan Quincy retrieves the superintendent's flashlight from a heating pipe, turns it on, and resumes his search with improved visibility.",Causal-Motivational Reasoning
task2-candidate-7fdd869fe5a676f70747,en6e3adb1c4f5546c4a6178969b0cb2f43,en,64、73,"What delayed consequence arises from the Graham Finch locking the exit, and how does it affect later escape attempts?","The locked exit forces characters into confined spaces, leading to assaults in the garage and Lakeview Station, and ultimately requiring alternate escape routes.","scene 64: The Graham Finch locks the exit doors with cable cutters, cutting off escape routes and increasing danger in the Lakeview Station.
scene 73: Morgan Keaton attempts to drive out of the garage but the automatic doors fail to open, stranding her and enabling the Graham Finch's attack.",Narrative Progression
task2-candidate-8c084e9ec83214b6dd93,en6e3adb1c4f5546c4a6178969b0cb2f43,en,26、28,"What persistent threat remains despite attempts to secure the building, and how does it demonstrate the failure of physical barriers?","Despite the Blair Nolan closing and locking the basement window, a the leather badge ambushes her from inside a washer, proving the threat has already breached the building and physical security is ineffective.","scene 26: A the leather badge vomited from Adrian Adler lands in the grass near a basement window propped open by a bar of soap, creating a potential entry point.
scene 28: The Blair Nolan closes and locks the window, but a the leather badge already inside attacks her from a washing machine, showing the threat persists despite the barrier.",Scene Grounding
