id,related_scenes,question,answer,related_context,question_type,question_source
1,52、EXT. THE WAGON DAWN,"In [52、EXT. THE WAGON DAWN], What is Valentina's emotional state?",Miserable and exhausted from living in fear,She looks miserable. TONY puts his arms around her. Holds her tightly to him. I'm tired of it... I'm sick of living like this,Character Understanding,broad_coverage_scene
2,53、EXT BOND STREET EVENING,"In [53、EXT BOND STREET EVENING], What is Percy's emotional state?",Unhappy and nervously glancing at the money box,He doesn't look happy. He sneaks nervous glances at the glass box of money.,Character Understanding,broad_coverage_scene
3,34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER,"In [34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER], What is Valentina's emotional state upon arriving?",Dismayed,"VALENTINA and ANTON arrive in the doorway, dismayed.",Character Understanding,broad_coverage_scene
4,44、EXT OUTSIDE PUB NIGHT,"In [44、EXT OUTSIDE PUB NIGHT], What is Anton's emotional state when he glances at Doctor Parnassus?",Irritated,"ANTON, irritated, glances back at DOCTOR PARNASSUS",Character Understanding,broad_coverage_scene
5,41、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER,"In [41、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER], What emotional state is Doctor Parnassus in when he confronts Mr. Nick?",He is desperate and willing to comply.,DOCTOR PARNASSUS: What do you want? I'll do anything.,Character Understanding,broad_coverage_scene
6,50、EXT. WAGON NIGHT,"In [50、EXT. WAGON NIGHT], What is Anton's emotional state when he is sitting near the wagon?",Despondent and drinking from a bottle,ANTON is sitting despondently a short way from the wagon swigging from a bottle,Character Understanding,broad_coverage_scene
7,11、INT/EXT MAGICAL LANDSCAPE,What does Valentina state about imagination?,"Without imagination, all [beauty, truth, wisdom, justice] are dead.","VALENTINA (V.O.) Beauty, Truth, Wisdom, Justice... without imagination all are dead.",Character Understanding,broad_coverage_scene
8,10、EXT A HOLIDAY FAIR NIGHT,Why does Dr. Parnassus ask the Family From Hell to leave?,Their loud argument and disruptive behavior.,DR. PARNASSUS stirs from his trance. He's had enough of this. Kindly go elsewhere and take your detritus with you?,Causal-Motivational Reasoning,broad_coverage_scene
9,10、EXT A HOLIDAY FAIR NIGHT,What causes the audience to ignore Anton's dove trick?,The Family From Hell's loud argument in front of the stage.,This impressive trick is totally ignored by a group loudly arguing just in front of the stage - THE FAMILY FROM HELL.,Causal-Motivational Reasoning,broad_coverage_scene
10,51、EXT RUBBISH TIP DAWN,"In [51、EXT RUBBISH TIP DAWN], What emotional states describe Anton in the scene?","Depressed, angry, forlorn","It's ANTON, depressed, angry, forlorn.",Character Understanding,broad_coverage_scene
11,33、INT BACKSTAGE THAT MOMENT,What does 'Saint George' refer to in the passage?,A name given to the man by Valentina to save her from the dragon.,I dub thee Saint George. You can save me from the dragon.,Scene Grounding,broad_coverage_scene
12,56、INT/EXT SHAMPOO COMMERCIAL LANDSCAPE,"In [56、INT/EXT SHAMPOO COMMERCIAL LANDSCAPE], What is Gregor's behavior while the other Russians are trying to break the door?",Calmly picking flowers and breathing in their aroma.,sits quietly in a corner picking pretty flowers... gently breathes in the aroma of the flowers,Character Understanding,broad_coverage_scene
13,12、INT/EXT MAGICAL LANDSCAPE,"In [12、INT/EXT MAGICAL LANDSCAPE], What is Diego's emotional state when he encounters Anton?",Confusion and terror,CUT TO DIEGO who is in a state of confusion and terror.,Character Understanding,broad_coverage_scene
14,17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,"In [17、INT DOCTOR PARNASSUS' DEN THAT MOMENT], What does Dr. Parnassus say about immortality?",Immortality's a curse! Any fool can tell you that!,DR. PARNASSUS: Immortality's a curse! Any fool can tell you that!,Character Understanding,broad_coverage_scene
15,19、INT MONASTERY DINING HALL NIGHT,"In [19、INT MONASTERY DINING HALL NIGHT], What is Dr. Parnassus's behavioral state while telling the story?","In a trance, sitting on a dais","his eyes closed, in a trance, telling a story",Character Understanding,broad_coverage_scene
16,48、INT/EXT THEATRE/WAGON NIGHT,"In [48、INT/EXT THEATRE/WAGON NIGHT], What is Anton's emotional state after the incident?",Mortified,ANTON is mortified.,Character Understanding,broad_coverage_scene
17,39、INT THE WAGON THAT MOMENT,"In [39、INT THE WAGON THAT MOMENT], What emotional response does Valentina show toward George?",Admiration and approval,VALENTINA smiles at George with admiration and approval,Character Understanding,broad_coverage_scene
18,14、INT BACK STAGE DRESSING ROOM A MOMENT LATER,What is Valentina doing while looking at the magazine?,Struggling out of her 'Wisdom' costume,"Valentina, half-undressed, is struggling out of her `Wisdom' costume while at the same time looking at pictures of beautiful homes and gardens",Scene Grounding,broad_coverage_scene
19,43、EXT THE WAGON NIGHT,"In [43、EXT THE WAGON NIGHT], What emotion does Anton display when he winces?",Pained,CUT TO ANTON who winces.,Character Understanding,broad_coverage_scene
20,16、EXT CITY STREETS LATER,"In [16、EXT CITY STREETS LATER], What is Valentina's state when Anton talks about the moon?",Lost in thought,VALENTINA is sitting next to him lost in thought,Character Understanding,broad_coverage_scene
21,34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER,"In [34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER], What condition does Doctor Parnassus admit to?",Drunk and under considerable stress,Doctor Parnassus is attempting to get ready for the show but he's so drunk he can hardly stand. ... I'm under considerable stress.,Character Understanding,broad_coverage_scene
22,8、EXT DINGY BACK STREET,When does Dr. Parnassus reveal the door?,After the police officer confronts him.,DR. PARNASSUS pushes aside the mirror to reveal a door in the back wall of the shallow stage. It is swinging open.,Temporal Reasoning,broad_coverage_scene
23,15、EXT EDGE OF FAIR / THE WAGON CONTINUOUS,When does DOCTOR PARNASSUS say 'He's come to collect'?,After MR. NICK vanishes,MR NICK has vanished. DOCTOR PARNASSUS (distraught) He's come to collect. PERCY I thought so.,Temporal Reasoning,broad_coverage_scene
24,48、INT/EXT THEATRE/WAGON NIGHT,"In [48、INT/EXT THEATRE/WAGON NIGHT], What is Tony's physical condition?",Battered and bleeding,"TONY, battered and bleeding, helps her lift PARNASSUS.",Character Understanding,broad_coverage_scene
25,50、EXT. WAGON NIGHT,"In [50、EXT. WAGON NIGHT], What is Percy's emotional state when he tells Tony to take a long walk off a short pier?",Angry,PERCY is angrily banging about,Character Understanding,broad_coverage_scene
26,5、INT/EXT MAGICAL FOREST,What does Martin yell after tripping and seeing the real forest?,Come back! You bitch!,MARTIN Come back! You bitch!,Character Understanding,broad_coverage_scene
27,5、INT/EXT MAGICAL FOREST,What does Martin call Valentina when he pursues her?,Little sexpot,MARTIN Come here you little sexpot!,Character Understanding,broad_coverage_scene
28,53、EXT BOND STREET EVENING,"In [53、EXT BOND STREET EVENING], What is Dr. Parnassus's emotional state?",Distinctly uncomfortable,"DR. PARNASSUS, peeking under his blindfold, is distinctly uncomforable by his daughter's lack of attire.",Character Understanding,broad_coverage_scene
29,63、INT/EXT DR. PARNASSUS' DRUNKEN IMAGINATION,"In [63、INT/EXT DR. PARNASSUS' DRUNKEN IMAGINATION], Where do Tony and Valentina first encounter the valet?",By the door of a sleek limo,a uniformed valet with an open umbrella stands by the door of a sleek limo,Scene Grounding,broad_coverage_scene
30,11、INT/EXT MAGICAL LANDSCAPE,What does Dr. Parnassus express in response to the family's chaos?,"Enraged frustration, demanding silence.",DR. PARNASSUS (V.O.) OH FOR CRYING OUT LOUD! SHUT UP!,Character Understanding,broad_coverage_scene
31,17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,What does Valentina say in response to Dr. Parnassus's claim about immortality?,That's normal isn't it?,VALENTINA: That's normal isn't it?,Character Understanding,broad_coverage_scene
32,39、INT THE WAGON THAT MOMENT,"In [39、INT THE WAGON THAT MOMENT], What is George's emotional state when he says most coins were coming tomorrow?",Unperturbed,GEORGE (unperturbed),Character Understanding,broad_coverage_scene
33,45、INT/EXT THE MIND OF DR. PARNASSUS THAT MOMENT,"In [45、INT/EXT THE MIND OF DR. PARNASSUS THAT MOMENT], What is Anton's emotional state?",Terrified,"Terrified, ANTON and the screaming SALLY are spun through a black void",Character Understanding,broad_coverage_scene
34,7、INT/EXT MAGICAL FOREST,"In [7、INT/EXT MAGICAL FOREST], What do the HAND CREATURES look like?",Little heads and arms where the wrists should be,They look like HANDS... with little heads and arms where the wrists should be,Scene Grounding,broad_coverage_scene
35,46、EXT OUTSIDE PUB THAT MOMENT,"In [46、EXT OUTSIDE PUB THAT MOMENT], What is Tony's physical condition after being attacked?",Battered and injured after being attacked by the crowd,"A battered TONY, chased by the enraged crowd, just manages to clamber on board",Character Understanding,broad_coverage_scene
36,46、EXT OUTSIDE PUB THAT MOMENT,"In [46、EXT OUTSIDE PUB THAT MOMENT], What is Sally's emotional state when she is dumped from the wagon?",Terrified after being dumped from the wagon,"It's the terrified SALLY, sent sprawling in the middle of the road",Character Understanding,broad_coverage_scene
37,7、INT/EXT MAGICAL FOREST,How does MARTIN react when he is let go?,"Bounces high, turns somersaults, lands on feet","He bounces high in the air, turns a couple somersaults and lands on his feet",Scene Grounding,broad_coverage_scene
38,4、EXT NIGHT A DINGY BACK STREET | 5、INT/EXT MAGICAL FOREST,"Why does Martin find himself in a dense, dark forest after chasing Valentina?","Martin finds himself in a dense, dark forest because he fell through the mirror while pursuing Valentina, which transported him into a different environment.","Martin stumbles after her, blunders into the scenery, and crashes through the mirror in pursuit. When he looks up, he is surrounded by a dark, dense forest, and Beauty is gone.",Causal-Motivational Reasoning,broad_coverage_event_chain
39,1、EXT NIGHT URBAN TERRACE,Why does Carol swat Don?,"Carol swats Don because he urgently calls her to see something, but by the time she arrives, the wagon and horses have already disappeared, making her feel her time was wasted.","Don shouts for Carol to come quickly to see the wagon, but when she appears in the doorway, the wagon and horses are already gone, and she swats him with her hand before going back inside.",Causal-Motivational Reasoning,broad_coverage_scene
40,13、EXT A HOLIDAY FAIR NIGHT | 8、EXT DINGY BACK STREET,Why does the policeman knee Martin's struggling friend to the ground?,The policeman knees Martin's struggling friend to the ground because he suspects mockery from Dr. Parnassus and chooses not to escalate further after already ordering the group to leave.,"The officer, suspecting mockery but choosing not to escalate, knees Martin’s struggling friend to the ground.",Causal-Motivational Reasoning,broad_coverage_event_chain
41,41、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER | 15、EXT EDGE OF FAIR / THE WAGON CONTINUOUS | 49、INT PARNASSUS' ROOM NIGHT,What does Doctor Parnassus state about Mr. Nick after collapsing on the park bench?,Doctor Parnassus states that Mr. Nick has come to collect.,"Dr. Parnassus, visibly shaken, says Mr. Nick has come to collect.",Character Understanding,broad_coverage_event_chain
