id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-11,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,46、梁洋的闺房(夜) ; 47、马车内/大漠(日),在袁安发现谢辰偷看之前，哪一个举动直接促成了两人在马车外的相遇？,陈莲敲门通报袁安求见,陈莲通报袁安求见，引发她被引入梁洋闺房的过程。谢辰当时在场，因梁洋执意接见而被迫退场，这一互动埋下其后续暗中观察的动机，最终导致袁安在离开时察觉被偷看。,Causal-Motivational Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-12,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,23、酒店(日) ; 122、废弃作坊(日),从[23、酒店(日)]到[122、废弃作坊(日)]，袁安和梁洋之间的互动关系如何演变？,从袁安单方面觉得梁洋有趣，发展为梁洋主动恳求并承诺信任，形成情感依赖与回应关系,初期袁安对梁洋表现出善意关注，认为其率真娇憨而感到有趣；随着剧情推进，梁洋逐渐将袁安视为依靠，在关键时刻含泪恳求并承诺‘相信我’，显示出关系已转向以情感诉求和信任交付为核心的双向联结。,Role-Relation Continuity
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-13,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,12、长滩小巷外广场空地（日） ; 99、96C.花轿外（日）,从[12、长滩小巷外广场空地（日）]到[99、96C.花轿外（日）]，叶念对安云的态度和互动方式经历了怎样的转变？,从主动帮助、暗中关注发展为公开亲昵、情感确认,最初叶念在安云父女遇困时伸出援手，流露好感，建立初步善意；随后一度因误会转为尾随监视，关系出现波动；之后安云在危急中保护叶念，双方重建信任，互动中夹杂打闹与亲近；最终叶念主动拥抱并邀约，确立亲密伴侣关系。整个过程呈现从善意萌芽到波折试探，再到情感落地的递进转变。,Role-Relation Continuity
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-14,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,4、袁安房（日) ; 122、废弃作坊(日),从[4、袁安房（日)]到[122、废弃作坊(日)]，袁安和田子之间的协作关系如何体现？,袁安主导决策，田子执行协助并照顾其安危,两人在多个场景中持续展现双向信任与分工：早期田子可自由出入袁安私密空间，显示亲近与默契；中期袁安关心田子身体，田子为袁安包扎伤口，体现相互照护；后期袁安通过信物指派任务，田子配合行动，表明组织性协作延续。关系始终以袁安为行动核心、田子为支持者。,Role-Relation Continuity
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-15,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,23、酒店(日) ; 23、酒店(日) ; 26、酒店（傍晚）,哪一个事件成为触发梁洋后续指认字画为赝品、以谈笑掩饰笔法破绽并最终在黄昏离府的关键转折？,陈玲带袁安进酒店遇见梁洋,该场景首次将袁安引入梁洋的私密空间，迫使梁洋在身份未明的情况下直面外部审视，其应对方式直接引发对字画真伪的质疑与自身破绽的暴露，从而推动一系列连锁反应。,Narrative Progression
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-17,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,11、长滩小巷门口（日） ; 31、酒店院后门(夜) ; 19、下院班房（日）,哪一个动作直接促成了叶念后续察觉身后黑影、为周然肤色辩解，以及确认上车情况后带队出发的一系列推进？,叶念下马整装等候长滩小巷家人,该动作标志着叶念从行进状态转入正式接应姿态，使他处于观察位置并介入长滩小巷事务，从而触发后续对千金的辩护、环境警觉及出发决策，是情节由等待转向行动的结构支点。,Narrative Progression
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-18,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,32、酒店外内(夜) ; 34、京城街道(夜) ; 33、酒店边巷侧门(夜),什么事件触发了叶念接连追入暗巷、摆脱家丁阻拦并最终追踪贼人至长滩小巷的行动链条？,叶念追捕盗剑贼人,该场景中，叶念发现盗剑贼的踪迹并展开追捕，成为后续一系列行动的直接导火索，推动其脱离原有处境，转入主动追踪的剧情阶段。,Narrative Progression
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-25,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,8、京城天桥（日） ; 47、马车内/大漠(日),到了袁安发现谢辰偷看之前，她已经经历了哪一关键发展？,袁安骑马观察京城风貌,在进入马车内察觉被监视的情节之前，袁安曾于京城街市骑马巡视，这一行动展现了她对环境的初步探查，为后续察觉隐秘行为建立了叙事铺垫。,Temporal Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-26,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,12、长滩小巷外广场空地（日） ; 44、梁洋房（日）,到了叶念尾随提油的安云时，此前在长滩小巷外广场空地已发生的关键发展是什么？,叶念出手帮助安云扶起蔡城并捡起锣,在尾随情节发生前，叶念已在长滩小巷外广场介入蔡城父女的困境，主动协助他们起身并收拾物品，这一举动成为后续关注安云行动的起点。,Temporal Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-27,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,32、酒店外内(夜) ; 33、酒店边巷侧门(夜),在“叶念持棍追击谢辰反被制服”之前，哪一关键情节已经为这一幕埋下了伏笔？,被叶念发现并发出警告,在追击发生前的相邻场景中，谢辰行踪暴露，叶念在酒店外察觉其存在并出声示警，为后续冲突埋下伏笔。,Temporal Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-28,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,46、梁洋的闺房(夜) ; 47、马车内/大漠(日),“袁安与梁洋谈心诉说各自婚事”之后不久，袁安随后意识到了什么？,袁安发现谢辰偷看自己,两场戏连续发生，场景从闺房夜谈转至马车内日间行程，中间无其他情节插入。谈心结束后，剧情立即转向袁安在旅途中的察觉与警觉，体现私密对话后外部威胁的浮现。,Temporal Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-29,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,44、梁洋房（日） ; 45、长滩小巷(日),“叶念尾随提油的安云”之后不久，紧接着发生了什么？,叶念追踪安云至破屋，见到她与父亲擦兵器,叶念在尾随安云后，很快进入下一场景，目睹她与父亲在破屋中擦拭兵器，情节自然延续其追踪行动。,Temporal Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-30,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,25、徐子酒店(日) ; 26、酒店（傍晚）,在“梁洋在黄昏中离府”之前，前面先发生了什么关键情节？,梁洋提及自己曾接触府兵兵器,在梁洋离开酒店前夕，她曾在酒店中谈及对府兵兵器的熟悉，这一信息为她后续的出走埋下伏笔，暗示其早有准备。该情节发生在离府前的一场戏，时间衔接紧密，构成对后续行动的直接铺垫。,Temporal Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-7,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,25、徐子酒店(日),在[25、徐子酒店(日)]这场戏中，推动梁洋与袁安关系定调的关键动作是什么？,袁安祝贺梁洋婚事并答应常来看她,这场戏通过婚事话题展现两人关系的微妙张力：袁安以祝福回应梁洋的婚讯，同时流露含蓄情感，既未正面回答自身婚恋状况，又以点头承诺探望、轻唤‘小丫头’建立亲近感，奠定了她们超越主仆的情感基调。,Scene Grounding
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-8,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,5、云谷广场大厅（日） ; 25、徐子酒店(日),陈明在云谷广场大厅将箱子托付给袁安，这一举动如何促成了后来她将剑转交给梁洋？,陈明解开包袱展示箱子并决定托付给袁安,陈明在云谷广场中主动交出箱子，表达退隐之意，并委托袁安将剑送往北京交给徐子，这一决定使袁安成为剑的临时持有者，为她后续在酒店中将剑递给梁洋提供了直接前提。,Causal-Motivational Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-9,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,11、长滩小巷门口（日） ; 19、下院班房（日）,在长滩小巷门前等候时，叶念为何整理仪容的举动，对他后来为周然肤色辩护产生了影响？,叶念下马并整理仪容,叶念在长滩小巷门前整理外表，表现出他对此次会面的重视和自我形象的管控，暗示他已进入一种谨慎应对权贵的心理状态。这种姿态为他后续在面对杂役质疑时，仍坚持维护周然形象的行为提供了动机一致性——他并非单纯描述所见，而是在履行一种自觉的体面责任，其辩护言辞与此前整装行为共同体现对身份与尊严的敏感把握。,Causal-Motivational Reasoning
task2-candidate-10eb88bfda64a3f401fd,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,32、33,谢辰盗取箱子后如何与叶念交手并脱身，这一过程如何体现其武艺优势与对战态度？,谢辰盗剑后被叶念在窗口拦截，轻松两下将其击倒在地；随后仿佛尽了陪他过招的义务，拱手消失在夜色中。,"scene 32: 叶念：嘿，你看上的也是我想看的，哪里跑！谢辰一跃上梁，叶念滚身落地刚抬头，谢辰便从梁上以燕子空云的姿势飞身从窗子出去。
scene 33: 叶念从他身后当头一棍，谢辰微闪，轻松两下就让叶念连人带棍趴在地上。谢辰仿佛尽了陪他过招的义务，拱手消失在夜色中。",Character Understanding
task2-candidate-244ec78684d33b3f2a43,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,131、133,陈明与袁安之间压抑多年的情感关系是如何在生命最后时刻实现质变的？,陈明在弥留之际向袁安求婚并表白不愿死后才爱她，袁安回应早已答应，两人在生死关头完成情感关系的正式确认。,"scene 131: 陈明睁开眼将玉钗交给袁安，随后求婚并表白，袁安含泪接受，两人情感公开确认。
scene 133: 袁安劝导梁洋若真心爱陈洋应立即前往河边广场，暗示她自己已无法实现的爱情应由年轻一代延续。",Role-Relation Continuity
