id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-10,ene9057ea21d1c4171b3eb1b705a5763fb,en,9、INT. DFI OPEN PLAN OFFICE ; 10、INT. DFID SIMON'S OFFICE. DAY.,What event directly leads to Simon being disinvited from Question Time due to concerns about his messaging discipline?,Malcolm criticizing Simon's communication style during an office argument,"During a heated exchange in Simon's office, Malcolm confronts him with sharp criticism over his manner of speaking, likening it to a panicky chimp trapped in a washing machine. This confrontation establishes Malcolm’s perception of Simon as undisciplined in messaging, which he later cites as the reason for disinviting Simon from Question Time, insisting he cannot handle high-stakes media without deviating from the official line.",Causal-Motivational Reasoning
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-11,ene9057ea21d1c4171b3eb1b705a5763fb,en,28、INT. NUMBER TEN - DAY ; 118、INT. UN - DAY,What action by Malcolm directly enables his later assertion of control over Simon’s resignation?,Malcolm dismisses Toby and Judy from the office,"In a closed meeting, Malcolm tells Toby and Judy to leave, isolating Simon and establishing dominance before pressuring him on loyalty and strategy. This moment of exclusion sets the stage for Malcolm to later dictate the terms of Simon’s resignation without witnesses or opposition, culminating in his authoritative command to draft the letter.",Causal-Motivational Reasoning
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-12,ene9057ea21d1c4171b3eb1b705a5763fb,en,7、EXT. STREET NEAR WHITEHALL. DAY. ; 118、INT. UN - DAY,What action by Malcolm directly leads to his decision to fire Simon over the wall collapse?,Malcolm authorizes a journalist to publish false information,"In a phone conversation on a street near Whitehall, Malcolm instructs a journalist to publish a false story, using personal leverage to ensure compliance. He displays a pattern of manipulating information and intimidating subordinates, evident in his sarcastic tone toward Toby and aggressive threats to a colleague. Later, when news of the wall collapse reaches him, Malcolm immediately holds Simon accountable, asserting the firing decision was inevitable the moment he learned of the incident—despite Simon’s protests and the absence of direct communication with the Prime Minister. The earlier act of sanctioning misinformation establishes Malcolm’s willingness to shape narratives through deception, which directly motivates his abrupt and unjustified dismissal of Simon to control the political fallout.",Causal-Motivational Reasoning
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-13,ene9057ea21d1c4171b3eb1b705a5763fb,en,7、EXT. STREET NEAR WHITEHALL. DAY. ; 106、INT. FOREIGN OFFICE - SAME TIME,What specific professional role does Suzy continue to hold in relation to Michael from their first interaction to the later scenes in the Foreign Office?,trusted colleague and collaborative partner,"From their initial interaction [7、EXT. STREET NEAR WHITEHALL. DAY.], where Michael hands Suzy a croissant with a knowing comment indicating shared office awareness, through multiple scenes including coordinated work in Michael's office [11、INT. FO MICHAELS OFFICE - DAY], shared domestic-space familiarity [12、INT. DFID/INT FOREIGN OFFICE MICHAELS OFFICE], joint task execution [87、INT. FOREIGN OFFICE - DAY], and continued presence during a professional crisis [106、INT. FOREIGN OFFICE - SAME TIME], Suzy consistently functions as a trusted colleague and collaborative partner to Michael, engaging in mutual decision-making, direct communication, and shared responsibilities without shifts in hierarchical standing or relational role.",Role-Relation Continuity
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-14,ene9057ea21d1c4171b3eb1b705a5763fb,en,73、INT. STATE DEPARTMENT. CORRIDOR/BATHROOM - DAY ; 112、INT. LINTON'S UN OFFICE - DAY,How does Malcolm's treatment of Karen Linton evolve from their confrontation in the State Department corridor to their exchange in Linton's UN office?,Malcolm continues to treat Karen Linton as a threat,"From their initial confrontation in the State Department, where Malcolm challenges Linton with anger and sarcasm, through their later encounters at the UN mediation room and in Linton's office, Malcolm consistently displays hostility, using personal insults and disdain to position Linton as an adversary, while Linton responds with mockery and dismissal, maintaining a mutually antagonistic dynamic.",Role-Relation Continuity
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-15,ene9057ea21d1c4171b3eb1b705a5763fb,en,28、INT. NUMBER TEN - DAY ; 25、EXT. FOREIGN OFFICE - DAY ; 118、INT. UN - DAY,"What pivotal moment shifts the narrative toward Simon's public exposure, his dismissal over the wall collapse, and Malcolm's retaliatory move through Toby?",Toby Proposes Making Simon's War Opposition Public,"In the aftermath of growing political pressure, Toby devises a strategy to leverage Simon's opposition to the war by threatening to expose it publicly. This decision sets off a chain of consequences: Simon and his team withdraw under media scrutiny, Malcolm terminates Simon following the fallout from the wall collapse, and Malcolm dispatches Toby with an implicit threat while deriding Judy. The proposal marks the critical inflection point that aligns these developments. [28、INT. NUMBER TEN - DAY]",Narrative Progression
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-16,ene9057ea21d1c4171b3eb1b705a5763fb,en,7、EXT. STREET NEAR WHITEHALL. DAY. ; 111、INT. UN CORRIDOR - DAY ; 8、INT. SIMON'S OFFICE - DAY.,What pivotal event sets in motion Malcolm's confrontation with Simon and the subsequent fallout over the wall collapse?,Malcolm's Call and the Lift Encounter,"The sequence leading to Malcolm's direct intervention begins with a critical phone call and an encounter in the lift, which triggers his growing suspicion and urgency. This moment shifts the narrative trajectory, prompting Malcolm to send Toby for the blue folder, personally confront Simon upon arrival, and ultimately hold him accountable for the wall collapse, marking a definitive break in their working relationship. [7、EXT. STREET NEAR WHITEHALL. DAY.]",Narrative Progression
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-17,ene9057ea21d1c4171b3eb1b705a5763fb,en,9、INT. DFI OPEN PLAN OFFICE ; 8、INT. SIMON'S OFFICE - DAY. ; 118、INT. UN - DAY,"What pivotal moment shifts the conflict between Malcolm and Simon into open confrontation, setting off a chain of escalating tensions?",Malcolm Mocks Simon During Heated Office Argument,"In the open-plan office, a charged argument erupts between Malcolm and Simon, escalating from professional disagreement into personal insult when Malcolm mocks Simon. This moment fractures their working relationship, triggering Malcolm’s subsequent actions to reassert control, including confronting Simon with Toby present, terminating his position over the wall collapse, and provoking Simon’s defiant response amid mounting hostility. [9、INT. DFI OPEN PLAN OFFICE]",Narrative Progression
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-25,ene9057ea21d1c4171b3eb1b705a5763fb,en,4、INT. MALCOLM'S OFFICE. DAY. ; 28、INT. NUMBER TEN - DAY,"By the time Malcolm confronts Simon over his public statements, what specific moment in the radio broadcast has already taken place?",Eddie Mair mentions the word 'war',"Before Malcolm confronts Simon about his rhetoric, a pivotal moment occurs during a live radio broadcast in which Eddie Mair introduces the term 'war' to describe the political climate. This moment sets off a chain of reactions that culminates in the confrontation at Number Ten, establishing the broadcast as a narrative catalyst for the ensuing conflict.",Temporal Reasoning
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-26,ene9057ea21d1c4171b3eb1b705a5763fb,en,28、INT. NUMBER TEN - DAY ; 118、INT. UN - DAY,"By the time Malcolm takes control at the UN, what has already taken place between him and Simon?",Malcolm confronts Simon about his conduct,"Before Malcolm assumes command during the UN address, he directly challenges Simon over his inflammatory rhetoric and inappropriate behavior in a private meeting at Number Ten. This confrontation sets the stage for Malcolm's subsequent rise to leadership, establishing a clear shift in power dynamics between the two characters.",Temporal Reasoning
