id,related_scenes,question,answer,related_context,question_type,question_source
1,20、INT. RIPLEY'S APARTMENT - A LITTLE LATER,"In [20、INT. RIPLEY'S APARTMENT - A LITTLE LATER], What is Ripley's emotional state during the conversation?","Tense and scared, masking fear with anger.","Ripley paces, very tense. We SEE that she's gut scared, covering it with anger.",Character Understanding,broad_coverage_scene
2,3、EXT. PARK,"In [3、EXT. PARK], What emotional state does Ripley experience after viewing the photograph?","Overwhelmed by terror, loss, and emptiness","The terror, the loss, the emptiness are, in this moment, overwhelming. She cries silently.",Character Understanding,broad_coverage_scene
3,5、INT. CONFERENCE ROOM - ON RIPLEY - GATEWAY,"In [5、INT. CONFERENCE ROOM - ON RIPLEY - GATEWAY], Where did the Nostromo set down?","LV-426, an unsurveyed planet","The Nostromo set down on LV-426, an unsurveyed planet.",Scene Grounding,broad_coverage_scene
4,13、EXT. ACHERON - THE MIDDLE OF NOWHERE - A SIX-WHEELED,"In [13、EXT. ACHERON - THE MIDDLE OF NOWHERE - A SIX-WHEELED], Where does the tractor move through?",A volcanic area with corrugated rock and soggy ash drifts,"It roars across corrugated rock, blasting through soggy drifts of volcanic ash",Scene Grounding,broad_coverage_scene
5,19、INT. CORRIDOR,"In [19、INT. CORRIDOR], What emotional state is Ripley in when she hears about the lost contact?",Concerned about the implications of the lost contact,Ripley considers the ramifications of that.,Character Understanding,broad_coverage_scene
6,23、EXT. DEEP SPACE - THREE WEEKS LATER,"In [23、EXT. DEEP SPACE - THREE WEEKS LATER], How is the SULACO characterized in terms of appearance?","A massive military transport ship, ugly, battered, and functional.","A massive military transport ship, the SULACO. Ugly, battered... functional.",Scene Grounding,broad_coverage_scene
7,27、INT. HYPERSLEEP VAULT,What action is performed by the hydraulics?,Lift a grid of equipment from horizontal HYPERSLEEP CYLINDERS to the ceiling and lock it,Hydraulics lift a grid of equipment from a row of horizontal HYPERSLEEP CYLINDERS. It reaches the ceiling. Locks.,Scene Grounding,broad_coverage_scene
8,4、INT. CORRIDOR - GATEWAY,What does Burke express about Ripley's account?,He says he believes her.,"BURKE: 'I believe you, but there are going to be some heavyweights in there.'",Character Understanding,broad_coverage_scene
9,23、EXT. DEEP SPACE - THREE WEEKS LATER,What visual detail describes the movement of metal spires in the scene?,Metal spires slice across the frame.,Metal spires slice ACROSS FRAME.,Scene Grounding,broad_coverage_scene
10,10、EXT. COLONY COMPLEX,How is the atmosphere processor described visually?,"Looks like a power plant bred with an active volcano, fiery glow pulsing in low cloud cover","massive complex of the nearest ATMOSPHERE PROCESSOR, looking like a power plant bred with an active volcano. Its fiery glow pulses in the low cloud cover",Scene Grounding,broad_coverage_scene
11,28、INT. HYPERSLEEP VAULT,What visual detail describes Drake's appearance?,A nasty scar curling his lip into a sneer,Nasty scar curling his lip into a sneer,Scene Grounding,broad_coverage_scene
12,7、INT. CONFERENCE ROOM - TIGHT ON RIPLEY - LATER,"In [7、INT. CONFERENCE ROOM - TIGHT ON RIPLEY - LATER], What is Ellen Ripley's emotional state during the board's decision?",Subdued and white-lipped,"Burke watches Ripley taking it on the chin, white-lipped but subdued",Character Understanding,broad_coverage_scene
13,10、EXT. COLONY COMPLEX,What visual description is given for the control block?,Resembles the superstructure of an aircraft carrier with a flying bridge,resembles vaguely the superstructure of an aircraft carrier...a flying bridge,Scene Grounding,broad_coverage_scene
14,1、INT. NARCISSUS,"In [1、INT. NARCISSUS], What is Ripley's rank and role?",Warrant Officer and sole survivor of the Nostromo,"WARRANT OFFICER RIPLEY, sole survivor of the Nostromo",Character Understanding,broad_coverage_scene
15,11、INT. MAIN CONCOURSE - NEAR CONTROL BLOCK,"In [11、INT. MAIN CONCOURSE - NEAR CONTROL BLOCK], What is the setting of the central space?",A scaled-down shopping mall with no styling flourishes,"A central space, laid out like a scaled-down shopping mall with no styling flourishes",Scene Grounding,broad_coverage_scene
16,47、EXT. DROP-SHIP,"In [47、EXT. DROP-SHIP], What causes the distant colony landing beacons to become visible?",The emergence of the object from the low cloud ceiling,It emerges from the low cloud ceiling. From the twilight haze ahead the distant colony LANDING BEACONS become visible.,Causal-Motivational Reasoning,broad_coverage_scene
17,17、EXT. LANDSCAPE - NIGHT,What is Anne's mayday call?,Mayday! Mayday! This is Alpha Kilo Two Four Niner calling Hadley Control.,ANNE Mayday! Mayday! This is Alpha Kilo Two Four Niner calling Hadley Control.,Character Understanding,broad_coverage_scene
18,26、INT. BRIDGE,"In [26、INT. BRIDGE], What sound accompanies a sequence of lights and is described as high-pitched?",A high-pitched TRILLING,A sudden high-pitched TRILLING accompanies a sequence of lights,Scene Grounding,broad_coverage_scene
19,24、INT. CORRIDOR TO CARGO LOCK,What sound is heard in the corridor?,The THRUMMING of hyperdrive engines,The THRUMMING of hyperdrive engines.,Scene Grounding,broad_coverage_scene
20,12、INT. OPERATIONS ROOM - CONTROL BLOCK,What action is Lydecker performing when he approaches Simpson?,Catching up to the harried Operating Manager.,"DOLLY AHEAD OF LYDECKER, the Assistant Operations Manager, as he catches up to the harried Operating Manager, SIMPSON.",Scene Grounding,broad_coverage_scene
21,30、INT. MESS HALL,"In [30、INT. MESS HALL], What is Apone's physical description?","Stocky, grizzled, with peregrine eyes.","Apone is stocky, grizzled, with peregrine eyes.",Character Understanding,broad_coverage_scene
