id,related_scenes,question,answer,related_context,question_type,question_source
1,62、INT. ROBERTA'S APARTMENT - NIGHT,Why does Nick throw the violin against the floor?,He is angry at Roberta for causing his father to leave.,Nick THROWS the violin against the floor. Roberta's speechless. NICK: It's all your fault! You made Daddy leave...,Causal-Motivational Reasoning,broad_coverage_scene
2,62、INT. ROBERTA'S APARTMENT - NIGHT,Why is Roberta stunned after Nick's outburst?,She realizes his anger stems from fear of abandonment due to his father's departure.,Roberta is stunned. The anger drains out of her as she suddenly sees what this is all about.,Causal-Motivational Reasoning,broad_coverage_scene
3,61、EXT. CENTRAL PARK - A LITTLE LATER,What causes Roberta's disheartenment?,Brian's admission that he might seek others if needs aren't met.,Roberta looks very disheartened after Brian's theoretical response,Causal-Motivational Reasoning,broad_coverage_scene
4,"33、INT. BRIAN'S HOTEL ROOM, TEXAS - NIGHT",What is Roberta's physical state during her conversation with Brian?,Extremely agitated with puffy eyes from crying,Roberta in Brian's living room. She's extremely agitated and her eyes are puffy from crying.,Scene Grounding,broad_coverage_scene
5,21、INT. BRIAN'S BATHROOM - DAY,"In [21、INT. BRIAN'S BATHROOM - DAY], What emotional state does Roberta display at the end of the scene?",Hurt and frightened,"HOLD ON ROBERTA, looking hurt and frightened.",Character Understanding,broad_coverage_scene
6,15、INT. MUSIC ROOM - DAY,"In [15、INT. MUSIC ROOM - DAY], What is Roberta's emotional state when she first asks the kids to stop opening the cases?",Gentle and trying to maintain control,"ROBERTA (gently) Please do not open the cases, O.K.?",Character Understanding,broad_coverage_scene
7,61、EXT. CENTRAL PARK - A LITTLE LATER,Why is Brian hesitant about commitment?,He believes marriage is a fantasy due to high divorce rates.,Brian's line about the 80's and one out of two marriages ending in divorce,Causal-Motivational Reasoning,broad_coverage_scene
8,46、INT. JANET WILLIAMS' OFFICE - DAY,What is Roberta's rationale for disciplining the children?,She believes they need to take their instrument lessons seriously.,"ROBERTA: 'If they're gonna learn an instrument, they need to take it seriously.'",Causal-Motivational Reasoning,broad_coverage_scene
9,40、INT. ROBERTA'S NEW APARTMENT - LIVING ROOM - NIGHT,What specific elements are visible outside Roberta's window?,"Three prostitutes, two men smoking a joint, a parked car with three men making a drug deal, and a burned-out building.","On the street below, three prostitutes stand at the corner. Two men sit on a stoop, smoking a joint, and in a parked car, three men seem to be making a drug deal. One of the buildings on the street is burned out, missing a front door.",Scene Grounding,broad_coverage_scene
10,63、INT. BROWNSTONE - DAY,Why does Roberta fire Brian?,Because he couldn't commit to her.,I need to be with a man who can make a commitment to me.,Causal-Motivational Reasoning,broad_coverage_scene
