id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en2e733a32750748b082f2ffb7f4608329-11,en2e733a32750748b082f2ffb7f4608329,en,46、EXT. BOTTOM OF THE RIDGE - SUNSET ; 40、EXT. TOP/BOTTOM OF A RIDGE - LATER,What action during Paul's preparation of the corpse directly precedes and motivates his decision to dispose of it down the ridge?,Paul smears lard across the dead man's face while fighting his revulsion,"At the bottom of the ridge, Paul prepares the corpse as bait by adding a bacon hat, bloody steaks, and finally lard across the dead man's face while fighting his revulsion. He then apologizes, pats the body, and looks toward the ridge, moving from preparation to disposal.",Causal-Motivational Reasoning
legacy-en2e733a32750748b082f2ffb7f4608329-12,en2e733a32750748b082f2ffb7f4608329,en,65、INT. GARAGE ; 118、INT. JIMBO'S CAR / CITY STREETS - LATER,How does Gary's relationship with Margaret Barnell evolve from their confrontation in the garage through the pursuit in Jimbo's car?,Gary continues to treat Margaret as an adversary through direct threats and confrontational pursuit,"From the garage scene onward, Gary consistently engages Margaret with hostility, aiming a gun at her and issuing lethal threats, while Margaret resists with defiance and attempts at counterattack. This adversarial pattern persists across multiple locations—including the Barnell home and later in Jimbo's car—where Gary maintains an aggressive stance, challenging her actions and credibility, confirming an unbroken dynamic of mutual antagonism.",Role-Relation Continuity
legacy-en2e733a32750748b082f2ffb7f4608329-13,en2e733a32750748b082f2ffb7f4608329,en,81、EXT. BARNELL MOBILE HOME / DRIVEWAY - MORNING ; 133、EXT. PARKING AREA - CONTINUOUS,How does Ted Watters' treatment of Paul Barnell evolve from their initial confrontation to their later encounter?,Ted Watters continues to treat Paul Barnell as an adversary,"From the driveway confrontation onward, Ted consistently approaches Paul with hostility, accusing him of crimes and demanding accountability. This adversarial stance persists through subsequent interactions, including tense exchanges at Paul's travel agency and his home, culminating in Ted directly blocking Paul in the parking area to confront him about violence and deception, maintaining an antagonistic posture throughout.",Role-Relation Continuity
legacy-en2e733a32750748b082f2ffb7f4608329-14,en2e733a32750748b082f2ffb7f4608329,en,86、INT. UNDERGROUND PARKING AREA - EVENING ; 127、EXT. PARKING AREA,How does the adversarial relationship between Raymond and Ted Watters evolve from their initial confrontation to the later parking area encounter?,"Raymond continues to pursue Ted as an enemy through physical attacks, while Ted responds with reactive aggression","In the underground parking area, Raymond initiates hostilities by confronting Ted with physical violence and verbal threats, establishing an adversarial dynamic. This persists into the later parking area scene, where Raymond strikes Ted in the temple during a direct confrontation, and Ted responds by grabbing Raymond's ankle in a moment of reactive aggression, confirming the ongoing mutual hostility between them.",Role-Relation Continuity
legacy-en2e733a32750748b082f2ffb7f4608329-15,en2e733a32750748b082f2ffb7f4608329,en,15、EXT. INSIDE THE DUMPSTER ; 45、EXT. BOTTOM OF THE RIDGE - SUNSET ; 40、EXT. TOP/BOTTOM OF A RIDGE - LATER,"What event marks the turning point that sets into motion Paul's actions of examining the corpse, disposing of it, and confirming payment while destroying documents?",Paul Retrieves Phone and Finds Corpse in Trash,"After retrieving his phone and discovering the corpse in the dumpster, Paul initiates a series of consequential actions: he descends the rock face to examine the body, disposes of it down a drop, and later confirms payment while destroying incriminating documents during a phone call. This discovery serves as the pivotal moment that propels the subsequent chain of events. [15、EXT. INSIDE THE DUMPSTER]",Narrative Progression
legacy-en2e733a32750748b082f2ffb7f4608329-16,en2e733a32750748b082f2ffb7f4608329,en,17、INT. INSIDE A FRIDGE - LATER ; 40、EXT. TOP/BOTTOM OF A RIDGE - LATER ; 17、INT. INSIDE A FRIDGE - LATER,What pivotal event sets into motion Paul's actions involving the refrigerator and the disposal of the body?,Paul Examines the Body in the Garage,"Following Paul's decision after examining the body in the garage, a series of consequential actions unfold that involve securing the body in the refrigerator, retrieving items from inside it, and ultimately disposing of the corpse down the drop. This moment of assessment catalyzes the subsequent chain of practical and urgent steps Paul takes to manage the aftermath.",Narrative Progression
legacy-en2e733a32750748b082f2ffb7f4608329-17,en2e733a32750748b082f2ffb7f4608329,en,22、EXT. INSIDE A TRASH DUMPSTER - NIGHT ; 26、INT. GARY AND JIMBO'S CAR - CONTINUOUS ; 22、EXT. INSIDE A TRASH DUMPSTER - NIGHT,What pivotal event sets in motion the sequence leading directly to Dave's arrival in a Cadillac and Gary's subsequent actions at the bin?,Gary and Jimbo Search the Bin,"In the scene set inside a trash dumpster at night, Gary and Jimbo's joint search initiates a chain of consequences that reshapes the trajectory of the story, directly precipitating Dave's conspicuous arrival in a Cadillac and informing Gary's later return to the bin, where he searches alone and finds nothing, culminating in his reflective question about feeling.",Narrative Progression
legacy-en2e733a32750748b082f2ffb7f4608329-18,en2e733a32750748b082f2ffb7f4608329,en,30、INT. GARAGE - CONTINUOUS ; 48、EXT. HIGHWAY TURNOUT / CLEARING - DAY ; 17、INT. INSIDE A FRIDGE - LATER,What pivotal event sets into motion Paul's actions involving the corpse and the arrival of responders?,Paul Checks the News and Speaks to the Corpse,"After discovering news of a local incident, Paul confronts the reality of the situation by speaking directly to the corpse in his garage, marking a shift from passive possession to active engagement. This moment triggers his subsequent preparations and draws external forces toward the scene. [30、INT. GARAGE - CONTINUOUS]",Narrative Progression
legacy-en2e733a32750748b082f2ffb7f4608329-25,en2e733a32750748b082f2ffb7f4608329,en,18、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS ; 43、INT. PAUL'S KITCHEN - DAY,"By the time Margaret arrives at Paul's kitchen, what has already taken place involving Jodie and the body in the garage?",Jodie enters the garage and sniffs the dead body,"Before Margaret's arrival at Paul's house, Jodie is brought to the attached suburban garage where the corpse is stored. There, she enters the space and sniffs the dead body, an event that occurs well before the kitchen scene with Margaret unfolds.",Temporal Reasoning
legacy-en2e733a32750748b082f2ffb7f4608329-26,en2e733a32750748b082f2ffb7f4608329,en,18、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS ; 30、INT. GARAGE - CONTINUOUS,"By the time Paul checks the news and speaks to the corpse, what has he already done in the garage?",Filled the remaining fridge space with beer and pop bottles,"Before engaging with the corpse and monitoring the news, Paul secures the body in the refrigerator and uses the remaining space to store beer and pop bottles, establishing a sequence of actions that blend routine and concealment within the garage setting [18、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS].",Temporal Reasoning
