id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-10,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,40、INT. CHUCK'S HOUSE - LATER ; 43、INT. LAB - NIGHT,What action directly prompts Chuck's decision to seek out Kelly Frears later that night?,Chuck switches on the TV while lying in bed,"After lying in bed and turning on the TV without finding relief, Chuck gets up despite the late hour and leaves his apartment, setting in motion his search for Kelly. This leads him to the lab, where he eventually asks two doctoral candidates if they have seen Kelly Frears, one of whom silently directs him toward the Xerox machine.",Causal-Motivational Reasoning
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-11,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,20、EXT. ST. PETERSBURG - DAY - MOMENTS LATER ; 24、INT. FEDEX OFFICES - ST. PETERSBURG - SERIES OF SHOTS,What event immediately motivates Chuck's decision to clean the site and reorganize the workflow at the St. Petersburg FedEx office?,FedEx truck departs from FedEx office,"As the FedEx truck leaves the office with Chuck aboard, he observes graffiti-covered walls around the facility. This moment of exposure to the disordered environment prompts him to take action upon arrival back at the site, leading directly to his initiative to clean the walls and restructure the sorting process.",Causal-Motivational Reasoning
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-13,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,28、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER ; 25、INT. FEDEX WAREHOUSE - ST. PETERSBURG - WEEK LATER,What prior action by Chuck enables him to delay the final truck departure with confidence in the warehouse?,Office staff collaborates on package sorting under Chuck's leadership,"In the office, Chuck directs the team with precision, correcting routing errors and organizing container assignments as the staff works together under his guidance. This coordinated effort establishes his role as an effective leader whose instructions are followed, setting the stage for his later authority in the warehouse where he pauses the final truck loading to ensure completeness, relying on the teamwork he previously cultivated.",Causal-Motivational Reasoning
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-14,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,244、EXT. RAFT - DAY - LATER ; 544、EXT. RAFT - DAY - LATER,How does the Great Frigate Bird's treatment of the booby remain consistent from the earlier to the later raft scene?,The Great Frigate Bird continues to act as a predatory adversary by harassing the booby to steal its fish,"Across both scenes, the Great Frigate Bird is shown aggressively targeting the booby, using swooping and pursuit to force it to drop its catch. In the first instance, this behavior establishes a predatory dynamic, and in the later scene, the same pattern of harassment and theft is repeated, confirming an ongoing exploitative relationship driven by the frigate bird's kleptoparasitic instincts.",Role-Relation Continuity
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-16,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,45、INT. XEROX ROOM ; 45、INT. XEROX ROOM ; 23、INT. HOTEL ROOM - NIGHT - LATER,What pivotal event shifts the momentum of the narrative leading into the sequence where Kelly confronts Chuck about his past and interrupts his routine?,Kelly Pulls Chuck Away From the Machine,"In the Xerox room, Kelly physically intervenes to stop Chuck from retreating into his habitual patterns, marking a decisive moment that disrupts the status quo and propels the story into a series of direct confrontations about his history, including his trip to Russia and unacknowledged messages. This intervention serves as the catalyst for the ensuing emotional disclosures and escalating tension between them. [45、INT. XEROX ROOM]",Narrative Progression
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-17,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,43、INT. LAB - NIGHT ; 44、INT. HALLWAY - NIGHT ; 46、INT. KELLY'S OFFICE - MOMENTS LATER,"What pivotal event initiates the sequence in which Chuck approaches the Xerox machine, intimacy develops between Chuck and Kelly, and they ultimately repair the machine together?",Chuck Asks About Kelly Frears,"In the lab at night, Chuck inquires about Kelly Frears, marking a shift from passive awareness to active interest. This moment sets in motion a chain of interactions where Chuck seeks out Kelly at the Xerox machine, physical intimacy begins as she licks toner from his fingers, they move onto the desk, and eventually collaborate to fix the malfunctioning machine, transforming their relationship from distant coworkers to intimate collaborators.",Narrative Progression
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-18,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,40、INT. CHUCK'S HOUSE - LATER ; 45、INT. XEROX ROOM ; 48、EXT. FEDEX OFFICES - NEXT MORNING,What pivotal decision shifts the narrative trajectory toward Chuck seeking out Kelly and arriving at the office park?,Chuck Decides to Find Kelly,"In the aftermath of growing tension and personal reckoning, Chuck makes a definitive choice to locate Kelly, setting into motion a chain of events that leads him to the office park and prompts inquiries about her whereabouts. This decision marks the first active step in his pursuit, transforming passive concern into direct action. [scene: INT. CHUCK'S HOUSE - LATER]",Narrative Progression
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-25,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,23、INT. HOTEL ROOM - NIGHT - LATER ; 45、INT. XEROX ROOM,"By the time Kelly greets Chuck upon his return, what must have already taken place for the moment to make narrative sense?",Chuck listens to Kelly's voicemail message,"Before Kelly greets Chuck upon his return in the Xerox room, Chuck has already listened to Kelly's voicemail message in his hotel room late at night, a moment that informs his emotional state and decisions leading up to their reunion. The narrative relies on this prior event being resolved before the greeting can occur with full context.",Temporal Reasoning
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-26,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,21、INT. TRUCK - MOMENTS LATER ; 29、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,What key detail about Chuck’s observation precedes the team’s celebration of the final container being loaded?,Chuck observes Lev's organized approach to package handling,"Earlier in the sequence, during a moment aboard the truck, Chuck takes note of how Lev systematically organizes the packages, establishing a contrast with the surrounding chaos. This observation sets up a narrative point that becomes relevant shortly after, when the team gathers to celebrate the last container being loaded, as Lev’s methodical behavior subtly underscores the efficiency that made the milestone possible.",Temporal Reasoning
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-27,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,31、INT. MD-11 - MOMENTS LATER ; 33、INT. MD-11 - NIGHT,What key event occurs shortly before Stan and Chuck's conversation about leadership and risk?,Stan informs Chuck about bumping his plane,"In the moments leading up to their discussion on leadership and risk, Stan updates Chuck on the decision to bump his plane, setting the stage for the ensuing dialogue about responsibility and judgment under pressure. This update takes place in the cockpit of the MD-11 shortly after the operational change is made.",Temporal Reasoning
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-28,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,33、INT. MD-11 - NIGHT ; 35、INT. MD-11 - NIGHT,What does Chuck do shortly before Stan wakes him to hand over the delivery?,Shuts down PowerBook to go off-line,"In the dimly lit cabin of the MD-11 during nighttime, Chuck disconnects from the network by shutting down his PowerBook, isolating himself digitally moments before Stan rouses him for the handoff.",Temporal Reasoning
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-29,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,27、INT. FEDEX OFFICES - ST. PETERSBURG ; 29、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,What key action has Chuck completed shortly before he praises the team and shares a moment of connection with Lev?,Chuck leads executives in unloading truck,"In the moments leading up to Chuck's gesture of praise and the shared smile with Lev, he initiates and directs a group effort to unload a truck at the FedEx offices in St. Petersburg. This action sets the stage for the subsequent moment of recognition and mutual respect, establishing a shift in group dynamics through shared labor.",Temporal Reasoning
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-3,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,19、INT. FEDEX OFFICES - DAY,What does Chuck's reaction to the missed package reveal about his attitude toward responsibility in the sorting facility?,He takes personal responsibility to recover the package and ensure systemic flaws are corrected.,"Chuck notices a package stuck behind the sorting table and retrieves it, expressing concern about the potential consequences of its delay. He questions what it might contain—emphasizing high-stakes possibilities like a child's toy or a life-saving kidney—implying that every package carries real human weight. After he retrieves it, a sorter adjusts the table to prevent future oversights. Chuck's sharp look at Yuri following the translator's comment about staffing issues indicates he holds operational standards in high regard and is attentive to accountability [Chuck Finds a Missed Package and Fixes Table Placement].",Character Understanding
legacy-ene827f5ab63c84c2eb5d32f6d149e9b5d-32,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,31、INT. MD-11 - MOMENTS LATER,Why did Stan decide to bump Chuck's plane the previous night?,to maintain the connection despite recoverable delays,"Stan tells Chuck he had to bump his plane the previous night because it was fifteen minutes late. Stan insists the priority is making the connection, no matter what.",Causal-Motivational Reasoning
