id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en891ad2b0053b41d48ce33f75cc636305-11,en891ad2b0053b41d48ce33f75cc636305,en,87、EXT. Harborview Station - Harborview Station - NIGHT ; 226、INT. ADJACENT TUNNEL,How does the relationship between Jamie Brooks and Lane Sterling persist across their interactions from the garden at Harborview Station through the adjacent tunnel?,They remain emotionally bonded and mutually supportive partners,"From their encounter in the Harborview Station, where Jamie Brooks visits Lane Sterling with clear concern and she responds with affectionate familiarity, through subsequent moments of shared intimacy and trust—including a rooftop conversation and a final embrace in the tunnel—their bond consistently reflects deep emotional reliance. Lane Sterling is shown regarding Jamie Brooks as someone she loves, and their actions repeatedly demonstrate reciprocal care and attachment, confirming a sustained and intimate partnership throughout these scenes.",Role-Relation Continuity
legacy-en891ad2b0053b41d48ce33f75cc636305-12,en891ad2b0053b41d48ce33f75cc636305,en,"44、INT. Crown Hill Department - FREAK CORRIDOR ""A"" - NIGHT ; 160、EXT. BUILDING ROOFTOP - NIGHT",How does the working relationship between Jesse Mercer and Drew Vaughn evolve from their initial interaction through the rooftop mission sequence?,"They maintain a cooperative, collegial alliance under operational pressure","From Jesse Mercer inviting Drew Vaughn to 'come on in and meet the rest of the family' in the Crown Hill Department corridor, to their coordinated presence during the rooftop extraction, the two agents consistently engage in professional collaboration. Drew Vaughn acknowledges Jesse Mercer's standing within the team, and Jesse Mercer repeatedly includes him in mission-critical contexts, indicating a sustained dynamic of mutual operational reliance and institutional camaraderie.",Role-Relation Continuity
legacy-en891ad2b0053b41d48ce33f75cc636305-13,en891ad2b0053b41d48ce33f75cc636305,en,45、INT. Jamie Brooks'S DEN - NIGHT ; 134、INT. CENTER OF THE TUNNEL LABYRINTH (SET) - DAY,How does the working relationship between Jesse Mercer and Jamie Brooks remain consistent from their interactions in Jamie Brooks's den to the tunnel labyrinth mission?,trusted team members,"From Jesse Mercer managing Jamie Brooks's daily routine in his den to coordinating tactical communications during the tunnel labyrinth operation, their relationship consistently reflects mutual reliance and trust. Jesse Mercer uses familiar terms like 'Jamie Brooks' and 'champ,' assists Jamie Brooks physically when needed, and employs formal team protocols such as Code 30 over radio, demonstrating a stable, cooperative dynamic throughout the sequence.",Role-Relation Continuity
legacy-en891ad2b0053b41d48ce33f75cc636305-14,en891ad2b0053b41d48ce33f75cc636305,en,49、INT./EXT. GARBAGE TRUCK LAB - LIBRARY CROWD - NIGHT ; 133、INT. ABANDONED SHOWER ROOM (SET) - DAY,How does the working relationship between Taylor Sloane and Jamie Brooks remain consistent from their initial coordination in the library operation through Taylor Sloane's injury in the abandoned shower room?,trusted teammates under shared operational command,"From the garbage truck lab through the library mission and into later scenes, Taylor Sloane and Jamie Brooks function as coordinated team members under Jesse Mercer's command, engaging in synchronized actions and demonstrating mutual reliance. Their interactions in the library corridor show them dividing tactical roles—Taylor Sloane performing ritual actions while Jamie Brooks handles firepower—and communicating urgent threats, confirming a structured, trust-based partnership. This dynamic persists when Jamie Brooks, upon finding Taylor Sloane injured in the abandoned shower room, immediately calls for medical help, reinforcing their ongoing role as committed, cooperative agents within the same unit.",Role-Relation Continuity
legacy-en891ad2b0053b41d48ce33f75cc636305-15,en891ad2b0053b41d48ce33f75cc636305,en,10、EXT. Harborview District - CEREMONY - NIGHT ; 18、EXT. Harborview District - NIGHT ; 10、EXT. Harborview District - CEREMONY - NIGHT,"What pivotal event initiates the sequence in which Jesse Nolan is transformed through energy surges, receives the Mecha-Glove, and ultimately rises as a new being?",Jesse Nolan Approaches the Machine with Micah Sterling and Harper Carver,"The transformation of Jesse Nolan begins when he arrives at the altar alongside Micah Sterling and Harper Carver, positioning him directly at the center of the ritual machinery. This moment sets into motion the chain of events where energy surges through him, Avery Keller attaches the Mecha-Glove, and he eventually rises as a photographed, altered figure. [10、EXT. Harborview District - CEREMONY - NIGHT]",Narrative Progression
legacy-en891ad2b0053b41d48ce33f75cc636305-16,en891ad2b0053b41d48ce33f75cc636305,en,"2、INT. SUBMARINE STATEROOM - NIGHT ; 17、EXT. Harborview District, IN THE UNDERBRUSH - NIGHT ; 7、EXT. NEARBY - Jonah Brooks - NIGHT",What pivotal event sets in motion Jonah Brooks's confrontation with the Nazi scientist and the subsequent threat assessment with Sage Marlowe?,Jonah Brooks Gathers Artifacts Under Urgent Call,"In the submarine stateroom at night, Jonah Brooks responds to an urgent directive by collecting critical artifacts, initiating a chain of events that leads to the discovery of the Nazi scientist's advance on the gold cylinders. This action directly precipitates Jonah Brooks's warning to Sage Marlowe, their joint evaluation of the emerging danger, and the move to secure the anomaly site.",Narrative Progression
legacy-en891ad2b0053b41d48ce33f75cc636305-17,en891ad2b0053b41d48ce33f75cc636305,en,"7、EXT. NEARBY - Jonah Brooks - NIGHT ; 7、EXT. NEARBY - Jonah Brooks - NIGHT ; 17、EXT. Harborview District, IN THE UNDERBRUSH - NIGHT","What pivotal event sets in motion the sequence where Jonah Brooks responds to the threat, warns Sage Marlowe as the Nazi scientist accesses the gold cylinders, and the Jamie Brooks creature emerges?",Jonah Brooks and Sage Marlowe Assess Threat and Call for Backup,"Following the discovery of the Nazi scientist's proximity to the gold cylinders, Jonah Brooks and Sage Marlowe evaluate the imminent danger and initiate emergency protocols, triggering a chain of urgent responses that lead directly to confrontation and the creature's emergence. [7、EXT. NEARBY - Jonah Brooks - NIGHT]",Narrative Progression
legacy-en891ad2b0053b41d48ce33f75cc636305-25,en891ad2b0053b41d48ce33f75cc636305,en,20、EXT. INSIDE THE CHURCH - NIGHT ; 22、EXT. INSIDE CHAPEL Harborview District - NIGHT,What occurs just before Jonah Brooks attempts to calm the creature with candy?,Allied soldiers enter the Harborview District,"Shortly after the Allied soldiers move into the chapel Harborview District under cover of darkness, Jonah Brooks tries to pacify the creature using candy as a lure. The arrival of the soldiers sets the immediate stage for this tense encounter, marking a shift from exploration to active engagement at the anomaly site.",Temporal Reasoning
legacy-en891ad2b0053b41d48ce33f75cc636305-26,en891ad2b0053b41d48ce33f75cc636305,en,22、EXT. INSIDE CHAPEL Harborview District - NIGHT ; 23、EXT. CHAPEL Harborview District - NIGHT,What occurs just before the group photo is taken at the chapel Harborview District?,Skyler Brooks hears a rustling sound and readies his handgun,"Shortly after the team gathers outside the chapel Harborview District, a quiet moment is broken when Skyler Brooks reacts to a sudden noise. He turns toward the bushes, draws his weapon, and prepares for potential danger, setting up the tension that precedes the group photo. This moment unfolds in the immediate aftermath of their positioning for the picture but before the camera shutter is released. [22、EXT. INSIDE CHAPEL Harborview District - NIGHT]",Temporal Reasoning
legacy-en891ad2b0053b41d48ce33f75cc636305-27,en891ad2b0053b41d48ce33f75cc636305,en,18、EXT. Harborview District - NIGHT ; 19、EXT. Harborview District - NIGHT,What occurs with Jesse Nolan shortly before the portal collapses and he vanishes with Micah Sterling?,Jesse Nolan is controlled by a surge of energy,"In the moments leading up to the portal's collapse, Jesse Nolan experiences a sudden surge of energy at the Harborview District of the Harborview District, which takes hold of him and sets the stage for the subsequent disintegration of the portal and his disappearance alongside Micah Sterling. [19、EXT. Harborview District - NIGHT]",Temporal Reasoning
