id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enf70932f1126d4ce791057d9a8b377ada-10,enf70932f1126d4ce791057d9a8b377ada,en,32、INT. WALTER'S APARTMENT - NIGHT ; 48、INT. WALTER'S BEDROOM - MORNING,What does Vicki say during their intimate moment that explains her reaction after Walter finally reveals his secret?,Vicki suggests Walter is emotionally damaged,"In Walter's apartment at night, Vicki moves closer to him on the couch and tells him she initially thought he was just shy, but now believes something deeper is wrong—that he’s damaged. She emphasizes that she’s not easily shocked and kisses him, repeating her desire to know his dark secret before they go further. When he refuses to share, she accepts his boundary but continues to engage physically, signaling her willingness to stay despite the uncertainty. This moment establishes her prior suspicion and emotional framing of Walter, which directly informs her composed yet shaken response the following morning after he confesses.",Causal-Motivational Reasoning
legacy-enf70932f1126d4ce791057d9a8b377ada-11,enf70932f1126d4ce791057d9a8b377ada,en,48、INT. WALTER'S BEDROOM - MORNING ; 24、INT. WAREHOUSE - DAY,What event directly explains Vicki's abrupt departure from the worksite?,Walter's accusation that she is depraved for wanting to stay after his confession,"After Walter confesses and accuses Vicki of being depraved for her interest in his actions, she reacts with silent distress, their emotional connection visibly severed. This confrontation establishes the tension that culminates in her later refusal to engage with him at the worksite, where she storms off without acknowledgment.",Causal-Motivational Reasoning
legacy-enf70932f1126d4ce791057d9a8b377ada-12,enf70932f1126d4ce791057d9a8b377ada,en,48、INT. WALTER'S BEDROOM - MORNING ; 49、INT. VICKI'S CAR - DAY,What confrontation leads directly to Vicki's emotional breakdown during her drive?,Vicki presses Walter about his past actions,"In Walter's bedroom, Vicki urges him to reveal what he did in his past, insisting she won’t run away. After she shares her own confession—having an affair with her best friend’s husband—Walter discloses that he molested young girls and served twelve years in prison. He responds to her questions with bitterness and self-loathing, ultimately rejecting her presence and accusing her of being depraved for staying. The weight of this exchange leaves Vicki silent and visibly shaken as she leaves the room. [scene: 48、INT. WALTER'S BEDROOM - MORNING]",Causal-Motivational Reasoning
legacy-enf70932f1126d4ce791057d9a8b377ada-13,enf70932f1126d4ce791057d9a8b377ada,en,33、INT. WALTER'S BEDROOM - NIGHT ; 36、INT. APARTMENT - DAY,What moment prior to Walter opening the notebook reveals the emotional vulnerability that makes the act possible?,Walter confides in Vicki about his insomnia and nightmares,"After having sex, Walter sits on the bed beside Vicki and opens up about his emotional state, admitting it has been a long time since he was with someone. He reveals he suffers from insomnia, sweats while sleeping, and often wakes up screaming from nightmares. Vicki responds with calm acceptance, offering to stay the night and listen. This exchange marks a rare moment of emotional exposure for Walter, creating the psychological conditions that lead him, the next day, to finally open the notebook and begin writing.",Causal-Motivational Reasoning
legacy-enf70932f1126d4ce791057d9a8b377ada-15,enf70932f1126d4ce791057d9a8b377ada,en,24、INT. WAREHOUSE - DAY ; 25、INT. WAREHOUSE CAFETERIA - DAY ; 12、EXT. WAREHOUSE - DUSK,"What pivotal event sets in motion the sequence leading to Vicki and Walter's brief exchange, Walter seeking shelter as she drives away, and her solitary drive in the rain?",Vicki storms off after confrontation at the worksite,"Following a heated confrontation at the warehouse, Vicki abruptly leaves the site, prompting Walter to watch her departure and take cover from worsening weather, while she drives alone through the rain, marking a shift in their relationship dynamic. [24、INT. WAREHOUSE - DAY]",Narrative Progression
legacy-enf70932f1126d4ce791057d9a8b377ada-16,enf70932f1126d4ce791057d9a8b377ada,en,48、INT. WALTER'S BEDROOM - MORNING ; 48、INT. WALTER'S BEDROOM - MORNING ; 48、INT. WALTER'S BEDROOM - MORNING,What event marks the turning point that initiates the emotional unraveling leading to Walter's confession and the subsequent exchanges of truth between him and Vicki?,Walter wakes from a nightmare and Vicki comforts him,"In the early morning, Walter jolts awake from a disturbing dream, visibly shaken. Vicki, present in the room, responds with tenderness, calming him through physical closeness and quiet reassurance. This moment of vulnerability softens the emotional barrier Walter has maintained, setting in motion a chain of disclosures that culminates in his admission of past crimes and a mutual reckoning between the two. [48、INT. WALTER'S BEDROOM - MORNING]",Narrative Progression
legacy-enf70932f1126d4ce791057d9a8b377ada-17,enf70932f1126d4ce791057d9a8b377ada,en,48、INT. WALTER'S BEDROOM - MORNING ; 12、EXT. WAREHOUSE - DUSK ; 39、INT. BUS - MORNING,"What pivotal event initiates the shift in Walter and Vicki's relationship, leading directly to their subsequent intimate moments?",Vicki Gives Walter a Ride,"In the scene set at a warehouse at dusk, Vicki offers Walter a ride, marking the first significant interaction that alters the trajectory of their relationship. This moment sets in motion a series of escalating personal encounters, establishing the emotional and narrative foundation for their later intimacy. The act of giving him a ride serves as the critical bridge from distant acquaintance to physical and emotional closeness. [12、EXT. WAREHOUSE - DUSK]",Narrative Progression
legacy-enf70932f1126d4ce791057d9a8b377ada-18,enf70932f1126d4ce791057d9a8b377ada,en,48、INT. WALTER'S BEDROOM - MORNING ; 12、EXT. WAREHOUSE - DUSK ; 39、INT. BUS - MORNING,What pivotal event shifts the narrative toward Walter's subsequent actions of isolation and self-concealment?,Vicki Questions Walter and Leaves,"In the aftermath of their intimate encounter, Vicki confronts Walter with doubt and emotional distance before departing, leaving him abruptly alone. This moment destabilizes Walter’s emotional state and triggers a series of reactive behaviors—observing her departure, checking for witnesses, and cleansing himself—indicating a shift from intimacy to withdrawal. The scene establishes a cause-effect trajectory that directly feeds into his psychological retreat. [48、INT. WALTER'S BEDROOM - MORNING]",Narrative Progression
legacy-enf70932f1126d4ce791057d9a8b377ada-25,enf70932f1126d4ce791057d9a8b377ada,en,19、INT. OFFICE - NIGHT ; 37、INT. ROSEN'S OFFICE - DAY,"By the time Rosen suggests other therapists, what has already become evident in Walter's behavior during their sessions?",Walter's hostility and sarcasm,"During an earlier therapy session, Rosen observes a distinct pattern in Walter's demeanor, noting his defensive posture, biting remarks, and consistent use of sarcasm as a shield against vulnerability. This behavioral assessment precedes and informs Rosen's later decision to recommend alternative therapists, indicating a deterioration in the therapeutic dynamic that unfolds over multiple meetings.",Temporal Reasoning
legacy-enf70932f1126d4ce791057d9a8b377ada-26,enf70932f1126d4ce791057d9a8b377ada,en,6、EXT. BUS STOP - DAY ; 30、EXT. WAREHOUSE - DUSK,"By the time Vicki gives Walter a ride, what has already happened at the bus stop?",Bus departs leaving Walter on sidewalk,"Walter is left behind when the bus pulls away from the stop, a moment that precedes his later encounter with Vicki at the warehouse. This abandonment sets the stage for his shift in plans and subsequent reliance on unexpected help.",Temporal Reasoning
