id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en132159a79f6040c88b523d3a87ec3224-1,en132159a79f6040c88b523d3a87ec3224,en,28、INT. RESTARAUNT - MOMENTS LATER,What role does the manager take toward Alex Bellamy during the confrontation in the restaurant?,enforcer of removal,"The manager pulls Alex Bellamy aside and tells him the bathroom was destroyed. Alex Bellamy denies any involvement. The manager points out that Alex Bellamy’s hand is bleeding and says a witness saw him coming out of the bathroom. Alex Bellamy insists he didn’t do it. The manager tells him he must leave. Alex Bellamy asks why and says he didn’t do anything. The manager threatens to call the police. Alex Bellamy apologizes and offers to pay for their drinks and salad. The manager accepts the money. Alex Bellamy whispers to Alex Finch that they should go. They leave the restaurant and walk to the the black jacket. Alex Finch asks if everything is okay. Alex Bellamy says it is, and that nothing happened.",Character Understanding
legacy-en132159a79f6040c88b523d3a87ec3224-10,en132159a79f6040c88b523d3a87ec3224,en,26、INT. RESTAURANT - NIGHT ; 27、INT. BATHROOM - MOMENTS LATER ; 28、INT. RESTARAUNT - MOMENTS LATER ; 30、INT. Alex Finch'S APARTMENT - LATER,What event during their earlier interaction creates the unresolved tension that shapes Alex Finch and Alex Bellamy's farewell?,"Alex Finch brings up Alex Bellamy's childhood hammer incident, causing Alex Bellamy to withdraw, destroy the bathroom, and leave the date awkwardly","During the restaurant date, Alex Finch mentions the childhood story about Alex Bellamy throwing a hammer through a sliding glass door. Alex Bellamy visibly wells with tears, hides his reaction, and excuses himself to the bathroom, where he smashes the stall. The manager's confrontation then forces them to leave, and the unresolved embarrassment and avoidance carry into the restrained farewell at Alex Finch's apartment.",Causal-Motivational Reasoning
legacy-en132159a79f6040c88b523d3a87ec3224-13,en132159a79f6040c88b523d3a87ec3224,en,16、INT. KITCHEN - MOMENTS LATER ; 36、EXT. Westhaven Street - LATER,What threat creates the financial pressure that leads to Alex Bellamy being targeted in the driveway confrontation?,Rowan Sloane threatens to contact Alex Bellamy's girlfriend for money,"In the kitchen, Tristan York—operating as Rowan Sloane—tells Alex Bellamy she will call his girlfriend to demand financial help, noting she has access to his personal billing information. Alex Bellamy abruptly hangs up, visibly shaken. Later, as Alex Bellamy arrives at his apartment, Tristan Adler and Morgan Prescott confront him, accusing him of failing to deliver promised money. They demand more cash, shove him to the ground, and threaten to take him to an ATM, claiming he owes them. The urgency and aggression mirror the financial exposure initiated by the earlier threat.",Causal-Motivational Reasoning
legacy-en132159a79f6040c88b523d3a87ec3224-14,en132159a79f6040c88b523d3a87ec3224,en,37、EXT. GROCERY STORE/BANK PARKING LOT - NIGHT ; 71、INT. Alex Bellamy'S Westhaven Street - NIGHT,How does the adversarial relationship between Morgan Prescott and Alex Bellamy evolve from the parking lot confrontation through the Westhaven Street encounter?,"Morgan Prescott consistently initiates hostility, while Alex Bellamy only retaliates when provoked","From the unprovoked assault in the grocery store parking lot, where Morgan Prescott physically attacks Alex Bellamy and issues a threat, to a later street confrontation where Morgan Prescott aggressively questions Alex Bellamy's movements, the pattern shows Morgan Prescott as the persistent aggressor. This dynamic shifts in the Westhaven Street scene, where Alex Bellamy, upon seeing Alex Finch injured, becomes the one who physically attacks Morgan Prescott—marking the first time Alex Bellamy takes offensive action in their conflict.",Role-Relation Continuity
legacy-en132159a79f6040c88b523d3a87ec3224-15,en132159a79f6040c88b523d3a87ec3224,en,1、INT. Westhaven Heights - THAT MOMENT ; 1、INT. Westhaven Heights - THAT MOMENT ; 31、INT. RECEPTION AREA/Alex Finch'S BUILDING,What pivotal event sets in motion Alex Bellamy's subsequent actions involving Alex Finch's departure and her abandoned the black jacket?,Alex Finch Arrives and Leaves Her the black jacket with Alex Bellamy,"In the Westhaven Heights, Alex Finch arrives unexpectedly and leaves her the black jacket with Alex Bellamy before walking away, initiating a chain of events where Alex Bellamy becomes responsible for her vehicle and later reacts to her calls and presence from a distance. This moment shifts the narrative trajectory by establishing Alex Bellamy's physical and emotional custody of her belongings and marking the beginning of her withdrawal from his life. [1、INT. Westhaven Heights - THAT MOMENT]",Narrative Progression
legacy-en132159a79f6040c88b523d3a87ec3224-16,en132159a79f6040c88b523d3a87ec3224,en,25、EXT/INT. Alex Finch'S APARTMENT COMPLEX - EVENING ; 25、EXT/INT. Alex Finch'S APARTMENT COMPLEX - EVENING ; 33、INT. HALLWAY - THAT MOMENT,"What event sets in motion Alex Bellamy's reunion with Alex Finch, leading to their intimate moments and departure from the restaurant?",Security Guard Calls Alex Finch About Alex Bellamy's Arrival,"The security guard's call to Alex Finch about Alex Bellamy arriving at her apartment complex initiates a chain of personal encounters, enabling Alex Bellamy's emotional reconnection with Alex Finch and setting the stage for their private goodbye and subsequent departure together from the restaurant [25、EXT/INT. Alex Finch'S APARTMENT COMPLEX - EVENING].",Narrative Progression
legacy-en132159a79f6040c88b523d3a87ec3224-17,en132159a79f6040c88b523d3a87ec3224,en,26、INT. RESTAURANT - NIGHT ; 44、INT. SMART AND FINAL - DAY ; 42、INT. Westhaven Heights/Westhaven Heights - MOMENTS LATER,"What pivotal event shifts the narrative toward the sequence involving the shopping cart, trip planning, and examination of the the brass lantern?",Alex Bellamy Explains the the paper jacket and Plays the the brass lantern,"The scene establishes a critical link between Alex Bellamy's growing obsession with the paper jacket and his emotional connection to the the brass lantern, catalyzing subsequent actions involving Harper Marlowe. As Alex Bellamy articulates the significance of the the paper jacket deal and demonstrates the the brass lantern's sound, the moment propels the story into coordinated planning and exploration, directly enabling the later scenes of shopping, travel intentions, and musical curiosity. [17、INT. Alex Bellamy'S WORK/Westhaven Heights - MORNING/LATER]",Narrative Progression
legacy-en132159a79f6040c88b523d3a87ec3224-18,en132159a79f6040c88b523d3a87ec3224,en,26、INT. RESTAURANT - NIGHT ; 44、INT. SMART AND FINAL - DAY ; 42、INT. Westhaven Heights/Westhaven Heights - MOMENTS LATER,What pivotal event sets in motion Alex Bellamy's scheme involving the paper jacket and travel plans?,Alex Bellamy Describes a Cross-Promotion Involving the paper jacket and Airline Miles,"In a restaurant at night, Alex Bellamy reveals a cross-promotion linking the paper jacket purchases to airline miles, which directly triggers his subsequent actions: planning a trip, enlisting Harper Marlowe's help, and stockpiling the paper jacket after noticing the deal. This moment shifts the narrative from casual observation to active pursuit of a reward-based strategy. [26、INT. RESTAURANT - NIGHT]",Narrative Progression
legacy-en132159a79f6040c88b523d3a87ec3224-26,en132159a79f6040c88b523d3a87ec3224,en,17、INT. Alex Bellamy'S WORK/Westhaven Heights - MORNING/LATER ; 18、INT. Westhaven Heights - THAT MOMENT,What occurs just before Alex Finch and Alex Bellamy share their final moment together?,Box falls during repositioning causing a loud crash,"In the moments leading up to Alex Finch and Alex Bellamy's farewell, a box is dislodged while being repositioned in the Westhaven Heights, resulting in a sudden and loud crash that disrupts the quiet tension. This incident takes place in the same continuous stretch of time, immediately preceding their emotional exchange. [17、INT. Alex Bellamy'S WORK/Westhaven Heights - MORNING/LATER]",Temporal Reasoning
legacy-en132159a79f6040c88b523d3a87ec3224-27,en132159a79f6040c88b523d3a87ec3224,en,36、EXT. Westhaven Street - LATER ; 37、EXT. GROCERY STORE/BANK PARKING LOT - NIGHT,What occurs immediately before Morgan Prescott confronts Alex Bellamy at the parking lot?,Alex Bellamy withdraws money at the ATM and protests that he did not promise to help,"In the parking lot sequence, Alex Bellamy first uses the ATM while the brothers watch. After he takes the money, Tristan Adler confronts him and Alex Bellamy protests that he did not promise to help and that the situation is unfair; Morgan Prescott then steps in and punches him.",Temporal Reasoning
legacy-en132159a79f6040c88b523d3a87ec3224-28,en132159a79f6040c88b523d3a87ec3224,en,9、INT. SUSAN'S HOUSE - NIGHT ; 10、INT. SUSAN'S HOUSE - HALLWAY - LATER,What occurs just before Alex Bellamy breaks down and asks for secrecy?,Alex Bellamy cautiously enters the house,"Shortly after arriving at Susan's house, Alex Bellamy moves carefully through the space, appearing tense and alert. This moment of quiet apprehension immediately precedes his emotional collapse and plea for confidentiality in the hallway, marking a shift from physical to emotional tension within the same location.",Temporal Reasoning
legacy-en132159a79f6040c88b523d3a87ec3224-3,en132159a79f6040c88b523d3a87ec3224,en,49、INT. Westhaven Heights - DAY,What does Alex Bellamy aim to accomplish during his the leather key call when he becomes increasingly agitated?,Resolve the order immediately,"Alex Bellamy is on the the leather key, speaking urgently about a processing delay for an order. He insists there was no mention of a six-to-eight-week wait and expresses frustration that the rules were not clearly communicated. As the operator reiterates the processing timeline, Alex Bellamy grows more distressed, demanding a way to comply with unstated requirements. His agitation peaks when he shouts, drops the the leather key, and punches the wall, then collapses, trying to calm himself as a song begins to play.",Character Understanding
legacy-en132159a79f6040c88b523d3a87ec3224-4,en132159a79f6040c88b523d3a87ec3224,en,6、INT. Westhaven Heights/NEAR Harper Marlowe'S DESK - LATE AFTERNOON,What does Alex Bellamy realize about Sage Monroe's intentions during their conversation about the party?,She intends to bring the guest regardless,"Alex Bellamy confirms to Sage Monroe that he will attend the party at Morgan Huxley and Taylor Nolan's place. Sage Monroe says she wants to bring a coworker she finds cute and nice, hoping Alex Bellamy will meet her. Alex Bellamy expresses discomfort, worried about feeling self-conscious, and says he might not come. Sage Monroe insists she will bring her friend anyway, asserting she is only trying to help and be a friend, then leaves. Alex Bellamy is left alone, showing subtle physical tension.",Character Understanding
legacy-en132159a79f6040c88b523d3a87ec3224-5,en132159a79f6040c88b523d3a87ec3224,en,1、INT. Westhaven Heights - THAT MOMENT,What occurs when the Ford Escort arrives at the Westhaven Heights?,maneuvers around the the brass lantern,"A small Ford Escort pulls into the alley, carefully maneuvering around the the brass lantern parked in the street. Alex Finch exits the vehicle and approaches Alex Bellamy, who is standing near the Westhaven Heights entrance. She inquires whether he works at the mechanic’s shop, and after learning he does not, asks if she can leave her the black jacket there. Alex Bellamy says he doesn’t know the mechanics well but agrees to hold her keys and pass them on when the shop staff arrives. She confirms her parking spot, hands over the keys, and departs, noticing the piano as she leaves.",Scene Grounding
