id,related_scenes,question,answer,related_context,question_type,question_source
1,11、EXT. SUBWAY -- DAY,Who does Ellatrace mention as knowing about Bourne?,A journalist in London named Simon Ross.,There's a journalist in London. Simon Ross. He seems to know a lot about you.,Character Understanding,broad_coverage_scene
2,17、INT. DAY. CRI DATA ROOM (was,"In [17、INT. DAY. CRI DATA ROOM (was], What does Vosen request regarding the asset?",Rendition protocols and the asset put on standby.,"VOSEN I want rendition protocols and I want the asset put on standby, just in case.",Scene Grounding,broad_coverage_scene
3,8、INT. KRAMER'S OFFICE -- DAY,"In [8、INT. KRAMER'S OFFICE -- DAY], What photo does Kramer hold up?",The photo of Abbott dead,KRAMER holds up the photo of Abbot dead.,Scene Grounding,broad_coverage_scene
4,10、INT. CONTINUOUS. MARTIN'S APARTMENT,Why did Martin's sister die?,She was shot by a man who came for Bourne.,BOURNE: She was shot. A man came for me.,Causal-Motivational Reasoning,broad_coverage_scene
5,35、INT/EXT. DAY. BLACK CAB -- YORK ROAD,What does ROSS do after paying the DRIVER?,"Exits, checks his watch, looks around, and isn't sure of his next move.","ROSS pays the DRIVER, exits. Checks his watch. Looks around. Isn't sure what his next move is--",Scene Grounding,broad_coverage_scene
6,56、EXT. DAY. WATERLOO,What is Blackbriar?,"A name linked to Bourne's past, mentioned by Ross's source.",ROSS: 'my source said it started with you.',Scene Grounding,broad_coverage_scene
7,62、INT. DAY. CRI HUB -- NEW YORK,"In [62、INT. DAY. CRI HUB -- NEW YORK], What is Vosen's emotional state?",Anxious and urgent,VOSEN pacing. VOSEN We're losing him! We cannot afford to lose him!,Character Understanding,broad_coverage_scene
8,65、INT. CAR TRAVELLING-- MEPHAM STREET -- DAY.,"In [65、INT. CAR TRAVELLING-- MEPHAM STREET -- DAY.], What is PAZ's current behavioral state?",Moving through corridors and studying a station plan on his way to the kill zone,PAZ through the archway. Grabbing a station plan. Studying it. Through a subterranean maze of corridors... On his way to the kill zone.,Character Understanding,broad_coverage_scene
9,51、INT. DAY. NEW YORK -- ENCRYPTED AREA -- CONTINUOUS,"In [51、INT. DAY. NEW YORK -- ENCRYPTED AREA -- CONTINUOUS], What is the emotional state of the young man under the hoody?",Terrified and bewildered,"The HOOD is pulled back. An innocent YOUNG MAN -- terrified, bewildered.",Character Understanding,broad_coverage_scene
10,47、INT. DAY. CRI HUB -- NEW YORK,"In [47、INT. DAY. CRI HUB -- NEW YORK], What is ROSS's behavioral state?",Trying to play it cool,Trying to play it cool -- ROSS in clear view of the cameras,Character Understanding,broad_coverage_scene
11,41、INT. CONTINUOUS. NEW YORK HUB,"In [41、INT. CONTINUOUS. NEW YORK HUB], What is Wills' emotional state during the interaction?",Wills is hesitant and reluctant.,"Sir, we haven't yet become operational --",Character Understanding,broad_coverage_scene
12,42、EXT. DAY. BMW -- LONDON STREET,"In [42、EXT. DAY. BMW -- LONDON STREET], What describes Paz's demeanor?",Cool and predatory,"PAZ, 20s, cool and predatory",Character Understanding,broad_coverage_scene
13,5、INT. NIGHT PHARMACY -- MOSCOW,Why did Bourne disable the first policeman?,Because the policeman approached him after he didn't respond to questions.,"When BOURNE doesn't respond to his questions, the POLICEMAN starts forward. BOURNE turns and in one motion grabs his gun from the sink and disables the POLICEMAN.",Causal-Motivational Reasoning,broad_coverage_scene
14,21、INT. DAY. EUROSTAR,What is Bourne carrying after emerging from the flashback?,the pain of her loss,BOURNE comes out of the flashback. He is still carrying the pain of her loss,Scene Grounding,broad_coverage_scene
15,20、INT. DAY. EUROSTAR,When does the flashback occur?,After Bourne reads The Guardian,BOURNE reads The Guardian. He sees an article... There is a photo of Marie--FB2 FLASHBACK FB,Temporal Reasoning,broad_coverage_scene
16,26、INT. DAY GUARDIAN -- NEWSROOM,What does Bourne's voice state about the location and time?,"Waterloo Station, south entrance, thirty minutes.","BOURNE (V.O.) Waterloo Station, south entrance, thirty minutes.",Character Understanding,broad_coverage_scene
17,34、EXT. DAY. WATERLOO STATION -- LONDON,What action is Bourne performing in the scene?,Moving toward the rendezvous,BOURNE moving toward the rendezvous...,Scene Grounding,broad_coverage_scene
18,40、INT. DAY. WATERLOO -- ENTRANCE,"In [40、INT. DAY. WATERLOO -- ENTRANCE], How does Ross feel when he answers the phone?",Puzzled.,ROSS hits 'answer.'... puzzled.,Character Understanding,broad_coverage_scene
19,48、EXT. ACROSS FROM YORK ROAD -- DAY,"In [48、EXT. ACROSS FROM YORK ROAD -- DAY], What is the behavioral state of the three men?",Racing across the road on foot and weaving through heavy traffic.,SURVEY TWO -- three men racing across the road on foot. Weaving through heavy traffic.,Character Understanding,broad_coverage_scene
20,56、EXT. DAY. WATERLOO,"In [56、EXT. DAY. WATERLOO], What is Treadstone?","An organization associated with Bourne's past, mentioned as a source of information.",ROSS: 'someone from Treadstone. Someone there at the beginning.',Scene Grounding,broad_coverage_scene
21,47、INT. DAY. CRI HUB -- NEW YORK,"In [47、INT. DAY. CRI HUB -- NEW YORK], What is VOSEN's emotional state?",Annoyed,VOSEN. Annoyed now.,Character Understanding,broad_coverage_scene
22,10、INT. CONTINUOUS. MARTIN'S APARTMENT,What caused Bourne to kill the man?,"The man came for Bourne, leading to his death.",BOURNE: A man came for me. MARTIN: And then you killed him.,Causal-Motivational Reasoning,broad_coverage_scene
23,28、INT. DAY. GUARDIAN -- NEWSROOM,What actions does ROSS perform after hanging up the phone?,"Gathers his stuff, puts his notebook in his pocket, and leaves.",ROSS looks bewildered -- hangs up the phone -- gathers his stuff -- puts his notebook in his pocket and leaves.,Scene Grounding,broad_coverage_scene
24,45、INT. CONTINUOUS. NEW YORK HUB,"In [45、INT. CONTINUOUS. NEW YORK HUB], What is Vosen's current behavioral state?",Vosen is thinking it over,VOSEN thinking it over as he watches the image of ROSS,Character Understanding,broad_coverage_scene
25,37、EXT. DAY. YORK ROAD -- LONDON,What do the two people from the van do?,Take up a position in an open stairwell three floors up.,two people from the van-- take up a position in an open stairwell three floors up,Scene Grounding,broad_coverage_scene
26,20、INT. DAY. EUROSTAR,When does Bourne burn Marie's stuff?,After the flashback sequence,"Marie fades into the depths, dead. Bourne burns Marie's stuff",Temporal Reasoning,broad_coverage_scene
27,29、INT. DAY. BUILDING -- ACROSS FROM GUARDIAN,What action did SURVEY ONE perform?,Panned down to the entrance of the GUARDIAN building,SURVEY ONE has panned down to the entrance of the GUARDIAN building,Scene Grounding,broad_coverage_scene
28,173、EXT. PETIT SOCCO -- CONTINUOUS *,What does Nicky do immediately after the call with Bourne is disconnected?,Nicky dismantles her phone and leaves the square.,"She looked at the screen: 'SERVICE DENIED.' Her eyes darted around the square. Without hesitation, she took apart the phone, scattering its pieces. Then she moved quickly away.",Character Understanding,broad_coverage_scene
29,159、INT. HUB | 163、INT. HUB - DAY,Why did Vosen order the asset to target Nicky Parsons?,"Vosen ordered the asset to target Nicky Parsons because he believed she had compromised the operation by breaching the secure system and transmitting data to the asset, which coincided with the asset's deviation to a location matching her known position.","The breach is traced to a computer belonging to Nicky Parsons, with data transmission to the asset confirmed at 14:11. Around the same time, the asset briefly deviates from its course, moving south to Rue Belgique and stopping at Place de France. The location matches Parsons' known position. Vosen pieces together the connection, then orders the asset to target her once the current operation with Daniels concludes.",Causal-Motivational Reasoning,broad_coverage_event_chain
30,180、EXT. RUE DE CHRETIENS -- CONTINUOUS * | 179、INT./EXT. RIAD/ROOFTOPS -- CONTINUOUS *,What does Nicky do immediately after she sees Desh on the Rue des Chretiens?,"She turns and moves quickly into a narrow alleyway, then climbs steps into a riad to stay out of sight.","The moment she sees him, she turns and moves fast, slipping into a narrow alleyway. She scans the side streets and rooftops, then climbs a short flight of steps and disappears into a riad, staying out of sight.",Temporal Reasoning,broad_coverage_event_chain
31,179、INT./EXT. RIAD/ROOFTOPS -- CONTINUOUS * | 160、EXT. ACROSS FROM CAFE DE PARIS. DAY | 167、EXT. DAY. TANGIER STREET,What does Desh observe before he rides away after the explosion?,Desh observes Bourne lying motionless in the street after the explosion.,Desh looks back and sees Bourne lying still. He mounts his motorbike and rides away.,Character Understanding,broad_coverage_event_chain
32,179、INT./EXT. RIAD/ROOFTOPS -- CONTINUOUS * | 167、EXT. DAY. TANGIER STREET,What happens immediately after Bourne sees Desh with the detonator?,"Desh triggers the device, causing an explosion that throws Bourne across the street.","Bourne turns and sees Desh standing with the detonator in his hand. Their eyes meet. In the next instant, Desh triggers the device. The explosion erupts, hurling Bourne across the street.",Temporal Reasoning,broad_coverage_event_chain
33,179、INT./EXT. RIAD/ROOFTOPS -- CONTINUOUS * | 172、EXT. RUE D'ESPAGNE -- CONTINUOUS * | 173、EXT. PETIT SOCCO -- CONTINUOUS *,What happens after Bourne loses sight of Desh during the chase?,Bourne speeds through traffic on a stolen moped while trying to call Nicky.,"Desh is no longer in sight. Bourne speeds through traffic on a stolen moped, weaving between vehicles as two squad cars pursue. With one hand on the handlebars, he pulls out his cell phone and tries to make a call.",Temporal Reasoning,broad_coverage_event_chain
34,172、EXT. RUE D'ESPAGNE -- CONTINUOUS * | 175、EXT. MOPED TRAVELLING * | 181、EXT. RUE DE CHRETIENS -- CONTINUOUS * | 167、EXT. DAY. TANGIER STREET,What happens after Bourne sees Desh standing with the detonator in his hand?,"Desh triggers the device, causing an explosion that hurls Bourne across the street, and then Desh rides away on his motorbike.","Bourne turns and sees Desh standing with the detonator in his hand. Their eyes meet. In the next instant, Desh triggers the device. The explosion erupts, hurling Bourne across the street. He lands motionless on the pavement. Desh looks back and sees Bourne lying still. He mounts his motorbike and rides away.",Temporal Reasoning,broad_coverage_event_chain
35,167、EXT. DAY. TANGIER STREET | 179、INT./EXT. RIAD/ROOFTOPS -- CONTINUOUS *,When does Desh attach a silencer to his gun?,Desh attaches a silencer to his gun while moving across the rooftops before he begins advancing toward Nicky.,"Desh readies his weapon with a silencer and increases his pace. Desh moves across the rooftops, attaching a silencer to his gun. He spots Nicky walking through the crowd below and begins moving faster, advancing steadily toward his target.",Temporal Reasoning,broad_coverage_event_chain
36,150、INT. HUB | 162、EXT. CAFE DE PARIS | 169、EXT. VESPA TRAVELLING *,When does Desh begin moving again after stopping?,Desh begins moving again after he takes the phone and a scooter driver takes the key and returns to the Vespa.,"After Desh snatches the phone and the driver takes the key and pulls into traffic, Desh's location icon begins moving again on the computer screen.",Temporal Reasoning,broad_coverage_event_chain
37,167、EXT. DAY. TANGIER STREET | 180、EXT. RUE DE CHRETIENS -- CONTINUOUS * | 179、INT./EXT. RIAD/ROOFTOPS -- CONTINUOUS *,What does Desh do immediately after confirming Bourne is motionless following the explosion?,"Desh mounts his motorbike and rides away toward his next target, Nicky.","Desh looks back and sees Bourne lying still. He mounts his motorbike and rides away. Desh turns and sees Bourne lying motionless in the street after the explosion. He mounts the motorbike, rides around the corner, and drives away in the direction of his next target, Nicky.",Temporal Reasoning,broad_coverage_event_chain
