id,related_scenes,question,answer,related_context,question_type,question_source
1,11、INT. REDSKINS' HEAD COACH'S OFFICE - DAY,"In [11、INT. REDSKINS' HEAD COACH'S OFFICE - DAY], What is Reese Evans' emotional state according to his dialogue?","Bored and ready to retire, seeking one last hit.",Bored and ready to retire. I'm just looking for one more hit.,Character Understanding,broad_coverage_scene
2,8、INT. TILDON'S OFFICE,"In [8、INT. TILDON'S OFFICE], What is O'Neil's behavioral state when he fires Tildon?",Aggressive and confrontational,You're fired! Get out! Get out! Get out!,Character Understanding,broad_coverage_scene
3,43、INT. LOCKER ROOM - DAY (HALF-TIME),What does Shane say about the plays?,"We can't put three plays together without a penalty, a fumble or a fight.","We can't put three plays together without a penalty, a fumble of a fight.",Character Understanding,broad_coverage_scene
4,10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,Why does O'Neil mention using replacement players?,"Because the actual players flew home, leaving no team.","McGinty states the players flew home in their jets, prompting O'Neil's plan for replacements.",Causal-Motivational Reasoning,broad_coverage_scene
5,8、INT. TILDON'S OFFICE,"In [8、INT. TILDON'S OFFICE], What is O'Neil's emotional state during his conversation with Tildon?",Angry and frustrated,Bullshit he slipped! You god damn wimp!,Character Understanding,broad_coverage_scene
6,3、EXT. UNDERWATER - DAY,"In [3、EXT. UNDERWATER - DAY], What object does Shane pick up from the mud?",a broken trophy half-buried in the mud,picks it up,Scene Grounding,broad_coverage_scene
7,10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,Why does O'Neil ask McGinty to return as head coach?,Because he is dying and needs help bringing a winner back to D.C.,O'Neil says he'll be gone by Superbowl Sunday and asks McGinty to help bring a winner back.,Causal-Motivational Reasoning,broad_coverage_scene
8,45、EXT. FIELD - DAY,What does McGinty tell Shane about the huddle?,"Half your job is getting that huddle in the right mindset. Use your imagination, Shane.","McGINTY (V.O) Half your job is getting that huddle in the right mindset. Use your imagination, Shane.",Character Understanding,broad_coverage_scene
9,19、EXT. STANDS - MAGIC HOUR,"In [19、EXT. STANDS - MAGIC HOUR], What is O'Neil's physical condition?",He uses an oxygen tank and is huddled in a large coat.,Augustine holds O'Neil's oxygen tank as the old man sits huddled in a coat that's way too big for him.,Character Understanding,broad_coverage_scene
10,39、EXT. FIELD - DAY,What does Jamal say to Lee during the conflict?,Don't be messing with my brother.,JAMAL (to Lee) Don't be messing with my brother...,Scene Grounding,broad_coverage_scene
11,39、EXT. FIELD - DAY,What action does Lee take against Andre in the huddle?,Lee punches Andre through his face guard.,IN HUDDLE Lee suddenly punches Andre through his face guard.,Scene Grounding,broad_coverage_scene
12,33、EXT. BIG O STADIUM - DAY,What does 'scabs' refer to in the context of the passage?,Individuals who replace striking workers,LINDELL (to kid) Don't be asking for no autographs from the real players and then go in and watch the scabs!,Scene Grounding,broad_coverage_scene
13,31、INT. McGINTY'S HOUSE - DAY,What does 'break a leg' mean in the context of the passage?,A theater expression for good luck before opening night.,Annabelles explanation about it being from the theater for opening night.,Scene Grounding,broad_coverage_scene
14,27、INT. LOCKER ROOM - DAY,"In [27、INT. LOCKER ROOM - DAY], What is Roland Lamont's physical condition?",Suffering from a severe knee injury that ended his career.,My knee turned into wet toilet paper. End of career.,Character Understanding,broad_coverage_scene
15,"41、INT. BAR (QUEENS, NEW YORK)",What did the mafioso witness regarding Lou and the godfather's hat?,Lou kicked the ball that knocked the godfather's hat off,This is the same mafioso type who saw Lou kick the ball that knocked the godfather's hat off,Scene Grounding,broad_coverage_scene
16,21、INT. BUS - MORNING,"In [21、INT. BUS - MORNING], What action is Jamal attempting?",Pulling out a nine-millimeter pistol,Jamal reaches into his jacket and starts to pull out a nine-millimeter pistol.,Character Understanding,broad_coverage_scene
17,5、INT. CONTROL BOOTH - DAY,What does Summerall say about the Redskins' running game?,That play sums up the Redskins' running game all day long.,"That play, my friends, sums up the Redskins' running game all day long.",Character Understanding,broad_coverage_scene
18,57、INT. EDDIE MARTEL'S HOUSE - NIGHT,"In [57、INT. EDDIE MARTEL'S HOUSE - NIGHT], What is shown on the television?",Pacifico conducting and the entire restaurant singing,We're ON a TELEVISION showing Pacifico conducting and the entire restaurant singing.,Scene Grounding,broad_coverage_scene
19,36、INT. TUNNEL - DAY,What is Shane doing while looking out at the field?,Looking out through a blow-up helmet while appearing scared.,Shane is looking out at the field through the blow-up helmet. He looks scared.,Scene Grounding,broad_coverage_scene
20,42、EXT. BIG O - ON SHANE - DAY,What does Madden say about the field goal attempt?,This will be a forty-five yarder. That's a tough distance for your first N.F.L. field goal try.,MADDEN (V.O.) This will be a forty-five yarder. That's a tough distance for your first N.F.L. field goal try.,Character Understanding,broad_coverage_scene
21,49、INT. HALLWAY - NIGHT,"In [49、INT. HALLWAY - NIGHT], Who possesses the key mentioned in the passage?",The Woman in Blue,"She checks the hallway, takes the key from Shane and sticks it in the lock.",Scene Grounding,broad_coverage_scene
22,40、EXT. GAME - ANGLE ON SCOREBOARD - SECOND QUARTER,How does the huddle move after Shane's instruction?,move in unison with tiny steps to their left,Eleven bentover guys move in unison with tiny steps to their left.,Scene Grounding,broad_coverage_scene
23,36、INT. TUNNEL - DAY,How does the crowd in the stands behave?,"A sparse crowd decked out in burgundy and gold cheers like mad, looking drunk.",A sparse crowd is in attendance... They look drunk already as they cheer like mad.,Scene Grounding,broad_coverage_scene
24,37、INT. TUNNEL,What happens to Bateman after he trips inside the helmet?,He bounces twice and is shot out like a cannonball.,"He trips big-time into the side of the helmet. He bounces ... to the other side, bounces again and is shot out of the front of it like a cannon ball.",Scene Grounding,broad_coverage_scene
25,44、EXT. FIELD - DAY,How does Earl make the interception?,Deftly steps in front of the guy and makes a diving catch,"Earl is covering the intended receiver. He deftly steps in front of the guy, and makes a diving catch.",Scene Grounding,broad_coverage_scene
26,37、INT. TUNNEL,How are the cheerleaders affected when Bateman bounces out?,"They are knocked down, and one is knocked out of her shoes.",Cheerleaders are down and screaming in pain. One girl is knocked out of her shoes.,Scene Grounding,broad_coverage_scene
27,45、EXT. FIELD - DAY,What does Shane ask the group to recall?,"Okay, let's all take a few seconds to think about what we were doing for a living... just last week.","SHANE Okay, let's all take a few seconds to think about what we were doing for a living... just last week.",Character Understanding,broad_coverage_scene
28,2、EXT. MARINA DEL REY HARBOR - DAY,"In [2、EXT. MARINA DEL REY HARBOR - DAY], What role does Shane perform based on his actions?",A service provider who ties the dinghy and clips a bill for services rendered.,He ties the dinghy to the rear rail of the sailboat and clips a bill for services rendered on the sailboat's stern line.,Character Understanding,broad_coverage_scene
29,25、EXT. FIELD - DAY,"In [25、EXT. FIELD - DAY], What is Mickey Lee's physical condition?",A 450-pound ex-Sumo wrestler,He's a fourhundred-fifty-pound ex-Sumo wrestler crammed into a Redskin uniform.,Character Understanding,broad_coverage_scene
30,28、EXT. BIG O PARKING LOT - MORNING,"In [28、EXT. BIG O PARKING LOT - MORNING], What is Jamal's role according to his statement?",He is a guard who protects the quarterback.,We're the people who take care of the quarterback. We're the guards.,Character Understanding,broad_coverage_scene
31,17、EXT. HIGH SCHOOL PRACTICE FIELD - DAY,What does Roland express after receiving the phone call?,"Thank you, Lord!","ROLAND (to the sky) Thank you, Lord!",Character Understanding,broad_coverage_scene
32,35、EXT. BIG O - DAY,What is the meaning of 'Sugar Bowl' in the passage?,A college football bowl game mentioned as an event where Shane Falco played.,Sugar Bowl Falco quarterbacked when Florida State creamed them?,Scene Grounding,broad_coverage_scene
33,27、INT. LOCKER ROOM - DAY,"In [27、INT. LOCKER ROOM - DAY], What is Shane's emotional state?",Glad to be back playing.,SHANE ... just glad to be back playing.,Character Understanding,broad_coverage_scene
34,40、EXT. GAME - ANGLE ON SCOREBOARD - SECOND QUARTER | 47、EXT. FIELD - LATE AFTERNOON,Why did McGinty insist that Shane execute the same play again after being injured?,"McGinty insisted Shane execute the same play again to overcome his hesitation and fulfill his potential, believing Shane was the only one who could complete the play and must either embrace his destiny or give it up.","McGinty tells Shane he will go back in, run the same play, and throw to Franklin, stating that Shane is the only one who can do this and must either live his destiny or give it up for good.",Causal-Motivational Reasoning,broad_coverage_event_chain
