id,related_scenes,question,answer,related_context,question_type,question_source
1,十一 缘了,在[十一 缘了]中，为什么何云青需要尽快抄完经？,因为乐娘想把他变成第二个老张,听法师说，乐娘就是想把云青兄变成第二个老张。,Causal-Motivational Reasoning,broad_coverage_scene
2,四 惊艳,"在[四 惊艳]中, 乐娘在见何云青时的情绪状态如何？",羞涩且恭敬,半掩着脸孔...娇滴滴地唤...低头陪礼,Character Understanding,broad_coverage_scene
3,十 故梦,"在[十 故梦]中, 乐娘被逐出经略府后，她的身体状况如何？",伤重不支，奄奄一息,乐娘被逐出经略府，伤重在地下拖爬，终于不支倒在地下奄奄一息。,Character Understanding,broad_coverage_scene
4,二 远涉,为何秦凤路驻军几乎全军复没？,西夏王率众倾巢而出,西夏王看出了破绽，率众倾巢而出，这秦凤路的驻军几乎全军复没。,Causal-Motivational Reasoning,broad_coverage_scene
5,四 惊艳,"在[四 惊艳]中, 乐娘的身份是什么？",王妈的女儿，何云青的学生,这位就是我那孩子。你以后就跟着何公子念书,Character Understanding,broad_coverage_scene
6,一 受命,"在[一 受命]中, 何云青在何处看到巨大的木柱和佛像？",海印寺的殿中,走进殿中，映入何云青眼帘的是，可以合围的巨大木柱嵌在厚实的大石板上，壁间放满了大大小小的佛象,Scene Grounding,broad_coverage_scene
7,二 远涉,何云青为何要打听崔参军？,惠明师父有信要交给崔鸿至,惠明师父有封信叫我带给你。,Causal-Motivational Reasoning,broad_coverage_scene
8,十一 缘了,老张为什么变成半人半鬼的样子？,被乐娘掐住脖子导致的,从那天起，他就变成这个半人半鬼的样子。,Causal-Motivational Reasoning,broad_coverage_scene
9,一 受命,"在[一 受命]中, 何云青在何处看到长而高耸的台阶？",海印寺,夕阳的光象一条蛇，游走在海印寺宽大的走廊上，长而高耸的台阶生出许多明暗的变化,Scene Grounding,broad_coverage_scene
10,七 赶集,村落的屋舍有何特点？,屋舍俨然地坐落在山谷里，黑色的瓦房,屋舍俨然地坐落在山谷里，黑色的瓦房配合着山林的逸趣,Scene Grounding,broad_coverage_scene
11,九 封印,何云青醒来时天色如何？,天已经大亮了,何云青睡眼惺忪地张开眼睛，看天已经大亮了，猛地跃起。,Temporal Reasoning,broad_coverage_scene
12,七 赶集,何云青离开时如何走的？,尾随着崔鸿至赶走山间小径,何云青尾随着崔鸿至赶走山间小径,Scene Grounding,broad_coverage_scene
13,序,"在[序]中, 落第举子为何抄写文字？",为了谋生,东抄抄、西写写，混个嚼谷儿,Character Understanding,broad_coverage_scene
14,三 止泊,"在[三 止泊]中, 小青的身份是什么？",王妈的丫环,王家的丫环，我叫小青,Character Understanding,broad_coverage_scene
15,三 止泊,"在[三 止泊]中, 王妈在经略府担任什么职务？",大管家,以前是经略府的大管家,Character Understanding,broad_coverage_scene
16,八 恨晚,"在[八 恨晚]中, 崔鸿至与何云青在何处遇到吹箫的少女？",靠近村庄的小路上,靠近村庄的小路上，崔鸿至与何云青匆勿赶路。忽然又听到一阵凑美的箫声，何云青抬头看见小路的大石头上坐着吹箫的少女,Scene Grounding,broad_coverage_scene
17,十一 缘了,为什么老张在遭遇乐娘之后神志不清，变成了后来的样子？,因为乐娘在经略府内突然掐住老张的脖子，使他在挣扎中无法挣脱，最终被掐倒地，导致神志不清。,乐娘猛然掐住老张的脖子，任他挣扎也无法挣脱，老张最终被掐倒地，从此神志不清。,Causal-Motivational Reasoning,broad_coverage_scene
18,六 露緣 | 七 赶集 | 十一 缘了,在何云青决定启程返回山中时，他的神情如何？,他的神情凝重，似乎正在思索着什么。,何云青决定启程后一路前行，神情凝重，似在思索。,Character Understanding,broad_coverage_event_chain
