id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-1,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,14、第14场,在紫霞发现金铃是自己的信物后，她冲向孙悟空并抱住他的那一刻，内心最强烈的意图是什么？,保护悟空不惜牺牲,紫霞认出金铃是自己的信物，情绪激动地扑向孙悟空，恰逢牛魔王背后偷袭。她本能地挡在孙悟空身前，用身体承受钢叉，以生命阻止伤害。这一举动源于她对悟空的深情与守护之志，而非一时冲动。,Character Understanding
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-10,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,3、第3场 ; 3、第3场,在白晶晶出房挽留至尊宝并赠款示好之前，至尊宝做了什么关键举动，使她改变了对他的态度？,至尊宝为引起白晶晶注意而剃须换装，在桥上等候她经过。,至尊宝初见白晶晶便心生爱慕，主动改变形象精心打扮，并在桥上等待她经过，这一系列行为体现了他对她的重视，成为后续白晶晶转变态度、主动赠信示好的情感铺垫。,Causal-Motivational Reasoning
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-11,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,8、第8场 ; 14、第14场,在‘紫霞为救孙悟空挡下钢叉，悟空悲痛复仇后逃离’这一情节之前，哪一个关键事件直接激化了冲突，导致牛魔王对孙悟空发动致命袭击？,牛魔王出现并索要唐僧肉,牛魔王为追求长生强行夺走唐僧和月光宝盒，掌控局势后对孙悟空产生敌意，为后续突袭和紫霞舍身救人埋下直接导火索。,Causal-Motivational Reasoning
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-12,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,1、第1场 ; 15、第15场,从[1、第1场]到[15、第15场]，唐僧和孙悟空之间的互动模式如何演变？,从孙悟空单方面敌对转变为唐僧下达指令、悟空执行任务的上下级协作关系,初期孙悟空对唐僧表现出明显敌意，包括言语冲突和暴力行为；随着剧情推进，如来安排二人合作取经，关系逐渐转向任务导向的分工模式；至15、第15场，唐僧已能命令悟空前去查探情况，显示出权力结构反转和角色定位的重新确立。,Role-Relation Continuity
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-13,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,7、第7场 ; 12、第12场,从[7、第7场]到[12、第12场]，紫霞和至尊宝之间的情感关系经历了怎样的转变？,从紫霞单方面认定至尊宝为意中人，转变为至尊宝在分离后深切怀念紫霞,在7、第7场，紫霞基于紫青宝剑的感应认定至尊宝是她的命中注定，并主动表达爱意，两人短暂确立情感关系；至尊宝起初犹豫，情感不对等。到12、第12场，紫霞已不在场，至尊宝在昏迷中反复呼唤她的名字，显现出内心深刻而持续的情感依恋。关系重心由紫霞的主动倾慕转为至尊宝的被动追念，情感从双向互动变为单向深切怀念。,Role-Relation Continuity
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-14,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,2、第2场 ; 13、第13场,从[2、第2场]至尊宝试图击杀春三十娘，到[13、第13场]他主动请求她挖出自己的心，两人之间的互动关系经历了怎样的转变？,从敌对对抗转为在极端情境下的被迫合作与有限信任,最初至尊宝主动攻击春三十娘，随后在威慑下屈服，表现出明显的敌对与畏惧；到了13、第13场，他在生死关头坦然面对春三十娘，请求她亲手挖心以证清白，显示出关系已从单纯对抗演变为一种在高压情境下形成的特殊协作与心理直面，虽非亲密，但已突破原有敌意框架。,Role-Relation Continuity
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-15,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,3、第3场 ; 3、第3场 ; 3、第3场,在[3、第3场]中，哪一行动标志着至尊宝从逃避情感转向主动追求白晶晶，从而引发后续重逢、表白与承诺等一系列情感推进？,至尊宝剃须换装桥上候见白晶晶,该行为是至尊宝首次以整顿仪容、刻意等待的姿态面对白晶晶，象征其心态由游移转为认真，成为后续情感线展开的触发点。,Narrative Progression
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-16,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,8、第8场 ; 14、第14场 ; 10、第10场,哪一个事件扭转了局势，使紫霞得以短暂脱险并引发后续悟空复仇、至尊宝设局救人与牛魔王夺宝混战的一系列连锁反应？,牛魔王救下受伤的紫霞,该事件中断了原有的冲突走向，使紫霞从濒死状态转入被保护位置，直接改变多方角色行动逻辑：既延缓了悲剧爆发，又为后续欺骗脱险与宝物争夺创造了条件，是多条剧情线重新汇聚的触发点。,Narrative Progression
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-17,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,12、第12场 ; 12、第12场 ; 12、第12场,在[12、第12场]中，哪一事件成为触发至尊宝情感表白、唤醒白晶晶记忆、重现初遇场景，以及引发牛魔王夺走唐僧与月光宝盒这一系列后续发展的核心转折？,至尊宝向白晶晶讲述跨越五百年的相遇与拯救,该场景中，至尊宝首次完整揭示自己从未来穿越而来的经历与救赎意图，这一叙述不仅重构了他与白晶晶的情感关联，也改变了角色间的信任格局，直接推动了后续情感重现与外部冲突的爆发。,Narrative Progression
legacy-ch0322a858c8bac81427599b9ce19beab3dfdaec4a-18,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,3、第3场 ; 12、第12场 ; 3、第3场,哪一个事件打破了至尊宝的心理停滞，触发他对金铃、瞎子身份及山中异象产生连锁追问？,至尊宝梦中回到水帘洞被瞎子唤醒,该场景通过梦境中断的冲击，使至尊宝从逃避状态转入主动探究，直接引发后续对关键信物、人物关系与异常现象的一系列追索。,Narrative Progression
