id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ene1433f380b2d4da7b5a3781c6512968f-1,ene1433f380b2d4da7b5a3781c6512968f,en,47、INT. THRONE ROOM - CASTLE - DAY.,What does Eric ultimately decide to pursue after his confrontation with Ravenna?,Retrieve the escaped prisoner,"Eric enters the throne room battered and disoriented, facing Ravenna, who reveals knowledge of his tragic past and commands him to find a prisoner who fled into the Dark Forest. When he refuses, citing the forest's deadly nature, she offers a reward beyond gold—reuniting him with his deceased wife. After a tense exchange in which she asserts control and tempts him with resurrection magic, Eric hesitates but does not reject her offer outright. Ravenna claims she can bring his wife back in exchange for retrieving the girl, proposing a life for a life, which shifts his stance from defiance to reluctant consideration.",Character Understanding
legacy-ene1433f380b2d4da7b5a3781c6512968f-11,ene1433f380b2d4da7b5a3781c6512968f,en,30、INT. GRETA'S CELL/ TOWER STEPS - DAY. ; 41、EXT. MISTY BOGS/ ENTRANCE TO THE DARK FOREST - DAY.,What prompts Snow White to flee when the riders reappear in the misty bogs?,Rose tells Snow White to go,"In the tower steps, Snow White attempts to free Greta but is interrupted when Finn approaches, shouting for guards. Before fleeing, she hears Rose—now aged—urgently tell her to leave, which directly precedes her escape into the forest upon seeing the riders' silhouettes emerge in the fog.",Causal-Motivational Reasoning
legacy-ene1433f380b2d4da7b5a3781c6512968f-13,ene1433f380b2d4da7b5a3781c6512968f,en,54、EXT. DARK FOREST - DAY. ; 140、INT. CATHEDRAL - DAY,What specific role does Eric continue to hold in relation to Snow White from their first agreement in the dark forest through the majority of their shared journey?,protector/dependent,"From scene 55 onward, Eric and Snow White form a cooperative bond beginning with a negotiated alliance for mutual survival. By scene 61, Snow White prevents Eric from walking into a trap, showing her active concern for his safety, and by scene 63, Eric directly protects Snow White from a troll, placing himself in harm's way while she follows his lead—establishing a reciprocal but asymmetric dynamic where each protects the other, yet Eric consistently assumes the role of protector in physically dangerous situations. This pattern persists across multiple scenes, with Eric shielding Snow White from threats and guiding her through peril, confirming a stable protector/dependent relationship despite evolving trust.",Role-Relation Continuity
legacy-ene1433f380b2d4da7b5a3781c6512968f-14,ene1433f380b2d4da7b5a3781c6512968f,en,20、EXT. FOREST - DAY. ; 74、EXT. MARSHES OUTSIDE FENLAND VILLAGE/ LAKE - NIGHT.,How does the relationship between Broch and Eric evolve from their initial confrontation in the forest to their final encounter near the lake?,Eric continues to pursue Broch as an enemy,"From their first confrontation in the forest, where Eric threatens Broch and knocks him unconscious, through subsequent encounters marked by mutual aggression and unresolved conflict, Eric consistently acts toward Broch as an adversary. This pattern persists through the inn altercation and culminates in the marshes outside Fenland Village, where Eric kills Broch upon confrontation, confirming an unbroken adversarial dynamic.",Role-Relation Continuity
legacy-ene1433f380b2d4da7b5a3781c6512968f-15,ene1433f380b2d4da7b5a3781c6512968f,en,41、EXT. MISTY BOGS/ ENTRANCE TO THE DARK FOREST - DAY. ; 41、EXT. MISTY BOGS/ ENTRANCE TO THE DARK FOREST - DAY. ; 33、INT. SEWER - DAY.,"What turning point propels the sequence in which Snow White reaches for the mare's reins as the horse pulls away, wades through the foul mire, and flees amid chaos?",The Mare Stumbles in the Bog and Throws Snow White to Safety,"In the misty bogs at the edge of the dark forest, Snow White's flight from danger reaches a critical moment when the mare she rides stumbles into the mire and, in a final act of instinct or loyalty, throws her clear before sinking. This event enables Snow White to continue on foot into the treacherous terrain, directly initiating her struggle through the foul mire and the subsequent chaos of her escape. [41、EXT. MISTY BOGS/ ENTRANCE TO THE DARK FOREST - DAY.]",Narrative Progression
legacy-ene1433f380b2d4da7b5a3781c6512968f-16,ene1433f380b2d4da7b5a3781c6512968f,en,41、EXT. MISTY BOGS/ ENTRANCE TO THE DARK FOREST - DAY. ; 42、EXT. DARK FOREST - DAY. ; 42、EXT. DARK FOREST - DAY.,What turning point initiates the sequence in which Snow White experiences hallucinations and is pursued by supernatural threats in the dark forest?,Snow White Flees as Riders Reappear,"As Snow White reaches the edge of the misty bogs and approaches the entrance to the dark forest, the sudden reappearance of the spectral riders forces her into flight, triggering a cascade of psychological and supernatural assaults that culminate in hallucinations, attacks by animated vines and bats, and an assault by skeletal figures. [42, 41、EXT. MISTY BOGS/ ENTRANCE TO THE DARK FOREST - DAY.]",Narrative Progression
legacy-ene1433f380b2d4da7b5a3781c6512968f-18,ene1433f380b2d4da7b5a3781c6512968f,en,10、INT. ROYAL BEDROOM - NIGHT ; 26、INT. THRONE ROOM - DAY ; 7、EXT. FOREST/ BATTLEFIELD - DAY,"What pivotal event sets in motion the chain of developments leading to Ravenna's rise, her regression to childhood trauma, and her final confrontation with Snow White?",Ravenna's Mother Performs the Ritual,"In a secluded royal bedroom at night, Ravenna's mother conducts a forbidden ritual that transfers her youth and beauty to her daughter, marking the origin of Ravenna's supernatural power and moral corruption. This act initiates a cascade of consequences: it enables Ravenna's ascent to power, resurfaces during her psychological unraveling as she relives her past, and ultimately underpins the confrontation with Snow White, who challenges the very foundation of her stolen vitality. [10、INT. ROYAL BEDROOM - NIGHT]",Narrative Progression
legacy-ene1433f380b2d4da7b5a3781c6512968f-25,ene1433f380b2d4da7b5a3781c6512968f,en,8、INT. PREPARATION CHAMBER/ CASTLE - DAY. ; 9、INT. CATHEDRAL - DAY,What occurs in the chamber just before Ravenna begins her walk to the altar?,Snow White compliments Ravenna's beauty,"In the preparation chamber, shortly before Ravenna's procession to the altar, Snow White offers a sincere compliment about Ravenna's appearance. This moment of unexpected kindness takes place amid the tension leading up to the wedding ceremony and immediately precedes Ravenna's entrance into the cathedral.",Temporal Reasoning
legacy-ene1433f380b2d4da7b5a3781c6512968f-26,ene1433f380b2d4da7b5a3781c6512968f,en,15、INT. CORRIDOR OUTSIDE ROYAL BEDROOM - NIGHT. ; 16、EXT. COURTYARD/CASTLE -- NIGHT.,Which scene immediately precedes the moment Snow White and William are separated by the portcullis?,15、INT. CORRIDOR OUTSIDE ROYAL BEDROOM - NIGHT.,The scene where Snow White discovers her father's death occurs just before she and William are separated by the closing portcullis in the courtyard [15、INT. CORRIDOR OUTSIDE ROYAL BEDROOM - NIGHT.].,Temporal Reasoning
legacy-ene1433f380b2d4da7b5a3781c6512968f-27,ene1433f380b2d4da7b5a3781c6512968f,en,46、EXT. INN - SAME - DAY. ; 47、INT. THRONE ROOM - CASTLE - DAY.,What occurs shortly before Eric confronts Ravenna in the throne room?,Eric is confronted by Broch about unpaid debt,"Before entering the throne room, Eric faces Broch at an inn, where tensions over a lingering debt come to a head. This confrontation sets the stage for Eric’s escalating aggression just before he seizes Ravenna by the throat in the castle’s throne room [46、EXT. INN - SAME - DAY.].",Temporal Reasoning
