id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-10,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,6、新桥广场，日，内 ; 13、云谷小巷走廊/亭子，日，外,是什么事件促使张容开始陪同李樱参观宅邸并安排亭中表演？,程琳接听电话并通报李樱即将抵达,程琳接到李樱抵达的通知后，立即告知在场众人，触发了迎接客人的准备流程。张容随即调整安排，引导宾客参观宅邸并启动预先准备的表演环节，从而自然过渡到亭中演出场景。,Causal-Motivational Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-11,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,13、云谷小巷走廊/亭子，日，外 ; 14、云谷小巷，日，外,张容为何会在画展期间向孙琳表达谢意并称赞合作？这一态度背后的直接促成事件是什么？,张容搀扶李樱参观宅邸并安排亭中表演,张容在陪同李樱参观过程中展现出周到的礼数与对家庭形象的维护意识，同时通过安排程琳与邢琪的表演营造出和谐氛围，这一举动间接巩固了与孙琳的合作关系，为后续公开致谢提供了情感与社交基础。,Causal-Motivational Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-12,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,4、新桥广场，日，外 ; 104、【回忆】医院病房，日，内,从[4、新桥广场，日，外]到[104、【回忆】医院病房，日，内]，邢琪和程琳之间的关系如何演变？,从亲密好友变为单向深切关怀：前期彼此信任互动，后期程琳在邢琪危难时表现出强烈情感投入。,初期两人以昵称相称、共同行动，显示对等友谊；中期出现短暂敌意，但后期程琳在邢琪病危时流露悲痛并积极求助，表明其始终保有关怀，关系由双向友情转向单向深切牵挂。,Role-Relation Continuity
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-13,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,7、车，日，内 ; 104、【回忆】医院病房，日，内,从[7、车，日，内]到[104、【回忆】医院病房，日，内]，张容与程琳之间的互动关系经历了怎样的转变？,从相互信任、情感支持转变为对视中的紧张与公开对立,早期场景中，张容多次主动安慰、赞赏程琳，两人以亲密家人姿态共同行动，关系稳定且积极；而在回忆病房场景中，程琳面对张容选择沉默对视后逃离，表现出明显的敌对张力，标志关系已破裂。,Role-Relation Continuity
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-14,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,14、云谷小巷，日，外 ; 86、车，日，内,从[14、云谷小巷，日，外]到[86、车，日，内]，朱然与程琳之间的互动模式如何演变？,从朱然单方面主导的家庭亲密关系，转变为双方在外部压力下相互信任与依赖的姐妹关系,初期朱然以家族名义主导互动，表现出对程琳的关爱与指派；中期出现管教与排斥，关系出现波动；后期在共同面对外部压力时，程琳主动保护朱然，体现出关系已发展为双向信任与情感依赖。,Role-Relation Continuity
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-15,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,33、棠家后庭院房子，日，内 ; 34、新桥广场，日，外 ; 33、棠家后庭院房子，日，内,哪一个事件成为后续叶嘉对朱然产生戒备、张容带程琳探望邢琪并予以情感安抚等一系列行动的叙事转折点？,程琳揭发朱然藏毒引发冲突,该事件首次暴露家庭内部的信任危机，迫使其他角色重新评估朱然的行为，并触发保护程琳与寻求情感支持的连锁行动，从而推动剧情从日常隐忍转向紧张对峙与情感疏导并行的阶段。,Narrative Progression
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-17,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,42、医院病房，日，内 ; 17、云谷小巷走廊，夜，外 ; 18、云谷小巷墙壁边，夜，外,哪一个事件标志着程琳从被动照料转向主动介入邢琪的逃离计划，从而推动后续追问叶嘉下落、协助出逃及接收深色钥匙等行动？,程琳为邢琪放音乐并陷入回忆,该场景中，程琳通过播放音乐触发对过往的回忆，情感上重新连接邢琪的处境，表现出态度转变的起点，为后续一系列主动行为提供了内在动机。这一举动虽表面平静，实则打破了此前疏离的状态，成为推动情节向前的关键心理转折。,Narrative Progression
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-25,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,28、警局门口，日，外 ; 43、医院楼梯间，日，内,到了胡航在医院楼梯间追问程琳关于叶嘉和邢琪的事时，此前在警局门口已经发生了什么关键发展？,记者们在警局门口围堵并拍摄发言人,在医院楼梯间的对峙发生之前，剧情已通过警局门口的公开紧张场面建立了媒体压力的背景，该场景中记者聚集拍摄发言人，为后续人物关系的紧张推进提供了叙事铺垫。,Temporal Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-26,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,6、新桥广场，日，内 ; 44、邢琪家卧室，夜，内,到了邢琪交出深色钥匙并催促程琳行动时，此前在新桥广场已发生的关键发展是什么？,邢琪声称看到朱然与两名男子聊天,在邢琪采取进一步行动之前，她已在新桥广场透露朱然与两名男子交谈的情形，为后续交出深色钥匙和推动程琳行动提供了动机与信息铺垫。,Temporal Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-27,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,42、医院病房，日，内 ; 43、医院楼梯间，日，内,在“胡航追问程琳关于叶嘉和邢琪的事”之前，前面先发生了什么关键情节？,从窗外观察程琳,在追问发生前，胡航已在病房外暗中观察程琳，这一举动为他后续的质问提供了行为铺垫，显示出他早已介入并关注程琳的状态。,Temporal Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-28,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,47、医院院子，日，外 ; 48、街边画店，夜，外,“朱然骑车接走程琳”之后不久，紧接着发生了什么？,朱然骑车到达画店并停在门口,根据情节时序，朱然在医院接走程琳后，场景自然过渡到街边画店。下一幕明确显示朱然已抵达该地点并停在门口，构成紧随其后的物理位移完成动作。,Temporal Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-29,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,33、棠家后庭院房子，日，内 ; 34、新桥广场，日，外,“程琳揭发朱然藏毒引发冲突”之后不久，紧接着发生了什么？,朱然在远处抽烟并注视张容和程琳,根据场景顺序，揭发藏毒的冲突发生在棠家后庭院房子内，紧接着下一场戏转至屋外后院，时间与空间紧密衔接。朱然出现在院中抽烟，视线锁定张容和程琳，构成事件发展的直接后续，体现紧张关系的延续。,Temporal Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-30,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,22、棠家走廊，日，内 ; 23、新桥广场，日，内,在“朱然以玩笑引出交易”之前，前面先发生了什么关键情节？,程琳端着白色收音机在走廊行走,在朱然提出交易前的紧邻场景中，程琳独自在走廊行走并端着白色收音机，这一动作展现了她进入空间时的日常姿态，为后续两人互动的张力提供了前置情境。该场景与交易对话发生在连续的空间转换中，构成时间上的直接铺垫。,Temporal Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-31,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,14、云谷小巷，日，外,在[14、云谷小巷，日，外]中，李樱为什么会突然追问张容‘你说挡灾，我会有什么灾啊’？,佛像断手被解释为替她挡灾,张容抽开盒子，露出一个佛像来，但佛像的手掉了。 张容：菩萨帮张容挡灾了，碎碎平安，岁岁平安啊。 李樱神色变了变。李樱：碎碎平安，岁岁平安，没事，大家不是都没事吗？不过月影啊，你说挡灾，我会有什么灾啊?,Causal-Motivational Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-8,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,47、医院院子，日，外 ; 7、车，日，内,张容为何会在车上主动安慰程琳并让她露出笑容？,朱然骑摩托车接走程琳并与胡航短暂对峙,程琳在医院院子与胡航交谈时情绪压抑，因被追问家庭冲突而陷入沉默。朱然此时骑车出现，打断对话并将程琳接走。这一举动改变了程琳的处境，使她从被盘问的压力中脱离，进入与朱然、张容共处的私密空间，从而为后续张容在行驶途中察觉其情绪并进行安抚创造了条件。,Causal-Motivational Reasoning
legacy-chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96-9,chf4bc38ad92a58a87e8b51efe2214e53d0e6b2e96,zh,33、棠家后庭院房子，日，内 ; 34、新桥广场，日，外,张容为何在后院散步时对程琳流露出格外温柔的叮嘱？,她决定不去上学，转而带程琳去探望邢琪,这一温柔态度源于她改变原定安排，选择带程琳探望邢琪的决定，体现出她在冲突后对程琳的情感安抚意图。,Causal-Motivational Reasoning
