id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-10,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,27、日.外.青石岭河边 ; 33、夜.内.县衙县长房间/县衙院内,在县衙房间内，夫人决定展示刑具并表露野心之前，张牧之的哪个举动直接促成了这一转折？,张牧之询问她的身份并表示失敬,张牧之在河边对县长夫人的身份表现出正式的尊重，这一态度引发夫人的回应与后续行动。她由此判断可与张牧之对话博弈，进而主动展示刑具并阐明自己的真实意图。该互动构成了动机上的触发点。,Causal-Motivational Reasoning
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-12,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,28、日.外.青石岭旷野（天际线一般的外景） ; 180、日.外.黄家硐楼外平地,从[28、日.外.青石岭旷野（天际线一般的外景）]到[180、日.外.黄家硐楼外平地]，张牧之对老汤的角色定位发生了怎样的转变？,从指导者变为平等信赖的合作者,初期张牧之以师长身份教导老汤，寄予政治前途期望，并训诫其行事方式，体现上下关系；后期通过托人传话表达愧疚，显示出关系已演变为基于情感与信任的平行伙伴关系。,Role-Relation Continuity
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-13,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,10、日.外.青石岭 ; 181、日.外.县衙门外,从[10、日.外.青石岭]到[181、日.外.县衙门外]，张牧之和老三之间的合作模式如何延续？,始终是信任的伙伴，老三听从张牧之指挥并共同行动,从初期张牧之直接命令老三跟随行动，到后期老三称其为‘大哥’并郑重道别，两人始终保持信任与协作，关系稳定未发生转变。,Role-Relation Continuity
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-14,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,33、夜.内.县衙县长房间/县衙院内 ; 181、日.外.县衙门外,从[33、夜.内.县衙县长房间/县衙院内]到[181、日.外.县衙门外]，张牧之对黄四郎的敌对态度如何具体体现并延续？,从质疑权威的反抗对象转为直接面对并准备对抗的敌人,在县衙房间场景中，张牧之通过言语强烈质疑黄四郎的权威，表现出不满与对抗意图；后续多个场景显示其立场持续强化，至县衙门外场景时，双方已进入公开对峙，张牧之的回头反应与黄四郎举枪构成敌对关系的最终外化，表明敌意从言语反抗发展为正面冲突准备。,Role-Relation Continuity
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-16,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,36、日.外.鹅城街道 ; 36、日.外.鹅城街道 ; 37、日.内.县衙大堂,张牧之的现身与升堂宣告如何成为后续壮汉与武举人联手对抗孙守义、以及张牧之当众杖责并拔枪震慑武举人等一系列权力重构行动的关键转折？,张牧之现身嘲讽并宣告升堂,该事件标志着张牧之从旁观转向主动介入，以政治姿态打破原有权力默示，直接激发武举人阵营的对抗与后续暴力制衡，是权力博弈升级的导火索。,Narrative Progression
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-25,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,27、日.外.青石岭河边 ; 44、日.外.县衙门口,到了张牧之与老汤赴讲茶大堂断案时，此前在青石岭河边已发生的那个标志性举动是什么？,张牧之抛掷闹钟并指挥兄弟们上任鹅城,在青石岭河边的场景中，张牧之通过抛掷闹钟并下令开枪击碎钟表，象征性地宣告启程赴任，这一行为发生在前往县衙断案之前，构成后续行动的起点。,Temporal Reasoning
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-27,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,36、日.外.鹅城街道 ; 37、日.内.县衙大堂,在“孙守义赔礼反被武举人踢翻”之前，前面先发生了什么关键情节？,被壮汉震怒踢向大鼓,在县衙大堂冲突发生前，孙守义已在街道上因触怒壮汉而被其一脚踢飞撞上大鼓，这一暴力事件直接铺垫了后续他在赔礼时的狼狈处境。,Temporal Reasoning
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-3,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,45、日.内.艳阳楼,在小六子举碗示众时，他展示血粉的真实意图是什么？,揭穿分量造假,小六子举起装有血粉的碗向众人展示，意在通过公开验证粉量，暴露武举人所称‘大量血粉’的虚假性。众人围观议论后武举人仓促逃离，说明此举动摇了其 credibility，揭示小六子的核心动作为质疑并揭穿骗局。,Character Understanding
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-30,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,45、日.内.艳阳楼 ; 46、日.内.黄家三厅,在“胡万向黄四郎汇报冲突并揭示威胁”之前，前面先发生了什么关键情节？,小六子掏出刀具自指并宣称比胡万更恶,胡万在艳阳楼目睹小六子以自残方式挑衅，展现出超出预期的狠劲，这一行为成为他后续向黄四郎汇报时强调威胁性的关键依据。,Temporal Reasoning
legacy-ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a-34,ch0a030ed73550489a6cf95bdd8d09a426c8f45a6a,zh,45、日.内.艳阳楼,在[45、日.内.艳阳楼]中，小六子当众捅自己一刀，他这么做最直接想证明什么？,为了证明自己没有多吃粉，维护清白,小六子猛然一刀插在自己肚子上. 看见了吗? 看见了吗? 是不是只有一碗? 是不是只有一碗?,Character Understanding
