id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-10,en39094405d8fc4cefad9d3d7ffe4efa27,en,18、EXT. THE SANDLOT - DAY ; 39、EXT. SANDLOT - DAY - MINUTES LATER,What action directly enables Scotty's attempt to retrieve the ball?,Scotty sneaks through secret fence doorway into deep left field,"Scotty slips through a hidden doorway in the fence and emerges in deep left field, staying close to the perimeter as the gang plays. He moves cautiously along the edge, watching the game unfold, listening to the sharp snap of the ball hitting gloves, his presence unnoticed until he later decides to go after the ball himself.",Causal-Motivational Reasoning
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-11,en39094405d8fc4cefad9d3d7ffe4efa27,en,45、INT. MERTLE'S ACRES - DAY ; 45、INT. MERTLE'S ACRES - DAY,What event directly enables the creature's emergence in the junkyard?,Mr. Mertle acquires a new dog from the pound,"Following repeated thefts at Mertle's Acres, Mr. Mertle retrieves a dog from the pound that had a violent history, having killed three larger dogs. He releases it into the junkyard, where it lives undisturbed, fed nightly with meat-filled trash bags. Isolated among the wreckage, the dog grows abnormally large, its presence marked by deep footprints, ravaged debris, and the remains of chewed mannequins and lawn ornaments, signaling its transformation into a destructive force within the yard. [45、INT. MERTLE'S ACRES - DAY]",Causal-Motivational Reasoning
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-12,en39094405d8fc4cefad9d3d7ffe4efa27,en,1、EXT. ELEMENTARY SCHOOL - PLAYGROUND - 1962 - DAY ; 162、EXT. DODGER STADIUM - INFIELD - DAY,How does Benny Rodriguez's on-field relationship with the Catcher evolve from their first encounter to the play at home plate?,Benny continues to evade and outmaneuver the Catcher as an opposing baserunner,"From the playground rundown in 1962 to the steal of home at Dodger Stadium, Benny Rodriguez consistently engages the Catcher as an adversarial baserunner, using feints and quick movements to avoid tags. In both key moments—pickling the Catcher during a childhood game and eluding the tag during a high-stakes steal—Benny positions himself in direct, tactical opposition, maintaining a dynamic of athletic evasion against the Catcher’s attempts to apply force or control.",Role-Relation Continuity
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-13,en39094405d8fc4cefad9d3d7ffe4efa27,en,75、EXT. SANDLOT - NIGHT ; 155、EXT. THE BADLANDS - DAY,How does Scotty's relationship with the gang evolve from their initial interaction to their later collaboration in the badlands?,Scotty and the gang maintain a cooperative bond marked by mutual trust and shared purpose,"From the sandlot at night to the badlands by day, Scotty consistently engages with the gang in moments of collective action and emotional alignment. He shows concern when a member is in danger, proposes ideas that the gang follows, and participates in joint activities rooted in shared interests. Over time, this establishes a stable dynamic of cooperation and mutual responsiveness, with Scotty functioning as an integrated participant in the group’s efforts without formal designation as a leader or outsider.",Role-Relation Continuity
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-14,en39094405d8fc4cefad9d3d7ffe4efa27,en,83、EXT. THE SANDLOT ALLEYWAY - NIGHT ; 155、EXT. THE BADLANDS - DAY,How does The Beast's treatment of the gang evolve from their encounter in the alleyway to the confrontation in the badlands?,The Beast consistently intimidates the gang through hostile presence,"From the alleyway to the badlands, The Beast repeatedly responds to the gang with a threatening demeanor, marked by intense scrutiny and mocking or hostile behavior. In each interaction, the gang reacts with fear—freezing, covering their eyes, or recoiling—indicating that The Beast maintains a position of dominance and intimidation. Though the relationship remains non-reciprocal and momentary in each scene, the pattern of behavior is consistent: The Beast treats the gang as intruders or targets of derision, reinforcing a sustained adversarial stance across multiple locations and encounters.",Role-Relation Continuity
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-15,en39094405d8fc4cefad9d3d7ffe4efa27,en,33、EXT. SANDLOT - DAY ; 33、EXT. SANDLOT - DAY ; 37、EXT. SANDLOT - DAY,"What pivotal event sets in motion Scotty's transformation as a player, leading to his first fly ball, home run, and acceptance by Benny?",Benny Teaches Scotty to Catch,"In the scene '37、EXT. SANDLOT - DAY', Benny takes the initiative to train Scotty in the fundamentals of catching, marking the first moment of direct mentorship. This instruction bridges Scotty's initial ineptitude with his subsequent breakthroughs on the field, enabling his successful fly catch, home run, and full integration into the team dynamic.",Narrative Progression
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-16,en39094405d8fc4cefad9d3d7ffe4efa27,en,15、INT. SCOTTY'S ROOM - DAY ; 16、EXT. ENROUTE TO THE SANDLOT - DAY ; 26、EXT. SCOTTY'S HOUSE - BACKYARD - DAY,What event sets the story in motion toward Scotty's subsequent challenges on the field and his decision to enter the Sandlot?,Scott Searches for Baseball Gear in His Closet,"In the early moments of the story, Scott prepares for a pivotal day by retrieving his old baseball equipment from storage. This act initiates a chain of events where his inadequate gear leads to performance issues during play, ultimately pushing him toward a risky attempt to reclaim what was lost. The scene establishes the practical and emotional stakes that drive his actions in the following sequences. [15、INT. SCOTTY'S ROOM - DAY]",Narrative Progression
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-18,en39094405d8fc4cefad9d3d7ffe4efa27,en,45、INT. MERTLE'S ACRES - DAY ; 46、INT. MERTLE'S ACRES - NIGHT ; 46、INT. MERTLE'S ACRES - NIGHT,"What pivotal event sets in motion the sequence leading to the attack on Mrtle's Acres, the beast's capture, and the thief's descent into darkness?",The Beast Grows and Destroys,"The destruction caused by the beast's transformation and rampage marks a critical escalation, directly triggering the chain of events that follow, including the assault on Mrtle's Acres, the efforts to lead the beast away, and the thief being pulled into the dark. [45、INT. MERTLE'S ACRES - DAY]",Narrative Progression
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-25,en39094405d8fc4cefad9d3d7ffe4efa27,en,18、EXT. THE SANDLOT - DAY ; 33、EXT. SANDLOT - DAY,"By the time Benny steps in to teach Scotty how to throw, what has already happened between Scotty and the other kids?",The gang laughs at Scotty and demands the ball back,"Before Benny takes Scotty under his wing to improve his throwing technique, the other kids react to Scotty's poor throw by laughing at him and insisting he return the ball. This moment of rejection sets up Benny's subsequent act of mentorship, creating a turning point in Scotty's integration into the group. The shift occurs between two distinct scenes at the sandlot, separated by a narrative gap that underscores the emotional and developmental progression.",Temporal Reasoning
legacy-en39094405d8fc4cefad9d3d7ffe4efa27-28,en39094405d8fc4cefad9d3d7ffe4efa27,en,23、INT. SCOTTY'S HOUSE - DINING ROOM - DAY ; 24、EXT. SCOTTY'S HOUSE - BACKYARD - DAY,What occurs just before the backyard catch session begins?,Scotty requests Bill to teach him to catch,"Shortly after Scotty makes a personal appeal in the dining room, the two move outside to the backyard to begin practicing. The request sets up the physical and emotional stakes for the interaction that follows, including the moment when the glove breaks during a throw.",Temporal Reasoning
