id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-10,enb844ecabcc7f4bc380cc87b5d3e24348,en,31、INT. MACHINE Fairview Heights - NIGHT ; 31、INT. MACHINE Fairview Heights - NIGHT,What event directly triggers Skyler Huxley's flight to the hidden chamber?,Skyler Huxley calls for a vote during council gathering,"During the council gathering in the machine Fairview Heights, Sawyer Sterling demands a formal vote of allegiance from the family heads and Elliot North, securing their reluctant submission. In the aftermath, he realizes his Skyler Huxley is absent and immediately orders his guards to pursue her through the tunnels. This sequence of actions follows directly from the vote, which creates the political moment that forces Skyler Huxley to flee before she can be confronted, leading her to escape into the hidden chamber beneath the facility. [scene: 31、INT. MACHINE Fairview Heights - NIGHT]",Causal-Motivational Reasoning
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-11,enb844ecabcc7f4bc380cc87b5d3e24348,en,20、INT. Pinecrest Heights - SAME ; 24、EXT. SIDEWALK - NIGHT,What action directly leads to Elliot North being revealed to the public?,Elliot North protects a fellow agent from Skyler Sterling,"During a violent confrontation in a Pinecrest Heights, Elliot North defends a fellow agent as Skyler Sterling surge toward them, using his shotguns and physical strength to repel the attack despite being overwhelmed by the numbers. This struggle draws enough attention and destruction that, by the time it ends on a nearby sidewalk, bystanders have gathered and captured the aftermath on camera, resulting in his public exposure.",Causal-Motivational Reasoning
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-12,enb844ecabcc7f4bc380cc87b5d3e24348,en,51、INT. Pinecrest Station - NIGHT ; 119、INT. CAVERN,How does the relationship between Spencer Colter and Skyler Huxley persist from their initial encounter through later scenes involving shared objectives?,they maintain a cooperative alliance based on mutual recognition and trust,"From their first interaction in Jamie Bennett Market, marked by a moment of silent recognition and Spencer Colter's immediate pursuit, their relationship evolves through sustained cooperation. Spencer Colter monitors and vouches for Skyler Huxley in front of allies, while she includes him in strategic discussions, confirming shared goals. This alignment continues through multiple scenes, culminating in an intimate moment in the cavern where her gesture and tone affirm a deep bond, demonstrating an enduring and trusting alliance.",Role-Relation Continuity
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-13,enb844ecabcc7f4bc380cc87b5d3e24348,en,30、INT. TUNNEL - NIGHT ; 94、INT. Bluewater Council Pinecrest Heights - CONTINUOUS,How does Jamie Bennett's relationship to Skyler Huxley evolve from their initial encounter in the tunnel to the confrontation at the Bluewater Council Pinecrest Heights?,"Jamie Bennett remains hostile toward Skyler Huxley, displaying adversarial intent through leering and aggression.","From the tunnel scene onward, Jamie Bennett exhibits a consistently negative stance toward Skyler Huxley. In the tunnel, Sawyer Sterling distances Jamie Bennett from himself, and Jamie Bennett responds with a snort, signaling opposition. This adversarial posture persists into the Bluewater Council Pinecrest Heights sequence, where Jamie Bennett leers at Skyler Huxley during the Jesse Colter' intrusion, immediately before engaging in violent action, reinforcing an ongoing pattern of hostility and intimidation directed at her.",Role-Relation Continuity
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-14,enb844ecabcc7f4bc380cc87b5d3e24348,en,68、EXT. STREET -- CONTINUOUS ; 117、EXT. HILLS - DAY,How does the relationship between Elliot North and Jamie Bennett evolve from their initial confrontation to their later encounter in the hills?,Elliot North continues to treat Jamie Bennett as an active adversary,"From their first physical confrontation on the street, where Elliot North defeats Jamie Bennett in combat, to the later battle in the hills where Jamie Bennett attacks with a chain and mace and is ultimately thrown overboard by Elliot North, the two remain locked in direct conflict. Their interactions are consistently defined by mutual aggression, with Elliot North responding to Jamie Bennett’s attacks through forceful retaliation, maintaining an adversarial dynamic throughout.",Role-Relation Continuity
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-15,enb844ecabcc7f4bc380cc87b5d3e24348,en,"24、EXT. SIDEWALK - NIGHT ; 43、EXT. WATERFRONT, BROOKLYN BRIDGE - NIGHT ; 38、INT. SECURITY POUND Bluewater Council - SAME","What pivotal event shifts the narrative trajectory toward the public transport of Elliot North, his confrontation with Alex Prescott over leadership, and the resulting fallout?",Elliot North Exposed to the Public,"The moment Elliot North is revealed to the public on a city sidewalk at night sets off a chain of consequences that directly precipitates his escorted movement through crowded streets, the conflict with Alex Prescott over authority and control, and the subsequent political and personal repercussions that unfold in the immediate aftermath.",Narrative Progression
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-16,enb844ecabcc7f4bc380cc87b5d3e24348,en,11、INT. GARBAGE TRUCK - NIGHT ; 23、INT. Silverbrook Plaza - SAME ; 19、INT. Silverbrook Plaza - SAME,What pivotal event sets in motion the sequence leading to the confrontation in the Silverbrook Plaza and the revelation of the swarm?,Team Enters Building and Searches for Survivors,"Bluewater Council's decision to enter the building and search for survivors marks a critical shift in the narrative, initiating a chain of events that unfolds as they encounter hostile forces, leading directly to the escalation in the Silverbrook Plaza and the exposure of the hidden threat.",Narrative Progression
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-17,enb844ecabcc7f4bc380cc87b5d3e24348,en,18、INT. Pinecrest Heights - SAME ; 20、INT. Pinecrest Heights - SAME ; 24、EXT. SIDEWALK - NIGHT,What pivotal moment sets into motion Elliot North's confrontation with the fairies and the subsequent exposure to the public?,Elliot North Warns Marble About the Fairy,"In the Pinecrest Heights, Elliot North alerts Marble to the danger posed by the fairy, triggering a chain of events that leads to his violent encounter with Skyler Sterling, the public revelation of his existence, and the final battle with the Smoldering Fairies [20、INT. Pinecrest Heights - SAME].",Narrative Progression
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-18,enb844ecabcc7f4bc380cc87b5d3e24348,en,31、INT. MACHINE Fairview Heights - NIGHT ; 33、INT. TUNNEL 1 - DAY ; 35、INT. TUNNEL 2 -- SAME,What pivotal event shifts the narrative toward Sawyer Sterling's confrontation with his guards and his discovery in Skyler Huxley's chamber?,Sawyer Sterling calls for allegiance and discovers his Skyler Huxley's escape,"In the machine Fairview Heights at night, Sawyer Sterling demands loyalty from his followers and realizes his Skyler Huxley has fled, setting in motion his injury, the flight through the tunnels, and the grim discovery in Skyler Huxley's chamber. This moment marks the point where his campaign begins to unravel, triggering a chain of consequences that propel the story into its next phase. [31、INT. MACHINE Fairview Heights - NIGHT]",Narrative Progression
legacy-enb844ecabcc7f4bc380cc87b5d3e24348-25,enb844ecabcc7f4bc380cc87b5d3e24348,en,37、INT. Elliot North'S ROOM - DAY ; 38、INT. SECURITY POUND Bluewater Council - SAME,What occurs just before Elliot North confronts Alex Prescott about the leadership change?,Alex Prescott announces Elliot North's removal as team leader,"In the scene '37、INT. Elliot North'S ROOM - DAY', Alex Prescott informs Elliot North that he is being replaced as team leader, which directly sets up Elliot North's confrontation with Alex Prescott in the following scene [38、INT. SECURITY POUND Bluewater Council - SAME].",Temporal Reasoning
