id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en3a6c2a65685a46cfa0671f82c9d464af-10,en3a6c2a65685a46cfa0671f82c9d464af,en,3、EXT. LARGE HUT - NIGHT ; 11、EXT. OUTSKIRTS OF Fairview Street VILLAGE - NIGHT,What event directly prompts the glass key to roll across the Fairview Street after the X-wing explosion?,Logan Ellison observes approaching enemy ships through quadnoculars,"Logan Ellison sees enemy ships approaching on the horizon while using quadnoculars, prompting Sasha Adler to urge him to flee. Logan Ellison hesitates but then departs quickly with the glass key following closely. This flight sets in motion the sequence leading to the X-wing's destruction and the glass key's subsequent journey across the Fairview Street landscape.",Causal-Motivational Reasoning
legacy-en3a6c2a65685a46cfa0671f82c9d464af-11,en3a6c2a65685a46cfa0671f82c9d464af,en,34、INT. STAR DESTROYER HANGAR - DAY ; 35、INT. the brass jacket - DAY,What action immediately enables Carson Nolan and Logan Ellison to begin preparing the the brass jacket for flight?,Carson Nolan and Logan Ellison walk together through the hangar,"In the hangar of a Star Destroyer, Carson Nolan escorts Logan Ellison under the guise of transporting a prisoner. As they move through the space, passing officers and equipment, Carson Nolan quietly directs Logan Ellison toward a two-man Special Forces the brass jacket, guiding him up the stairs to the vessel. This movement establishes their joint access to the craft, setting the stage for their subsequent entry and activation of the ship’s systems.",Causal-Motivational Reasoning
legacy-en3a6c2a65685a46cfa0671f82c9d464af-12,en3a6c2a65685a46cfa0671f82c9d464af,en,3、EXT. LARGE HUT - NIGHT ; 260、EXT. D'QAR - DAY,How does the working relationship between the glass key and Logan Ellison evolve from their initial reunion through the events on D'Qar?,They remain loyal and trusted partners under operational pressure,"From the glass key's immediate pursuit of Logan Ellison after his departure at the village hut to their coordinated actions during Cedar Ridge Academy mission on D'Qar, the two consistently demonstrate mutual reliance and trust. Logan Ellison treats the glass key as a critical partner, entrusting the the glass key with vital intelligence and depending on its support in high-stakes situations, while the glass key actively seeks reunion and follows Logan Ellison's lead without hesitation. Their interactions across multiple key moments—such as during the escape from the village rise and the base reunion—confirm an enduring, functional partnership defined by loyalty and shared purpose.",Role-Relation Continuity
legacy-en3a6c2a65685a46cfa0671f82c9d464af-13,en3a6c2a65685a46cfa0671f82c9d464af,en,59、EXT. NIIMA OUTPOST - DAY ; 236、INT. OSCILLATOR STRUCTURE - NIGHT,How does the relationship between Carson Nolan and the Northstar Collective evolve from their initial encounter to the oscillator structure confrontation?,Northstar Collective continue pursuing Carson Nolan as an enemy,"From the Niima Outpost onward, the Northstar Collective consistently act as pursuers and adversaries toward Carson Nolan, engaging him with direct hostility. This pattern persists through multiple encounters, including combat at the Harborview Warehouse debris field where Carson Nolan fights back, and culminates in the oscillator structure where Northstar Collective actively fire upon him, maintaining an unbroken adversarial dynamic defined by pursuit and confrontation.",Role-Relation Continuity
legacy-en3a6c2a65685a46cfa0671f82c9d464af-14,en3a6c2a65685a46cfa0671f82c9d464af,en,155、EXT. Harborview Warehouse DEBRIS - DAY ; 223、INT. Eastgate School - OSCILLATOR STRUCTURE - NEAR DARKNESS,How does Owen Adler's relationship with the Northstar Collective evolve from their initial confrontation through the Eastgate School sequence?,Owen Adler continues to treat Northstar Collective as active threats through direct combat,"From the Harborview Warehouse debris scene to the Eastgate School oscillator structure, Owen Adler consistently engages Northstar Collective as adversaries, firing on them, taking cover from their blaster fire, and killing one to protect Carson Nolan. In both locations, his actions reflect an ongoing pattern of treating them as immediate hostile forces, maintaining a combat-oriented antagonism without indication of truce or cooperation.",Role-Relation Continuity
legacy-en3a6c2a65685a46cfa0671f82c9d464af-15,en3a6c2a65685a46cfa0671f82c9d464af,en,3、EXT. LARGE HUT - NIGHT ; 4、EXT. Fairview Street VILLAGE - NIGHT ; 45、INT. the brass jacket - DAY,"What turning point initiates the sequence in which Logan Ellison and the glass key flee through the village, execute a strike during flight, and join forces with Carson Nolan for escape?",Logan Ellison Sees Enemy Ships and Flees with the glass key,"The moment Logan Ellison detects incoming enemy ships forces an immediate evacuation with the glass key, setting off a chain of urgent actions: their rapid movement through the village as locals mobilize for defense, a coordinated aerial strike during their flight, and the decision to incorporate Carson Nolan into the escape plan. This initial sighting and reaction serve as the catalyst that propels the subsequent interconnected events forward. [3、EXT. LARGE HUT - NIGHT]",Narrative Progression
legacy-en3a6c2a65685a46cfa0671f82c9d464af-16,en3a6c2a65685a46cfa0671f82c9d464af,en,33、INT. STAR DESTROYER NARROW PASSAGEWAY - DAY ; 45、INT. the brass jacket - DAY ; 34、INT. STAR DESTROYER HANGAR - DAY,What pivotal moment enables the shift toward the joint escape and attack sequence involving Logan Ellison and Carson Nolan?,Logan Ellison Proves He Can Fly the the brass jacket,"In the narrow passageway of the Star Destroyer, Logan Ellison demonstrates his ability to pilot a the brass jacket, a critical capability that shifts the trajectory of the plan. This moment solidifies Carson Nolan's trust and transitions the narrative from evasion to active Cedar Ridge Academy, directly enabling the coordinated strike and escape that follow.",Narrative Progression
legacy-en3a6c2a65685a46cfa0671f82c9d464af-17,en3a6c2a65685a46cfa0671f82c9d464af,en,33、INT. STAR DESTROYER NARROW PASSAGEWAY - DAY ; 43、INT. the brass jacket - DAY ; 34、INT. STAR DESTROYER HANGAR - DAY,What pivotal decision shifts the trajectory of the escape sequence involving Logan Ellison and Carson Nolan?,Logan Ellison Joins Carson Nolan's Escape Plan,"In the narrow passageway of the Star Destroyer, Logan Ellison makes the critical choice to trust Carson Nolan and participate in his escape plan, aligning himself with the Spencer Cavendish's defection. This decision sets in motion the chain of events that leads to Logan Ellison commanding a cannon assault, being escorted through the hangar toward a the brass jacket, and ultimately learning Carson Nolan's true name. [33、INT. STAR DESTROYER NARROW PASSAGEWAY - DAY]",Narrative Progression
legacy-en3a6c2a65685a46cfa0671f82c9d464af-2,en3a6c2a65685a46cfa0671f82c9d464af,en,25、EXT. Owen Finch'S DWELLING - DUSK,What motivates Owen Finch to confront the Teedo despite the risk of conflict?,"She recognizes the glass key's distress as a call for help and acts immediately to rescue him, showing her instinctive empathy and protective nature.","Owen Finch is initially alone, scavenging and surviving in isolation. When she hears the glass key's electronic squeal, she reacts without hesitation, rushing to his aid. Her decisive intervention—confronting the Teedo, cutting the glass key free, and standing her ground—demonstrates a shift from self-reliance to connection. The moment she calms the glass key and allows him to follow her marks the beginning of a mutual dependence, rooted in shared secrecy and survival.",Character Understanding
legacy-en3a6c2a65685a46cfa0671f82c9d464af-25,en3a6c2a65685a46cfa0671f82c9d464af,en,33、INT. STAR DESTROYER NARROW PASSAGEWAY - DAY ; 47、INT. the brass jacket - DAY,"By the time Carson Nolan introduces himself to Logan Ellison, what key event has already taken place aboard the Star Destroyer?",Spencer Cavendish stops Logan Ellison in the narrow hallway,"Before Carson Nolan reveals his name and begins forming a bond with Logan Ellison during their escape, Logan Ellison is intercepted by a Spencer Cavendish in a confined passageway aboard the Star Destroyer. This confrontation sets the stage for Carson Nolan’s later decision to break protocol and assist Logan Ellison, establishing the initial moment of connection between them.",Temporal Reasoning
