id,related_scenes,question,answer,related_context,question_type,question_source
1,36、INT. SOUTHWEST BANK - LOAN DESK,Why does Carl nervously walk into his office?,Because Norman approached him looking grave and requested a private conversation.,"Norman comes over, looking grave. NORMAN: Carl, could I see you for a moment? Carl nervously walks into his office.",Causal-Motivational Reasoning,broad_coverage_scene
2,45、INT. HOLIDAY INN HALLWAY,Why does Sanji present the Maniyesto to Carl?,To ensure Carl commits to living fully and avoids avoiding life's challenges.,Sanji explains the contract's terms after Carl's vague response about his journey.,Causal-Motivational Reasoning,broad_coverage_scene
3,49、INT. DUNKIN DONUTS,What does Carl do when the cashier starts to speak?,Cuts her off mid-sentence with a sarcastic remark,CARL (cutting her off) To have a wonderful day? I would.,Scene Grounding,broad_coverage_scene
4,46、INT. RUDY'S,What is a 'Yesponsor' according to Carl?,"A person who holds Carl to his commitment, similar to an AA sponsor.",Like in AA. I need you to hold me to it.,Scene Grounding,broad_coverage_scene
5,25、INT. CARL'S APARTMENT - MORNING,"In [25、INT. CARL'S APARTMENT - MORNING], What is Carl's emotional state when he agrees to join the brunch?",reluctant and conflicted,Carl says 'Yes' in slow motion and 'clearly not wanting to',Character Understanding,broad_coverage_scene
6,35、INT. SOUTHWEST BANK - LOAN DESK,"Why can't the customer obtain a $5,000 loan?","The bank has a minimum loan floor of $10,000.",We have a minimum loan floor of ten thousand dollars.,Causal-Motivational Reasoning,broad_coverage_scene
7,45、INT. HOLIDAY INN HALLWAY,What is the purpose of the Maniyesto's requirement to always answer communications?,To prevent Carl from avoiding contact and facing life's responsibilities.,Sanji states they must answer all communications to avoid avoiding contact.,Causal-Motivational Reasoning,broad_coverage_scene
8,42、INT. CARL'S APARTMENT - MORNING,Why was Carl in bad shape?,"He was punched in the face by Domingo, her fiancé.",The guy who punched you in the face.,Causal-Motivational Reasoning,broad_coverage_scene
9,22、INT. CARL'S APARTMENT,What are Peter and Lucy celebrating?,Their engagement.,PETER (V.O.) ...Lucy and I are celebrating our engagement.,Character Understanding,broad_coverage_scene
10,22、INT. CARL'S APARTMENT,What does Peter say to Carl on the answering machine?,He asks Carl to come by Rudy's tonight because he and Lucy are celebrating their engagement.,"PETER (V.O.) Carl, it's Peter. I know you don't do things anymore, but it'd mean a lot if you'd come by Rudy's tonight. Lucy and I are celebrating our engagement.",Character Understanding,broad_coverage_scene
11,6、INT. DUNKIN DONUTS,"In [6、INT. DUNKIN DONUTS], What is Carl's behavioral response to the cashier's offers?",Declines both the coffee flavoring and doughnut special,CARL No thanks. No.,Character Understanding,broad_coverage_scene
