id,related_scenes,question,answer,related_context,question_type,question_source
1,7、INT. MAIN HOUSE - DINING ROOM - NIGHT,What belief does Louise express about the stairs?,The Good Lord's liable to snatch two souls if she keeps climbing the stairs.,LOUISE ... The Good Lord's liable to snatch up two unwillin' souls at the same time if I keep on trampin' up those stairs...,Character Understanding,broad_coverage_scene
2,"1、EXT. TOWNHOUSE GARDEN - WASHINGTON, D.C. - AFTERNOON","In [1、EXT. TOWNHOUSE GARDEN - WASHINGTON, D.C. - AFTERNOON], What is Chance's behavioral state while working?","Working slowly and precisely, engrossed in his surroundings","He works slowly, precisely, obviously engrossed in his surroundings.",Character Understanding,broad_coverage_scene
3,24、INT. DINING ROOM - DAY,"In [24、INT. DINING ROOM - DAY], How does Chance behave when meeting Franklin and Hayes?","He remains calm, shakes hands warmly, and smiles.","a smile, totally at ease; takes Franklin's hand warmly",Character Understanding,broad_coverage_scene
4,17、INT. MAIN HOUSE - OLD MAN'S ROOM - MORNING,"In [17、INT. MAIN HOUSE - OLD MAN'S ROOM - MORNING], What emotional state does Chance exhibit upon entering the room?",Respect and curiosity,"we sense a feeling of respect from Chance, as well as a bit of curiosity",Character Understanding,broad_coverage_scene
5,26、EXT. GARDEN - AFTERNOON,"In [26、EXT. GARDEN - AFTERNOON], What emotional state does Chance exhibit while describing his garden?",Pride.,describes his garden with pride,Character Understanding,broad_coverage_scene
6,18、EXT. GARDEN - MORNING,"In [18、EXT. GARDEN - MORNING], What is Louise's emotional state during her interaction with Chance?","Caring, as she shows concern and touches his shoulder.","She smiles slightly, with caring, and puts a hand on his shoulder.",Character Understanding,broad_coverage_scene
7,19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,Why are the two men in white carrying a stretcher?,They are transporting the old man's body.,Two men in white carrying a stretcher down the main staircase. She notices the ease with which they bring the Old Man's body down the stairs.,Causal-Motivational Reasoning,broad_coverage_scene
8,"40、EXT. WASHINGTON, D.C. STREET - LATE AFTERNOON",What is the function of the statue of Benito Juarez in the scene?,To indicate the direction Chance should go.,"He turns, looks behind him and sees a large statue of Benito Juarez pointing. Chance smiles and goes off in the direction that Benito points.",Scene Grounding,broad_coverage_scene
9,56、INT. RAND DINING ROOM - NIGHT,What does Rand believe is harming business growth?,Kid-lawyers from the SEC.,RAND: 'Today the businessman is at the mercy of kid-lawyers from the SEC. All they want to do is regulate our natural growth!',Character Understanding,broad_coverage_scene
10,55、INT. RAND'S HOSPITAL ROOM - NIGHT,What does Rand say about his wealth and sickness?,He would rather be wealthy and sick than poor and sick.,I think I would rather be wealthy and sick than poor and sick.,Character Understanding,broad_coverage_scene
11,62、INT. RAND'S HOSPITAL ROOM - MORNING,What does Rand admire about Chance?,His peaceful nature and balance.,RAND: 'You're a truly peaceful man... your marvelous balance.',Character Understanding,broad_coverage_scene
12,58、INT. MANSION - ELEVATOR - NIGHT,What does Wilson say when he apologizes?,"Wilson apologizes for laughing, citing he knew Chance would make another joke about the elevator.","WILSON (laughing, trying to apologize) ... Sorry, sir - I just couldn't contain myself... I knew you were going to come out with another one of your jests about the elevator...",Character Understanding,broad_coverage_scene
13,57、INT. RAND'S POOL ROOM - NIGHT,What does Rand believe about the financial assistance program he proposes?,"Rand believes it will help businessmen harmed by inflation, taxes, and unions.","Rand: 'I've been thinking about beginning a financial assistance program... to help out American businessmen that have been harassed by inflation, excessive taxation, unions and other indecencies...'",Character Understanding,broad_coverage_scene
