id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en2fd3fabcf59d456fb8c57465762400bf-11,en2fd3fabcf59d456fb8c57465762400bf,en,37、INT. HOTEL BATHROOM - NIGHT ; 42、INT. the blue box - NIGHT,What event directly prompts Bennett Reeves to reveal her injury to Bennett Quincy aboard the the blue box?,Bennett Reeves discovers herself standing in a pool of blood,"In the hotel bathroom, Bennett Reeves notices she is standing in a pool of her own blood, sees the wound in her chest in the mirror, and attempts to call for help. Later, on the moving the blue box, she confronts Bennett Quincy and exposes the same wound, demonstrating its severity without explanation. The physical and psychological impact of her initial discovery motivates her decision to show him the injury, establishing a direct causal link between the two moments.",Causal-Motivational Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-12,en2fd3fabcf59d456fb8c57465762400bf,en,37、INT. HOTEL BATHROOM - NIGHT ; 48、INT. Fairview Station - DAY,What action immediately before leaving her room explains Bennett Reeves's unsteady movement in the Fairview Station?,Bennett Reeves stands up and pulls her pants on after the phone call,"After ending a tense phone call, Bennett Reeves remains motionless for a moment, visibly affected, before rising from her seat and dressing hurriedly in her hotel room. Her abrupt physical transition from stillness to motion, marked by pulling on her pants and leaving the room, precedes her unstable gait as she moves through the Fairview Station, where she stumbles repeatedly while trying to walk forward.",Causal-Motivational Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-13,en2fd3fabcf59d456fb8c57465762400bf,en,37、INT. HOTEL BATHROOM - NIGHT ; 48、INT. Fairview Station - DAY,What action directly explains Bennett Reeves's unsteady movement as she progresses down the Fairview Station?,Bennett Reeves rolls towel into cylinder for wound compression,"After tending to her injury in the bathroom, Bennett Reeves secures a tightly rolled towel against the wound in her back using duct tape. She dresses, cleans the blood from her face and hands, retrieves her bag, and exits the room. Shortly afterward, she moves through the Fairview Station with visible instability, stumbling as she walks, likely due to the physical strain or pain from her injury and improvised treatment. [37、INT. HOTEL BATHROOM - NIGHT]",Causal-Motivational Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-14,en2fd3fabcf59d456fb8c57465762400bf,en,4、INT. OFFICES OF THE UNDERGROUND - DAY ; 24、INT. THE BATHROOM - DAY,How does the relationship between Evan Grayson and Logan Davenport evolve from their first interaction to their shared presence in the ritual space?,they maintain a ritualistic bond rooted in mutual revival and emotional dependence,"From the early scene in the underground offices, where Logan Davenport performs a tender, life-restoring act on Evan Grayson’s motionless body—kissing her, breathing into her, and helping her stand—it is evident that their connection is defined by a deep, ritualistic intimacy. This bond persists into the later bathroom scene, where both are present in a communal ritual space, and it is revealed that Logan Davenport had previously revived Evan Grayson in the same manner as others in the group, confirming that their relationship remains anchored in reciprocal spiritual and physical restoration.",Role-Relation Continuity
legacy-en2fd3fabcf59d456fb8c57465762400bf-16,en2fd3fabcf59d456fb8c57465762400bf,en,8、INT. THE SECOND FLOOR - DAY ; 8、INT. THE SECOND FLOOR - DAY ; 10、INT. THE HALL AND STAIRWAY - DAY,"What pivotal event sets in motion Bennett Reeves's entry into Sage Rivers's room, her subsequent fall, and the encounter in the Fairview Station bathroom?",Bennett Reeves Confronts Parker Carter to Enter Sage Rivers's Room,"The confrontation with Parker Carter is the critical action that enables Bennett Reeves to access Sage Rivers's room, directly triggering the chain of events that follow, including her reaction to the stench, her physical collapse, and the later movement to the bathroom at the end of the Fairview Station [8、INT. THE SECOND FLOOR - DAY].",Narrative Progression
legacy-en2fd3fabcf59d456fb8c57465762400bf-17,en2fd3fabcf59d456fb8c57465762400bf,en,9、INT. Sage Rivers'S ROOM - DAY ; 14、INT. Stonebridge Plaza - NIGHT ; 45、INT. PSYCH WARD/COMMON AREA - DAY,"What pivotal event sets into motion Bennett Reeves's confrontation with Sage Rivers's cryptic warning, her disappearance, and Bennett Reeves's subsequent departure?",Bennett Reeves Retrieves the Envelope and the black case from Sage Rivers's Body,"In the aftermath of Sage Rivers's sudden death, Bennett Reeves discovers a hidden envelope and the black case on Sage Rivers's body, uncovering clues that directly trigger her engagement with Sage Rivers's final message, the supernatural vision of her vanishing, and her decision to leave with the cigarettes. This discovery serves as the critical narrative bridge linking Sage Rivers's fate to Bennett Reeves's active involvement in the unfolding mystery. [9、INT. Sage Rivers'S ROOM - DAY]",Narrative Progression
legacy-en2fd3fabcf59d456fb8c57465762400bf-18,en2fd3fabcf59d456fb8c57465762400bf,en,4、INT. OFFICES OF THE UNDERGROUND - DAY ; 13、INT. Sage Vaughn'S OFFICE - NIGHT ; 13、INT. Sage Vaughn'S OFFICE - NIGHT,"What pivotal event sets in motion Sage Vaughn's growing concern for Bennett Reeves's safety, her discovery of the image in the the black case, and their eventual parting in the rain?",Bennett Reeves and Sage Vaughn After the Tape Ends,"In the aftermath of the tape's conclusion, a critical shift occurs between Bennett Reeves and Sage Vaughn during a scene in the underground offices, where unresolved tensions and emerging revelations begin to alter their trajectory. This moment initiates a chain of developments that leads to Sage Vaughn's increasing unease about Bennett Reeves's actions, her defiant reaction to a disturbing image uncovered in the the black case, and ultimately their emotional separation at the hotel amid a downpour.",Narrative Progression
legacy-en2fd3fabcf59d456fb8c57465762400bf-26,en2fd3fabcf59d456fb8c57465762400bf,en,15、INT. SUBWAY STATION - NIGHT ; 42、INT. the blue box - NIGHT,"By the time Bennett Reeves boards the the blue box and confronts Bennett Quincy, what has already taken place?",Bennett Reeves enters subway station using access card,"Bennett Reeves arrives at the subway station at night, swipes in with her access card, and descends to the platform, setting the stage for her eventual confrontation with Bennett Quincy aboard the the blue box. This sequence establishes her deliberate movement through the transit system before the encounter unfolds in a later scene.",Temporal Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-28,en2fd3fabcf59d456fb8c57465762400bf,en,24、INT. THE BATHROOM - DAY ; 25、INT. Lakeview Park - DAY,What occurs immediately before Logan Davenport begins tracing Bennett Reeves's anatomy?,Bennett Reeves falls backward onto the floor in fear,"Shortly after Bennett Reeves witnesses a shocking resurrection in the bathroom, she collapses to the floor in terror, setting the stage for Logan Davenport's subsequent hypnotic examination of her body in the next scene.",Temporal Reasoning
legacy-en2fd3fabcf59d456fb8c57465762400bf-29,en2fd3fabcf59d456fb8c57465762400bf,en,42、INT. the blue box - NIGHT ; 43、INT. SUBWAY TUNNEL - NIGHT,What occurs just before the the blue box enters the narrowing tunnel?,Bennett Reeves collides with decaying Sage Rivers,"Shortly after Bennett Reeves encounters Sage Rivers in a deteriorated state on the the blue box platform, their collision takes place within the the blue box cabin, setting the immediate precedent for the sequence in which the the blue box moves into the narrowing tunnel.",Temporal Reasoning
