id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en97cd44f4ac92471e9137b4d2262a4dac-13,en97cd44f4ac92471e9137b4d2262a4dac,en,40、INT: Pinecrest Motel--DAY ; 79、INT: Pinecrest Motel--NIGHT,How does Harper Nolan's relationship with Sage Finch evolve from their initial confrontation to the final escalation in the pizzeria?,Harper Nolan treats Sage Finch as an enemy and ultimately attacks him physically,"From the daytime confrontation, where Sage Finch threatens Harper Nolan with a bat over the loud music and Harper Nolan refuses to back down, the tension between them remains adversarial. This hostility culminates at night when Sage Finch destroys Harper Nolan's the old key, prompting Harper Nolan to launch a physical attack by choking him, confirming an unbroken trajectory of antagonism directed from Harper Nolan toward Sage Finch.",Role-Relation Continuity
legacy-en97cd44f4ac92471e9137b4d2262a4dac-14,en97cd44f4ac92471e9137b4d2262a4dac,en,35、EXT: Fairview Station--DAY ; 65、EXT: Pinecrest Hospital--DUSK,How does Cameron Delaney's relationship with Elliot Rivers remain consistent from their interaction on the Fairview Station through the incident in the Pinecrest Hospital?,Cameron Delaney continues to act with paternal concern and protection toward Elliot Rivers,"From the Fairview Station scene, where Cameron Delaney entrusts Elliot Rivers with buying beer in a familiar, fatherly manner, to the moment he pulls Elliot Rivers from danger in the Pinecrest Hospital and comforts him afterward by calling him 'son', Cameron Delaney consistently demonstrates a protective and caring dynamic, reinforcing an established role of guidance and emotional responsibility toward Elliot Rivers across these scenes.",Role-Relation Continuity
legacy-en97cd44f4ac92471e9137b4d2262a4dac-15,en97cd44f4ac92471e9137b4d2262a4dac,en,71、INT: HALLWAY--NIGHT ; 72、INT: Darian Wilder'S APARTMENT--NIGHT ; 73、INT: Darian Wilder'S BEDROOM--NIGHT,What event sets in motion the sequence of escalating tension between Drew Wilder and Darian Wilder after his arrival at her apartment?,Drew Wilder Delivers Pizza and Enters Darian Wilder's Apartment,"The encounter begins when Drew Wilder arrives to deliver a pizza and crosses the threshold into Darian Wilder's apartment, marking the start of an increasingly charged interaction. From this moment, the narrative momentum shifts as their private exchange unfolds, leading directly to physical advances, emotional strain, and boundary violations in the confined space of her living room and futon. This entry acts as the pivotal access point that enables the subsequent developments to occur. [71、INT: HALLWAY--NIGHT]",Narrative Progression
legacy-en97cd44f4ac92471e9137b4d2262a4dac-16,en97cd44f4ac92471e9137b4d2262a4dac,en,72、INT: Darian Wilder'S APARTMENT--NIGHT ; 73、INT: Darian Wilder'S BEDROOM--NIGHT ; 75、INT: Darian Wilder'S BEDROOM--NIGHT,What turning point initiates the shift toward the intimate encounter between Drew Wilder and Darian Wilder in her apartment?,"Darian Wilder Takes the Pizza, Drew Wilder Initiates a Kiss","In the scene set in Darian Wilder's apartment at night, the tension between Drew Wilder and Darian Wilder shifts decisively when Darian Wilder accepts the pizza and Drew Wilder responds by initiating a kiss. This moment marks the transition from ambiguous rapport to physical intimacy, directly setting in motion the subsequent actions that unfold on the futon.",Narrative Progression
legacy-en97cd44f4ac92471e9137b4d2262a4dac-17,en97cd44f4ac92471e9137b4d2262a4dac,en,73、INT: Darian Wilder'S BEDROOM--NIGHT ; 73、INT: Darian Wilder'S BEDROOM--NIGHT ; 72、INT: Darian Wilder'S APARTMENT--NIGHT,"What pivotal moment shifts the narrative toward the intimate encounter between Drew Wilder and Darian Wilder, despite her initial resistance?",Drew Wilder Sets the Mood with Music and Dim Lights,"In the scene set in Darian Wilder's bedroom at night, Drew Wilder's deliberate actions to create a romantic atmosphere—adjusting the lighting and playing music—establish the conditions that lead directly to the subsequent escalation of physical intimacy, including his advance, her ambiguous response, and their eventual closeness on the futon. This moment functions as the crucial bridge that propels the story into its emotionally charged climax.",Narrative Progression
legacy-en97cd44f4ac92471e9137b4d2262a4dac-18,en97cd44f4ac92471e9137b4d2262a4dac,en,45、INT: Spencer Brooks'S BEDROOM--DAY ; 45、INT: Spencer Brooks'S BEDROOM--DAY ; 53、INT: Drew Wilder'S ROOM--DAY,"What pivotal event sets in motion Drew Wilder's return home, the preparation to leave, and the subsequent argument with Spencer Brooks over boundaries and the old box?",Spencer Brooks Confronts Drew Wilder About Skipping Work,"In the bedroom during the day, Spencer Brooks confronts Drew Wilder for neglecting his work responsibilities, challenging his reliability and prompting a chain of decisions that lead to his temporary return home, their joint preparations to depart, and an escalating dispute about personal limits and finances. This confrontation disrupts the status quo and initiates a shift in their relationship dynamics and immediate plans. [45、INT: Spencer Brooks'S BEDROOM--DAY]",Narrative Progression
legacy-en97cd44f4ac92471e9137b4d2262a4dac-2,en97cd44f4ac92471e9137b4d2262a4dac,en,45、INT: Spencer Brooks'S BEDROOM--DAY,What role does Spencer Brooks assume in her interaction with Drew Wilder during the scene at the air conditioner?,Protector/dependent,"Spencer Brooks questions Drew Wilder about skipping work, expressing concern that he might lose his job and reminding him she is already supporting him financially. She insists he fulfill his responsibilities, showing her ongoing effort to stabilize his life. Drew Wilder resists her scrutiny but acknowledges her support, indicating a dynamic where Spencer Brooks manages practical stability for him [Spencer Brooks Confronts Drew Wilder About Skipping Work].",Character Understanding
legacy-en97cd44f4ac92471e9137b4d2262a4dac-25,en97cd44f4ac92471e9137b4d2262a4dac,en,38、INT: Pinecrest Motel--DAY ; 71、INT: HALLWAY--NIGHT,"By the time Drew Wilder delivers pizza and enters Darian Wilder's apartment, what has already taken place at Sage Finch’s pizzeria?",Drew Wilder picks up two pizza pies for delivery,"Before Drew Wilder arrives at Darian Wilder's apartment with the pizzas, he must first collect the order from Sage Finch’s Famous Pizzeria during the day, where he picks up two pizza pies intended for delivery. This occurs in the same timeline as his later entry into the building hallway at night, establishing the necessary sequence of events for the delivery to unfold.",Temporal Reasoning
legacy-en97cd44f4ac92471e9137b4d2262a4dac-26,en97cd44f4ac92471e9137b4d2262a4dac,en,33、INT: Pinecrest Motel--DAY ; 77、INT: STOREROOM--NIGHT,"By the time Sage Finch calls the brothers away, what incident has already taken place in the pizzeria?",Quinn Warren smacks his brother Riley Arden during a confrontation in the shop,"Before Sage Finch intervenes to de-escalate tensions by calling the brothers away, a heated argument between Quinn Warren and Riley Arden erupts in the pizzeria, culminating in Quinn Warren striking Riley Arden. This physical altercation sets off a chain of reactions, including Drew Wilder demanding retaliation, which heightens the conflict and makes Pinecrest Motel later intervention necessary to prevent further violence. The confrontation occurs in the main shop area during the day, well before the private conversation in the storeroom at night.",Temporal Reasoning
legacy-en97cd44f4ac92471e9137b4d2262a4dac-27,en97cd44f4ac92471e9137b4d2262a4dac,en,44、INT: Drew Wilder'S APARTMENT--DAY ; 45、INT: Spencer Brooks'S BEDROOM--DAY,What does Drew Wilder do shortly before being confronted by Spencer Brooks about skipping work?,unlocks and enters the apartment,"Drew Wilder arrives at the apartment and lets himself in, setting the immediate context for Spencer Brooks's confrontation about his absence from work. This action directly precedes her challenge and establishes his physical return home. [scene: 44、INT: Drew Wilder'S APARTMENT--DAY]",Temporal Reasoning
