id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-11,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,36、地铁站 夜内 ; 37、地铁 夜内,陈末对幺鸡的沉默作何反应，这一互动如何促成了两人后来在地铁上谈论爱情？,陈末确认幺鸡的顺从态度,在地铁站，陈末质问幺鸡为何不反驳，幺鸡表示认同他的指责，表现出顺从。这一态度让陈末意识到她的情绪接受度，为后续在地铁中她主动开启关于爱情的对话创造了情感前提。,Causal-Motivational Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-12,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,21、播音室／面馆 夜内 （互切） ; 90、乡广播站 日外,从[21、播音室／面馆 夜内 （互切）]到[90、乡广播站 日外]，幺鸡和陈末之间的合作状态如何演变？,从共同工作的师徒逐渐发展为彼此信任、无需言语的默契搭档,两人最初以实习指导关系共事，经历短暂冲突后重建联结，陈末逐步赋予幺鸡责任与空间，最终在广播站场景中以相视一笑体现深厚默契，关系由职能性合作升华为情感性共担。,Role-Relation Continuity
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-13,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,4、播音室/雨夜街头（互切） ; 81、播音室天台 夜 外,从[4、播音室/雨夜街头（互切）]到[81、播音室天台 夜 外]，小容和陈末之间的关系发生了怎样的变化？,从对立的前任恋人转变为互认‘最好的朋友’的稳定伙伴关系,两人关系从情感破裂开始，经工作互动与言语冲突，最终在天台对话中以‘最好的朋友’重新定义角色，完成从敌对到正向社会关系的转变。,Role-Relation Continuity
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-14,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,16、天台 日外 ; 71、稻城旅店 夜 内,从[16、天台 日外]到[71、稻城旅店 夜 内]，茅十八和陈末之间的关系如何延续？,始终是彼此信任、共同生活的伙伴，后期发展为能深入交流人生观念的共鸣者,两人从共享餐食、同住同行的日常默契，逐步展现思想层面的交流与认同，关系持续稳定且正向深化，未出现断裂或对立。,Role-Relation Continuity
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-15,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,21、播音室／面馆 夜内 （互切） ; 22、播音室天台 夜外 ; 34、播音室 夜内,哪一个事件标志着陈末与幺鸡开始共同应对听众情感问题，并为后续互动模式的确立埋下伏笔？,陈末介绍幺鸡并接听听众电话,该事件首次将幺鸡引入广播互动环节，使两人从单向交流转向协作回应听众，由此开启后续一系列以角色配合为核心的剧情发展。,Narrative Progression
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-16,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,2、播音室 夜内 ; 2、播音室 夜内 ; 3、雨夜 街头,哪一个事件标志着陈末从单向播音转向与听众建立情感联结的叙事转折？,陈末和小容主持节目并接听生日女孩来电,该场景首次展现陈末通过电台与听众产生真实情感互动，由此开启后续多个听众故事的介入，推动叙事从个人独白转向人际情感交织。,Narrative Progression
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-17,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,17、公司 日内 ; 22、播音室天台 夜外 ; 36、地铁站 夜内,哪一个事件直接触发了陈末后续对幺鸡的排斥、试探以及立誓争夺收听率的一系列行动？,幺鸡当众表示愿跟陈末实习并自我介绍,该事件打破了陈末原本封闭的工作状态，引入外来变量，迫使陈末直面团队变动与个人压力，成为后续冲突与动力升级的导火索。,Narrative Progression
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-18,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,36、地铁站 夜内 ; 36、地铁站 夜内 ; 22、播音室天台 夜外,哪一个事件成为陈末与幺鸡关系转变、并推动后续冲突升级及共同回应听众求助的关键转折？,幺鸡在被批评后请求陈末指点,该场景中，幺鸡面对陈末的指责没有反驳，而是主动请求指导，这一姿态打破了两人之间的对抗张力，为陈末后续的情绪爆发与二人转向合作回应听众问题建立了叙事动力。,Narrative Progression
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-25,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,17、公司 日内 ; 31、办公室 日内,到了台长平息争执、众人散去之时，此前在公司会议上陈末已做出了什么关键举动？,提出与小容合作新节目并取名‘容嬷嬷’,在争执发生前的公司会议场景中，陈末主动提议与小容合作，并以玩笑方式命名节目，为后续冲突埋下伏笔，这一发展早于台长出面调解的场景。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-26,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,36、地铁站 夜内 ; 37、地铁 夜内,在“幺鸡与陈末在地铁上谈论爱情”之前，幺鸡先采取了什么关键行动？,幺鸡接受批评并寻求指导,在两人于地铁中展开关于爱情的对话前，幺鸡刚经历了被陈末批评并主动请求指点的时刻，这一行为为后续更深入的交流铺垫了情感和动机基础。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-27,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,30、播音室 日 内 ; 31、办公室 日内,“陈末用手堵住幺鸡的耳朵”之后不久，台长接下来做了什么？,台长制止闹剧并命令众人返回工作,播音室冲突发生后，情节迅速转移到办公室场景，台长出面控制局面并恢复工作秩序，表明事件的直接后续是管理层介入与团队解散。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-28,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,19、胡同 日外 ; 20、胡同 日外,“荔枝抓住逃跑的茅十八并质问墙上的小广告”之后不久，荔枝随后意识到了什么？,荔枝偷拍茅十八并被陈末发现,根据场景顺序，该事件发生在同一胡同环境中，前后仅隔一场戏，情节自然衔接：荔枝在控制住茅十八后，随即采取进一步行动记录其行为，导致被陈末当场发现，推动三人关系的紧张升级。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-29,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,18、重庆街头 日外 ; 19、胡同 日外,在“陈末下令抓捕茅十八”之前，茅十八先采取了什么关键行动？,看到荔枝后扔下筷子逃跑,在陈末采取行动之前，茅十八因见到荔枝而突然中断用餐，仓促逃离现场，这一反应为后续抓捕提供了直接导火索。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-7,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,21、播音室／面馆 夜内 （互切）,在播音室与面馆互切的场景中，陈末完成哪个动作标志着他重新投入工作？,咽下面条后继续播音,陈末在吃面时接到直播提示，尽管口中还含着面条，他强行咽下并拿起话筒说‘下一个’，这一动作体现他在私人空间与职业身份间的即时切换，是该场戏的核心推进点。,Scene Grounding
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-8,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,36、地铁站 夜内 ; 37、地铁 夜内,幺鸡为何会在地铁上主动向陈末探讨爱情话题？,她在此前接受了陈末的严厉批评并主动寻求指导,幺鸡在被批评后表现出顺从与求教态度，显示出她对陈末观点的重视，这种心理转变促使她在后续场景中主动开启更深层的对话，包括对爱情的追问。,Causal-Motivational Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-9,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,2、播音室 夜内 ; 3、雨夜 街头,在女孩雨中来电倾诉孤独、陈末讲述稻城之约之前，是什么关键事件促成了这一时刻的对话氛围与情感基调？,陈末和小容开始主持电台节目并接听来电,电台节目的开启建立了陈末与听众之间的连接通道，使女孩能在雨夜拨入电话倾诉孤独；播音状态下的陈末也因此处于倾听与回应的情境中，从而自然引出他对稻城的温柔叙述。这一互动的前提是节目已经开播，主持人身份就位。,Causal-Motivational Reasoning
task2-candidate-03d66cc10ef45b42c9ac,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,51、52,陈末最初对母亲的思念是如何通过广播回忆被重新激活的，这一情感如何影响了直播氛围？,在广播播放背景下，陈末回忆起为母亲编辑想吃菜名的短信，这一私人记忆被公开唤起，与幺鸡思母倾诉形成情感共振，推动直播情绪深化。,"scene 51: 陈末（OS）：我也一样 有一年放暑假，我回家之前，我就给我妈编了一个短信，我把我想吃 全部都写在上边。有这个 回锅肉 椒麻鸡 红烧肥肠……
scene 52: 幺鸡：我也想吃我妈包的饺子了。我上中学的时候 我妈就去世了。说完幺鸡体力不支 趴倒在桌上，陈末扶着她的肩膀。",Narrative Progression
task2-candidate-0ef4c8b633571cd88a6e,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,45、61,猪头为支持燕子所做出的牺牲，在燕子提出分手后产生了哪些延迟后果？,猪头曾旷课做家教、陪燕子上自习，甚至攒钱试图洗清其冤屈；但燕子回国后仍提出分手，并承诺还债，使猪头的情感与经济投入成为单向付出，最终导致其情绪崩溃并失踪。,"scene 45: 陈末（VO）：从那天开始，猪头旷课去做家教，有空就陪燕子上自习。在最固定的清晨和黄昏，全校师生都能看到他们走过这一条，校园最美丽的道路。
scene 61: 燕子：你的那些钱，一共 20 万，我都记着呢。我一赚到钱，就马上还给你。猪头：没关系，我不缺钱。……猪头跪在地上大哭，出租车疾驰而去。从这个夜晚开始，猪头突然不见了，谁也找不到他。",Narrative Progression
task2-candidate-1e639ae9b5d7d3bb179b,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,91、92,陈末在冲突事件后决定走下去，这一心理转变是否影响了他后续对个人方向的确立？,是，陈末在集市事件后决定不再放弃，在家庭等待场景中进一步确认无法挽回的离别，明确自己该去哪。,"scene 91: 陈末（VO）：我改变不了别人的命运，因为我连自己该去哪都不知道。以前我会放弃，但现在我决定走下去。
scene 92: 陈末（OS）：有些人等不到了，因为每个人都有属于自己的路，我知道自己该去哪",Scene Grounding
task2-candidate-27069c1b34b77922fe68,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,17、31,陈末与小容的关系从亲密搭档演变为公开对立，这一发展如何体现在他们对节目收听率的态度变化上？,最初陈末与小容共同工作，后小容当众批评其收听率垫底，最终陈末立誓超越她，显示关系从合作转向竞争，收听率成为情感对抗的象征。,"scene 17: 小容：你知道自己的收听率。陈末嬉笑着：全台最后一名啊。小容：你这么不思进取，这么多实习生没有人愿意跟你。
scene 31: 陈末拿起自己的奖杯。陈末：我陈末发誓，一个月之内，我和幺鸡的栏目，全台收听率第一！说完，陈末把奖杯摔在地上。",Role-Relation Continuity
task2-candidate-458bb4720d130865f5f8,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,4、5,小容在公开场合批评陈末‘不是好恋人’，这一评价如何与她此前提出分手的行为形成因果关联？,小容在提出分手后进一步在公开场合指出陈末情感缺陷，表明其分手决定源于长期积累的不满，且试图通过公开评价强化关系终结的正当性。,"scene 4: 小容：陈末，我们分手吧。陈末：什么？小容：想说这话很久了。
scene 5: 小容：你是个好 DJ，但不是一个好恋人。 陈末：好 DJ 为什么不能是个好恋人。不是，你说什么我都不明白。",Causal-Motivational Reasoning
task2-candidate-59ca781303b8592c3fb7,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,4、34,陈末在节目中深情告白后立即遭遇分手，这一事件如何改变他对爱情表达的认知？,陈末在告白后被小容提出分手，导致他将情感表达与被抛弃联系起来，此后在直播中表现出对爱情决定的恐惧与警示。,"scene 4: 陈末看向旁边的小容，深情地继续说着：我要告诉她，如果没有住在你的心里，都是客死他乡，我要告诉她，相爱这件事情，就是永远在一起。
scene 34: 陈末：可是，生活是漫长的，如果你在生活当中做了一个错误的决定，你就肯定彻底地陷入了煎熬，而且很恐怖。拿我自己举个例子吧。我的前女友，当她放弃我之后，就彻底地陷入了煎熬。",Temporal Reasoning
task2-candidate-616c401f5f45edd2e840,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,82、84,陈末在直播中宣布幺鸡未到场，这一行为如何体现他对两人关系变化的内心接受？,陈末公开说明幺鸡未到并决定不接电话，表明他意识到关系已变，开始以讲述故事的方式处理离别。,"scene 82: 今天你路过了谁，谁又丢失了你呢？欢迎收听《从你的全世界路过》，我是陈末。今晚，幺鸡没有来，所以今天不接电话了，给大家讲个故事吧。
scene 84: 幺鸡坐上大巴。幺鸡（OS）：谢谢你，让我从你的全世界路过。",Narrative Progression
task2-candidate-9f2dabb51555b052cdff,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,55、63,茅十八如何通过技术手段表达对荔枝的情感承诺，这些行为在关系发展中起到了什么作用？,茅十八更换导航语音并制作保护装置，使工具成为情感载体，强化了‘永远在你身边’的陪伴承诺，推动关系向求婚阶段发展。,"scene 55: 茅十八：我花了一个月的时间 把里面的语音文件全都换了。茅十八（VO）：荔枝，你走路永远看着天空……我，永远在你身边。
scene 63: 茅十八：我得赶紧向荔枝求婚。茅十八：你得帮我。我没求过婚，缺乏经验。",Role-Relation Continuity
task2-candidate-a44f43f68d5339f33725,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,48、62,茅十八送给荔枝的保护装置和语音系统，在她遭遇袭击时是否发挥了预期作用？,荔枝在与歹徒搏斗中被刺中左腹的报警仪，设备立即发出求救信号，茅十八接警后赶往现场，实现了‘我去救你’的承诺，验证了装置的功能有效性。,"scene 48: 茅十八：我为你做的，你遇到危险，它就会通知。我去救你。
scene 62: 其中一个歹徒拿到捅向荔枝左腹，击中她腹部的报警仪。报警仪：荔枝遭到打击！连续打击！平均每秒零点三四，请立即支援！茅十八接到消息，马不停蹄地跑出门。",Scene Grounding
task2-candidate-c2494debbf1545f4bcc5,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,52、54,幺鸡在直播过程中情绪崩溃，这一事件如何触发了陈末后续的承诺行为？,幺鸡在高烧中倾诉母亲早逝的伤痛并昏倒，陈末在安抚后承诺病愈后带她去稻城，将情感支持转化为具体行动承诺。,"scene 52: 幺鸡：我也想吃我妈包的饺子了。我上中学的时候 我妈就去世了。说完幺鸡体力不支 趴倒在桌上，陈末扶着她的肩膀。
scene 54: 幺鸡：我想去一个地方。叫稻城。听说那可漂亮了。 陈末：好 答应你。",Causal-Motivational Reasoning
