id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enf903e9b905b54ea09072b039caccdbeb-10,enf903e9b905b54ea09072b039caccdbeb,en,40、INT. POOH-BEARS HOUSE - DAY ; 40、INT. POOH-BEARS HOUSE - DAY,"In [40、INT. POOH-BEARS HOUSE - DAY], what causes Emery Thorne to hesitate before finalizing the drug deal with Jordan Cavendish?",Emery Thorne expresses suspicion about Jordan Cavendish's sincerity,"Emery Thorne grows uneasy when Jordan Cavendish agrees too quickly to the price, voicing concern that he isn’t being taken seriously. In response, Jordan Cavendish recounts a violent story about punishing a man who shorted him, describing how he clamped the man’s head in a vice and cut his skull open, all while maintaining a calm demeanor and a fixed grin. Emery Thorne listens in tense silence, visibly affected by the story, which follows his initial expression of doubt.",Causal-Motivational Reasoning
legacy-enf903e9b905b54ea09072b039caccdbeb-12,enf903e9b905b54ea09072b039caccdbeb,en,28、EXT. DESERTED PARK - NIGHT ; 207、INT. BURNED OUT BUILDING - NIGHT (LATER),How does Graham Cavendish's treatment of Emery Thorne evolve from their initial encounter through the later confrontation in the burned-out building?,Graham Cavendish consistently treats Emery Thorne as a target for retribution,"From the deserted park at night to the final moments in the burned-out building, Graham Cavendish maintains a hostile stance toward Emery Thorne, driven by the belief that Emery Thorne informed on him. Throughout these scenes, Emery Thorne remains fearful of Graham Cavendish's retaliation, and Graham Cavendish's pursuit of vengeance is a continuous thread, marked by threats and the looming possibility of violence. The relationship remains defined by power imbalance and distrust, with Graham Cavendish positioned as the aggressor and Emery Thorne as the vulnerable informant.",Role-Relation Continuity
legacy-enf903e9b905b54ea09072b039caccdbeb-13,enf903e9b905b54ea09072b039caccdbeb,en,84、INT. PALOS VERDES HOUSE - NIGHT ; 230、INT. PALOS VERDES HOUSE - NIGHT,How does Sasha Huxley's treatment of Emery Thorne evolve between their early and final confrontation in the Palos Verdes house?,Sasha Huxley continues to treat Emery Thorne as a threat,"From the initial encounter to the final confrontation in the Palos Verdes house, Sasha Huxley consistently expresses hostility toward Emery Thorne, rooted in resentment over Reese Finch's death. He blames Emery Thorne for disgracing Tristan Hollis memory and implies his survival was dishonorable, maintaining an adversarial stance through accusatory language and silent judgment without any sign of reconciliation.",Role-Relation Continuity
legacy-enf903e9b905b54ea09072b039caccdbeb-14,enf903e9b905b54ea09072b039caccdbeb,en,136、INT. Jordan Cavendish'S HOUSE - NIGHT ; 282、INT. Jordan Cavendish'S HOUSE - NIGHT,How does Robin Bellamy's treatment of Emery Thorne evolve from their initial confrontation through later encounters?,Robin Bellamy consistently treats Emery Thorne as a threat,"From the initial scene where Robin Bellamy points a flintlock at Emery Thorne's head and attempts to shoot him, through subsequent moments where he again aims a pistol at Emery Thorne on command, Robin Bellamy maintains a hostile stance, reflecting an unbroken adversarial relationship. Emery Thorne's eventual unprovoked shooting of Robin Bellamy in return confirms the persistence of mutual hostility across these scenes.",Role-Relation Continuity
legacy-enf903e9b905b54ea09072b039caccdbeb-15,enf903e9b905b54ea09072b039caccdbeb,en,31、INT. CINDER BLOCK BAR - SAME ; 34、EXT. BAD NEIGHBORHOOD - NIGHT ; 31、INT. CINDER BLOCK BAR - SAME,"What pivotal event sets the narrative in motion toward the sequence involving late-night conversations, shared vulnerability, and the decision to search Spencer Thorne's room?",Emery Thorne Seeks Cash Before Leaving Town,"In the dimly lit cinder block bar, Emery Thorne's urgent attempt to secure money before departing town marks a critical shift in the story's trajectory. This action disrupts the status quo, prompting a chain of intimate disclosures and investigative impulses that unfold in subsequent scenes, including a moment of connection during withdrawal and the suggestion to uncover clues in Spencer Thorne's space.",Narrative Progression
legacy-enf903e9b905b54ea09072b039caccdbeb-16,enf903e9b905b54ea09072b039caccdbeb,en,29、EXT. CEMETERY - NIGHT ; 29、EXT. CEMETERY - NIGHT ; 29、EXT. CEMETERY - NIGHT,"What pivotal event sets in motion Emery Thorne's decisions to seek money, react to the painting, and leave town with Owen Prescott?",Emery Thorne Meets Owen Prescott at the Gravesite,"The encounter between Emery Thorne and Owen Prescott at the cemetery initiates a chain of actions that directly influence Emery Thorne's subsequent choices, including his reaction to the truck's painting, his need for cash before departure, and his decision to ride off with Owen Prescott. This meeting marks the first consequential interaction that redirects Emery Thorne's trajectory from isolation toward active flight and partnership. [29、EXT. CEMETERY - NIGHT]",Narrative Progression
legacy-enf903e9b905b54ea09072b039caccdbeb-17,enf903e9b905b54ea09072b039caccdbeb,en,12、EXT. PARTY HOUSE - DAY ; 41、INT. Casey Warren - DAY ; 31、INT. CINDER BLOCK BAR - SAME,"What pivotal interaction sets in motion the chain of events leading to Emery Thorne and Wesley Foster's clandestine meeting, Wesley Foster's drug offer, and Emery Thorne's urgent need for money?",Emery Thorne and Wesley Foster Introduce Themselves,"The initial encounter between Emery Thorne and Wesley Foster at a daytime outdoor party establishes their connection and initiates the sequence of escalating interactions that follow, including their later meeting in the back of a bar, Wesley Foster's proposition involving drugs and JFK, and Emery Thorne's attempt to secure cash before departing town. This introduction serves as the foundational moment enabling all subsequent developments between the two characters.",Narrative Progression
legacy-enf903e9b905b54ea09072b039caccdbeb-18,enf903e9b905b54ea09072b039caccdbeb,en,38、INT. VERA - SAME ; 40、INT. POOH-BEARS HOUSE - DAY ; 40、INT. POOH-BEARS HOUSE - DAY,"What pivotal event shifts the narrative trajectory toward the escalating tensions involving Emery Thorne's doubts, Jordan Cavendish's violent storytelling, and the final warning over breakfast?",Emery Thorne Questions the Mission,"In the aftermath of growing unease aboard Vera, Emery Thorne's direct challenge to the mission's purpose disrupts the group's cohesion and triggers a chain of confrontations. This moment of dissent marks a definitive break from unified purpose, leading to psychological maneuvering, the recounting of a violent past, and a symbolic act of control during a shared meal. [scene: 38、INT. VERA - SAME]",Narrative Progression
legacy-enf903e9b905b54ea09072b039caccdbeb-25,enf903e9b905b54ea09072b039caccdbeb,en,12、EXT. PARTY HOUSE - DAY ; 31、INT. CINDER BLOCK BAR - SAME,"By the time Emery Thorne and Wesley Foster negotiate a drug deal at the bar, what has Wesley Foster already done to set the meeting in motion?",Wesley Foster proposes visiting a drug connection,"Earlier in the day, at a party house, Wesley Foster suggests reaching out to a contact he knows through Wesley Foster, initiating the chain of events that leads to the negotiation at the cinder block bar.",Temporal Reasoning
legacy-enf903e9b905b54ea09072b039caccdbeb-26,enf903e9b905b54ea09072b039caccdbeb,en,18、EXT. ALLEY - NIGHT ; 29、EXT. CEMETERY - NIGHT,What does Emery Thorne do with the the black jacket before Owen Prescott reveals himself at the cemetery?,Emery Thorne enters the the black jacket in the alley,"The event occurs in the alley at night, prior to Owen Prescott's revelation at the cemetery, with a clear sequence of 11 intervening scenes.",Temporal Reasoning
legacy-enf903e9b905b54ea09072b039caccdbeb-27,enf903e9b905b54ea09072b039caccdbeb,en,13、INT. CHEAP MOTEL ROOM - DAY ; 14、EXT. CHEAP MOTEL ROOM - DAY,What occurs immediately before Emery Thorne and Wesley Foster exit the motel room?,Spencer Thorne grabs a speargun and points it alternately at Wesley Foster and Emery Thorne,"In the motel room, tension escalates as Spencer Thorne takes hold of a speargun and aims it at Wesley Foster and Emery Thorne, forcing a standoff just before the two leave the room.",Temporal Reasoning
