id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,en6277019821914a26ba881ef5d254969f,en,16、EXT. LOWELL STREET NEARY MICKY'S - DAY,What motivates Alice's confrontation with Charlene at her apartment?,She believes Dicky is essential to Micky's training and sees Charlene's actions as a threat to the family.,"Alice arrives at Charlene's apartment with several of Micky's sisters. She confronts Charlene, demanding to know what she is doing to the family and insisting that Dicky is essential to Micky's training. Charlene tells her that Dicky is in prison. Enraged, Alice lunges at Charlene. Micky steps in, restraining his mother and stopping the attack. The confrontation escalates emotionally.",Character Understanding
2,en6277019821914a26ba881ef5d254969f,en,16、EXT. LOWELL STREET NEARY MICKY'S - DAY,What does Micky aim to accomplish in his final conversation with Dicky in the locker room?,End their professional relationship,"Micky and Dicky meet alone in the locker room, where Micky tells Dicky he can no longer work with him, citing past betrayals. He speaks quietly, with sorrow and regret, and does not respond to Dicky's attempts to understand. After delivering his decision, Micky walks away, leaving Dicky stunned and shaken.",Character Understanding
3,en6277019821914a26ba881ef5d254969f,en,16、EXT. LOWELL STREET NEARY MICKY'S - DAY,What is Alice's objective upon arriving at Charlene's apartment with Micky's sisters?,Confront Micky directly,"Alice arrives at Charlene's apartment accompanied by several of Micky's sisters. She stands on the porch and accuses Micky of hiding from the family. When Charlene opens the door and denies that Micky is hiding, Alice disregards her and speaks directly to Micky, demanding an explanation. Micky responds by stepping forward and asserting that he is not avoiding anyone.",Character Understanding
4,en6277019821914a26ba881ef5d254969f,en,18、EXT. CRACK STREET - CONTINUOUS,What does Dicky aim to accomplish by confronting Charlene at her apartment?,Reconcile Charlene with Micky,"Dicky walks down the street, limping at first before breaking into a run toward Charlene's apartment. He repeatedly presses the buzzer despite her telling him to leave. When she confronts him at the door, he argues that she should return to Micky because Micky deserves a chance. He appeals to her sense of loyalty, acknowledges her flaws, and insists Micky needs both of them. After a tense exchange, she agrees to support Micky, telling Dicky she'll be in Micky's corner. Dicky then departs, informing Micky that things are resolved and urging him to reunite with Charlene.",Character Understanding
5,en6277019821914a26ba881ef5d254969f,en,18、EXT. CRACK STREET - CONTINUOUS,What does Micky direct Dicky to do after resolving the conflict with Charlene?,Bring O'Keefe back,"After Dicky reconciles with Charlene and assures Micky they've worked things out, Micky arrives and sees Charlene nod in confirmation. With the tension resolved, Micky instructs Dicky to bring O'Keefe back, marking the next step in reassembling his team.",Scene Grounding
6,en6277019821914a26ba881ef5d254969f,en,16、EXT. LOWELL STREET NEARY MICKY'S - DAY,What action marks Dicky's return at Ramalho's West End Gym?,Dicky returns with Alice and Little Dicky and addresses the room with a public apology and commitment to support Micky's career,"Dicky arrives at Ramalho's West End Gym accompanied by Alice and Little Dicky, prompting Micky to stop sparring. Gym members greet him as he enters, and he shares an emotional high five with Ray Ramalho. After being introduced to Sal LoNano by George, Dicky speaks to the group, offering a public apology and declaring his renewed commitment to supporting Micky's boxing career. The moment is charged with emotion and significance, marking his attempt to re-engage with the gym and Micky’s professional life, though later tension emerges when Micky reveals he has promised not to let Dicky manage him again.",Scene Grounding
7,en6277019821914a26ba881ef5d254969f,en,2、EXT. MICKY'S APARTMENT ABOVE GARAGE - MORNING - LATER IN THIB,What action takes place in Micky's apartment before he leaves for the fight?,Micky prepares for the day by dressing and packing,"Micky stands in front of the mirror in his small apartment, adjusting his button-down shirt and pulling on a sports coat that doesn’t fit right. His suitcase lies open on the bed. He grabs it and heads out, marking the final moments of preparation before joining his family for the fight.",Scene Grounding
8,en6277019821914a26ba881ef5d254969f,en,5、EXT. LEXINGTON ART-HOUSE MOVIE THEATER - NIGHT; 16、EXT. LOWELL STREET NEARY MICKY'S - DAY,What event directly prompts Alice's confrontation with Micky at Charlene's apartment?,Alice confronts Charlene during an awkward living room meeting,"During a family gathering at Alice and George Ward's house, Alice announces a new fight opportunity for Micky, but becomes unsettled when he expresses dissatisfaction with his boxing career and the stagnant environment in Lowell. Tension mounts as Micky withdraws emotionally, unable to articulate his feelings, while Dicky pressures him to clarify his stance. The discomfort peaks when Alice later singles out Charlene, who is present but silent on the couch, confronting her in a charged moment that underscores growing familial strain and unspoken alliances.",Causal-Motivational Reasoning
9,en6277019821914a26ba881ef5d254969f,en,16、EXT. LOWELL STREET NEARY MICKY'S - DAY; 18、EXT. CRACK STREET - CONTINUOUS,What moment of personal reconciliation enables Dicky to help reunite Micky's team?,Dicky whispers encouragement to Micky before weigh-in,"Before the weigh-in, Dicky shares a quiet moment with Micky, seeking validation for his past and receiving affirmation from his brother. This exchange marks a turning point in their relationship, grounding Dicky emotionally and giving him the motivation to mend fractured alliances. Shortly afterward, he confronts Charlene, commits to staying clean for Micky’s sake, and brokers peace between her and the team, culminating in Micky reassembling his support circle with Dicky’s active involvement.",Causal-Motivational Reasoning
10,en6277019821914a26ba881ef5d254969f,en,16、EXT. LOWELL STREET NEARY MICKY'S - DAY; 18、EXT. CRACK STREET - CONTINUOUS,What event directly prompts Micky to reunite his team?,Alice confronts Charlene about Dicky's role in Micky's training,"Alice arrives at Charlene's apartment with several of Micky's sisters and confronts her, insisting that Dicky is essential to Micky's success in the ring. When Charlene reveals Dicky is in prison, Alice becomes enraged and attacks her, prompting Micky to intervene. The emotional fallout continues at a bar where Red Dog and Beaver fight with Charlene, and Micky breaks it up. Later, as tensions simmer, Micky questions his mother about her loyalty to Dicky, leading to a vulnerable moment where she breaks down and the team rallies around her. This confrontation and its aftermath shift Micky’s perspective, setting in motion his decision to bring Dicky and O'Keefe back into his corner.",Causal-Motivational Reasoning
