id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,encfd3090ddb3146318f2edf3bf6807b30,en,"35、EXT. COFFEE SHOP, REAR PARKING LOT - WIDE - NIGHT",What does Neil seek to determine after noticing Waingro is no longer in place?,Locate Waingro after his disappearance,"After the police cruiser moves through the parking lot, Neil turns back toward Waingro's position and finds the spot empty, with no signs of disturbance. He pauses and begins scanning the rows of parked cars. Cerrito and Chris follow as they cautiously search under and between vehicles, moving across the lot and checking shadows and gaps, but find no trace of Waingro.",Character Understanding
2,encfd3090ddb3146318f2edf3bf6807b30,en,45、INT. KITCHEN - STOVE,What does Justine's focus on the uneaten dinner reveal about her emotional state when Hanna returns home?,She feels emotionally neglected and frustrated by Hanna's avoidance of intimacy.,"Justine sits in the living room reading when Hanna enters, holding a lamb chop from the leftover dinner. Justine asks where Hanna has been, and Hanna says work, then mentions a case involving three dead bodies in an alley off Adams. Justine responds that she made dinner, which has been sitting for four hours, and that Hanna always pulls away when she tries to create a moment between them. She says Lauren was stood up and won’t come out of her room, and adds that she herself is not okay either. Hanna apologizes for the overcooked lamb. Justine looks at him, stands quietly, and walks into the bedroom, closing the door behind her. Hanna remains in the living room, turns on the television, and stares at the news without speaking.",Character Understanding
3,encfd3090ddb3146318f2edf3bf6807b30,en,36、INT. SHIHERLIS APARTMENT - ON CHARLENE - NIGHT,What does Charlene aim to do by confronting Chris about the missing money?,Stop Chris's dangerous criminal involvement,"Charlene counts the money and demands to know where the rest is, expressing fear that Chris could end up dead, she could be arrested, and their son Dominick could be taken into care—all for $8,000. She pleads with him to see the risks, questions his priorities, and ultimately declares she wants out, leading to a violent confrontation when he threatens her after she insists on taking their son.",Character Understanding
4,encfd3090ddb3146318f2edf3bf6807b30,en,36、INT. SHIHERLIS APARTMENT - ON CHARLENE - NIGHT,What does Charlene's demand to take Dominick reveal about her character in the confrontation with Chris?,"She prioritizes her son's safety over material security, showing her shift from compliance to protective defiance.","Charlene argues the risk isn't worth $8,000, citing danger to herself, Dominick, and their future. When Chris tells her to leave and abandon the child, she refuses, declaring Dominick is going with her. This defiance triggers Chris's violent threat, confirming her realization that staying endangers her son.",Character Understanding
5,encfd3090ddb3146318f2edf3bf6807b30,en,24、EXT. STREET - ARMORED CAR,What action does Neil take to remove Waingro from the street scene after the shooting?,Throws Waingro into the ambulance,"After the shooting, Neil moves quickly to the ambulance and forcibly throws Waingro into the back, slamming the door shut. The act ends Waingro's erratic behavior at the scene, and the crew prepares to leave.",Scene Grounding
6,encfd3090ddb3146318f2edf3bf6807b30,en,24、EXT. STREET - ARMORED CAR,What occurs when Cerrito and Neil intercept the armored truck on the street?,Subdue three guards during the heist,"Cerrito and Neil ambush the armored truck crew as the vehicle stops. Cerrito grabs the driver while Neil forces the two guards against a wall, disarms them, and holds them at gunpoint. Cerrito strikes the driver and pins him alongside the others. With Waingro guarding the subdued crew, Neil and Chris enter the truck to retrieve a manila envelope. Tensions rise when Waingro kills one guard, prompting Neil and Cerrito to execute the remaining two. The team then withdraw from the scene after securing the target item.",Scene Grounding
7,encfd3090ddb3146318f2edf3bf6807b30,en,15、INT. AMBULANCE - ON NEIL - DAY,What does Chris do with the 14-shot clip in the ambulance scene?,Loads it into the 9mm Browning grip,"In the ambulance, Chris checks the chamber of his 9mm Browning and inserts a 14-shot clip into the grip. He also works the slide of a Remington 810 shotgun and puts on a welder's helmet, while Neil prepares his disguise and timing equipment.",Scene Grounding
8,encfd3090ddb3146318f2edf3bf6807b30,en,14、INT. GARBAGE TRUCK - TWO SHOT - DAY; 24、EXT. STREET - ARMORED CAR,What action immediately initiates the confrontation with the armored truck crew?,Cerrito checks his watch and signals it is time to begin,"In the garbage truck, Cerrito checks his watch and retrieves a paper bag containing rubber masks and surgical gloves, distributing them to Waingro. Both men don their masks and gloves with practiced efficiency, then pull out of the alley as Cerrito shifts into gear, marking the start of the heist operation that culminates in the subduing of the armored truck crew.",Causal-Motivational Reasoning
9,encfd3090ddb3146318f2edf3bf6807b30,en,12、INT. TRUCK - CERRITO; 14、INT. GARBAGE TRUCK - TWO SHOT - DAY,What moment establishes the implicit coordination between Cerrito and Waingro that enables their synchronized preparation for the heist?,Cerrito lights a cigarette and offers one to Waingro,"In the quiet intimacy of the truck cab, Cerrito lights a cigarette and offers one to Waingro, who accepts and lights up. They smoke in silence, the blue smoke curling between them, as Waingro probes the nature of their partnership. Cerrito confirms they work together regularly, reinforcing a sense of established routine. When Waingro asks to speak again, Cerrito cuts him off, reasserting control. This exchange, marked by minimal dialogue and shared gestures, cements their unspoken understanding—evident later when they move in lockstep to prepare the masks and gloves for the heist. [scene: INT. TRUCK - CERRITO]",Causal-Motivational Reasoning
10,encfd3090ddb3146318f2edf3bf6807b30,en,"22、EXT. STREET - VEIL; 25、INT. AMBULANCE - ON CERRITO - DAY driving, lays rubber",What action directly enables Neil to recognize the timing failure and trigger the contingency plan?,Neil starts chronometer with loud click via radio earpiece,"In a street-level operation, Neil activates a chronometer with a distinct audible click transmitted through his radio earpiece, synchronizing the team's actions. This moment marks the official start of the timed heist sequence, with Neil monitoring the elapsed seconds closely. When the operation exceeds the planned window, he discards his watch and initiates the fallback strategy, linking the initial timekeeping act to the later decision to abort the original plan. [scene: 22、EXT. STREET - VEIL]",Causal-Motivational Reasoning
11,encfd3090ddb3146318f2edf3bf6807b30,en,"35、EXT. COFFEE SHOP, REAR PARKING LOT - WIDE - NIGHT; 35、EXT. COFFEE SHOP, REAR PARKING LOT - WIDE - NIGHT","In [35、EXT. COFFEE SHOP, REAR PARKING LOT - WIDE - NIGHT], what action by Neil creates the opportunity for Waingro to escape before he is found missing?",Neil draws his .45 with intent to kill Waingro,"Neil aims his .45 at Waingro, who is lying dazed on the ground, but hesitates when a police cruiser passes through the parking lot. He waits motionless until the cruiser is out of sight, during which time Waingro disappears from the spot where he was left. Neil then turns back to find the area empty and begins searching the lot with Cerrito and Chris.",Causal-Motivational Reasoning
12,encfd3090ddb3146318f2edf3bf6807b30,en,50、INT - TRAILER - CEZAR KELSO - DAY; 42、INT. HENESSEY AND INGALLS BOOKSTORE - NEIL - NIGHT,What decision by Neil enables his later interaction with Eady at the rear display case in the bookstore?,Neil accepts the heist proposal and provides earnest money,"After Neil agrees to Cezar's heist plan and hands over five thousand dollars as earnest money, he becomes committed to the operation. This decision initiates his deeper involvement in the criminal enterprise, which leads to his presence in the bookstore where he walks with Eady toward the rear display case. The moment marks a shift from planning to action, positioning Neil within the environment where his relationship with Eady begins to unfold more personally and physically.",Causal-Motivational Reasoning
13,encfd3090ddb3146318f2edf3bf6807b30,en,"74、INT. LAPD, MCU OFFICE - BOSKO - NIGHT; 153、EXT. BANK AND STATION WAGON - CERRITO - DAY",How does the working relationship between Schwartz and Vincent Hanna remain consistent from their initial coordination in the MCU office through the Cerrito station wagon operation?,trusted team members with operational loyalty,"From the MCU office briefing through high-risk field operations, Schwartz and Vincent Hanna maintain a functional chain of command and mutual reliance. Schwartz addresses Hanna as 'boss' and follows directives without hesitation, while Hanna includes Schwartz in critical tasks, such as evidence handling in Las Vegas and protective maneuvers during the Cerrito firefight. These actions demonstrate sustained trust and role-based cooperation across multiple phases of the investigation.",Role-Relation Continuity
14,encfd3090ddb3146318f2edf3bf6807b30,en,119、INT. ROBERT'S COFFEE SHOP - NEIL + CHRIS - DAY; 142、EXT. FIRST COMMERCIAL BANK OF WILMINGTON - TRAVELING PAST,How does the relationship between David Breedan and Neil McCauley evolve from a moment of recognition to active collaboration across the sequence beginning in the coffee shop and culminating in the bank operation?,They transition from brief recognition to functioning as cooperating partners.,"In the coffee shop scene, Neil McCauley recognizes David Breedan, the cook, marking an initial moment of acknowledgment without deeper interaction. By the time of the bank operation, their dynamic has evolved into active coordination, with both men communicating plans and working together under pressure, indicating a shift from casual familiarity to operational partnership.",Role-Relation Continuity
15,encfd3090ddb3146318f2edf3bf6807b30,en,14、INT. GARBAGE TRUCK - TWO SHOT - DAY; 14、INT. GARBAGE TRUCK - TWO SHOT - DAY; 24、EXT. STREET - ARMORED CAR,"What pivotal moment sets the chain of events into motion leading directly to the preparation, pursuit, and realization surrounding the armored truck heist?",Cerrito and Waingro Smoke and Exchange Words,"In the scene aboard the truck, Cerrito and Waingro share a quiet moment smoking and talking, during which subtle tensions and loyalties are clarified. This exchange shifts their dynamic and initiates a sequence of coordinated actions that lead to the planning and execution of the heist, including tracking the armored truck and uncovering the crew's intentions. The conversation serves as the narrative bridge that transitions the story from setup to active engagement in the criminal plot. [12、INT. TRUCK - CERRITO]",Narrative Progression
16,encfd3090ddb3146318f2edf3bf6807b30,en,15、INT. AMBULANCE - ON NEIL - DAY; 22、EXT. STREET - VEIL; 16、EXT. STREET - WIDE ON AMBULANCE + STREET BEHIND IT,"What pivotal development sets the heist into motion, directly precipitating the breach, the truck's arrival, and the ensuing chase?",Chris and Neil's Final Preparations,"In the moments before the operation unfolds, Chris and Neil complete their last arrangements aboard the ambulance, confirming roles, timing, and entry points. This sequence finalizes the plan’s execution phase, activating the chain of events that leads to the armored truck interception, the high-speed evasion with Towner, and the physical breach of the vehicle. [15、INT. AMBULANCE - ON NEIL - DAY]",Narrative Progression
17,encfd3090ddb3146318f2edf3bf6807b30,en,14、INT. GARBAGE TRUCK - TWO SHOT - DAY; 14、INT. GARBAGE TRUCK - TWO SHOT - DAY; 24、EXT. STREET - ARMORED CAR,What pivotal event sets the heist into motion by aligning Cerrito and Waingro’s actions with the larger plan?,Cerrito and Waingro Prepare for the Heist,"In the scene aboard the garbage truck, Cerrito and Waingro finalize their roles and coordination for the upcoming operation, establishing the necessary conditions for the subsequent realization of the armored truck crew's movements, the takedown of the crew, and Waingro's eventual disposal in the ambulance. This moment marks the shift from planning to active execution. [14、INT. GARBAGE TRUCK - TWO SHOT - DAY]",Narrative Progression
