id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-11,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,32、EXT. U.S. EMBASSY COMPOUND -- DAY ; 36、INT. U.S. CONSULATE LOBBY -- DAY,What action immediately enables Bourne to seize the M-16 and enter the embassy under fire?,Bourne approaches the secured facility entrance under guard,"Bourne walks toward the entrance of a heavily guarded facility, where closed gates, speed barricades, and patrolling U.S. Marines secure the perimeter. Blending in with civilian traffic, he advances toward the checkpoint without drawing suspicion, positioning himself close enough to the gate to initiate a sudden confrontation that leads to him disarming a Marine and taking the M-16. [scene: 32、EXT. U.S. EMBASSY COMPOUND -- DAY]",Causal-Motivational Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-12,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS ; 31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS,What moment of sensory alarm primes Bourne to interpret ordinary police presence as an immediate threat?,Bourne reacts to ambulance siren and resists panic,"As Bourne moves through the streets of Zurich, an ambulance siren blares behind him, triggering a sharp physical reaction—he turns, tenses, then consciously steadies himself upon realizing it's not a direct threat. This moment of heightened alertness establishes his state of hypervigilance, which directly informs his subsequent decision to evade approaching police officers, even though they show no sign of targeting him.",Causal-Motivational Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-13,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,37、INT. U.S. CONSULATE OFFICE HALLWAY -- DAY ; 41、INT. U.S. CONSULATE BACK STAIRWAY -- DAY,What decision by the security chief enables Bourne to escape before the alarm is triggered?,Orders marines to hold fire,"In the consulate lobby, as Bourne seizes an M-16 from a marine and flees into the building, the security chief shouts 'no — no — hold your fire!' preventing the marines from shooting in the crowded space. This delay allows Bourne to evade immediate capture and gain critical seconds to move deeper into the building, culminating in his ascent through the back stairway as the alarm begins to blare.",Causal-Motivational Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-14,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,37、INT. U.S. CONSULATE OFFICE HALLWAY -- DAY ; 41、INT. U.S. CONSULATE BACK STAIRWAY -- DAY,What action directly triggers Bourne's urgent escape as the alarm sounds?,Bourne enters the restricted office hallway rapidly,"Bourne moves quickly through a carpeted hallway inside the U.S. Consulate, entering a restricted area. A bureaucrat notices him, steps out, and attempts to intervene, but Bourne presses forward without stopping. This intrusion prompts security alerts that immediately follow, leading to the alarm blaring as he flees up the back stairway.",Causal-Motivational Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-16,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS ; 33、INT. U.S. CONSULATE ZURICH -- VISA ROOM -- DAY ; 31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS,"What pivotal event redirects Bourne's movement and initiates the sequence leading to his consulate visit, evasion of the meter maid, and the security chief's alert?",Bourne Evades a Police Officer and Alters His Path,"In the streets of Zurich, Bourne's attempt to navigate the city is interrupted when he evades a police officer, prompting an immediate change in his route and behavior. This evasion marks a shift in his visibility and urgency, setting off a chain of responses that include his attempt to blend in at the consulate, avoid further suspicion from local authorities, and trigger a heightened security response. [31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS]",Narrative Progression
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-17,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,36、INT. U.S. CONSULATE LOBBY -- DAY ; 36、INT. U.S. CONSULATE LOBBY -- DAY ; 41、INT. U.S. CONSULATE BACK STAIRWAY -- DAY,What pivotal event triggers the sequence in which the security chief issues a code red alert and Bourne flees through a dead-end corridor?,Bourne's Escape at the Embassy Checkpoint,"In the consulate lobby, Bourne evades capture during a routine identity check, breaking protocol and initiating a high-stakes pursuit. This breach forces the security chief to escalate the response, setting off a chain of urgent actions including the code red alert and Bourne’s desperate flight through restricted areas of the building. [36、INT. U.S. CONSULATE LOBBY -- DAY]",Narrative Progression
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-18,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS ; 31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS ; 31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS,"What pivotal event sets in motion Bourne's escape sequence through Zurich, leading to his confrontation with law enforcement and acquisition of a weapon?",Bourne Evades the Meter Maid's Suspicion,"In the streets of Zurich, Bourne narrowly avoids detection by a meter maid whose routine check could expose his presence. This moment of evasion triggers a chain of escalating encounters: he eludes approaching police, is spotted by a jogging officer, vanishes into the urban landscape, and ultimately overpowers a Marine to seize an M-16. The evasion serves as the critical catalyst that propels the pursuit forward. [31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS]",Narrative Progression
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-2,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,31、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS,What objective drives Bourne's behavior after exiting the bank with the overstuffed red bag?,Escape surveillance and evade detection,"Bourne exits the bank carrying a red bag stretched to its limit and immediately begins scanning the street, searching for a taxi. Finding none, he crosses the road and alters his path upon seeing police officers, repeatedly adjusting his route to avoid attention. As he notices officers reacting to a potential alert and a siren sounds nearby, he quickens his pace, avoids eye contact, and maneuvers through the urban environment to disappear from view, suggesting a deliberate effort to remain undetected.",Character Understanding
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-25,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,3、INT. FISHING BOAT BUNK ROOM -- DAWN -- TIME CUTS ; 13、INT. THE FISHING BOAT BUNK ROOM -- SAME TIME,"By the time Giancarlo gives money and says goodbye, what has already taken place between him and the man who has just awakened?",Giancarlo speaks to the conscious man in a first-person perspective,"In the bunk room of the fishing boat at dawn, Giancarlo engages with the man who has just regained consciousness, addressing him directly from a first-person viewpoint. This interaction occurs before the moment when Giancarlo hands over money and bids farewell, establishing a clear sequence in which the conversation precedes the parting gesture.",Temporal Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-26,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,35、INT. U.S. CONSULATE -- VISA ROOM -- DAY ; 36、INT. U.S. CONSULATE LOBBY -- DAY,What occurs just before Bourne makes his move at the embassy checkpoint?,Clerk signals Bourne to approach window,"Shortly after Bourne waits in the visa room, a clerk discreetly signals him to approach the window, setting up his imminent action in the lobby as tensions rise. This moment directly precedes his escape sequence at the checkpoint.",Temporal Reasoning
