id,related_scenes,question,answer,related_context,question_type,question_source
1,55、INT. FITCH SENIOR HIGH SCHOOL/GYM - DAY,Why does Alex hesitate to confront Stan?,Alex is afraid of Stan's physical dominance and feels too small to compete.,ALEX: 'I'm too small anyway.' and 'You don't need to be afraid of them.',Causal-Motivational Reasoning,broad_coverage_scene
2,3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,What does Mike say about his nerves regarding the scout event?,This whole scout thing's got me wicked nervous.,"MIKE I'm glad you're here, Scar. This whole scout thing's got me wicked nervous.",Character Understanding,broad_coverage_scene
3,28、INT. AUDI - MOMENTS LATER,"In [28、INT. AUDI - MOMENTS LATER], What was Stan and Maggie's behavioral state before Mike intervened?",Making out,Stan and Maggie making out against Stan's Mustang,Character Understanding,broad_coverage_scene
4,24、EXT. ED'S HOUSE/BACKYARD - LATER,"In [24、EXT. ED'S HOUSE/BACKYARD - LATER], What is Mike's emotional state when he sees the toaster in the water?",Mike is frightened and panicking.,"Mike screams. Nothing happens. Light bulb goes off. He leaps out, runs for the house.",Character Understanding,broad_coverage_scene
5,3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,What does Mike tell Ed about his appearance?,I can't help you with the girls if you keep showing up places dressed like the Cookie Crisp guy.,"MIKE Ed, I can't help you with the girls if you keep showing up places dressed like the Cookie Crisp guy.",Character Understanding,broad_coverage_scene
6,39、INT. ED'S HOUSE/OFFICE - NIGHT,What type of pictures were added to the MySpace page?,Photoshopped pictures of Mike in exotic locations,Photoshopped pictures of Mike in exotic locations.,Scene Grounding,broad_coverage_scene
7,62、INT. FITCH SENIOR HIGH SCHOOL/CALCULUS CLASS - DAY,Why did Stan pop the back of Mike's head?,Because he saw Maggie smile flirtatiously at Mike.,Stan catches this exchange and pops the back of Mike's head.,Causal-Motivational Reasoning,broad_coverage_scene
8,55、INT. FITCH SENIOR HIGH SCHOOL/GYM - DAY,Why does Mike believe Alex can make the team?,"Mike thinks Alex's speed, dribbling, and outside shot can compensate for his size.","MIKE: 'That's why we focus on your speed, dribbling and outside shot.'",Causal-Motivational Reasoning,broad_coverage_scene
9,57、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,What causes Julie to threaten Mark with detentions?,"Due to Mark's prior incidents, including Krazy Glue and other troubles.",Julie mentions Mark may have Krazy glued a boy to his chair and warns about detentions.,Causal-Motivational Reasoning,broad_coverage_scene
10,30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,"In [30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY], What is Ed's emotional state when Mike questions the legitimacy of the documents?",offended/cocky,offended/cocky,Character Understanding,broad_coverage_scene
11,29、INT. ED'S HOUSE/KITCHEN - NIGHT,"In [29、INT. ED'S HOUSE/KITCHEN - NIGHT], What is Ed's behavioral state regarding returning to Fitch?",Resistant,You'll never get me to go back to Fitch. Never!,Character Understanding,broad_coverage_scene
12,27、INT. FITCH SENIOR HIGH SCHOOL/BATHROOM - DAY,"In [27、INT. FITCH SENIOR HIGH SCHOOL/BATHROOM - DAY], What physical condition does Alex exhibit when Mike finds him?",Hanging from the door with sneakers dangling 3 feet off the ground,"HANGS Alex, sneakers dangling 3 feet off the ground.",Character Understanding,broad_coverage_scene
13,18、INT. MIKE'S AUDI - NIGHT,"In [18、INT. MIKE'S AUDI - NIGHT], What is Mike's emotional state at the beginning of the scene?",Somber,A somber Mike drives alongside the Los Angeles River.,Character Understanding,broad_coverage_scene
14,31、INT. PRINCIPAL'S OFFICE - DAY,"In [31、INT. PRINCIPAL'S OFFICE - DAY], What is Ed's marital status?","Single, had a child out of wedlock","I had him out of wedlock. So the answer is yes, I'm very single...",Character Understanding,broad_coverage_scene
15,24、EXT. ED'S HOUSE/BACKYARD - LATER,"In [24、EXT. ED'S HOUSE/BACKYARD - LATER], What behavioral state does Mike exhibit after realizing something?",Mike is in a state of sudden urgency.,"Light bulb goes off. He leaps out, runs for the house.",Character Understanding,broad_coverage_scene
16,30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,"In [30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY], What professional achievement does Ed claim in the passage?",created software used to launch the space shuttle,I created software used to launch the space shuttle,Character Understanding,broad_coverage_scene
