id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en98f7f7e775624d9a8b43bd900ef12a36-12,en98f7f7e775624d9a8b43bd900ef12a36,en,9、Northbridge Plaza ; 154、Northbridge Plaza,How does the relationship between Remy Finch and Harper Thorne evolve from their initial encounter to their continued interaction across the sequence of scenes in the subway and beyond?,They remain trusted companions collaborating under pressure,"From their first encounter, Harper Thorne shows immediate recognition and trust toward Remy Finch, relaxing upon seeing him and engaging in cooperative dialogue. This dynamic persists through multiple high-stress situations, including travel through the subway tunnel and coordination at the garage, where they exchange urgent instructions and affirm shared objectives. Throughout these scenes, their interactions reflect mutual reliance, familiarity, and sustained collaboration, with Harper Thorne expressing affection and Remy Finch maintaining operational trust in Harper Thorne’s decisions, indicating a stable bond of companionship and joint purpose.",Role-Relation Continuity
legacy-en98f7f7e775624d9a8b43bd900ef12a36-13,en98f7f7e775624d9a8b43bd900ef12a36,en,24、EXT. MAIN STREET - UNIONTOWN - NIGHT ; 148、EXT. OUTSIDE Harborview Plaza - NIGHT,How does the working dynamic between Elliot Warren and Rowan Winslow evolve from their initial alignment on Main Street to their coordination outside Harborview Plaza?,"Elliot Warren continues to guide and protect Rowan Winslow, who follows and relies on his direction","From their first appearance together on Main Street, where Rowan Winslow falls into step behind Elliot Warren, their relationship is marked by a consistent pattern of guidance and followership. At the depot, Elliot Warren actively equips Rowan Winslow with a weapon and positions their hands on the trigger, demonstrating hands-on leadership and trust. Rowan Winslow responds by carrying out the instructed action, confirming their role as a cooperative follower. This dynamic persists through later scenes, including outside Harborview Plaza, where Elliot Warren herds Rowan Winslow along with the group, maintaining a protective and directive role that underscores an established, functional bond.",Role-Relation Continuity
legacy-en98f7f7e775624d9a8b43bd900ef12a36-14,en98f7f7e775624d9a8b43bd900ef12a36,en,"32、EXT. ""GHETTO"" - MORNING ; 138、INT. JAIL - NIGHT",How does Logan Winslow's relationship with the Westfield Department evolve from his initial address in the ghetto to their coordination in the jail?,Logan Winslow remains their leader and they continue to follow him with loyalty,"From the scene in the ghetto where Logan Winslow addresses the Westfield Department from a soapbox, asserting leadership through a passionate speech, to the later scene in the jail where he directs them as 'his men' and they respond under his command, the relationship consistently reflects a leader-follower dynamic rooted in mutual loyalty and operational alignment. The Westfield Department act on Logan Winslow's direction, and he maintains an active, guiding role, indicating a sustained and functional leadership bond throughout.",Role-Relation Continuity
legacy-en98f7f7e775624d9a8b43bd900ef12a36-17,en98f7f7e775624d9a8b43bd900ef12a36,en,9、Northbridge Plaza ; 6、EXT. HILLTOP ABOVE UNIONTOWN - NIGHT ; 28、INT. SUBWAY TUNNEL - DAWN,What event sets in motion the sequence leading to the confrontation with the advancing undead and the fallout from Sidney Davenport's death?,Harper Thorne and Sidney Davenport Respond to Alert About Valerie Keller,"The story shifts decisively when Harper Thorne and Sidney Davenport react to an urgent alert concerning Valerie Keller, triggering a chain of critical events including their encounter with the undead horde and the tragic consequences surrounding Sidney Davenport's demise. This moment marks the point where tensions escalate into irreversible action, anchoring the narrative's descent into conflict and loss [9、Northbridge Plaza].",Narrative Progression
legacy-en98f7f7e775624d9a8b43bd900ef12a36-18,en98f7f7e775624d9a8b43bd900ef12a36,en,10、EXT. Northbridge Plaza - NIGHT ; 14、Northbridge Plaza ; 14、Northbridge Plaza,"What pivotal event sets in motion the sequence leading to Valerie Keller's defense, the supply run with Sidney Davenport, and the ride out with Sage Bennett?",Valerie Keller's Last Ride,"The narrative shifts decisively after Valerie Keller's Last Ride, a critical juncture that triggers a chain of actions involving Valerie Keller's growing alliance with Sidney Davenport and Sage Bennett. This event reshapes loyalties and initiates key movements in the plot, including confrontations with Harper Thorne and a series of joint missions that bind the characters to a shared path forward. [10、EXT. Northbridge Plaza - NIGHT]",Narrative Progression
legacy-en98f7f7e775624d9a8b43bd900ef12a36-2,en98f7f7e775624d9a8b43bd900ef12a36,en,"39、INT. CENTER RING - ""THE ARENA"" - DAY",What does Harper Thorne intend when he rushes into the cage after spotting Lane Everett's armed men?,Rescue Wesley Hart and confront the attackers,"Harper Thorne spots Lane Everett's two armed goons in the crowd just as four policemen burst into the arena, halting the chaos. He rushes to the cage, blasts the lock open with his rifle, and runs inside. On the floor lies Wesley Hart, motionless. He kneels beside her, thinking she's dead, but she stirs, reassuring him she's alive. She lifts her right arm, revealing a bleeding gunshot wound. They exchange a brief look, a flicker of recognition passing between them. A policeman approaches and demands to know what happened. Harper Thorne points toward the crowd and says someone shot 'the little fat man.' Without hesitation, the officer places Harper Thorne under arrest. Other officers begin securing the scene as Wesley Hart is attended to, the cage still echoing with the aftermath of violence.",Character Understanding
legacy-en98f7f7e775624d9a8b43bd900ef12a36-25,en98f7f7e775624d9a8b43bd900ef12a36,en,34、INT. PENTHOUSE CORRIDOR - Pinecrest House - DAY ; 35、INT. PENTHOUSE NUMBER-TWO - Pinecrest House - DAY,What occurs just before Valerie Keller confronts the threat in the dark kitchen?,Valerie Keller drops boxes and rushes down the corridor,"Shortly after breaking into Penthouse Two upon hearing screams, Valerie Keller drops the boxes he was carrying and sprints through the penthouse corridor, setting up his urgent arrival in the darkened kitchen where the confrontation unfolds. [34、INT. PENTHOUSE CORRIDOR - Pinecrest House - DAY]",Temporal Reasoning
legacy-en98f7f7e775624d9a8b43bd900ef12a36-26,en98f7f7e775624d9a8b43bd900ef12a36,en,22、EXT. UNIONTOWN STATE STORE - NIGHT ; 23、INT. UNIONTOWN STATE STORE - NIGHT,"Shortly before Valerie Keller takes the cigars and flees, what action do Valerie Keller and Sage Bennett complete?",Valerie Keller and Sage Bennett begin entering the liquor store,"In the scene immediately preceding the theft and escape, Valerie Keller and Sage Bennett approach and start entering the darkened liquor store, setting the stage for the subsequent confrontation and getaway. The action unfolds in close sequence, with their entry directly enabling the events that follow inside the store. [22、EXT. UNIONTOWN STATE STORE - NIGHT]",Temporal Reasoning
legacy-en98f7f7e775624d9a8b43bd900ef12a36-27,en98f7f7e775624d9a8b43bd900ef12a36,en,9、Northbridge Plaza ; 10、EXT. Northbridge Plaza - NIGHT,"What occurs just before Valerie Keller arrives, as the situation begins to escalate?",A woman's voice announces trash has been dumped and Valerie Keller is approaching,"Shortly after the alert is raised, a woman's voice is heard over the comm, reporting that trash has been dumped and that Valerie Keller is approaching. This moment sets the immediate stage for the events that unfold as Valerie Keller arrives on the scene.",Temporal Reasoning
legacy-en98f7f7e775624d9a8b43bd900ef12a36-28,en98f7f7e775624d9a8b43bd900ef12a36,en,40、INT. BOARD ROOM - Pinecrest House - DAY ; 41、INT. STAIRWELL - Pinecrest House - DAY,What occurs immediately before Valerie Keller fights off the guards and escapes?,Valerie Keller lunges at Sawyer Sloane and is threatened with a pistol,"In the board room at Pinecrest House, tensions escalate when Valerie Keller confronts Sawyer Sloane, lunging at him in a sudden outburst. Sawyer Sloane responds by drawing a pistol and threatening him, leading to Valerie Keller's forcible removal. Shortly after, in the stairwell, Valerie Keller fights off the guards and escapes, setting off a chain of events. [scene: 40、INT. BOARD ROOM - Pinecrest House - DAY]",Temporal Reasoning
