id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en13156e4072c04c31ae4b5defda4a7bc5-1,en13156e4072c04c31ae4b5defda4a7bc5,en,7、INT. The First Trial SET - DAY,What does Elliot Whitaker aim to do upon encountering Jordan Monroe and Terry Monroe at the The First Trial set?,Protect Graham Vale by controlling the news,"When Terry Monroe and Jordan Monroe arrive at the The First Trial movie set, Elliot Whitaker confronts them near the replica of the Macher Residence. He cuts off Jordan Monroe’s attempt to speak, rebuffing her with bitterness and accusing her of exploiting Graham Vale for fame. After Terry Monroe shows Elliot Whitaker a piece of evidence from a recent murder, Elliot Whitaker insists on being the one to inform Graham Vale, citing a promise he made to protect her. Terry Monroe agrees but warns Elliot Whitaker of consequences if more lives are lost. Elliot Whitaker then walks away without addressing Jordan Monroe further.",Character Understanding
legacy-en13156e4072c04c31ae4b5defda4a7bc5-12,en13156e4072c04c31ae4b5defda4a7bc5,en,13、EXT. Maplewood Motel - NIGHT ; 14、INT. Maplewood Motel - NIGHT,What action immediately precedes and enables Jamie Adler's entry into the Maplewood Motel?,Jamie Adler exits her car outside the Maplewood Motel,"Jamie Adler arrives at the Maplewood Motel at night, stepping out of her car and beginning to walk toward the building. Unseen by her, Kendall Sinclair observes from the rooftop above. This exterior approach directly precedes her entrance into the office space, where she finds the interior empty and decorated with promotional material from the STAB film series.",Causal-Motivational Reasoning
legacy-en13156e4072c04c31ae4b5defda4a7bc5-13,en13156e4072c04c31ae4b5defda4a7bc5,en,32、INT. Jonah Hawthorne'S HOUSE - NIGHT ; 63、INT. MAUREEN'S BEDROOM - PRESCOTT HOUSE SET - NIGHT,How does the adversarial relationship between Jordan Monroe and Kendall Sinclair evolve from their initial confrontation through later encounters?,Jordan Monroe continues to oppose Kendall Sinclair as a declared adversary while Kendall Sinclair persistently attacks her,"From their first encounter, Jordan Monroe confronts Kendall Sinclair with verbal threats and he responds with immediate violence, establishing a hostile dynamic. This pattern continues as Kendall Sinclair repeatedly targets Jordan Monroe with physical attacks, including lunging at her with a blade and charging during pursuit, while Jordan Monroe actively resists and evades, reinforcing an ongoing adversarial relationship marked by mutual hostility and direct confrontation.",Role-Relation Continuity
legacy-en13156e4072c04c31ae4b5defda4a7bc5-14,en13156e4072c04c31ae4b5defda4a7bc5,en,32、INT. Jonah Hawthorne'S HOUSE - NIGHT ; 64、INT. FOYER - MACHER HOUSE SET - NIGHT,How does the relationship between Elliot Whitaker and Kendall Sinclair evolve from their first confrontation to the later encounter in the Macher house foyer?,Elliot Whitaker continues to pursue Kendall Sinclair as a hostile adversary,"From the initial confrontation at Jonah Hawthorne's house, where Elliot Whitaker shoots and physically attacks Kendall Sinclair, through Kendall Sinclair's violent assault on Elliot Whitaker in Shawn Marlowe's office, and into the final exchange in the Macher house foyer where Kendall Sinclair attacks with a the red case and Elliot Whitaker attempts to shoot back, the two characters consistently engage in mutual aggression. The interactions across these scenes establish a sustained adversarial dynamic with no indication of truce or shift in alignment.",Role-Relation Continuity
legacy-en13156e4072c04c31ae4b5defda4a7bc5-15,en13156e4072c04c31ae4b5defda4a7bc5,en,28、EXT. Jonah Hawthorne'S HOUSE - NIGHT ; 33、EXT. BACKYARD - Jonah Hawthorne'S HOUSE - NIGHT ; 49、INT. RECEPTION AREA - Shawn Marlowe'S OFFICE - SUNSET,"What event sets in motion the sequence in which Jonah Hawthorne, Jordan Monroe, and Elliot Whitaker escape the explosion as Kendall Sinclair flees, leading to the confrontation in Shawn Marlowe's office?",Elliot Whitaker and Jordan Monroe Arrive at Jonah Hawthorne's House,"The arrival of Elliot Whitaker and Jordan Monroe at Jonah Hawthorne's house initiates a chain of escalating confrontations, triggering the explosion that forces their escape alongside Jonah Hawthorne and drawing Kendall Sinclair toward Shawn Marlowe's office, where the threat resurfaces.",Narrative Progression
legacy-en13156e4072c04c31ae4b5defda4a7bc5-16,en13156e4072c04c31ae4b5defda4a7bc5,en,47、INT. Shawn Marlowe'S OFFICE - DAY ; 49、INT. RECEPTION AREA - Shawn Marlowe'S OFFICE - SUNSET ; 7、INT. The First Trial SET - DAY,"What pivotal event shifts the investigation forward, leading directly to Shawn Marlowe's disappearance and the trio's emergence, Jordan Monroe confronting the producers, and the uncovering of Graham Vale's mother's past?","Jordan Monroe, Jonah Hawthorne, and Elliot Whitaker confront Shawn Marlowe about Jesse Quincy","In the office of Shawn Marlowe, Jordan Monroe, Jonah Hawthorne, and Elliot Whitaker press him for information about Jesse Quincy, whose identity is tied to Graham Vale's origins. This confrontation destabilizes Shawn Marlowe’s position, triggering his sudden disappearance and forcing the trio out of hiding. The exchange unlocks critical momentum, enabling Jordan Monroe and Jonah Hawthorne to pursue the truth about Graham Vale’s mother and confront the The First Trial production team with new urgency.",Narrative Progression
legacy-en13156e4072c04c31ae4b5defda4a7bc5-17,en13156e4072c04c31ae4b5defda4a7bc5,en,13、EXT. Maplewood Motel - NIGHT ; 18、INT. The First Trial - Maplewood Motel - NIGHT ; 15、INT. Alex Hale'S OFFICE - NIGHT,"What event sets in motion the sequence leading directly to the lockdown of the offices, the interruption of the rehearsal, and Jamie Adler’s flight to the prop room?",Jamie Adler Arrives at the Offices as Kendall Sinclair Watches from Above,"Jamie Adler's arrival at the Maplewood Motel initiates a chain of critical events, as her presence triggers Kendall Sinclair's active pursuit, escalating tension and forcing immediate reactions from the characters. This moment marks the shift from anticipation to direct confrontation, setting the stage for the subsequent disruptions and confrontations. [13、EXT. Maplewood Motel - NIGHT]",Narrative Progression
legacy-en13156e4072c04c31ae4b5defda4a7bc5-18,en13156e4072c04c31ae4b5defda4a7bc5,en,36、INT. Terry Monroe'S OFFICE - DAY ; 5、INT. BACKSTAGE - TOTAL ENTERTAINMENT SET - DAY ; 25、INT. INTEROGATION ROOM - POLICE STATION - NIGHT,What pivotal moment shifts the investigation by revealing Kendall Sinclair's evidence directly to Graham Vale?,Terry Monroe Shows Graham Vale Kendall Sinclair's Evidence,"In the aftermath of mounting threats and unresolved questions surrounding Maureen's murder, Terry Monroe reaches a critical juncture in the investigation. By presenting Graham Vale with concrete evidence linking the recent violence to a deliberate pattern, he transforms her from a peripheral figure into a central target, recalibrating the narrative trajectory and intensifying the stakes for those involved. This disclosure aligns with Terry Monroe's growing suspicion that past incidents were not accidental and sets the stage for confrontations with Elliot Whitaker and Jordan Monroe. [36、INT. Terry Monroe'S OFFICE - DAY]",Narrative Progression
legacy-en13156e4072c04c31ae4b5defda4a7bc5-25,en13156e4072c04c31ae4b5defda4a7bc5,en,7、INT. The First Trial SET - DAY ; 26、INT. VIEWING ROOM - POLICE STATION - NIGHT,"By the time Elliot Whitaker leaves and Jordan Monroe follows, what has already happened between Jordan Monroe and Jonah Hawthorne on set?",Jordan Monroe responds sarcastically to Jonah Hawthorne's comments about Brad Pitt,"Earlier on the The First Trial set, during a tense exchange, Jordan Monroe reacts with sarcasm to Jonah Hawthorne's remarks about Brad Pitt, setting off subtle friction between them. This moment precedes the later scene at Pinecrest Medical Center station where Elliot Whitaker departs and Jordan Monroe follows, indicating a shift in focus from on-set dynamics to investigative actions.",Temporal Reasoning
legacy-en13156e4072c04c31ae4b5defda4a7bc5-26,en13156e4072c04c31ae4b5defda4a7bc5,en,5、INT. BACKSTAGE - TOTAL ENTERTAINMENT SET - DAY ; 34、INT. Terry Monroe'S OFFICE - DAY,"By the time Jordan Monroe corrects the victim count and the search for Rowan Reeves intensifies, what has already taken place between her and Terry Monroe?",Jordan Monroe collides with Terry Monroe on set,"Before confronting the inaccuracies in the case and pushing forward the investigation, Jordan Monroe has already had a tense encounter with Terry Monroe on the Total Entertainment set, where their conflicting agendas and personalities first clash amid the chaos of the ongoing murder inquiry. [5、INT. BACKSTAGE - TOTAL ENTERTAINMENT SET - DAY]",Temporal Reasoning
