id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-1,en140365ba66ff4e7481ff1a0b2b5e68e8,en,81、Northbridge House - DAY,What does Evan Warren aim to accomplish by confronting Lakeside Police and addressing the cameras after exiting the Northbridge House?,Force police to stand down and claim moral authority,"Evan Warren steps out of the Northbridge House and into the street, facing a line of Remy York. He raises his arms and shouts 'Attica!' as a defiant challenge, invoking a powerful symbol of injustice. Turning to the television cameras, he accuses Lakeside Police of planning to kill the hostages and frame him and Jamie Thorne, demanding that Captain Riley Hale order the officers to lower their weapons. Riley Hale eventually complies, and though some resistance is visible among the officers, the weapons are gradually holstered. The Terry York responds with cheers and applause, hailing Evan Warren as a hero. He embraces the moment, waving and striking a theatrical pose for the cameras, effectively transforming the standoff into a public spectacle that shifts power dynamics on the scene.",Character Understanding
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-10,en140365ba66ff4e7481ff1a0b2b5e68e8,en,85、Northbridge House - DAY ; 92、Northbridge House - LATE AFTERNOON - APPROX. 5 PM,What earlier interaction explains Jamie Thorne's possession of the the brass radio during the later scene of order restoration in the Northbridge House?,Evan Warren gives Jamie Thorne the the brass radio after discussing escape plans and family ties,"During a tense conversation inside the Northbridge House, Evan Warren and Jamie Thorne discuss their post-escape plans and personal connections. Jamie Thorne reveals he has no family, underscoring his isolation. Fearing for his safety as the situation evolves, Jamie Thorne requests the the brass radio from Evan Warren, who complies and hands it over before moving toward the front of the Northbridge House. This transfer of the weapon establishes Jamie Thorne’s armed presence in the subsequent phase of the standoff, where he remains seated with the the brass radio across his lap while Tristan Bellamy works to restore order by collecting and organizing scattered money behind the teller cages.",Causal-Motivational Reasoning
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-11,en140365ba66ff4e7481ff1a0b2b5e68e8,en,81、Northbridge House - DAY ; 95、Northbridge House,What event immediately before Riley Hale's address primes the Terry York to echo his call to Evan Warren?,Helicopter maneuvers for aerial footage,"As Evan Keaton is led away under police escort, the Lakeside Holdings intensifies its coverage with cameras flashing and a helicopter descending to capture aerial footage, its blades churning the air above the scene. The growing Terry York, energized by the spectacle, surges forward with Terry York cheering and pointing toward the Northbridge House. When Evan Warren appears at the entrance with Riley Davenport, the Terry York erupts, setting a charged, performative atmosphere that carries into the next moment. This momentum directly feeds into the Terry York's behavior when Riley Hale uses a bullhorn to call out to Evan Warren, as their earlier agitation and mimicry quickly escalate into a unified chant that amplifies his voice.",Causal-Motivational Reasoning
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-12,en140365ba66ff4e7481ff1a0b2b5e68e8,en,5、Northbridge House - DAY ; 76、Northbridge House - DAY,How does Evan Warren Wortzik's treatment of Evan Keaton evolve from their initial encounter to the later stages of the standoff in the Northbridge House?,Evan Warren Wortzik continues to treat Evan Keaton as a threat,"From the moment Evan Warren enters the Northbridge House armed and issues direct threats toward Evan Keaton, he establishes a hostile, adversarial relationship. This dynamic persists throughout the incident, as Evan Warren repeatedly identifies Evan Keaton as a potential danger, instructs accomplices to monitor or threaten him, and maintains coercive control over his actions, confirming an ongoing pattern of treating Evan Keaton as a target rather than a neutral party.",Role-Relation Continuity
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-13,en140365ba66ff4e7481ff1a0b2b5e68e8,en,30、EXT. SIDEWALK NEAR Northbridge House - DAY ; 99、EXT. SIDEWALK NEAR Northbridge House - DAY,How does the relationship between Alex Everett and Riley Hale remain consistent from their early interaction to the later scene at the sidewalk near the Northbridge House?,"They remain fond of each other, bonded by shared history and mutual affection.","Across both scenes, the Alex Everett and Riley Hale demonstrate a consistent emotional bond characterized by physical gestures of care and familiar, affectionate dialogue. The text explicitly describes them as 'fond of each other,' with the Alex Everett massaging Riley Hale's hand and expressing approval in both instances, indicating a durable connection rooted in a lifetime of shared experience and emotional alignment.",Role-Relation Continuity
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-14,en140365ba66ff4e7481ff1a0b2b5e68e8,en,59、EXT. Northbridge House - NIGHT ; 128、EXT. Northbridge House - NIGHT,How does Evan Warren's treatment of Riley Brooks evolve from their first confrontation to the final standoff at the Northbridge House?,Evan Warren consistently treats Riley Brooks as a threat,"From the initial confrontation to the final standoff at the Northbridge House, Evan Warren maintains a hostile stance toward Riley Brooks, repeatedly issuing direct threats of violence, including vowing to 'mash her brains in' and warning her not to approach, reflecting an enduring adversarial dynamic rooted in blame and animosity.",Role-Relation Continuity
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-15,en140365ba66ff4e7481ff1a0b2b5e68e8,en,110、Northbridge House (APPROX. 8 P.M.) ; 110、Northbridge House (APPROX. 8 P.M.) ; 110、Northbridge House (APPROX. 8 P.M.),"What pivotal moment initiates the chain of events leading to Riley Davenport and Jamie Thorne's response to the blackout, Evan Warren answering Riley Hale's call, and the rallying of support for Evan Warren?",Evan Warren paces amid tension before the lights go out,"In the moments leading up to the citywide blackout, Evan Warren's restless anticipation in the Northbridge House heightens the atmosphere of impending crisis. His visible unease and the surrounding tension mark a critical shift in momentum, directly precipitating the subsequent actions of key characters, including Riley Davenport and Jamie Thorne's mobilization, Evan Warren's fateful decision to engage with Riley Hale, and the broader uprising in his favor. This scene establishes the threshold where personal anxiety intersects with collective action. [110、Northbridge House (APPROX. 8 P.M.)]",Narrative Progression
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-16,en140365ba66ff4e7481ff1a0b2b5e68e8,en,124、Northbridge House ; 102、EXT. Northbridge House ; 124、Northbridge House,What pivotal event shifts the narrative trajectory toward Valerie Hawthorne’s return to the hospital and the subsequent confrontation with Evan Warren?,Evan Warren calls Valerie Hawthorne under pressure and obligation,"In the aftermath of escalating tensions at the Northbridge House, Evan Warren reaches out to Valerie Hawthorne driven by external pressures and a sense of duty, reigniting their fractured connection. This call becomes the catalyst for Valerie Hawthorne’s return to the hospital, setting in motion a series of confrontations centered on Evan Warren’s claimed illness and the unresolved weight of their shared past. [scene: Northbridge House]",Narrative Progression
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-17,en140365ba66ff4e7481ff1a0b2b5e68e8,en,81、Northbridge House - DAY ; 97、Silverbrook Plaza ; 86、EXT. Northbridge House - DAY,What turning point shifts the momentum of the standoff by transforming public perception and escalating the confrontation?,Evan Warren Confronts Police and Captivates the Terry York,"In the aftermath of the Northbridge House siege, Evan Warren's direct engagement with Lakeside Police draws a growing Terry York whose reaction shifts from confusion to fascination. His defiant speech and composed demeanor humanize him in the public eye, galvanizing Terry York and drawing Lakeside Holdings attention. This moment marks the pivot where the event transcends a criminal incident and becomes a spectacle, directly precipitating the surge of public emotion, the civilian's violent intervention, and the symbolic display of support when the banner is raised. [scene: 81、Northbridge House - DAY]",Narrative Progression
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-18,en140365ba66ff4e7481ff1a0b2b5e68e8,en,85、Northbridge House - DAY ; 92、Northbridge House - LATE AFTERNOON - APPROX. 5 PM ; 100、Northbridge House - LATE AFTERNOON - APPROX. 5 PM - MAIN Northbridge House AREA,"What pivotal action shifts the momentum toward the escalation of the standoff, the movement of hostages to the vault, and Evan Warren's departure from the Northbridge House?",Evan Warren Hands the brass radio to Jamie Thorne Before Exit,"In the immediate aftermath of Evan Warren handing the the brass radio to Jamie Thorne, the balance of control inside the Northbridge House shifts, enabling Jamie Thorne to assert authority as Tristan Bellamy works to stabilize the environment. This moment directly precedes Evan Warren’s exit upon learning his wife is arriving, which coincides with Nico Mercer fainting and the decision to move the hostages into the vault, marking a critical escalation in the siege. [85、Northbridge House - DAY]",Narrative Progression
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-25,en140365ba66ff4e7481ff1a0b2b5e68e8,en,85、Northbridge House - DAY ; 107、Northbridge House - TURNING DARK NOW,"By the time the group gathers around the TV to listen to the news report, what has already taken place inside the Northbridge House?",Evan Warren and Riley Davenport enter the Northbridge House and approach the group at the rear,"Evan Warren and Riley Davenport return to the Northbridge House during the ongoing standoff, entering the main space and moving toward the rear where the group is positioned. This reentry occurs in the daylight hours inside the Northbridge House, well before the lighting shifts and the group turns their attention to the television for a news update.",Temporal Reasoning
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-26,en140365ba66ff4e7481ff1a0b2b5e68e8,en,102、EXT. Northbridge House ; 124、Northbridge House,"By the time Valerie Hawthorne returns to the hospital and Evan Warren says goodbye, what has already taken place between them earlier?",Evan Warren yells 'Valerie Hawthorne! Happy Birthday!' upon seeing him,"Before the emotional farewell at the hospital, Evan Warren greets Valerie Hawthorne with a loud birthday wish during a tense encounter outside the Northbridge House, marking their first interaction after a period of separation. This moment sets the tone for their subsequent reconciliation and final goodbye, which occurs much later inside the Northbridge House after Valerie Hawthorne faints.",Temporal Reasoning
legacy-en140365ba66ff4e7481ff1a0b2b5e68e8-28,en140365ba66ff4e7481ff1a0b2b5e68e8,en,121、EXT. Northbridge House - NIGHT ; 122、Northbridge House,What occurs just before Evan Warren warns the others about Rowan Winslow arriving?,Evan Warren calls for a doctor outside the Northbridge House,"In the scene immediately preceding Evan Warren's warning, he is positioned outside the Northbridge House, making a call to summon medical assistance. This action sets up the expectation of Rowan Winslow's imminent arrival, which he then communicates to those inside the Northbridge House in the following scene.",Temporal Reasoning
