id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-11,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,14、陈识家	外	日 ; 50、街道	外	日,陈识为何在耿良辰被绑走时流露出深切的忧虑？这一态度的根源可追溯至哪个关键事件？,三人共同吃螃蟹时耿良辰跪拜拜师，陈识默许收徒,在共进螃蟹的场景中，耿良辰主动跪拜陈识与赵国卉，陈识通过拍肩示意妻子受礼，标志着师徒关系的建立。这一仪式性时刻确立了陈识对耿良辰的责任感，成为后续目睹其被绑时情绪反应的动因。,Causal-Motivational Reasoning
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-12,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,9、西餐馆	外	夜 ; 76、75 新武馆	外	日,从[9、西餐馆	外	夜]到[76、75 新武馆	外	日]，赵国卉对陈识的关系如何演变？,从共同商议的合作者变为坚定追随的信赖者,初期两人平等商议未来生活与经济安排，关系建立在协商基础上；随着情节推进，赵国卉在陈识离开后仍携带其遗物执意追赶，行动表明她已从平等对话的一方转变为情感与行动上的追随者，关系重心转为单向信赖与追随。,Role-Relation Continuity
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-13,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,13、大桥	外	日 ; 70、69 面包店	内	日,从[13、大桥	外	日]到后续情节，耿良辰与陈识之间的关系经历了怎样的转变？,从敌意对峙转为确立师徒关系并持续互信,最初耿良辰暗中尾随并敌意注视陈识，显露出竞争或对抗态度；随后在比试后陈识收其为徒，耿良辰跪拜行礼，正式建立师徒关系；此后多场互动中，陈识指导耿良辰练武并给予肯定，关系稳定于信任与传承的正向状态。,Role-Relation Continuity
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-14,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,3、津门武馆	内	日 ; 55、郊外	外	日,从[3、津门武馆	内	日]到[55、郊外	外	日]，郑山傲对陈识的关系定位经历了怎样的转变？,从认可其武艺到以兄弟相称,最初郑山傲因陈识的高超武艺而表示欣赏，认定其功夫非凡；随着剧情推进，双方在多场合作中建立深厚信任，最终在郊外相视而笑，郑山傲主动称陈识为兄弟，关系升华为情感联结更紧密的兄弟之义。,Role-Relation Continuity
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-16,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,17、陈识家	内	日 ; 19、洋人街	外	日,哪一个事件成为后续陈识与赵国卉街头同行、背她离开时表明回广东决心、以及以刀誓约许她为人生约束的叙事转折点？,陈识归来相拥赵国卉并许诺带她离开,该场景标志着陈识从被动隐忍转向主动承担，情感表达由克制转为决绝，由此触发一系列公开表意与行动升级，构成后续亲密互动与承诺行为的情感基础和情节动因。,Narrative Progression
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-18,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,13、大桥	外	日 ; 17、陈识家	内	日 ; 14、陈识家	外	日,哪个事件成为后续陈识归来与赵国卉相拥并许诺带她离开、返家迎战耿良辰、最终收其为徒等一系列情节发展的关键转折？,陈识解救赵国卉并带她离开大桥,该事件标志着陈识从被动隐忍转向主动行动，打破了原有僵局，直接触发他对赵国卉的承诺、与耿良辰的正面交锋及师徒关系的建立，是推动后续多重情节发展的核心动力。,Narrative Progression
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-25,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,14、陈识家	外	日 ; 28、某武馆	内	日,到了耿良辰与旗袍女子展开双刀对决时，此前在陈识家外已经发生了什么关键发展？,耿良辰带着同伴前往陈识家挑战比拳,在双刀对决发生前，剧情已推进至耿良辰一行人到访陈识居所外，意图挑战，这一事件为后续冲突埋下伏笔，构成明确的前序动作节点。,Temporal Reasoning
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-26,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,34、某武馆	外	日 ; 50、街道	外	日,到了陈识在巷道中叮嘱耿良辰比试要领时，此前是否已有师徒之间的正式传授安排？,陈识在巷道中叮嘱耿良辰比试要领,该发展发生在耿良辰遭遇林副官暗算前的巷道场景中，标志着陈识对徒弟的实战指导，为后续冲突埋下伏笔，时间与情节上具有明确的前置性。,Temporal Reasoning
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-27,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,13、大桥	外	日 ; 14、陈识家	外	日,在“耿良辰上门挑战陈识比试”之前，前面先发生了什么关键情节？,13、13 大桥	外	日,该场景为耿良辰后续行动提供时间与空间上的前置定位，体现目击者与目标人物之间的观察关系。,Temporal Reasoning
legacy-che5a4fc62d8f770710a95c6990e35c81c42866aa6-28,che5a4fc62d8f770710a95c6990e35c81c42866aa6,zh,49、茶馆	内	日 ; 50、街道	外	日,“邹馆长与陈识茶馆定约”之后不久，紧接着发生了什么？,邹馆长宣布军人接管武行,邹馆长在茶馆与陈识达成约定后，紧接着于下一场景在街道公开宣告武行自治结束，由军人接管，情节推进紧凑，动作承接明确。,Temporal Reasoning
