id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enf30d36a744764b89b68ac58103b401f0-1,enf30d36a744764b89b68ac58103b401f0,en,31、INT. DILAPIDATED Fairview Motel ROOM - MOMENTS LATER,What is Valerie Huxley's objective in handling Blair Adler's the blue watch while confronting him in the hidden apartment?,Extract the missing information from Blair Adler,"Valerie Huxley sits with Blair Adler's the blue watch turning in his hand while Sidney York restrains Blair Adler from behind. The sound of approaching riots fills the room. Valerie Huxley notes Blair Adler came prepared, acknowledging the the blue watch, while Blair Adler demands to know how Valerie Huxley discovered the secret apartment—one even his security chief doesn't know about. Valerie Huxley suggests that a man in Blair Adler's position can't fully hide such a place when a married woman is involved. Blair Adler refuses to believe she betrayed him, but Valerie Huxley insists they haven’t obtained the key information they came for. Emery Brooks interrupts, warning that the crowd is closing in.",Character Understanding
legacy-enf30d36a744764b89b68ac58103b401f0-11,enf30d36a744764b89b68ac58103b401f0,en,31、INT. DILAPIDATED Fairview Motel ROOM - MOMENTS LATER ; 33、INT. DILAPIDATED Fairview Motel ROOM - DAY,What action immediately prior to the confrontation establishes Valerie Huxley's psychological dominance over Blair Adler before he presses the the blue watch to his chin?,Valerie Huxley sits with Blair Adler's the blue watch in hand while Sidney York restrains Blair Adler,"In the moments leading up to the physical escalation, Valerie Huxley is seen calmly handling Blair Adler's own weapon while Blair Adler is held from behind by Sidney York, establishing a shift in power dynamics. The setting—a tense, enclosed Fairview Motel room amid rising external chaos—amplifies the confrontation's intensity. Valerie Huxley's composed possession of the the blue watch, combined with his controlled dialogue, signals his growing upper hand even before he physically threatens Blair Adler, laying the behavioral groundwork for the more direct coercion that follows.",Causal-Motivational Reasoning
legacy-enf30d36a744764b89b68ac58103b401f0-13,enf30d36a744764b89b68ac58103b401f0,en,"33、INT. DILAPIDATED Fairview Motel ROOM - DAY ; 46、INT. APARTMENT, TOKYO - CONTINUOUS",What action directly triggers Valerie Huxley and Emery Brooks's decision to flee following the mission's collapse?,Valerie Huxley forces Blair Adler to look up using the the blue watch barrel,"In a tense confrontation, Valerie Huxley presses his the blue watch under Blair Adler's chin and compels him to meet his gaze, demanding an explanation for allowing the team into the dream despite knowing their intent. Blair Adler remains defiant, framing the encounter as an audition and declaring their failure. As sounds of advancing chaos echo from below, Valerie Huxley insists the extraction succeeded, but Blair Adler dismisses it as transparent deception. This breakdown in negotiation signals that the mission has been exposed, setting in motion the immediate need for escape. [33、INT. DILAPIDATED Fairview Motel ROOM - DAY]",Causal-Motivational Reasoning
legacy-enf30d36a744764b89b68ac58103b401f0-14,enf30d36a744764b89b68ac58103b401f0,en,87、INT. WORKSHOP - CONTINUOUS ; 261、EXT. PENTHOUSE (Riverside Hospital) - DAY,How does Quinn Hayes's treatment of Valerie Huxley evolve from their first interaction to the final confrontation in Riverside Hospital?,Quinn Hayes consistently treats Valerie Huxley as a threat,"From the workshop onward, Quinn Hayes expresses concern about Valerie Huxley's presence in the dream, signaling wariness. This negative stance persists as Valerie Huxley displays hostility toward Quinn Hayes when she is discovered spying. By the final scene in Riverside Hospital, Quinn Hayes takes direct action against Valerie Huxley by aiming a the blue watch at her, reinforcing an ongoing pattern of perceiving and responding to Valerie Huxley as a danger.",Role-Relation Continuity
legacy-enf30d36a744764b89b68ac58103b401f0-15,enf30d36a744764b89b68ac58103b401f0,en,"12、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS ; 12、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS ; 39、INT. DILAPIDATED Fairview Motel ROOM - DAY","What pivotal event shifts the narrative trajectory toward the sequence in which Blair Adler demands the envelope, Valerie Huxley shoots Emery Brooks, Blair Adler rises, Valerie Huxley surrenders, and Valerie Huxley confronts Blair Adler at gunpoint?",Valerie Huxley Confronted by Blair Adler and Valerie Huxley,"The confrontation between Valerie Huxley, Blair Adler, and Valerie Huxley in the dining room of the Japanese castle serves as a critical inflection point, altering the power dynamics and setting in motion a chain of escalating consequences that directly lead to Blair Adler's renewed control, Valerie Huxley's violent intervention, and Valerie Huxley's subsequent actions across overlapping layers of reality. [12、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS]",Narrative Progression
legacy-enf30d36a744764b89b68ac58103b401f0-16,enf30d36a744764b89b68ac58103b401f0,en,"46、INT. APARTMENT, TOKYO - CONTINUOUS ; 46、INT. APARTMENT, TOKYO - CONTINUOUS ; 47、INT. CORRIDOR - CONTINUOUS","What pivotal event sets in motion the sequence where Valerie Huxley and Emery Brooks flee, make departure arrangements, and board the helicopter?","Emery Brooks Arrives, Valerie Huxley Prepares to Leave","Emery Brooks's arrival at Valerie Huxley's apartment in Tokyo interrupts a tense moment, prompting Valerie Huxley to finalize his exit strategy. This convergence of action and decision marks the shift from evasion to coordinated escape, directly initiating the chain of events that leads to their departure. [46、INT. APARTMENT, TOKYO - CONTINUOUS]",Narrative Progression
legacy-enf30d36a744764b89b68ac58103b401f0-17,enf30d36a744764b89b68ac58103b401f0,en,31、INT. DILAPIDATED Fairview Motel ROOM - MOMENTS LATER ; 49、INT. HELICOPTER ON PAD - CONTINUOUS ; 33、INT. DILAPIDATED Fairview Motel ROOM - DAY,"What pivotal event shifts the narrative toward Valerie Huxley questioning Sidney York's fate and Blair Adler's proposal of inception, culminating in Valerie Huxley's confrontation and surrender?",Valerie Huxley Confronts Blair Adler in the Hidden Apartment,"In the aftermath of a failed extraction, tensions escalate when Valerie Huxley confronts Blair Adler in a secluded apartment, challenging his motives and survival. This confrontation forces a reckoning that sets off a chain of revelations, including doubts about Sidney York's disappearance and Blair Adler's true intentions, ultimately leading to a power reversal where Valerie Huxley is disarmed and Blair Adler asserts control. [32, 31、INT. DILAPIDATED Fairview Motel ROOM - MOMENTS LATER]",Narrative Progression
legacy-enf30d36a744764b89b68ac58103b401f0-18,enf30d36a744764b89b68ac58103b401f0,en,"31、INT. DILAPIDATED Fairview Motel ROOM - MOMENTS LATER ; 42、INT. BULLET TRAIN COMPARTMENT - DAY ; 46、INT. APARTMENT, TOKYO - CONTINUOUS","What pivotal event sets in motion the sequence leading to Emery Brooks ending sedation, the team's escape after mission failure, and Valerie Huxley's confrontation with Blair Adler?",Emery Brooks watches the riot and warns Valerie Huxley,"In the aftermath of escalating unrest outside their hideout, Emery Brooks observes the violent riot from a Fairview Motel window and alerts Valerie Huxley to the deteriorating situation. This moment triggers immediate operational changes, prompting Emery Brooks to terminate the sedation, initiate withdrawal procedures, and set into motion the team's urgent departure. The warning marks the first irreversible step toward the collapse of their mission and the subsequent confrontations in hidden and liminal spaces. [31、INT. DILAPIDATED Fairview Motel ROOM - MOMENTS LATER]",Narrative Progression
legacy-enf30d36a744764b89b68ac58103b401f0-2,enf30d36a744764b89b68ac58103b401f0,en,33、INT. DILAPIDATED Fairview Motel ROOM - DAY,What is Valerie Huxley's objective when he presses a the blue watch under Blair Adler's chin and demands answers about their mission?,Extract the truth about the audition,"Valerie Huxley presses the barrel of his the blue watch under Blair Adler's chin, forcing him to look up as distant sounds of violence echo from below. Defiant, Blair Adler meets Valerie Huxley's gaze and reveals their infiltration was an audition they failed. Valerie Huxley insists he extracted all available information, but Blair Adler dismisses the attempt as transparent deception, maintaining control even under duress.",Character Understanding
legacy-enf30d36a744764b89b68ac58103b401f0-25,enf30d36a744764b89b68ac58103b401f0,en,19、INT. DILAPIDATED Fairview Motel ROOM - DAY ; 38、INT. BULLET TRAIN COMPARTMENT - DAY,"By the time Emery Brooks awakens and checks the countdowns, what has already taken place involving the silver case?",Emery Brooks opens silver case containing complex mechanism,"Before Emery Brooks checks the countdowns aboard the bullet train, he must first activate part of the dream architecture by opening a silver case with a intricate mechanism, a step that occurs earlier in a dilapidated Fairview Motel room as part of the team's coordinated effort to stabilize the dream layers.",Temporal Reasoning
