id,movie_id,language,related_scenes,question,answer,related_context,question_type
1,en5e7d0ab69a264987ad93be4a13bf5670,en,30、INT. PENTHOUSE SUITE -- DAY,What does Israel aim to assert through his confrontation with Sir Ivy in the aftermath of the suite's disorder?,Control over operations and image,"Israel confronts Sir Ivy in a tense standoff amid the disarray of the suite, visibly agitated by the chaos and the presence of women lingering from the previous night's activities. He criticizes the environment, citing the inadequate suite and a problematic fifty-grand bribe, signaling concern over both financial and reputational stakes. While Ivy remains composed and delegates tasks through Beanie and Hugo, Israel attempts to reassert authority by issuing orders and withdrawing to take a call, underscoring his effort to regain command of the situation and maintain operational control.",Character Understanding
2,en5e7d0ab69a264987ad93be4a13bf5670,en,"36、INT. ""TAHOE SKILLET"" RESTAURANT -- MORNING",What does Messner discover that challenges the Bureau's official narrative about Heller?,Heller was murdered by Sparazza,"While reviewing a file, Messner discovers a photograph of Federal Agent Freeman Heller, confirming his death. He confronts Carruthers, questioning why the Bureau never pursued Sparazza despite knowing he was responsible. Carruthers explains that Heller was erased from Bureau history, as Hoover suppressed the legacies of agents deemed failures, aligning Heller’s fate with others like Ness.",Character Understanding
3,en5e7d0ab69a264987ad93be4a13bf5670,en,40、INT. NOMAD HOTEL ROOM -- LOWER FLOOR,What does Lazlo aim to achieve through his vocal transformation in the scene with the micro-cassette recorder?,Perfect the dead butler's voice,"Lazlo Soot rewinds a micro-cassette recorder to study the voice of a deceased man, meticulously analyzing his Baltic accent, throaty speech, and vocal damage. To replicate the sound, Lazlo smokes multiple cigarettes, sprays his throat, and drinks heavily to alter his own voice. He repeatedly practices the phrase 'My name is Vitoli. How can I be of assistance,' adjusting his tone until it matches the recording. When the phone rings, he answers in the perfected voice, signaling his commitment to the impersonation.",Character Understanding
4,en5e7d0ab69a264987ad93be4a13bf5670,en,12、INT. BRIEFING ROOM -- CONTINUOUS,What does Locke aim to establish through his analysis of the wiretap data?,Sparazza is behind the contract,"Locke reviews wiretap data showing a recently opened, cash-rich escrow account linked to Sparazza and references to a mysterious Swede, concluding that Sparazza is responsible for a high-value contract targeting Israel. He presents this evidence to confirm the threat, though Sykes remains skeptical and demands further proof.",Character Understanding
5,en5e7d0ab69a264987ad93be4a13bf5670,en,49、INT. HORIZON HOTEL AND CASINO -- SAME,What does Sykes do to ready herself for infiltration in the hotel room?,Adjusts her outfit to conceal weapons,"Sykes prepares for her mission by adjusting her appearance to hide her holsters and secure her weapons against her body. She checks her reflection and confirms her plan to blend in with the arriving call girls, intending to enter The Nomad undetected and confront Israel at gunpoint. Watters supports from the adjacent room, setting up a .50 caliber sniper rifle aimed at the penthouse, loading a red-tipped round, and monitoring the situation through the scope. As the call girls arrive by taxi, Sykes collects her gear and moves toward the door to execute the operation.",Scene Grounding
6,en5e7d0ab69a264987ad93be4a13bf5670,en,49、INT. HORIZON HOTEL AND CASINO -- SAME,What action does Georgia Sykes take upon arriving at the elevator in the Horizon Hotel and Casino?,Draws revolver from garter-holster and waits,"Georgia Sykes enters the Horizon Hotel and Casino, moves to the elevator, and draws a revolver from her garter holster, taking a defensive position as she waits. At the same time, Sharice Watters, positioned across the street, aims a .50 caliber sniper rifle at the penthouse of The Nomad, tracking movement through her scope and preparing to fire as a figure appears in her crosshairs.",Scene Grounding
7,en5e7d0ab69a264987ad93be4a13bf5670,en,48、INT. NOMAD HOTEL SUITE -- DAY,What action establishes the central preparation in the hotel suite scene?,Sykes readies her weapon and adjusts her comms while in disguise,"In the hotel suite, Sykes arms herself with a Glock 9mm and fine-tunes her earpiece and microphone as she completes her tactical hooker disguise, which includes a leather mini-skirt, lace garters, and thigh-high boots. Watters reports feedback through the comms, prompting her to recalibrate the device before confirming the connection.",Scene Grounding
8,en5e7d0ab69a264987ad93be4a13bf5670,en,28、INT. CHOW SHACK BUFFET -- MORNING; 28、INT. CHOW SHACK BUFFET -- MORNING,What event directly prompts Padiche to request an overview of the operation plan during the meeting?,Sykes and Watters enter the restaurant and are greeted by Victor Padiche,"After Sykes and Watters arrive at the restaurant and are welcomed by Victor Padiche, the initial exchange includes casual pleasantries and a cryptic remark about 'pussy' that creates an undercurrent of tension and ambiguity. Padiche's subsequent shift to discussing business—specifically his request to hear the general outline of the operation plan—follows directly from this first interaction, which establishes the dynamic between the characters and sets the tone for the negotiation that unfolds.",Causal-Motivational Reasoning
9,en5e7d0ab69a264987ad93be4a13bf5670,en,30、INT. PENTHOUSE SUITE -- DAY; 8、INT. POOL HALL,What event triggers the police investigation that ultimately targets Primo Sparraza?,Israel confronts Sir Ivy during escalating tension,"Israel erupts in anger toward Sir Ivy, his second-in-command, in the aftermath of a chaotic party. Amid ringing phones and disoriented women being ushered out by enforcers, Israel rants about a failed bribe and poor accommodations, while Ivy maintains control, distributing cash and directing cleanup. This visible instability and operational sloppiness—highlighted by Hugo’s urgent call from Gill—creates the conditions that draw law enforcement attention, leading to surveillance and the eventual focus on Primo Sparraza.",Causal-Motivational Reasoning
10,en5e7d0ab69a264987ad93be4a13bf5670,en,41、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING; 42、INT. FOUR SEASONS HOTEL -- WASHINGTON D.C. -- DAY,What action by Israel creates the pressure that forces Mecklen to issue a final warning and offer revised terms?,Israel threatens to cancel the deal over jail time,"Israel lies on a baby-grand piano with its legs sawed off, shuffling a deck of cards amid lines of cocaine, and declares the deal off unless his associates face no jail time, giving ten seconds to comply. Mecklen, present with federal agents and lawyers, responds that the situation cannot be changed. This ultimatum raises the stakes, prompting Mecklen to later confront Israel with the consequences of withdrawal—loss of protection, financial collapse, and exposure—while offering after-tax profits from media deals as a final concession, leading to Israel’s pivotal decision upon drawing the Joker.",Causal-Motivational Reasoning
11,en5e7d0ab69a264987ad93be4a13bf5670,en,29、INT. HOTEL ROOM -- BLACKJACK INN -- MORNING; 29、INT. HOTEL ROOM -- BLACKJACK INN -- MORNING,What event immediately prior to Rip Reed's briefing explains his shift from anxiety to focused leadership?,Dupree reassures Rip Reed with a confident promise to recover Buddy Israel,"Before briefing the team on Buddy Israel's criminal behavior and dangerous associates, Rip Reed displays visible anxiety, seeking reassurance. Dupree responds by placing a hand on his shoulder and affirming, with quiet certainty, that they will locate and apprehend Israel without issue. This moment of confidence visibly settles Reed, enabling him to transition into a composed, detail-oriented leader as he lays out the operational risks and background on Israel’s drug use, armed connections, and lifestyle. The shift in Reed’s demeanor follows directly from Dupree’s grounding assurance.",Causal-Motivational Reasoning
12,en5e7d0ab69a264987ad93be4a13bf5670,en,34、INT. PENTHOUSE BEDROOM -- CONTINUOUS; 50、EXT. TAHOE INTERNATIONAL AIRPORT -- DAY,"By the time Dr. Gill arrives and waits for Hugo, what has already happened to Israel?",Israel experiences chest pain and physical distress,"Prior to Dr. Gill's arrival and his wait for Hugo, Israel suffers a noticeable episode of chest pain and physical distress, prompting medical concern and setting the stage for the doctor's subsequent actions.",Temporal Reasoning
13,en5e7d0ab69a264987ad93be4a13bf5670,en,22、INT. DINER -- NIGHT; 49、INT. HORIZON HOTEL AND CASINO -- SAME,"By the time Sykes draws her gun and Watters takes aim, what action has Sykes already completed?",Sets fork down and wipes hands on napkin,"During a tense dinner conversation, Sykes outlines a strategic plan, signaling her shift from deliberation to action. This moment concludes with her placing her fork down and wiping her hands, a deliberate physical cue that precedes the subsequent confrontation where she draws her weapon and Watters assumes his position.",Temporal Reasoning
14,en5e7d0ab69a264987ad93be4a13bf5670,en,1、INT. VAN -- NIGHT; 122、INT. CEDARS SINAI -- I.C.U. -- RECOVERY ROOM -- DAY,How does Primo Sparazza's treatment of Israel evolve from the initial confrontation to their final encounter in the recovery room?,Primo Sparazza consistently treats Israel as a sworn enemy,"From the opening scenes, Primo Sparazza regards Israel as a threat due to their opposing factions within the Carlotta organization, with explicit references to Israel as his 'sworn enemy.' This adversarial stance persists through multiple key moments, including the briefing room confrontations where their rivalry is framed as part of a civil war, and culminates in the recovery room where their mutual hostility remains palpable, confirming an unbroken antagonistic relationship.",Role-Relation Continuity
15,en5e7d0ab69a264987ad93be4a13bf5670,en,10、EXT. NEW JERSEY TURNPIKE -- NIGHT (PAST); 122、INT. CEDARS SINAI -- I.C.U. -- RECOVERY ROOM -- DAY,How does Primo Sparazza's treatment of Freeman Heller evolve from their initial encounter to the final revelation of the murder?,Primo Sparazza consistently treats Freeman Heller as a target and ultimately kills him,"From the opening confrontation on the New Jersey Turnpike to the final confirmation in the recovery room, Primo Sparazza is established as the active aggressor toward Freeman Heller. The narrative reveals Sparazza stalking and killing Heller in the past, with later scenes confirming that the Bureau recognizes Sparazza as the murderer. Throughout, the relationship remains defined by Sparazza's lethal hostility, with no indication of alliance, neutrality, or mutual cooperation.",Role-Relation Continuity
16,en5e7d0ab69a264987ad93be4a13bf5670,en,42、INT. FOUR SEASONS HOTEL -- WASHINGTON D.C. -- DAY; 82、INT. PENTHOUSE HALLWAY -- SAME,How does Israel's treatment of Ivy evolve from the hotel meeting through the penthouse confrontation?,Israel continues to regard Ivy as a threat,"From the moment Israel betrays Ivy and others at the hotel, their relationship is defined by mutual hostility. Israel perceives Ivy as a dangerous adversary, a view reinforced as Ivy silently menaces him in the penthouse, confronts him with a gun, and accuses him of betrayal. Throughout the sequence, Israel's behavior remains consistent with someone dealing with a lethal threat, responding to Ivy's escalating aggression with defensiveness and fear.",Role-Relation Continuity
17,en5e7d0ab69a264987ad93be4a13bf5670,en,49、INT. HORIZON HOTEL AND CASINO -- SAME; 49、INT. HORIZON HOTEL AND CASINO -- SAME; 49、INT. HORIZON HOTEL AND CASINO -- SAME,"What pivotal event sets in motion the sequence in which Watters observes Sykes through the scope, Sykes draws her weapon, Watters takes aim, and Carruthers rushes to the Nomad?",Sykes and Watters Prepare for Infiltration,"The mission escalates after Sykes and Watters finalize their infiltration plan, arming themselves and moving into position. This coordination directly enables the subsequent standoff, where Watters assumes overwatch, Sykes confronts the target, and Carruthers intervenes by heading to the Nomad, marking a shift from preparation to active engagement.",Narrative Progression
18,en5e7d0ab69a264987ad93be4a13bf5670,en,48、INT. NOMAD HOTEL SUITE -- DAY; 49、INT. HORIZON HOTEL AND CASINO -- SAME; 49、INT. HORIZON HOTEL AND CASINO -- SAME,What pivotal moment sets in motion the sequence leading to the confrontation with Keith's past and the final infiltration preparations?,Sykes readies weapon and adjusts comms in disguise,"The scene in which Sykes prepares her equipment while concealed marks a decisive shift from reconnaissance to active engagement, triggering the operational phase that culminates in the direct confrontation with Keith's history and the final steps before infiltration.",Narrative Progression
19,en5e7d0ab69a264987ad93be4a13bf5670,en,28、INT. CHOW SHACK BUFFET -- MORNING; 28、INT. CHOW SHACK BUFFET -- MORNING; 28、INT. CHOW SHACK BUFFET -- MORNING,What event initiates the confrontation that leads to Padiche being pressured for operational details?,Sykes and Watters meet Padiche at the Tahoe Buffet,"The encounter at the Tahoe Buffet marks the first direct engagement between Sykes, Watters, and Padiche, setting in motion a series of escalating exchanges in which Padiche is subjected to psychological pressure through provocative language and crude remarks, ultimately prompting him to seek clarity on the operation's plan.",Narrative Progression
20,en5e7d0ab69a264987ad93be4a13bf5670,en,30、INT. PENTHOUSE SUITE -- DAY; 31、INT. PENTHOUSE BEDROOM -- CONTINUOUS; 8、INT. POOL HALL,"What turning point most directly sets in motion the sequence in which Israel issues an ultimatum, police close in on Primo Sparraza, and Hugo reaches out to Vitoli and Soot?",Israel Confronts Sir Ivy Amid Suite Chaos,"Following escalating tensions in the penthouse suite, Israel's direct confrontation with Sir Ivy disrupts the existing power balance, triggering a chain of actions that fractures alliances, prompts immediate security responses, and forces key players to initiate emergency communications.",Narrative Progression
